chapter,verse,text
1,1,"Βίβλος γενέσεως Ἰησοῦ χριστοῦ, υἱοῦ Δαυίδ, υἱοῦ Ἀβραάμ."
1,2,Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ· Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ· Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ·
1,3,Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ· Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ· Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ·
1,4,Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ· Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών· Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών·
1,5,Σαλμὼν δὲ ἐγέννησεν τὸν Βοὸζ {Ν Βοὸζ ἐκ > Βόες ἐκ } ἐκ τῆς Ῥαχάβ· Βοὸζ {Ν Βοὸζ δὲ > Βόες δὲ } δὲ ἐγέννησεν τὸν Ὠβὴδ {Ν Ὠβὴδ ἐκ > Ἰωβὴδ ἐκ } ἐκ τῆς Ῥούθ· Ὠβὴδ {Ν Ὠβὴδ δὲ > Ἰωβὴδ δὲ } δὲ ἐγέννησεν τὸν Ἰεσσαί·
1,6,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα.  Δαυὶδ δὲ ὁ {Ν ὁ βασιλεὺς > - } βασιλεὺς ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου·
1,7,Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ· Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά· Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσά· {Ν Ἀσά > Ἀσάφ }
1,8,Ἀσὰ {Ν Ἀσὰ > Ἀσὰφ } δὲ ἐγέννησεν τὸν Ἰωσαφάτ· Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ· Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν·
1,9,Ὀζίας δὲ ἐγέννησεν τὸν Ἰωάθαμ· Ἰωάθαμ δὲ ἐγέννησεν τὸν Ἄχαζ· Ἄχαζ δὲ ἐγέννησεν τὸν Ἑζεκίαν·
1,10,Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ· Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμών· {Ν Ἀμών Ἀμὼν > Ἀμώς Ἀμὼς } Ἀμὼν δὲ ἐγέννησεν τὸν Ἰωσίαν·
1,11,"Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, ἐπὶ τῆς μετοικεσίας Βαβυλῶνος."
1,12,"Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος, Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ· Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ·"
1,13,Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ· Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ· {Ν Ἐλιακείμ Ἐλιακεὶμ > Ἐλιακίμ Ἐλιακὶμ } Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ·
1,14,Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ· Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ· {Ν Ἀχείμ Ἀχεὶμ > Ἀχίμ Ἀχὶμ } Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ·
1,15,Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ· Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν· Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ·
1,16,"Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς, ὁ λεγόμενος χριστός."
1,17,"Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες· καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος, γενεαὶ δεκατέσσαρες· καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ, γενεαὶ δεκατέσσαρες."
1,18,"Τοῦ δὲ Ἰησοῦ χριστοῦ ἡ γέννησις {Ν γέννησις > γένεσις } οὕτως ἦν. Μνηστευθείσης γὰρ {Ν γὰρ > - } τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτούς, εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου."
1,19,"Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὤν, καὶ μὴ θέλων αὐτὴν παραδειγματίσαι, {Ν παραδειγματίσαι > δειγματίσαι } ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν."
1,20,"Ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος, ἰδού, ἄγγελος κυρίου κατ' ὄναρ ἐφάνη αὐτῷ, λέγων, Ἰωσήφ, υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαριὰμ {Ν Μαριὰμ > Μαρίαν } τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου."
1,21,"Τέξεται δὲ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν."
1,22,"Τοῦτο δὲ ὅλον γέγονεν, ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ {Ν τοῦ κυρίου > κυρίου } κυρίου διὰ τοῦ προφήτου, λέγοντος,"
1,23,"Ἰδού, ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ, ὅ ἐστιν μεθερμηνευόμενον, Μεθ' ἡμῶν ὁ θεός."
1,24,"Διεγερθεὶς {Ν Διεγερθεὶς > Ἐγερθεὶς } δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου, ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου· καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ,"
1,25,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν τὸν {Ν τὸν υἱὸν αὐτῆς τὸν πρωτότοκον > υἱόν } υἱὸν αὐτῆς τὸν πρωτότοκον· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.
2,1,"Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλεὲμ τῆς Ἰουδαίας, ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδού, μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα,"
2,2,"λέγοντες, Ποῦ ἐστὶν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; Εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ, καὶ ἤλθομεν προσκυνῆσαι αὐτῷ."
2,3,"Ἀκούσας δὲ Ἡρῴδης {Ν Ἡρῴδης ὁ βασιλεὺς > ὁ βασιλεὺς Ἡρῴδης } ὁ βασιλεὺς ἐταράχθη, καὶ πᾶσα Ἱεροσόλυμα μετ' αὐτοῦ·"
