chapter,verse,text
1,1,"Παῦλος καὶ Τιμόθεος, δοῦλοι Ἰησοῦ χριστοῦ, πᾶσιν τοῖς ἁγίοις ἐν χριστῷ Ἰησοῦ τοῖς οὖσιν ἐν Φιλίπποις, σὺν ἐπισκόποις καὶ διακόνοις·"
1,2,χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ χριστοῦ.
1,3,"
Εὐχαριστῶ τῷ θεῷ μου ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν,"
1,4,"πάντοτε ἐν πάσῃ δεήσει μου ὑπὲρ πάντων ὑμῶν μετὰ χαρᾶς τὴν δέησιν ποιούμενος,"
1,5,"ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον, ἀπὸ πρώτης ἡμέρας ἄχρι τοῦ νῦν·"
1,6,"πεποιθὼς αὐτὸ τοῦτο, ὅτι ὁ ἐναρξάμενος ἐν ὑμῖν ἔργον ἀγαθὸν ἐπιτελέσει ἄχρι ἡμέρας χριστοῦ Ἰησοῦ·"
1,7,"καθώς ἐστιν δίκαιον ἐμοὶ τοῦτο φρονεῖν ὑπὲρ πάντων ὑμῶν, διὰ τὸ ἔχειν με ἐν τῇ καρδίᾳ ὑμᾶς, ἔν τε τοῖς δεσμοῖς μου καὶ ἐν τῇ ἀπολογίᾳ καὶ βεβαιώσει τοῦ εὐαγγελίου, συγκοινωνούς μου τῆς χάριτος πάντας ὑμᾶς ὄντας."
1,8,"Μάρτυς γάρ μού ἐστιν ὁ θεός, ὡς ἐπιποθῶ πάντας ὑμᾶς ἐν σπλάγχνοις Ἰησοῦ χριστοῦ."
1,9,"Καὶ τοῦτο προσεύχομαι, ἵνα ἡ ἀγάπη ὑμῶν ἔτι μᾶλλον καὶ μᾶλλον περισσεύῃ ἐν ἐπιγνώσει καὶ πάσῃ αἰσθήσει,"
1,10,"εἰς τὸ δοκιμάζειν ὑμᾶς τὰ διαφέροντα, ἵνα ἦτε εἰλικρινεῖς καὶ ἀπρόσκοποι εἰς ἡμέραν χριστοῦ,"
1,11,"πεπληρωμένοι καρπῶν δικαιοσύνης τῶν διὰ Ἰησοῦ χριστοῦ, εἰς δόξαν καὶ ἔπαινον θεοῦ."
1,12,"
Γινώσκειν δὲ ὑμᾶς βούλομαι, ἀδελφοί, ὅτι τὰ κατ’ ἐμὲ μᾶλλον εἰς προκοπὴν τοῦ εὐαγγελίου ἐλήλυθεν·"
1,13,"ὥστε τοὺς δεσμούς μου φανεροὺς ἐν χριστῷ γενέσθαι ἐν ὅλῳ τῷ πραιτωρίῳ καὶ τοῖς λοιποῖς πᾶσιν,"
1,14,"καὶ τοὺς πλείονας τῶν ἀδελφῶν ἐν κυρίῳ, πεποιθότας τοῖς δεσμοῖς μου, περισσοτέρως τολμᾷν ἀφόβως τὸν λόγον λαλεῖν."
1,15,"Τινὲς μὲν καὶ διὰ φθόνον καὶ ἔριν, τινὲς δὲ καὶ δι’ εὐδοκίαν τὸν χριστὸν κηρύσσουσιν·"
1,16,"οἱ μὲν ἐξ ἐριθείας τὸν χριστὸν καταγγέλλουσιν, οὐχ ἁγνῶς, οἰόμενοι θλίψιν ἐπιφέρειν τοῖς δεσμοῖς μου·"
1,17,"οἱ δὲ ἐξ ἀγάπης, εἰδότες ὅτι εἰς ἀπολογίαν τοῦ εὐαγγελίου κεῖμαι."
1,18,"Τί γάρ; Πλὴν παντὶ τρόπῳ, εἴτε προφάσει εἴτε ἀληθείᾳ, χριστὸς καταγγέλλεται· καὶ ἐν τούτῳ χαίρω, ἀλλὰ καὶ χαρήσομαι."
1,19,"Οἶδα γὰρ ὅτι τοῦτό μοι ἀποβήσεται εἰς σωτηρίαν διὰ τῆς ὑμῶν δεήσεως, καὶ ἐπιχορηγίας τοῦ πνεύματος Ἰησοῦ χριστοῦ,"
1,20,"κατὰ τὴν ἀποκαραδοκίαν καὶ ἐλπίδα μου, ὅτι ἐν οὐδενὶ αἰσχυνθήσομαι, ἀλλ’ ἐν πάσῃ παρρησίᾳ, ὡς πάντοτε, καὶ νῦν μεγαλυνθήσεται χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου."
1,21,"Ἐμοὶ γὰρ τὸ ζῇν, χριστός· καὶ τὸ ἀποθανεῖν, κέρδος."
1,22,"Εἰ δὲ τὸ ζῇν ἐν σαρκί, τοῦτό μοι καρπὸς ἔργου· καὶ τί αἱρήσομαι οὐ γνωρίζω."
1,23,"Συνέχομαι δὲ ἐκ τῶν δύο, τὴν ἐπιθυμίαν ἔχων εἰς τὸ ἀναλῦσαι καὶ σὺν χριστῷ εἶναι, πολλῷ μᾶλλον κρεῖσσον·"
1,24,τὸ δὲ ἐπιμένειν ἐν τῇ σαρκὶ ἀναγκαιότερον δι’ ὑμᾶς.
1,25,"Καὶ τοῦτο πεποιθὼς οἶδα ὅτι μενῶ, καὶ συμπαραμενῶ πᾶσιν ὑμῖν εἰς τὴν ὑμῶν προκοπὴν καὶ χαρὰν τῆς πίστεως,"
1,26,"ἵνα τὸ καύχημα ὑμῶν περισσεύῃ ἐν χριστῷ Ἰησοῦ ἐν ἐμοί, διὰ τῆς ἐμῆς παρουσίας πάλιν πρὸς ὑμᾶς."
1,27,"Μόνον ἀξίως τοῦ εὐαγγελίου τοῦ χριστοῦ πολιτεύεσθε, ἵνα εἴτε ἐλθὼν καὶ ἰδὼν ὑμᾶς, εἴτε ἀπών, ἀκούσω τὰ περὶ ὑμῶν, ὅτι στήκετε ἐν ἑνὶ πνεύματι, μιᾷ ψυχῇ συναθλοῦντες τῇ πίστει τοῦ εὐαγγελίου,"
1,28,"καὶ μὴ πτυρόμενοι ἐν μηδενὶ ὑπὸ τῶν ἀντικειμένων· ἥτις αὐτοῖς μέν ἐστιν ἔνδειξις ἀπωλείας, ὑμῖν δὲ σωτηρίας, καὶ τοῦτο ἀπὸ θεοῦ·"
1,29,"ὅτι ὑμῖν ἐχαρίσθη τὸ ὑπὲρ χριστοῦ, οὐ μόνον τὸ εἰς αὐτὸν πιστεύειν, ἀλλὰ καὶ τὸ ὑπὲρ αὐτοῦ πάσχειν·"
1,30,"τὸν αὐτὸν ἀγῶνα ἔχοντες οἷον εἴδετε ἐν ἐμοί, καὶ νῦν ἀκούετε ἐν ἐμοί."
2,1,"Εἴ τις οὖν παράκλησις ἐν χριστῷ, εἴ τι παραμύθιον ἀγάπης, εἴ τις κοινωνία πνεύματος, εἴ τις σπλάγχνα καὶ οἰκτιρμοί,"
2,2,"πληρώσατέ μου τὴν χαράν, ἵνα τὸ αὐτὸ φρονῆτε, τὴν αὐτὴν ἀγάπην ἔχοντες, σύμψυχοι, τὸ ἓν φρονοῦντες·"
2,3,"μηδὲν κατὰ ἐριθείαν ἢ κενοδοξίαν, ἀλλὰ τῇ ταπεινοφροσύνῃ ἀλλήλους ἡγούμενοι ὑπερέχοντας ἑαυτῶν·"
2,4,"μὴ τὰ ἑαυτῶν ἕκαστος σκοπεῖτε, ἀλλὰ καὶ τὰ ἑτέρων ἕκαστος."
2,5,Τοῦτο γὰρ φρονείσθω ἐν ὑμῖν ὃ καὶ ἐν χριστῷ Ἰησοῦ·
2,6,"ὃς ἐν μορφῇ θεοῦ ὑπάρχων, οὐχ ἁρπαγμὸν ἡγήσατο τὸ εἶναι ἶσα θεῷ,"
2,7,"ἀλλ’ ἑαυτὸν ἐκένωσεν, μορφὴν δούλου λαβών, ἐν ὁμοιώματι ἀνθρώπων γενόμενος·"
2,8,"καὶ σχήματι εὑρεθεὶς ὡς ἄνθρωπος, ἐταπείνωσεν ἑαυτόν, γενόμενος ὑπήκοος μέχρι θανάτου, θανάτου δὲ σταυροῦ."
2,9,"Διὸ καὶ ὁ θεὸς αὐτὸν ὑπερύψωσεν, καὶ ἐχαρίσατο αὐτῷ ὄνομα τὸ ὑπὲρ πᾶν ὄνομα·"
