chapter,verse,text
1,1,"Παῦλος καὶ Σιλουανὸς καὶ Τιμόθεος, τῇ ἐκκλησίᾳ Θεσσαλονικέων ἐν θεῷ πατρί, καὶ κυρίῳ Ἰησοῦ χριστῷ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ {NA ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ χριστοῦ > - } θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ χριστοῦ."
1,2,"
Εὐχαριστοῦμεν τῷ θεῷ πάντοτε περὶ πάντων ὑμῶν, μνείαν ὑμῶν {NA ὑμῶν ποιούμενοι > ποιούμενοι } ποιούμενοι ἐπὶ τῶν προσευχῶν ἡμῶν,"
1,3,"ἀδιαλείπτως μνημονεύοντες ὑμῶν τοῦ ἔργου τῆς πίστεως, καὶ τοῦ κόπου τῆς ἀγάπης, καὶ τῆς ὑπομονῆς τῆς ἐλπίδος τοῦ κυρίου ἡμῶν Ἰησοῦ χριστοῦ, ἔμπροσθεν τοῦ θεοῦ καὶ πατρὸς ἡμῶν·"
1,4,"εἰδότες, ἀδελφοὶ ἠγαπημένοι ὑπὸ θεοῦ, {NA θεοῦ > [τοῦ] θεοῦ } τὴν ἐκλογὴν ὑμῶν·"
1,5,"ὅτι τὸ εὐαγγέλιον ἡμῶν οὐκ ἐγενήθη εἰς ὑμᾶς ἐν λόγῳ μόνον, ἀλλὰ καὶ ἐν δυνάμει, καὶ ἐν πνεύματι ἁγίῳ, καὶ ἐν {NA ἐν πληροφορίᾳ > [ἐν] πληροφορίᾳ } πληροφορίᾳ πολλῇ, καθὼς οἴδατε οἷοι ἐγενήθημεν ἐν {NA ἐν ὑμῖν > [ἐν] ὑμῖν } ὑμῖν δι’ ὑμᾶς."
1,6,"Καὶ ὑμεῖς μιμηταὶ ἡμῶν ἐγενήθητε καὶ τοῦ κυρίου, δεξάμενοι τὸν λόγον ἐν θλίψει πολλῇ μετὰ χαρᾶς πνεύματος ἁγίου,"
1,7,ὥστε γενέσθαι ὑμᾶς τύπους {NA τύπους > τύπον } πᾶσιν τοῖς πιστεύουσιν ἐν τῇ Μακεδονίᾳ καὶ {NA καὶ > καὶ ἐν } τῇ Ἀχαΐᾳ.
1,8,"Ἀφ’ ὑμῶν γὰρ ἐξήχηται ὁ λόγος τοῦ κυρίου οὐ μόνον ἐν τῇ Μακεδονίᾳ καὶ ἐν {NA ἐν τῇ Ἀχαΐᾳ ἀλλὰ καὶ ἐν παντὶ > [ἐν τῇ] Ἀχαΐᾳ ἀλλ’ ἐν παντὶ } τῇ Ἀχαΐᾳ, ἀλλὰ καὶ ἐν παντὶ τόπῳ ἡ πίστις ὑμῶν ἡ πρὸς τὸν θεὸν ἐξελήλυθεν, ὥστε μὴ χρείαν ἡμᾶς {NA ἡμᾶς ἔχειν > ἔχειν ἡμᾶς } ἔχειν λαλεῖν τι."
1,9,"Αὐτοὶ γὰρ περὶ ἡμῶν ἀπαγγέλλουσιν ὁποίαν εἴσοδον ἔσχομεν πρὸς ὑμᾶς, καὶ πῶς ἐπεστρέψατε πρὸς τὸν θεὸν ἀπὸ τῶν εἰδώλων, δουλεύειν θεῷ ζῶντι καὶ ἀληθινῷ,"
1,10,"καὶ ἀναμένειν τὸν υἱὸν αὐτοῦ ἐκ τῶν οὐρανῶν, ὃν ἤγειρεν ἐκ τῶν {NA τῶν νεκρῶν > [τῶν] νεκρῶν } νεκρῶν, Ἰησοῦν, τὸν ῥυόμενον ἡμᾶς ἀπὸ {NA ἀπὸ > ἐκ } τῆς ὀργῆς τῆς ἐρχομένης."
