chapter,verse,text
1,1,"Τὸν μὲν πρῶτον λόγον ἐποιησάμην περὶ πάντων, ὦ Θεόφιλε, ὧν ἤρξατο ὁ Ἰησοῦς ποιεῖν τε καὶ διδάσκειν,"
1,2,"ἄχρι ἧς ἡμέρας, ἐντειλάμενος τοῖς ἀποστόλοις διὰ πνεύματος ἁγίου οὓς ἐξελέξατο, ἀνελήφθη· {NA ἀνελήφθη > ἀνελήμφθη }"
1,3,"οἷς καὶ παρέστησεν ἑαυτὸν ζῶντα μετὰ τὸ παθεῖν αὐτὸν ἐν πολλοῖς τεκμηρίοις, δι’ ἡμερῶν τεσσαράκοντα {NA τεσσαράκοντα > τεσσεράκοντα } ὀπτανόμενος αὐτοῖς, καὶ λέγων τὰ περὶ τῆς βασιλείας τοῦ θεοῦ."
1,4,"Καὶ συναλιζόμενος παρήγγειλεν αὐτοῖς ἀπὸ Ἱεροσολύμων μὴ χωρίζεσθαι, ἀλλὰ περιμένειν τὴν ἐπαγγελίαν τοῦ πατρός, Ἣν ἠκούσατέ μου·"
1,5,"ὅτι Ἰωάννης μὲν ἐβάπτισεν ὕδατι, ὑμεῖς δὲ βαπτισθήσεσθε {NA βαπτισθήσεσθε ἐν πνεύματι > ἐν πνεύματι βαπτισθήσεσθε } ἐν πνεύματι ἁγίῳ οὐ μετὰ πολλὰς ταύτας ἡμέρας."
1,6,"
Οἱ μὲν οὖν συνελθόντες ἐπηρώτων {NA ἐπηρώτων > ἠρώτων } αὐτὸν λέγοντες, Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;"
1,7,"Εἶπεν δὲ πρὸς αὐτούς, Οὐχ ὑμῶν ἐστιν γνῶναι χρόνους ἢ καιροὺς οὓς ὁ πατὴρ ἔθετο ἐν τῇ ἰδίᾳ ἐξουσίᾳ."
1,8,"Ἀλλὰ λήψεσθε {NA λήψεσθε > λήμψεσθε } δύναμιν, ἐπελθόντος τοῦ ἁγίου πνεύματος ἐφ’ ὑμᾶς· καὶ ἔσεσθέ μοι {NA μοι > μου } μάρτυρες ἔν τε Ἱερουσαλήμ, καὶ ἐν {NA ἐν πάσῃ > [ἐν] πάσῃ } πάσῃ τῇ Ἰουδαίᾳ καὶ Σαμαρείᾳ, καὶ ἕως ἐσχάτου τῆς γῆς."
1,9,"Καὶ ταῦτα εἰπών, βλεπόντων αὐτῶν ἐπήρθη, καὶ νεφέλη ὑπέλαβεν αὐτὸν ἀπὸ τῶν ὀφθαλμῶν αὐτῶν."
1,10,"Καὶ ὡς ἀτενίζοντες ἦσαν εἰς τὸν οὐρανόν, πορευομένου αὐτοῦ, καὶ ἰδοὺ ἄνδρες δύο παρειστήκεισαν αὐτοῖς ἐν ἐσθῆτι {NA27/28 ἐσθῆτι λευκῇ > ἐσθήσεσιν λευκαῖς } λευκῇ,"
