chapter,verse,text
1,1,"Παῦλος ἀπόστολος Ἰησοῦ {NA Ἰησοῦ χριστοῦ > χριστοῦ Ἰησοῦ } χριστοῦ διὰ θελήματος θεοῦ, καὶ Τιμόθεος ὁ ἀδελφός,"
1,2,τοῖς ἐν Κολασσαῖς {NA Κολασσαῖς > Κολοσσαῖς } ἁγίοις καὶ πιστοῖς ἀδελφοῖς ἐν χριστῷ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ {NA καὶ κυρίου Ἰησοῦ χριστοῦ > - } κυρίου Ἰησοῦ χριστοῦ.
1,3,"
Εὐχαριστοῦμεν τῷ θεῷ καὶ {NA καὶ > - } πατρὶ τοῦ κυρίου ἡμῶν Ἰησοῦ χριστοῦ, πάντοτε περὶ ὑμῶν προσευχόμενοι,"
1,4,"ἀκούσαντες τὴν πίστιν ὑμῶν ἐν χριστῷ Ἰησοῦ, καὶ τὴν ἀγάπην τὴν {NA τὴν εἰς > ἣν ἔχετε εἰς } εἰς πάντας τοὺς ἁγίους,"
1,5,"διὰ τὴν ἐλπίδα τὴν ἀποκειμένην ὑμῖν ἐν τοῖς οὐρανοῖς, ἣν προηκούσατε ἐν τῷ λόγῳ τῆς ἀληθείας τοῦ εὐαγγελίου,"
1,6,"τοῦ παρόντος εἰς ὑμᾶς, καθὼς καὶ ἐν παντὶ τῷ κόσμῳ, καὶ {NA καὶ ἔστιν > ἐστὶν } ἔστιν καρποφορούμενον καὶ {Byz καὶ αὐξανόμενον > - } αὐξανόμενον, καθὼς καὶ ἐν ὑμῖν ἀφ’ ἧς ἡμέρας ἠκούσατε καὶ ἐπέγνωτε τὴν χάριν τοῦ θεοῦ ἐν ἀληθείᾳ·"
1,7,"καθὼς καὶ {NA καὶ > - } ἐμάθετε ἀπὸ Ἐπαφρᾶ τοῦ ἀγαπητοῦ συνδούλου ἡμῶν, ὅς ἐστιν πιστὸς ὑπὲρ ὑμῶν διάκονος τοῦ χριστοῦ,"
1,8,ὁ καὶ δηλώσας ἡμῖν τὴν ὑμῶν ἀγάπην ἐν πνεύματι.
1,9,"
Διὰ τοῦτο καὶ ἡμεῖς, ἀφ’ ἧς ἡμέρας ἠκούσαμεν, οὐ παυόμεθα ὑπὲρ ὑμῶν προσευχόμενοι, καὶ αἰτούμενοι ἵνα πληρωθῆτε τὴν ἐπίγνωσιν τοῦ θελήματος αὐτοῦ ἐν πάσῃ σοφίᾳ καὶ συνέσει πνευματικῇ,"
1,10,"περιπατῆσαι ὑμᾶς {NA ὑμᾶς > - } ἀξίως τοῦ κυρίου εἰς πᾶσαν ἀρέσκειαν, ἐν παντὶ ἔργῳ ἀγαθῷ καρποφοροῦντες καὶ αὐξανόμενοι εἰς {NA εἰς τὴν ἐπίγνωσιν > τῇ ἐπιγνώσει } τὴν ἐπίγνωσιν τοῦ θεοῦ·"
