chapter,verse,text
1,1,"Παῦλος, ἀπόστολος Ἰησοῦ {NA Ἰησοῦ χριστοῦ > χριστοῦ Ἰησοῦ } χριστοῦ διὰ θελήματος θεοῦ, τοῖς ἁγίοις τοῖς οὖσιν ἐν {NA ἐν Ἐφέσῳ > [ἐν Ἐφέσῳ] } Ἐφέσῳ καὶ πιστοῖς ἐν χριστῷ Ἰησοῦ·"
1,2,χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ χριστοῦ.
1,3,"
Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ χριστοῦ, ὁ εὐλογήσας ἡμᾶς ἐν πάσῃ εὐλογίᾳ πνευματικῇ ἐν τοῖς ἐπουρανίοις ἐν χριστῷ·"
1,4,"καθὼς ἐξελέξατο ἡμᾶς ἐν αὐτῷ πρὸ καταβολῆς κόσμου, εἶναι ἡμᾶς ἁγίους καὶ ἀμώμους κατενώπιον αὐτοῦ ἐν ἀγάπῃ,"
1,5,"προορίσας ἡμᾶς εἰς υἱοθεσίαν διὰ Ἰησοῦ χριστοῦ εἰς αὐτόν, κατὰ τὴν εὐδοκίαν τοῦ θελήματος αὐτοῦ,"
1,6,"εἰς ἔπαινον δόξης τῆς χάριτος αὐτοῦ, ἐν {NA ἐν ᾗ > ἧς } ᾗ ἐχαρίτωσεν ἡμᾶς ἐν τῷ ἠγαπημένῳ·"
1,7,"ἐν ᾧ ἔχομεν τὴν ἀπολύτρωσιν διὰ τοῦ αἵματος αὐτοῦ, τὴν ἄφεσιν τῶν παραπτωμάτων, κατὰ τὸν {NA τὸν πλοῦτον > τὸ πλοῦτος } πλοῦτον τῆς χάριτος αὐτοῦ,"
1,8,"ἧς ἐπερίσσευσεν εἰς ἡμᾶς ἐν πάσῃ σοφίᾳ καὶ φρονήσει,"
1,9,"γνωρίσας ἡμῖν τὸ μυστήριον τοῦ θελήματος αὐτοῦ, κατὰ τὴν εὐδοκίαν αὐτοῦ, ἣν προέθετο ἐν αὐτῷ"
1,10,"εἰς οἰκονομίαν τοῦ πληρώματος τῶν καιρῶν, ἀνακεφαλαιώσασθαι τὰ πάντα ἐν τῷ χριστῷ, τὰ ἐπὶ τοῖς οὐρανοῖς καὶ τὰ ἐπὶ τῆς γῆς·"
