chapter,verse,text
1,1,"Παῦλος ἀπόστολος οὐκ ἀπ’ ἀνθρώπων, οὐδὲ δι’ ἀνθρώπου, ἀλλὰ διὰ Ἰησοῦ χριστοῦ, καὶ θεοῦ πατρὸς τοῦ ἐγείραντος αὐτὸν ἐκ νεκρῶν,"
1,2,"καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί, ταῖς ἐκκλησίαις τῆς Γαλατίας·"
1,3,"χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρός, καὶ {NA καὶ κυρίου ἡμῶν > ἡμῶν καὶ κυρίου } κυρίου ἡμῶν Ἰησοῦ χριστοῦ,"
1,4,"τοῦ δόντος ἑαυτὸν περὶ {NA περὶ > ὑπὲρ } τῶν ἁμαρτιῶν ἡμῶν, ὅπως ἐξέληται ἡμᾶς ἐκ τοῦ ἐνεστῶτος {NA ἐνεστῶτος αἰῶνος > αἰῶνος τοῦ ἐνεστῶτος } αἰῶνος πονηροῦ, κατὰ τὸ θέλημα τοῦ θεοῦ καὶ πατρὸς ἡμῶν·"
1,5,ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
1,6,"
Θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι χριστοῦ {NA χριστοῦ > [χριστοῦ] } εἰς ἕτερον εὐαγγέλιον·"
1,7,"ὃ οὐκ ἔστιν ἄλλο, εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ χριστοῦ."
1,8,"Ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ εὐαγγελίζηται {Byz εὐαγγελίζηται > εὐαγγελίζεται } ὑμῖν {NA ὑμῖν παρ’ > [ὑμῖν] παρ’ } παρ’ ὃ εὐηγγελισάμεθα ὑμῖν, ἀνάθεμα ἔστω."
1,9,"Ὡς προειρήκαμεν, καὶ ἄρτι πάλιν λέγω, εἴ τις ὑμᾶς εὐαγγελίζεται παρ’ ὃ παρελάβετε, ἀνάθεμα ἔστω."
1,10,"Ἄρτι γὰρ ἀνθρώπους πείθω ἢ τὸν θεόν; Ἢ ζητῶ ἀνθρώποις ἀρέσκειν; Εἰ γὰρ {NA γὰρ ἔτι > ἔτι } ἔτι ἀνθρώποις ἤρεσκον, χριστοῦ δοῦλος οὐκ ἂν ἤμην."
1,11,"
Γνωρίζω δὲ {NA δὲ > γὰρ } ὑμῖν, ἀδελφοί, τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ’ ἐμοῦ, ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον."
1,12,"Οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό, οὔτε ἐδιδάχθην, ἀλλὰ δι’ ἀποκαλύψεως Ἰησοῦ χριστοῦ."
1,13,"Ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ, ὅτι καθ’ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ θεοῦ, καὶ ἐπόρθουν αὐτήν·"
1,14,"καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου, περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων."
1,15,"Ὅτε δὲ εὐδόκησεν ὁ {NA ὁ θεὸς > [ὁ θεὸς] } θεὸς ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ,"
