chapter,verse,text
1,1,"Ἐν ἀρχῇ ἦν ὁ λόγος, καὶ ὁ λόγος ἦν πρὸς τὸν θεόν, καὶ θεὸς ἦν ὁ λόγος."
1,2,Οὗτος ἦν ἐν ἀρχῇ πρὸς τὸν θεόν.
1,3,"Πάντα δι’ αὐτοῦ ἐγένετο, καὶ χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἓν ὃ γέγονεν."
1,4,"Ἐν αὐτῷ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων,"
1,5,"καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν."
1,6,"Ἐγένετο ἄνθρωπος ἀπεσταλμένος παρὰ θεοῦ, ὄνομα αὐτῷ Ἰωάννης."
1,7,"Οὗτος ἦλθεν εἰς μαρτυρίαν, ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσιν δι’ αὐτοῦ."
1,8,"Οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλ’ ἵνα μαρτυρήσῃ περὶ τοῦ φωτός."
1,9,"Ἦν τὸ φῶς τὸ ἀληθινόν, ὃ φωτίζει πάντα ἄνθρωπον ἐρχόμενον εἰς τὸν κόσμον."
1,10,"Ἐν τῷ κόσμῳ ἦν, καὶ ὁ κόσμος δι’ αὐτοῦ ἐγένετο, καὶ ὁ κόσμος αὐτὸν οὐκ ἔγνω."
1,11,"Εἰς τὰ ἴδια ἦλθεν, καὶ οἱ ἴδιοι αὐτὸν οὐ παρέλαβον."
1,12,"Ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ·"
1,13,"οἳ οὐκ ἐξ αἱμάτων, οὐδὲ ἐκ θελήματος σαρκός, οὐδὲ ἐκ θελήματος ἀνδρός, ἀλλ’ ἐκ θεοῦ ἐγεννήθησαν."
1,14,"Καὶ ὁ λόγος σὰρξ ἐγένετο, καὶ ἐσκήνωσεν ἐν ἡμῖν- καὶ ἐθεασάμεθα τὴν δόξαν αὐτοῦ, δόξαν ὡς μονογενοῦς παρὰ πατρός- πλήρης χάριτος καὶ ἀληθείας."
1,15,"Ἰωάννης μαρτυρεῖ περὶ αὐτοῦ, καὶ κέκραγεν λέγων, Οὗτος ἦν ὃν εἶπον, Ὁ ὀπίσω μου ἐρχόμενος ἔμπροσθέν μου γέγονεν· ὅτι πρῶτός μου ἦν."
1,16,"Καὶ {NA Καὶ ἐκ > Ὅτι ἐκ } ἐκ τοῦ πληρώματος αὐτοῦ ἡμεῖς πάντες ἐλάβομεν, καὶ χάριν ἀντὶ χάριτος."
1,17,"Ὅτι ὁ νόμος διὰ Μωσέως {NA Μωσέως > Μωϋσέως } ἐδόθη, ἡ χάρις καὶ ἡ ἀλήθεια διὰ Ἰησοῦ χριστοῦ ἐγένετο."
1,18,"Θεὸν οὐδεὶς ἑώρακεν πώποτε· ὁ {NA ὁ μονογενὴς υἱός > μονογενὴς θεός } μονογενὴς υἱός, ὁ ὢν εἰς τὸν κόλπον τοῦ πατρός, ἐκεῖνος ἐξηγήσατο."
1,19,"
Καὶ αὕτη ἐστὶν ἡ μαρτυρία τοῦ Ἰωάννου, ὅτε ἀπέστειλαν οἱ {NA οἱ > [πρὸς αὐτὸν] οἱ } Ἰουδαῖοι ἐξ Ἱεροσολύμων ἱερεῖς καὶ Λευΐτας ἵνα ἐρωτήσωσιν αὐτόν, Σὺ τίς εἶ;"
1,20,"Καὶ ὡμολόγησεν, καὶ οὐκ ἠρνήσατο· καὶ ὡμολόγησεν ὅτι Οὐκ {NA Οὐκ εἰμὶ ἐγὼ > Ἐγὼ οὐκ εἰμὶ } εἰμὶ ἐγὼ ὁ χριστός."
1,21,"Καὶ ἠρώτησαν αὐτόν, Τί οὖν; Ἠλίας {NA Ἠλίας εἶ σύ > Σὺ Ἠλίας εἶ } εἶ σύ; Καὶ λέγει, Οὐκ εἰμί. Ὁ προφήτης εἶ σύ; Καὶ ἀπεκρίθη, Οὔ."
1,22,"Εἶπον {NA Εἶπον > Εἶπαν } οὖν αὐτῷ, Τίς εἶ; Ἵνα ἀπόκρισιν δῶμεν τοῖς πέμψασιν ἡμᾶς. Τί λέγεις περὶ σεαυτοῦ;"
1,23,"Ἔφη, Ἐγὼ φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, Εὐθύνατε τὴν ὁδὸν κυρίου, καθὼς εἶπεν Ἠσαΐας ὁ προφήτης."
1,24,Καὶ οἱ {NA οἱ > - } ἀπεσταλμένοι ἦσαν ἐκ τῶν Φαρισαίων.
1,25,"Καὶ ἠρώτησαν αὐτόν, καὶ εἶπον {NA εἶπον > εἶπαν } αὐτῷ, Τί οὖν βαπτίζεις, εἰ σὺ οὐκ εἶ ὁ χριστός, οὔτε {NA οὔτε Ἠλίας οὔτε > οὐδὲ Ἠλίας οὐδὲ } Ἠλίας, οὔτε ὁ προφήτης;"
1,26,"Ἀπεκρίθη αὐτοῖς ὁ Ἰωάννης λέγων, Ἐγὼ βαπτίζω ἐν ὕδατι· μέσος δὲ {NA δὲ > - } ὑμῶν ἕστηκεν ὃν ὑμεῖς οὐκ οἴδατε."
1,27,"Αὐτός {NA Αὐτός ἐστιν > - } ἐστιν ὁ ὀπίσω μου ἐρχόμενος, ὃς {NA ὃς ἔμπροσθέν μου γέγονεν > - } ἔμπροσθέν μου γέγονεν· οὗ ἐγὼ {NA ἐγὼ οὐκ εἰμὶ > οὐκ εἰμὶ [ἐγὼ] } οὐκ εἰμὶ ἄξιος ἵνα λύσω αὐτοῦ τὸν ἱμάντα τοῦ ὑποδήματος."
1,28,"Ταῦτα ἐν Βηθανίᾳ ἐγένετο πέραν τοῦ Ἰορδάνου, ὅπου ἦν Ἰωάννης {NA Ἰωάννης > ὁ Ἰωάννης } βαπτίζων."
1,29,"
Τῇ ἐπαύριον βλέπει {Byz βλέπει > βλέπει ὁ Ἰωάννης } τὸν Ἰησοῦν ἐρχόμενον πρὸς αὐτόν, καὶ λέγει, Ἴδε ὁ ἀμνὸς τοῦ θεοῦ, ὁ αἴρων τὴν ἁμαρτίαν τοῦ κόσμου."
1,30,"Οὗτός ἐστιν περὶ {NA περὶ > ὑπὲρ } οὗ ἐγὼ εἶπον, Ὀπίσω μου ἔρχεται ἀνὴρ ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν."
1,31,"Κἀγὼ οὐκ ᾔδειν αὐτόν· ἀλλ’ ἵνα φανερωθῇ τῷ Ἰσραήλ, διὰ τοῦτο ἦλθον ἐγὼ ἐν τῷ {NA τῷ ὕδατι > ὕδατι } ὕδατι βαπτίζων."
1,32,"Καὶ ἐμαρτύρησεν Ἰωάννης λέγων ὅτι Τεθέαμαι τὸ πνεῦμα καταβαῖνον ὡσεὶ {Byz ὡσεὶ > ὡς } {NA ὡσεὶ > ὡς } περιστερὰν ἐξ οὐρανοῦ, καὶ ἔμεινεν ἐπ’ αὐτόν."
1,33,"Κἀγὼ οὐκ ᾔδειν αὐτόν· ἀλλ’ ὁ πέμψας με βαπτίζειν ἐν ὕδατι, ἐκεῖνός μοι εἶπεν, Ἐφ’ ὃν ἂν ἴδῃς τὸ πνεῦμα καταβαῖνον καὶ μένον ἐπ’ αὐτόν, οὗτός ἐστιν ὁ βαπτίζων ἐν πνεύματι ἁγίῳ."
1,34,"Κἀγὼ ἑώρακα, καὶ μεμαρτύρηκα ὅτι οὗτός ἐστιν ὁ υἱὸς τοῦ θεοῦ."
1,35,"
Τῇ ἐπαύριον πάλιν εἱστήκει ὁ Ἰωάννης, καὶ ἐκ τῶν μαθητῶν αὐτοῦ δύο·"
1,36,"καὶ ἐμβλέψας τῷ Ἰησοῦ περιπατοῦντι, λέγει, Ἴδε ὁ ἀμνὸς τοῦ θεοῦ."
1,37,"Καὶ ἤκουσαν αὐτοῦ {NA αὐτοῦ οἱ δύο μαθηταὶ > οἱ δύο μαθηταὶ αὐτοῦ } οἱ δύο μαθηταὶ λαλοῦντος, καὶ ἠκολούθησαν τῷ Ἰησοῦ."
1,38,"Στραφεὶς δὲ ὁ Ἰησοῦς καὶ θεασάμενος αὐτοὺς ἀκολουθοῦντας, λέγει αὐτοῖς, Τί ζητεῖτε; Οἱ δὲ εἶπον {NA εἶπον > εἶπαν } αὐτῷ, Ῥαββί- ὃ λέγεται ἑρμηνευόμενον, {NA ἑρμηνευόμενον > μεθερμηνευόμενον } Διδάσκαλε- ποῦ μένεις;"
1,39,"Λέγει αὐτοῖς, Ἔρχεσθε καὶ ἴδετε. {NA ἴδετε > ὄψεσθε } Ἦλθον {NA Ἦλθον καὶ εἶδον > Ἦλθαν οὖν καὶ εἶδαν } καὶ εἶδον ποῦ μένει· καὶ παρ’ αὐτῷ ἔμειναν τὴν ἡμέραν ἐκείνην· ὥρα ἦν ὡς δεκάτη."
1,40,Ἦν Ἀνδρέας ὁ ἀδελφὸς Σίμωνος Πέτρου εἷς ἐκ τῶν δύο τῶν ἀκουσάντων παρὰ Ἰωάννου καὶ ἀκολουθησάντων αὐτῷ.
1,41,"Εὑρίσκει οὗτος πρῶτος {NA πρῶτος > πρῶτον } τὸν ἀδελφὸν τὸν ἴδιον Σίμωνα, καὶ λέγει αὐτῷ, Εὑρήκαμεν τὸν Μεσίαν- {NA Μεσίαν > Μεσσίαν } ὅ ἐστιν μεθερμηνευόμενον, χριστός."
1,42,"Καὶ {NA Καὶ > - } ἤγαγεν αὐτὸν πρὸς τὸν Ἰησοῦν. Ἐμβλέψας {Byz Ἐμβλέψας > Ἐμβλέψας δὲ } αὐτῷ ὁ Ἰησοῦς εἶπεν, Σὺ εἶ Σίμων ὁ υἱὸς Ἰωνᾶ· {NA Ἰωνᾶ > Ἰωάννου } σὺ κληθήσῃ Κηφᾶς- ὃ ἑρμηνεύεται Πέτρος."
1,43,"
Τῇ ἐπαύριον ἠθέλησεν ἐξελθεῖν εἰς τὴν Γαλιλαίαν, καὶ εὑρίσκει Φίλιππον, καὶ λέγει αὐτῷ ὁ Ἰησοῦς, {Byz ὁ Ἰησοῦς > - } Ἀκολούθει μοι."
1,44,"Ἦν δὲ ὁ Φίλιππος ἀπὸ Βηθσαϊδά, ἐκ τῆς πόλεως Ἀνδρέου καὶ Πέτρου."
1,45,"Εὑρίσκει Φίλιππος τὸν Ναθαναήλ, καὶ λέγει αὐτῷ, Ὃν ἔγραψεν Μωσῆς {NA Μωσῆς > Μωϋσῆς } ἐν τῷ νόμῳ καὶ οἱ προφῆται εὑρήκαμεν, Ἰησοῦν τὸν {NA τὸν υἱὸν > υἱὸν } υἱὸν τοῦ Ἰωσὴφ τὸν ἀπὸ Ναζαρέτ."
1,46,"Καὶ εἶπεν αὐτῷ Ναθαναήλ, Ἐκ Ναζαρὲτ δύναταί τι ἀγαθὸν εἶναι; Λέγει αὐτῷ Φίλιππος, {NA Φίλιππος > [ὁ] Φίλιππος } Ἔρχου καὶ ἴδε."
1,47,"Εἶδεν ὁ Ἰησοῦς τὸν Ναθαναὴλ ἐρχόμενον πρὸς αὐτόν, καὶ λέγει περὶ αὐτοῦ, Ἴδε ἀληθῶς Ἰσραηλίτης, ἐν ᾧ δόλος οὐκ ἔστιν."
1,48,"Λέγει αὐτῷ Ναθαναήλ, Πόθεν με γινώσκεις; Ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ, Πρὸ τοῦ σε Φίλιππον φωνῆσαι, ὄντα ὑπὸ τὴν συκῆν, εἶδόν σε."
1,49,"Ἀπεκρίθη Ναθαναὴλ {NA Ναθαναὴλ καὶ λέγει αὐτῷ > αὐτῷ Ναθαναήλ } καὶ λέγει αὐτῷ, Ῥαββί, σὺ εἶ ὁ υἱὸς τοῦ θεοῦ, σὺ εἶ {NA εἶ ὁ βασιλεὺς > βασιλεὺς εἶ } ὁ βασιλεὺς τοῦ Ἰσραήλ."
1,50,"Ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ, Ὅτι εἶπόν σοι, Εἶδόν {NA Εἶδόν > ὅτι εἶδόν } σε ὑποκάτω τῆς συκῆς, πιστεύεις; Μείζω τούτων ὄψει. {NA ὄψει > ὄψῃ }"
1,51,"Καὶ λέγει αὐτῷ, Ἀμὴν ἀμὴν λέγω ὑμῖν, ἀπ’ {NA ἀπ’ ἄρτι > - } ἄρτι ὄψεσθε τὸν οὐρανὸν ἀνεῳγότα, καὶ τοὺς ἀγγέλους τοῦ θεοῦ ἀναβαίνοντας καὶ καταβαίνοντας ἐπὶ τὸν υἱὸν τοῦ ἀνθρώπου."
2,1,"Καὶ τῇ ἡμέρᾳ τῇ τρίτῃ γάμος ἐγένετο ἐν Κανᾷ τῆς Γαλιλαίας, καὶ ἦν ἡ μήτηρ τοῦ Ἰησοῦ ἐκεῖ·"
2,2,ἐκλήθη δὲ καὶ ὁ Ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὸν γάμον.
2,3,"Καὶ ὑστερήσαντος οἴνου, λέγει ἡ μήτηρ τοῦ Ἰησοῦ πρὸς αὐτόν, Οἶνον οὐκ ἔχουσιν."
2,4,"Λέγει {NA Λέγει > [Καὶ] λέγει } αὐτῇ ὁ Ἰησοῦς, Τί ἐμοὶ καὶ σοί, γύναι; Οὔπω ἥκει ἡ ὥρα μου."
