chapter,verse,text
1,1,"Ἐπειδήπερ πολλοὶ ἐπεχείρησαν ἀνατάξασθαι διήγησιν περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων,"
1,2,"καθὼς παρέδοσαν ἡμῖν οἱ ἀπ’ ἀρχῆς αὐτόπται καὶ ὑπηρέται γενόμενοι τοῦ λόγου,"
1,3,"ἔδοξεν κἀμοί, παρηκολουθηκότι ἄνωθεν πᾶσιν ἀκριβῶς, καθεξῆς σοι γράψαι, κράτιστε Θεόφιλε,"
1,4,ἵνα ἐπιγνῷς περὶ ὧν κατηχήθης λόγων τὴν ἀσφάλειαν.
1,5,"
Ἐγένετο ἐν ταῖς ἡμέραις Ἡρῴδου τοῦ {NA τοῦ > - } βασιλέως τῆς Ἰουδαίας ἱερεύς τις ὀνόματι Ζαχαρίας, ἐξ ἐφημερίας Ἀβιά· καὶ ἡ {NA ἡ γυνὴ αὐτοῦ > γυνὴ αὐτῷ } γυνὴ αὐτοῦ ἐκ τῶν θυγατέρων Ἀαρών, καὶ τὸ ὄνομα αὐτῆς Ἐλισάβετ."
1,6,"Ἦσαν δὲ δίκαιοι ἀμφότεροι ἐνώπιον {NA ἐνώπιον > ἐναντίον } τοῦ θεοῦ, πορευόμενοι ἐν πάσαις ταῖς ἐντολαῖς καὶ δικαιώμασιν τοῦ κυρίου ἄμεμπτοι."
1,7,"Καὶ οὐκ ἦν αὐτοῖς τέκνον, καθότι ἡ {NA ἡ Ἐλισάβετ ἦν > ἦν ἡ Ἐλισάβετ } Ἐλισάβετ ἦν στεῖρα, καὶ ἀμφότεροι προβεβηκότες ἐν ταῖς ἡμέραις αὐτῶν ἦσαν."
1,8,"
Ἐγένετο δὲ ἐν τῷ ἱερατεύειν αὐτὸν ἐν τῇ τάξει τῆς ἐφημερίας αὐτοῦ ἔναντι τοῦ θεοῦ,"
1,9,"κατὰ τὸ ἔθος τῆς ἱερατείας, ἔλαχεν τοῦ θυμιᾶσαι εἰσελθὼν εἰς τὸν ναὸν τοῦ κυρίου."
1,10,Καὶ πᾶν τὸ πλῆθος ἦν τοῦ λαοῦ προσευχόμενον ἔξω τῇ ὥρᾳ τοῦ θυμιάματος.
1,11,"Ὤφθη δὲ αὐτῷ ἄγγελος κυρίου, ἑστὼς ἐκ δεξιῶν τοῦ θυσιαστηρίου τοῦ θυμιάματος."
1,12,"Καὶ ἐταράχθη Ζαχαρίας ἰδών, καὶ φόβος ἐπέπεσεν ἐπ’ αὐτόν."
1,13,"Εἶπεν δὲ πρὸς αὐτὸν ὁ ἄγγελος, Μὴ φοβοῦ, Ζαχαρία· διότι εἰσηκούσθη ἡ δέησίς σου, καὶ ἡ γυνή σου Ἐλισάβετ γεννήσει υἱόν σοι, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην."
1,14,"Καὶ ἔσται χαρά σοι καὶ ἀγαλλίασις, καὶ πολλοὶ ἐπὶ τῇ γεννήσει {NA γεννήσει > γενέσει } αὐτοῦ χαρήσονται."
1,15,"Ἔσται γὰρ μέγας ἐνώπιον τοῦ {Byz τοῦ > - } {NA τοῦ > [τοῦ] } κυρίου, καὶ οἶνον καὶ σίκερα οὐ μὴ πίῃ, καὶ πνεύματος ἁγίου πλησθήσεται ἔτι ἐκ κοιλίας μητρὸς αὐτοῦ."
1,16,Καὶ πολλοὺς τῶν υἱῶν Ἰσραὴλ ἐπιστρέψει ἐπὶ κύριον τὸν θεὸν αὐτῶν·
1,17,"καὶ αὐτὸς προελεύσεται ἐνώπιον αὐτοῦ ἐν πνεύματι καὶ δυνάμει Ἠλίου, ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα, καὶ ἀπειθεῖς ἐν φρονήσει δικαίων, ἑτοιμάσαι κυρίῳ λαὸν κατεσκευασμένον."
1,18,"Καὶ εἶπεν Ζαχαρίας πρὸς τὸν ἄγγελον, Κατὰ τί γνώσομαι τοῦτο; Ἐγὼ γάρ εἰμι πρεσβύτης, καὶ ἡ γυνή μου προβεβηκυῖα ἐν ταῖς ἡμέραις αὐτῆς."
1,19,"Καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῷ, Ἐγώ εἰμι Γαβριὴλ ὁ παρεστηκὼς ἐνώπιον τοῦ θεοῦ· καὶ ἀπεστάλην λαλῆσαι πρός σε, καὶ εὐαγγελίσασθαί σοι ταῦτα."
1,20,"Καὶ ἰδού, ἔσῃ σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι, ἄχρι ἧς ἡμέρας γένηται ταῦτα, ἀνθ’ ὧν οὐκ ἐπίστευσας τοῖς λόγοις μου, οἵτινες πληρωθήσονται εἰς τὸν καιρὸν αὐτῶν."
1,21,Καὶ ἦν ὁ λαὸς προσδοκῶν τὸν Ζαχαρίαν· καὶ ἐθαύμαζον ἐν τῷ χρονίζειν αὐτὸν {NA αὐτὸν ἐν τῷ ναῷ > ἐν τῷ ναῷ αὐτόν } ἐν τῷ ναῷ.
1,22,"Ἐξελθὼν δὲ οὐκ ἠδύνατο {NA ἠδύνατο > ἐδύνατο } λαλῆσαι αὐτοῖς· καὶ ἐπέγνωσαν ὅτι ὀπτασίαν ἑώρακεν ἐν τῷ ναῷ· καὶ αὐτὸς ἦν διανεύων αὐτοῖς, καὶ διέμενεν κωφός."
1,23,"Καὶ ἐγένετο, ὡς ἐπλήσθησαν αἱ ἡμέραι τῆς λειτουργίας αὐτοῦ, ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ."
1,24,"
Μετὰ δὲ ταύτας τὰς ἡμέρας συνέλαβεν Ἐλισάβετ ἡ γυνὴ αὐτοῦ, καὶ περιέκρυβεν ἑαυτὴν μῆνας πέντε, λέγουσα"
1,25,ὅτι Οὕτως μοι πεποίηκεν ὁ {NA ὁ > - } κύριος ἐν ἡμέραις αἷς ἐπεῖδεν ἀφελεῖν τὸ {NA τὸ > - } ὄνειδός μου ἐν ἀνθρώποις.
1,26,"
Ἐν δὲ τῷ μηνὶ τῷ ἕκτῳ ἀπεστάλη ὁ ἄγγελος Γαβριὴλ ὑπὸ {NA ὑπὸ > ἀπὸ } τοῦ θεοῦ εἰς πόλιν τῆς Γαλιλαίας, ᾗ ὄνομα Ναζαρέτ, {NA Ναζαρέτ > Ναζαρέθ }"
1,27,"πρὸς παρθένον μεμνηστευμένην {NA μεμνηστευμένην > ἐμνηστευμένην } ἀνδρί, ᾧ ὄνομα Ἰωσήφ, ἐξ οἴκου Δαυίδ· καὶ τὸ ὄνομα τῆς παρθένου Μαριάμ."
1,28,"Καὶ εἰσελθὼν ὁ {NA ὁ ἄγγελος > - } ἄγγελος πρὸς αὐτὴν εἶπεν, Χαῖρε, κεχαριτωμένη· ὁ κύριος μετὰ σοῦ, εὐλογημένη {NA εὐλογημένη σὺ ἐν γυναιξίν > - } σὺ ἐν γυναιξίν."
1,29,"Ἡ δὲ ἰδοῦσα {NA ἰδοῦσα > - } διεταράχθη {NA διεταράχθη ἐπὶ τῷ λόγῳ αὐτοῦ > ἐπὶ τῷ λόγῳ διεταράχθη } ἐπὶ τῷ λόγῳ αὐτοῦ, καὶ διελογίζετο ποταπὸς εἴη ὁ ἀσπασμὸς οὗτος."
1,30,"Καὶ εἶπεν ὁ ἄγγελος αὐτῇ, Μὴ φοβοῦ, Μαριάμ· εὗρες γὰρ χάριν παρὰ τῷ θεῷ."
1,31,"Καὶ ἰδού, συλλήψῃ {NA συλλήψῃ > συλλήμψῃ } ἐν γαστρί, καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν."
1,32,"Οὗτος ἔσται μέγας, καὶ υἱὸς ὑψίστου κληθήσεται· καὶ δώσει αὐτῷ κύριος ὁ θεὸς τὸν θρόνον Δαυὶδ τοῦ πατρὸς αὐτοῦ,"
1,33,"καὶ βασιλεύσει ἐπὶ τὸν οἶκον Ἰακὼβ εἰς τοὺς αἰῶνας, καὶ τῆς βασιλείας αὐτοῦ οὐκ ἔσται τέλος."
1,34,"Εἶπεν δὲ Μαριὰμ πρὸς τὸν ἄγγελον, Πῶς ἔσται τοῦτο, ἐπεὶ ἄνδρα οὐ γινώσκω;"
1,35,"Καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῇ, Πνεῦμα ἅγιον ἐπελεύσεται ἐπὶ σέ, καὶ δύναμις ὑψίστου ἐπισκιάσει σοι· διὸ καὶ τὸ γεννώμενον ἅγιον κληθήσεται υἱὸς θεοῦ."
1,36,"Καὶ ἰδού, Ἐλισάβετ ἡ συγγενής {NA συγγενής > συγγενίς } σου, καὶ αὐτὴ συνειληφυῖα {NA συνειληφυῖα > συνείληφεν } υἱὸν ἐν γήρει αὐτῆς· καὶ οὗτος μὴν ἕκτος ἐστὶν αὐτῇ τῇ καλουμένῃ στείρᾳ."
1,37,Ὅτι οὐκ ἀδυνατήσει παρὰ τῷ {NA τῷ θεῷ > τοῦ θεοῦ } θεῷ πᾶν ῥῆμα.
1,38,"Εἶπεν δὲ Μαριάμ, Ἰδού, ἡ δούλη κυρίου· γένοιτό μοι κατὰ τὸ ῥῆμά σου. Καὶ ἀπῆλθεν ἀπ’ αὐτῆς ὁ ἄγγελος."
1,39,"
Ἀναστᾶσα δὲ Μαριὰμ ἐν ταῖς ἡμέραις ταύταις ἐπορεύθη εἰς τὴν ὀρεινὴν μετὰ σπουδῆς, εἰς πόλιν Ἰούδα,"
1,40,"καὶ εἰσῆλθεν εἰς τὸν οἶκον Ζαχαρίου, καὶ ἠσπάσατο τὴν Ἐλισάβετ."
