chapter,verse,text
1,1,"Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ χριστοῦ, υἱοῦ {NA υἱοῦ τοῦ θεοῦ > [υἱοῦ θεοῦ] } τοῦ θεοῦ."
1,2,"
Ὡς {NA Ὡς > Καθὼς } γέγραπται ἐν τοῖς {NA τοῖς προφήταις > τῷ Ἠσαΐᾳ τῷ προφήτῃ } προφήταις, Ἰδού, ἐγὼ {NA ἐγὼ > - } ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν {NA ἔμπροσθέν σου > - } σου."
1,3,"Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, Ἑτοιμάσατε τὴν ὁδὸν κυρίου· εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
1,4,"Ἐγένετο Ἰωάννης βαπτίζων {NA βαπτίζων > [ὁ] βαπτίζων } ἐν τῇ ἐρήμῳ, καὶ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν."
1,5,"Καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα, καὶ οἱ Ἱεροσολυμῖται, καὶ {NA καὶ ἐβαπτίζοντο πάντες > πάντες καὶ ἐβαπτίζοντο } ἐβαπτίζοντο πάντες ἐν {NA ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπ’ αὐτοῦ > ὑπ’ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ } τῷ Ἰορδάνῃ ποταμῷ ὑπ’ αὐτοῦ, ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν."
1,6,"Ἦν {NA Ἦν δὲ > Καὶ ἦν } δὲ ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου, καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἐσθίων ἀκρίδας καὶ μέλι ἄγριον."
1,7,"Καὶ ἐκήρυσσεν, λέγων, Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ."
1,8,Ἐγὼ μὲν {NA μὲν > - } ἐβάπτισα ὑμᾶς {NA ὑμᾶς ἐν ὕδατι > ὑμᾶς ὕδατι } ἐν ὕδατι· αὐτὸς δὲ βαπτίσει ὑμᾶς ἐν πνεύματι ἁγίῳ.
1,9,"
Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις, ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας, καὶ ἐβαπτίσθη ὑπὸ {NA ὑπὸ Ἰωάννου εἰς τὸν Ἰορδάνην > εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου } Ἰωάννου εἰς τὸν Ἰορδάνην."
1,10,"Καὶ εὐθέως {NA εὐθέως > εὐθὺς } ἀναβαίνων ἀπὸ {NA ἀπὸ > ἐκ } τοῦ ὕδατος, εἶδεν σχιζομένους τοὺς οὐρανούς, καὶ τὸ πνεῦμα ὡσεὶ {Byz ὡσεὶ > ὡς } {NA ὡσεὶ > ὡς } περιστερὰν καταβαῖνον ἐπ’ {NA ἐπ’ > εἰς } αὐτόν·"
1,11,"καὶ φωνὴ ἐγένετο ἐκ τῶν οὐρανῶν, Σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ {NA ᾧ > σοὶ } εὐδόκησα."
1,12,"
Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον."
1,13,"Καὶ ἦν ἐκεῖ {NA ἐκεῖ > - } ἐν τῇ ἐρήμῳ ἡμέρας {NA ἡμέρας τεσσαράκοντα > τεσσεράκοντα ἡμέρας } τεσσαράκοντα πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ."
1,14,"
Μετὰ δὲ τὸ παραδοθῆναι τὸν Ἰωάννην, ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν, κηρύσσων τὸ εὐαγγέλιον τῆς {NA τῆς βασιλείας > - } βασιλείας τοῦ θεοῦ,"
1,15,"καὶ λέγων ὅτι Πεπλήρωται ὁ καιρός, καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε, καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ."
1,16,"
Περιπατῶν {NA Περιπατῶν δὲ > Καὶ παράγων } δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ {NA αὐτοῦ τοῦ > - } τοῦ Σίμωνος βάλλοντας {NA βάλλοντας ἀμφίβληστρον > ἀμφιβάλλοντας } ἀμφίβληστρον ἐν τῇ θαλάσσῃ· ἦσαν γὰρ ἁλιεῖς."
1,17,"Καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς, Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων."
1,18,"Καὶ εὐθέως {NA εὐθέως > εὐθὺς } ἀφέντες τὰ δίκτυα αὐτῶν, {NA αὐτῶν > - } ἠκολούθησαν αὐτῷ."
1,19,"Καὶ προβὰς ἐκεῖθεν {NA ἐκεῖθεν > - } ὀλίγον, εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου, καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα."
1,20,Καὶ εὐθέως {NA εὐθέως > εὐθὺς } ἐκάλεσεν αὐτούς· καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.
1,21,"
Καὶ εἰσπορεύονται εἰς Καπερναούμ· {NA Καπερναούμ καὶ εὐθέως > Καφαρναούμ καὶ εὐθὺς } καὶ εὐθέως τοῖς σάββασιν εἰσελθὼν εἰς τὴν συναγωγήν, ἐδίδασκεν."
