chapter,verse,text
7,53,Καὶ ἀπῆλθεν ἕκαστος εἰς τὸν οἶκον αὐτοῦ·
8,1,καὶ ὁ Ἰησοῦς ἐπορεύθη εἰς τὸ ὄρος τῶν Ἐλαιῶν.
8,2,"Ὄρθρου δὲ πάλιν {Byz βαθέος > βαθέως } ἦλθεν ὁ Ἰησοῦς εἰς τὸ ἱερόν, καὶ πᾶς ὁ λαὸς ἤρχετο πρὸς αὐτόν, καὶ καθίσας ἐδίδασκεν αὐτούς."
8,3,"Ἄγουσιν δὲ οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι {Byz πρὸς αὐτὸν > - } γυναῖκα ἐπὶ μοιχείᾳ κατειλημμένην, καὶ στήσαντες αὐτὴν ἐν τῷ μέσῳ,"
8,4,"εἶπον αὐτῷ, Διδάσκαλε, ταύτην εὕρομεν ἐπ’ {Byz αὐτοφώρῳ > αὐτοφόρῳ } μοιχευομένην."
8,5,Ἐν δὲ τῷ νόμῳ ἡμῶν {Byz Μωϋσῆς > Μωσῆς } ἐνετείλατο τὰς τοιαύτας λιθάζειν· σὺ οὖν τί λέγεις {Byz περὶ αὐτῆς; > - }
8,6,"Τοῦτο δὲ ἔλεγον πειράζοντες αὐτόν, ἵνα ἔχωσιν κατηγορίαν κατ’ αὐτοῦ. Ὁ δὲ Ἰησοῦς κάτω κύψας, τῷ δακτύλῳ ἔγραφεν εἰς τὴν γῆν."
8,7,"Ὡς δὲ ἐπέμενον ἐπερωτῶντες αὐτόν, ἀναβλέψας εἶπεν αὐτοῖς, Ὁ ἀναμάρτητος ὑμῶν, πρῶτος λίθον βαλέτω ἐπ’ αὐτήν."
8,8,Καὶ πάλιν κάτω κύψας ἔγραφεν εἰς τὴν γῆν.
8,9,"Οἱ δέ, ἀκούσαντες, {Byz ἐξήρχοντο > καὶ ὑπὸ τῆς συνειδήσεως ἐλεγχόμενοι ἐξήρχοντο } εἷς καθ’ εἷς, ἀρξάμενοι ἀπὸ τῶν πρεσβυτέρων ἕως τῶν ἐσχάτων· καὶ κατελείφθη {Byz μόνος ὁ Ἰησοῦς, > ὁ Ἰησοῦς μόνος } καὶ ἡ γυνὴ ἐν μέσῳ οὖσα."
8,10,"Ἀνακύψας δὲ ὁ Ἰησοῦς, εἶδεν αὐτὴν καὶ εἶπεν, Γύναι, ποῦ {Byz εἰσιν; > εἰσιν οἱ κατήγοροί σου } Οὐδείς σε κατέκρινεν;"
8,11,"Ἡ δὲ εἶπεν, Οὐδείς, κύριε. Εἶπεν δὲ αὐτῇ ὁ Ἰησοῦς, Οὐδὲ ἐγώ σε κατακρίνω· πορεύου {Byz καὶ ἀπὸ τοῦ νῦν > ἀπὸ τοῦ νῦν καὶ } μηκέτι ἁμάρτανε."
