chapter,verse,text
1,1,"Ἀποκάλυψις Ἰησοῦ χριστοῦ, ἣν ἔδωκεν αὐτῷ ὁ θεὸς δεῖξαι τοῖς δούλοις αὐτοῦ, ἃ δεῖ γενέσθαι ἐν τάχει, καὶ ἐσήμανεν ἀποστείλας διὰ τοῦ ἀγγέλου αὐτοῦ τῷ δούλῳ αὐτοῦ Ἰωάννῃ,"
1,2,"ὃς ἐμαρτύρησεν τὸν λόγον τοῦ θεοῦ καὶ τὴν μαρτυρίαν Ἰησοῦ χριστοῦ, ὅσα εἶδεν. {Byz εἶδεν > εἶδεν καὶ ἅτινά εἰσιν καὶ ἅτινα χρὴ γενέσθαι μετὰ ταῦτα }"
1,3,"Μακάριος ὁ ἀναγινώσκων, καὶ οἱ ἀκούοντες τοὺς λόγους τῆς προφητείας καὶ τηροῦντες τὰ ἐν αὐτῇ γεγραμμένα· ὁ γὰρ καιρὸς ἐγγύς."
1,4,"
Ἰωάννης ταῖς ἑπτὰ ἐκκλησίαις ταῖς ἐν τῇ Ἀσίᾳ· χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ {Byz θεοῦ > - } {NA θεοῦ > - } ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος· καὶ ἀπὸ τῶν ἑπτὰ πνευμάτων ἃ {Byz ἃ > ἅ ἐστιν } ἐνώπιον τοῦ θρόνου αὐτοῦ·"
1,5,"καὶ ἀπὸ Ἰησοῦ χριστοῦ, ὁ μάρτυς ὁ πιστός, ὁ πρωτότοκος τῶν νεκρῶν, καὶ ὁ ἄρχων τῶν βασιλέων τῆς γῆς. Τῷ ἀγαπῶντι {Byz ἀγαπῶντι > ἀγαπήσαντι } ἡμᾶς, καὶ λούσαντι {NA λούσαντι ἡμᾶς ἀπὸ > λύσαντι ἡμᾶς ἐκ } ἡμᾶς ἀπὸ τῶν ἁμαρτιῶν ἡμῶν ἐν τῷ αἵματι αὐτοῦ·"
1,6,"καὶ ἐποίησεν ἡμᾶς βασιλείαν, ἱερεῖς τῷ θεῷ καὶ πατρὶ αὐτοῦ· αὐτῷ ἡ δόξα καὶ τὸ κράτος εἰς τοὺς αἰῶνας τῶν {NA τῶν αἰώνων > [τῶν αἰώνων] } αἰώνων. Ἀμήν."
1,7,"Ἰδού, ἔρχεται μετὰ τῶν νεφελῶν, καὶ ὄψεται αὐτὸν πᾶς ὀφθαλμός, καὶ οἵτινες αὐτὸν ἐξεκέντησαν· καὶ κόψονται ἐπ’ αὐτὸν πᾶσαι αἱ φυλαὶ τῆς γῆς. Ναί, ἀμήν."
1,8,"
Ἐγώ εἰμι τὸ Ἄλφα καὶ τὸ Ὦ, λέγει κύριος ὁ θεός, ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος, ὁ παντοκράτωρ."
1,9,"
Ἐγὼ Ἰωάννης, ὁ ἀδελφὸς ὑμῶν καὶ κοινωνὸς {Byz κοινωνὸς > συγκοινωνὸς } {NA κοινωνὸς > συγκοινωνὸς } ἐν τῇ θλίψει καὶ βασιλείᾳ καὶ ὑπομονῇ ἐν χριστῷ {NA χριστῷ > - } Ἰησοῦ, ἐγενόμην ἐν τῇ νήσῳ τῇ καλουμένῃ Πάτμῳ, διὰ τὸν λόγον τοῦ θεοῦ καὶ διὰ {NA διὰ τὴν > τὴν } τὴν μαρτυρίαν Ἰησοῦ χριστοῦ. {NA χριστοῦ > - }"
1,10,"Ἐγενόμην ἐν πνεύματι ἐν τῇ κυριακῇ ἡμέρᾳ· καὶ ἤκουσα φωνὴν {NA φωνὴν ὀπίσω μου > ὀπίσω μου φωνὴν } ὀπίσω μου μεγάλην ὡς σάλπιγγος,"
1,11,"λεγούσης, Ὃ βλέπεις γράψον εἰς βιβλίον, καὶ πέμψον ταῖς ἑπτὰ ἐκκλησίαις, εἰς Ἔφεσον, καὶ εἰς Σμύρναν, καὶ εἰς Πέργαμον, καὶ εἰς Θυάτειρα, καὶ εἰς Σάρδεις, καὶ εἰς Φιλαδέλφειαν, καὶ εἰς Λαοδίκειαν."
1,12,"Καὶ ἐκεῖ {Byz ἐκεῖ > - } {NA ἐκεῖ > - } ἐπέστρεψα βλέπειν τὴν φωνὴν ἥτις ἐλάλει μετ’ ἐμοῦ. Καὶ ἐπιστρέψας εἶδον ἑπτὰ λυχνίας χρυσᾶς,"
1,13,"καὶ ἐν μέσῳ τῶν ἑπτὰ {NA ἑπτὰ > - } λυχνιῶν ὅμοιον υἱῷ {Byz υἱῷ > υἱὸν } {NA υἱῷ > υἱὸν } ἀνθρώπου, ἐνδεδυμένον ποδήρη, καὶ περιεζωσμένον πρὸς τοῖς μαστοῖς ζώνην χρυσῆν. {NA χρυσῆν > χρυσᾶν }"
1,14,"Ἡ δὲ κεφαλὴ αὐτοῦ καὶ αἱ τρίχες λευκαὶ ὡς {Byz ὡς ἔριον > ὡσεὶ ἔριον } ἔριον λευκόν, ὡς χιών· καὶ οἱ ὀφθαλμοὶ αὐτοῦ ὡς φλὸξ πυρός·"
1,15,"καὶ οἱ πόδες αὐτοῦ ὅμοιοι χαλκολιβάνῳ, ὡς ἐν καμίνῳ πεπυρωμένοι· {NA πεπυρωμένοι > πεπυρωμένης } καὶ ἡ φωνὴ αὐτοῦ ὡς φωνὴ ὑδάτων πολλῶν."
1,16,"Καὶ ἔχων ἐν τῇ δεξιᾷ αὐτοῦ {Byz αὐτοῦ χειρὶ > χειρὶ αὐτοῦ } {NA αὐτοῦ χειρὶ > χειρὶ αὐτοῦ } χειρὶ ἀστέρας ἑπτά· καὶ ἐκ τοῦ στόματος αὐτοῦ ῥομφαία δίστομος ὀξεῖα ἐκπορευομένη· καὶ ἡ ὄψις αὐτοῦ, ὡς ὁ ἥλιος φαίνει ἐν τῇ δυνάμει αὐτοῦ."
1,17,"Καὶ ὅτε εἶδον αὐτόν, ἔπεσα πρὸς τοὺς πόδας αὐτοῦ ὡς νεκρός· καὶ ἔθηκεν {Byz ἔθηκεν > ἐπέθηκεν } τὴν δεξιὰν {Byz δεξιὰν αὐτοῦ > δεξιὰν αὐτοῦ χεῖρα } αὐτοῦ ἐπ’ ἐμέ, λέγων, Μὴ φοβοῦ· ἐγώ εἰμι ὁ πρῶτος καὶ ὁ ἔσχατος,"
1,18,"καὶ ὁ ζῶν, καὶ ἐγενόμην νεκρός, καὶ ἰδού, ζῶν εἰμὶ εἰς τοὺς αἰῶνας τῶν αἰώνων, ἀμήν· {NA ἀμήν > - } καὶ ἔχω τὰς κλεῖς {Byz κλεῖς > κλεῖδας } τοῦ θανάτου καὶ τοῦ ᾍδου."
1,19,"Γράψον οὖν ἃ εἶδες, καὶ ἅ εἰσιν, καὶ ἃ μέλλει γίνεσθαι {NA γίνεσθαι > γενέσθαι } μετὰ ταῦτα·"
1,20,"τὸ μυστήριον τῶν ἑπτὰ ἀστέρων ὧν {NA ὧν > οὓς } εἶδες ἐπὶ τῆς δεξιᾶς μου, καὶ τὰς ἑπτὰ λυχνίας τὰς χρυσᾶς. Οἱ ἑπτὰ ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσίν· καὶ αἱ λυχνίαι {Byz λυχνίαι αἱ ἑπτὰ > ἑπτὰ λυχνίαι ἃς εἶδες } αἱ ἑπτὰ ἑπτὰ ἐκκλησίαι εἰσίν."
2,1,"Τῷ ἀγγέλῳ τῆς ἐν Ἐφέσῳ ἐκκλησίας γράψον, 
Τάδε λέγει ὁ κρατῶν τοὺς ἑπτὰ ἀστέρας ἐν τῇ δεξιᾷ αὐτοῦ, ὁ περιπατῶν ἐν μέσῳ τῶν ἑπτὰ λυχνιῶν τῶν χρυσῶν·"
2,2,"Οἶδα τὰ ἔργα σου, καὶ τὸν κόπον {NA κόπον σου > κόπον } σου, καὶ τὴν ὑπομονήν σου, καὶ ὅτι οὐ δύνῃ βαστάσαι κακούς, καὶ ἐπείρασας τοὺς λέγοντας ἑαυτοὺς ἀποστόλους εἶναι {NA εἶναι > - } καὶ οὐκ εἰσίν, καὶ εὗρες αὐτοὺς ψευδεῖς,"
