chapter,verse,text
1,1,"Παῦλος, δοῦλος θεοῦ, ἀπόστολος δὲ Ἰησοῦ χριστοῦ, κατὰ πίστιν ἐκλεκτῶν θεοῦ καὶ ἐπίγνωσιν ἀληθείας τῆς κατ’ εὐσέβειαν,"
1,2,"ἐπ’ ἐλπίδι ζωῆς αἰωνίου, ἣν ἐπηγγείλατο ὁ ἀψευδὴς θεὸς πρὸ χρόνων αἰωνίων,"
1,3,"ἐφανέρωσεν δὲ καιροῖς ἰδίοις τὸν λόγον αὐτοῦ ἐν κηρύγματι ὃ ἐπιστεύθην ἐγὼ κατ’ ἐπιταγὴν τοῦ σωτῆρος ἡμῶν θεοῦ,"
1,4,"Τίτῳ γνησίῳ τέκνῳ κατὰ κοινὴν πίστιν· χάρις, ἔλεος, {NA ἔλεος εἰρήνη > καὶ εἰρήνη } εἰρήνη ἀπὸ θεοῦ πατρός, καὶ κυρίου {NA κυρίου Ἰησοῦ χριστοῦ > χριστοῦ Ἰησοῦ } Ἰησοῦ χριστοῦ τοῦ σωτῆρος ἡμῶν."
1,5,"
Τούτου χάριν κατέλιπόν {NA κατέλιπόν > ἀπέλιπόν } σε ἐν Κρήτῃ, ἵνα τὰ λείποντα ἐπιδιορθώσῃ, καὶ καταστήσῃς κατὰ πόλιν πρεσβυτέρους, ὡς ἐγώ σοι διεταξάμην·"
1,6,"εἴ τίς ἐστιν ἀνέγκλητος, μιᾶς γυναικὸς ἀνήρ, τέκνα ἔχων πιστά, μὴ ἐν κατηγορίᾳ ἀσωτίας ἢ ἀνυπότακτα."
1,7,"Δεῖ γὰρ τὸν ἐπίσκοπον ἀνέγκλητον εἶναι, ὡς θεοῦ οἰκονόμον· μὴ αὐθάδη, μὴ ὀργίλον, μὴ πάροινον, μὴ πλήκτην, μὴ αἰσχροκερδῆ,"
1,8,"ἀλλὰ φιλόξενον, φιλάγαθον, σώφρονα, δίκαιον, ὅσιον, ἐγκρατῆ,"
1,9,"ἀντεχόμενον τοῦ κατὰ τὴν διδαχὴν πιστοῦ λόγου, ἵνα δυνατὸς ᾖ καὶ παρακαλεῖν ἐν τῇ διδασκαλίᾳ τῇ ὑγιαινούσῃ, καὶ τοὺς ἀντιλέγοντας ἐλέγχειν."
1,10,"
Εἰσὶν γὰρ πολλοὶ καὶ {NA καὶ ἀνυπότακτοι > [καὶ] ἀνυπότακτοι } ἀνυπότακτοι, ματαιολόγοι καὶ φρεναπάται, μάλιστα οἱ ἐκ περιτομῆς, {NA περιτομῆς > τῆς περιτομῆς }"
1,11,"οὓς δεῖ ἐπιστομίζειν· οἵτινες ὅλους οἴκους ἀνατρέπουσιν, διδάσκοντες ἃ μὴ δεῖ, αἰσχροῦ κέρδους χάριν."
1,12,"Εἶπέν τις ἐξ αὐτῶν, ἴδιος αὐτῶν προφήτης, Κρῆτες ἀεὶ ψεῦσται, κακὰ θηρία, γαστέρες ἀργαί."
1,13,"Ἡ μαρτυρία αὕτη ἐστὶν ἀληθής. Δι’ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως, ἵνα ὑγιαίνωσιν ἐν τῇ πίστει,"
1,14,"μὴ προσέχοντες Ἰουδαϊκοῖς μύθοις, καὶ ἐντολαῖς ἀνθρώπων ἀποστρεφομένων τὴν ἀλήθειαν."
1,15,Πάντα μὲν {NA μὲν > - } καθαρὰ τοῖς καθαροῖς· τοῖς δὲ μεμιασμένοις {NA μεμιασμένοις > μεμιαμμένοις } καὶ ἀπίστοις οὐδὲν καθαρόν· ἀλλὰ μεμίανται αὐτῶν καὶ ὁ νοῦς καὶ ἡ συνείδησις.
1,16,"Θεὸν ὁμολογοῦσιν εἰδέναι, τοῖς δὲ ἔργοις ἀρνοῦνται, βδελυκτοὶ ὄντες καὶ ἀπειθεῖς καὶ πρὸς πᾶν ἔργον ἀγαθὸν ἀδόκιμοι."
2,1,Σὺ δὲ λάλει ἃ πρέπει τῇ ὑγιαινούσῃ διδασκαλίᾳ·
2,2,"πρεσβύτας νηφαλέους {Byz νηφαλέους > νηφαλίους } {NA νηφαλέους > νηφαλίους } εἶναι, σεμνούς, σώφρονας, ὑγιαίνοντας τῇ πίστει, τῇ ἀγάπῃ, τῇ ὑπομονῇ·"
2,3,"πρεσβύτιδας ὡσαύτως ἐν καταστήματι ἱεροπρεπεῖς, μὴ διαβόλους, μὴ οἴνῳ πολλῷ δεδουλωμένας, καλοδιδασκάλους,"
2,4,"ἵνα σωφρονίζωσιν τὰς νέας φιλάνδρους εἶναι, φιλοτέκνους,"
2,5,"σώφρονας, ἁγνάς, οἰκουρούς, {NA οἰκουρούς > οἰκουργούς } ἀγαθάς, ὑποτασσομένας τοῖς ἰδίοις ἀνδράσιν, ἵνα μὴ ὁ λόγος τοῦ θεοῦ βλασφημῆται·"
2,6,τοὺς νεωτέρους ὡσαύτως παρακάλει σωφρονεῖν·
2,7,"περὶ πάντα σεαυτὸν παρεχόμενος τύπον καλῶν ἔργων, ἐν τῇ διδασκαλίᾳ ἀδιαφθορίαν, {NA ἀδιαφθορίαν > ἀφθορίαν } σεμνότητα, ἀφθαρσίαν, {NA ἀφθαρσίαν > - }"
2,8,"λόγον ὑγιῆ, ἀκατάγνωστον, ἵνα ὁ ἐξ ἐναντίας ἐντραπῇ, μηδὲν ἔχων περὶ {NA περὶ ἡμῶν λέγειν > λέγειν περὶ ἡμῶν } ἡμῶν λέγειν φαῦλον."
2,9,"Δούλους ἰδίοις δεσπόταις ὑποτάσσεσθαι, ἐν πᾶσιν εὐαρέστους εἶναι, μὴ ἀντιλέγοντας,"
2,10,"μὴ νοσφιζομένους, ἀλλὰ πίστιν {NA πίστιν πᾶσαν > πᾶσαν πίστιν } πᾶσαν ἐνδεικνυμένους ἀγαθήν, ἵνα τὴν διδασκαλίαν τοῦ {NA τοῦ > τὴν τοῦ } σωτῆρος ἡμῶν θεοῦ κοσμῶσιν ἐν πᾶσιν."
2,11,"Ἐπεφάνη γὰρ ἡ χάρις τοῦ θεοῦ ἡ {NA ἡ σωτήριος > σωτήριος } σωτήριος πᾶσιν ἀνθρώποις,"
2,12,"παιδεύουσα ἡμᾶς ἵνα, ἀρνησάμενοι τὴν ἀσέβειαν καὶ τὰς κοσμικὰς ἐπιθυμίας, σωφρόνως καὶ δικαίως καὶ εὐσεβῶς ζήσωμεν ἐν τῷ νῦν αἰῶνι,"
2,13,"προσδεχόμενοι τὴν μακαρίαν ἐλπίδα καὶ ἐπιφάνειαν τῆς δόξης τοῦ μεγάλου θεοῦ καὶ σωτῆρος ἡμῶν Ἰησοῦ χριστοῦ,"
2,14,"ὃς ἔδωκεν ἑαυτὸν ὑπὲρ ἡμῶν, ἵνα λυτρώσηται ἡμᾶς ἀπὸ πάσης ἀνομίας, καὶ καθαρίσῃ ἑαυτῷ λαὸν περιούσιον, ζηλωτὴν καλῶν ἔργων."
2,15,"
Ταῦτα λάλει, καὶ παρακάλει, καὶ ἔλεγχε μετὰ πάσης ἐπιταγῆς. Μηδείς σου περιφρονείτω."
3,1,"Ὑπομίμνῃσκε αὐτοὺς ἀρχαῖς καὶ {NA καὶ > - } ἐξουσίαις ὑποτάσσεσθαι, πειθαρχεῖν, πρὸς πᾶν ἔργον ἀγαθὸν ἑτοίμους εἶναι,"
3,2,"μηδένα βλασφημεῖν, ἀμάχους εἶναι, ἐπιεικεῖς, πᾶσαν ἐνδεικνυμένους πρᾳότητα {NA πρᾳότητα > πραΰτητα } πρὸς πάντας ἀνθρώπους."
3,3,"Ἦμεν γάρ ποτε καὶ ἡμεῖς ἀνόητοι, ἀπειθεῖς, πλανώμενοι, δουλεύοντες ἐπιθυμίαις καὶ ἡδοναῖς ποικίλαις, ἐν κακίᾳ καὶ φθόνῳ διάγοντες, στυγητοί, μισοῦντες ἀλλήλους."
3,4,"Ὅτε δὲ ἡ χρηστότης καὶ ἡ φιλανθρωπία ἐπεφάνη τοῦ σωτῆρος ἡμῶν θεοῦ,"
3,5,"οὐκ ἐξ ἔργων τῶν ἐν δικαιοσύνῃ ὧν {NA ὧν > ἃ } ἐποιήσαμεν ἡμεῖς, ἀλλὰ κατὰ τὸν {NA τὸν αὐτοῦ ἔλεον > τὸ αὐτοῦ ἔλεος } αὐτοῦ ἔλεον ἔσωσεν ἡμᾶς, διὰ λουτροῦ παλιγγενεσίας καὶ ἀνακαινώσεως πνεύματος ἁγίου,"
3,6,"οὗ ἐξέχεεν ἐφ’ ἡμᾶς πλουσίως, διὰ Ἰησοῦ χριστοῦ τοῦ σωτῆρος ἡμῶν,"
3,7,"ἵνα δικαιωθέντες τῇ ἐκείνου χάριτι, κληρονόμοι γενώμεθα {NA γενώμεθα > γενηθῶμεν } κατ’ ἐλπίδα ζωῆς αἰωνίου."
