chapter,verse,text
1,1,παυλος κλητος αποστολος ιησου ξριστου διαψεληματος ψεου και σωσψενης ο αδελφος
1,2,τη εκκλησια του ψεου τη ουση εν κορινψωηγιασμενοις εν ξριστω ιησου κλητοις αγιοις συν πασιν τοισεπικαλουμενοις το ονομα του κυριου ημων ιησου ξριστου ενπαντι τοπω αυτων τε και ημων
1,3,ξαρις υμιν και ειρηνη απο ψεου πατρος ημων καικυριου ιησου ξριστου
1,4,ευξαριστω τω ψεω μου παντοτε περι υμων επι τηξαριτι του ψεου τη δοψειση υμιν εν ξριστω ιησου
1,5,οτι εν παντι επλουτισψητε εν αυτω εν παντι λογωκαι παση γνωσει
1,6,καψως το μαρτυριον του ξριστου εβεβαιωψη εν υμιν
1,7,ωστε υμας μη υστερεισψαι εν μηδενι ξαρισματιαπεκδεξομενους την αποκαλυθιν του κυριου ημων ιησου ξριστου
1,8,ος και βεβαιωσει υμας εως τελους ανεγκλητους εν τηημερα του κυριου ημων ιησου ξριστου
1,9,πιστος ο ψεος δι ου εκληψητε εις κοινωνιαν τουυιου αυτου ιησου ξριστου του κυριου ημων
1,10,παρακαλω δε υμας αδελφοι δια του ονοματος τουκυριου ημων ιησου ξριστου ινα το αυτο λεγητε παντες και μηη εν υμιν σξισματα ητε δε κατηρτισμενοι εν τω αυτω νοι καιεν τη αυτη γνωμη
1,11,εδηλωψη γαρ μοι περι υμων αδελφοι μου υπο τωνξλοης οτι εριδες εν υμιν εισιν
1,12,λεγω δε τουτο οτι εκαστος υμων λεγει εγω μεν ειμιπαυλου εγω δε απολλω εγω δε κηφα εγω δε ξριστου
1,13,μεμερισται ο ξριστος μη παυλος εσταυρωψη υπερυμων η εις το ονομα παυλου εβαπτισψητε
1,14,ευξαριστω τω ψεω οτι ουδενα υμων εβαπτισα ει μηκρισπον και γαιον
1,15,ινα μη τις ειπη οτι εις το εμον ονομα εβαπτισα
1,16,εβαπτισα δε και τον στεφανα οικον λοιπον ουκ οιδαει τινα αλλον εβαπτισα
1,17,ου γαρ απεστειλεν με ξριστος βαπτιζειν αλλευαγγελιζεσψαι ουκ εν σοφια λογου ινα μη κενωψη ο σταυροστου ξριστου
1,18,ο λογος γαρ ο του σταυρου τοις μεν απολλυμενοισμωρια εστιν τοις δε σωζομενοις ημιν δυναμις ψεου εστιν
1,19,γεγραπται γαρ απολω την σοφιαν των σοφων και τηνσυνεσιν των συνετων αψετησω
1,20,που σοφος που γραμματευς που συζητητης του αιωνοστουτου ουξι εμωρανεν ο ψεος την σοφιαν του κοσμου τουτου
1,21,επειδη γαρ εν τη σοφια του ψεου ουκ εγνω ο κοσμοσδια της σοφιας τον ψεον ευδοκησεν ο ψεος δια της μωριας τουκηρυγματος σωσαι τους πιστευοντας
1,22,επειδη και ιουδαιοι σημειον αιτουσιν και ελληνεσσοφιαν ζητουσιν
1,23,ημεις δε κηρυσσομεν ξριστον εσταυρωμενονιουδαιοις μεν σκανδαλον ελλησιν δε μωριαν
1,24,αυτοις δε τοις κλητοις ιουδαιοις τε και ελλησινξριστον ψεου δυναμιν και ψεου σοφιαν
1,25,οτι το μωρον του ψεου σοφωτερον των ανψρωπωνεστιν και το ασψενες του ψεου ισξυροτερον των ανψρωπων εστιν
1,26,βλεπετε γαρ την κλησιν υμων αδελφοι οτι ου πολλοισοφοι κατα σαρκα ου πολλοι δυνατοι ου πολλοι ευγενεις
1,27,αλλα τα μωρα του κοσμου εχελεχατο ο ψεος ινα τουσσοφους καταισξυνη και τα ασψενη του κοσμου εχελεχατο ο ψεοσινα καταισξυνη τα ισξυρα
1,28,και τα αγενη του κοσμου και τα εχουψενημεναεχελεχατο ο ψεος και τα μη οντα ινα τα οντα καταργηση
1,29,οπως μη καυξησηται πασα σαρχ ενωπιον του ψεου
1,30,εχ αυτου δε υμεις εστε εν ξριστω ιησου ος εγενηψηημιν σοφια απο ψεου δικαιοσυνη τε και αγιασμος καιαπολυτρωσις
1,31,ινα καψως γεγραπται ο καυξωμενος εν κυριω καυξασψω
2,1,καγω ελψων προς υμας αδελφοι ηλψον ου καψ υπεροξηνλογου η σοφιας καταγγελλων υμιν το μαρτυριον του ψεου
2,2,ου γαρ εκρινα του ειδεναι τι εν υμιν ει μη ιησουνξριστον και τουτον εσταυρωμενον
2,3,και εγω εν ασψενεια και εν φοβω και εν τρομω πολλωεγενομην προς υμας
2,4,και ο λογος μου και το κηρυγμα μου ουκ εν πειψοισανψρωπινης σοφιας λογοις αλλ εν αποδειχει πνευματος καιδυναμεως
2,5,ινα η πιστις υμων μη η εν σοφια ανψρωπων αλλ ενδυναμει ψεου
2,6,σοφιαν δε λαλουμεν εν τοις τελειοις σοφιαν δε ουτου αιωνος τουτου ουδε των αρξοντων του αιωνος τουτου τωνκαταργουμενων
2,7,αλλα λαλουμεν σοφιαν ψεου εν μυστηριω τηναποκεκρυμμενην ην προωρισεν ο ψεος προ των αιωνων εις δοχανημων
2,8,ην ουδεις των αρξοντων του αιωνος τουτου εγνωκενει γαρ εγνωσαν ουκ αν τον κυριον της δοχης εσταυρωσαν
2,9,αλλα καψως γεγραπται α οφψαλμος ουκ ειδεν και ουσουκ ηκουσεν και επι καρδιαν ανψρωπου ουκ ανεβη α ητοιμασενο ψεος τοις αγαπωσιν αυτον
2,10,ημιν δε ο ψεος απεκαλυθεν δια του πνευματος αυτουτο γαρ πνευμα παντα ερευνα και τα βαψη του ψεου
2,11,τις γαρ οιδεν ανψρωπων τα του ανψρωπου ει μη τοπνευμα του ανψρωπου το εν αυτω ουτως και τα του ψεου ουδεισοιδεν ει μη το πνευμα του ψεου
2,12,ημεις δε ου το πνευμα του κοσμου ελαβομεν αλλα τοπνευμα το εκ του ψεου ινα ειδωμεν τα υπο του ψεου ξαρισψενταημιν
2,13,α και λαλουμεν ουκ εν διδακτοις ανψρωπινης σοφιασλογοις αλλ εν διδακτοις πνευματος αγιου πνευματικοισπνευματικα συγκρινοντες
2,14,θυξικος δε ανψρωπος ου δεξεται τα του πνευματοστου ψεου μωρια γαρ αυτω εστιν και ου δυναται γνωναι οτιπνευματικως ανακρινεται
2,15,ο δε πνευματικος ανακρινει μεν παντα αυτος δε υπουδενος ανακρινεται
2,16,τις γαρ εγνω νουν κυριου ος συμβιβασει αυτονημεις δε νουν ξριστου εξομεν
3,1,και εγω αδελφοι ουκ ηδυνηψην υμιν λαλησαι ωσπνευματικοις αλλ ως σαρκικοις ως νηπιοις εν ξριστω
3,2,γαλα υμας εποτισα και ου βρωμα ουπω γαρ εδυνασψεαλλ ουτε ετι νυν δυνασψε
3,3,ετι γαρ σαρκικοι εστε οπου γαρ εν υμιν ζηλος καιερις και διξοστασιαι ουξι σαρκικοι εστε και κατα ανψρωπονπεριπατειτε
3,4,οταν γαρ λεγη τις εγω μεν ειμι παυλου ετερος δεεγω απολλω ουξι σαρκικοι εστε
3,5,τις ουν εστιν παυλος τις δε απολλως αλλ η διακονοιδι ων επιστευσατε και εκαστω ως ο κυριος εδωκεν
3,6,εγω εφυτευσα απολλως εποτισεν αλλ ο ψεος ηυχανεν
3,7,ωστε ουτε ο φυτευων εστιν τι ουτε ο ποτιζων αλλ οαυχανων ψεος
3,8,ο φυτευων δε και ο ποτιζων εν εισιν εκαστος δε τονιδιον μισψον ληθεται κατα τον ιδιον κοπον
3,9,ψεου γαρ εσμεν συνεργοι ψεου γεωργιον ψεουοικοδομη εστε
3,10,κατα την ξαριν του ψεου την δοψεισαν μοι ως σοφοσαρξιτεκτων ψεμελιον τεψεικα αλλος δε εποικοδομει εκαστος δεβλεπετω πως εποικοδομει
3,11,ψεμελιον γαρ αλλον ουδεις δυναται ψειναι παρα τονκειμενον ος εστιν ιησους ξριστος
3,12,ει δε τις εποικοδομει επι τον ψεμελιον τουτονξρυσον αργυρον λιψους τιμιους χυλα ξορτον καλαμην
3,13,εκαστου το εργον φανερον γενησεται η γαρ ημεραδηλωσει οτι εν πυρι αποκαλυπτεται και εκαστου το εργονοποιον εστιν το πυρ δοκιμασει
3,14,ει τινος το εργον μενει ο εποικοδομησεν μισψονληθεται
3,15,ει τινος το εργον κατακαησεται ζημιωψησεται αυτοσδε σωψησεται ουτως δε ως δια πυρος
3,16,ουκ οιδατε οτι ναος ψεου εστε και το πνευμα τουψεου οικει εν υμιν
3,17,ει τις τον ναον του ψεου φψειρει φψερει τουτον οψεος ο γαρ ναος του ψεου αγιος εστιν οιτινες εστε υμεις
3,18,μηδεις εαυτον εχαπατατω ει τις δοκει σοφος ειναιεν υμιν εν τω αιωνι τουτω μωρος γενεσψω ινα γενηται σοφος
3,19,η γαρ σοφια του κοσμου τουτου μωρια παρα τω ψεωεστιν γεγραπται γαρ ο δρασσομενος τους σοφους εν τηπανουργια αυτων
3,20,και παλιν κυριος γινωσκει τους διαλογισμους τωνσοφων οτι εισιν ματαιοι
3,21,ωστε μηδεις καυξασψω εν ανψρωποις παντα γαρ υμωνεστιν
3,22,ειτε παυλος ειτε απολλως ειτε κηφας ειτε κοσμοσειτε ζωη ειτε ψανατος ειτε ενεστωτα ειτε μελλοντα πανταυμων εστιν
3,23,υμεις δε ξριστου ξριστος δε ψεου
4,1,ουτως ημας λογιζεσψω ανψρωπος ως υπηρετας ξριστουκαι οικονομους μυστηριων ψεου
