chapter,verse,text
1,1,ο ην απ αρξηv ο ακηκοαμεν ο εωρακαμεν τοιvοφψαλμοιv ημων ο εψεασαμεψα και αι ξειρεv ημων εθηλαφησανπερι του λογου τηv ζωηv
1,2,και η ζωη εφανερωψη και εωρακαμεν και μαρτυρουμενκαι απαγγελλομεν υμιν την ζωην την αιωνιον ητιv ην προv τονπατερα και εφανερωψη ημιν
1,3,ο εωρακαμεν και ακηκοαμεν απαγγελλομεν υμιν ινακαι υμειv κοινωνιαν εξητε μεψ ημων και η κοινωνια δε ηημετερα μετα του πατροv και μετα του υιου αυτου ιησουξριστου
1,4,και ταυτα γραφομεν υμιν ινα η ξαρα ημων ηπεπληρωμενη
1,5,και εστιν αυτη η αγγελια ην ακηκοαμεν απ αυτου καιαναγγελλομεν υμιν οτι ο ψεοv φωv εστιν και σκοτια εν αυτωουκ εστιν ουδεμια
1,6,εαν ειπωμεν οτι κοινωνιαν εξομεν μετ αυτου και εντω σκοτει περιπατωμεν θευδομεψα και ου ποιουμεν την αληψειαν
1,7,εαν δε εν τω φωτι περιπατωμεν ωv αυτοv εστιν εν τωφωτι κοινωνιαν εξομεν μετ αλληλων και το αιμα ιησου ξριστουτου υιου αυτου καψαριζει ημαv απο πασηv αμαρτιαv
1,8,εαν ειπωμεν οτι αμαρτιαν ουκ εξομεν εαυτουvπλανωμεν και η αληψεια ουκ εστιν εν ημιν
1,9,εαν ομολογωμεν ταv αμαρτιαv ημων πιστοv εστιν καιδικαιοv ινα αφη ημιν ταv αμαρτιαv και καψαριση ημαv αποπασηv αδικιαv
1,10,εαν ειπωμεν οτι ουξ ημαρτηκαμεν θευστην ποιουμεναυτον και ο λογοv αυτου ουκ εστιν εν ημιν
2,1,τεκνια μου ταυτα γραφω υμιν ινα μη αμαρτητε καιεαν τιv αμαρτη παρακλητον εξομεν προv τον πατερα ιησουνξριστον δικαιον
2,2,και αυτοv ιλασμοv εστιν περι των αμαρτιων ημων ουπερι των ημετερων δε μονον αλλα και περι ολου του κοσμου
2,3,και εν τουτω γινωσκομεν οτι εγνωκαμεν αυτον εανταv εντολαv αυτου τηρωμεν
2,4,ο λεγων εγνωκα αυτον και ταv εντολαv αυτου μητηρων θευστηv εστιν και εν τουτω η αληψεια ουκ εστιν
2,5,οv δ αν τηρη αυτου τον λογον αληψωv εν τουτω ηαγαπη του ψεου τετελειωται εν τουτω γινωσκομεν οτι εν αυτωεσμεν
2,6,ο λεγων εν αυτω μενειν οφειλει καψωv εκεινοvπεριεπατησεν και αυτοv ουτωv περιπατειν
2,7,αδελφοι ουκ εντολην καινην γραφω υμιν αλλ εντοληνπαλαιαν ην ειξετε απ αρξηv η εντολη η παλαια εστιν ο λογοvον ηκουσατε απ αρξηv
2,8,παλιν εντολην καινην γραφω υμιν ο εστιν αληψεv εναυτω και εν υμιν οτι η σκοτια παραγεται και το φωv τοαληψινον ηδη φαινει
2,9,ο λεγων εν τω φωτι ειναι και τον αδελφον αυτουμισων εν τη σκοτια εστιν εωv αρτι
2,10,ο αγαπων τον αδελφον αυτου εν τω φωτι μενει καισκανδαλον εν αυτω ουκ εστιν
2,11,ο δε μισων τον αδελφον αυτου εν τη σκοτια εστινκαι εν τη σκοτια περιπατει και ουκ οιδεν που υπαγει οτι ησκοτια ετυφλωσεν τουv οφψαλμουv αυτου
2,12,γραφω υμιν τεκνια οτι αφεωνται υμιν αι αμαρτιαιδια το ονομα αυτου
2,13,γραφω υμιν πατερεv οτι εγνωκατε τον απ αρξηvγραφω υμιν νεανισκοι οτι νενικηκατε τον πονηρον γραφω υμινπαιδια οτι εγνωκατε τον πατερα
2,14,εγραθα υμιν πατερεv οτι εγνωκατε τον απ αρξηvεγραθα υμιν νεανισκοι οτι ισξυροι εστε και ο λογοv του ψεουεν υμιν μενει και νενικηκατε τον πονηρον
2,15,μη αγαπατε τον κοσμον μηδε τα εν τω κοσμω εαν τιvαγαπα τον κοσμον ουκ εστιν η αγαπη του πατροv εν αυτω
2,16,οτι παν το εν τω κοσμω η επιψυμια τηv σαρκοv καιη επιψυμια των οφψαλμων και η αλαζονεια του βιου ουκ εστινεκ του πατροv αλλ εκ του κοσμου εστιν
2,17,και ο κοσμοv παραγεται και η επιψυμια αυτου ο δεποιων το ψελημα του ψεου μενει ειv τον αιωνα
2,18,παιδια εσξατη ωρα εστιν και καψωv ηκουσατε οτι οαντιξριστοv ερξεται και νυν αντιξριστοι πολλοι γεγονασινοψεν γινωσκομεν οτι εσξατη ωρα εστιν
2,19,εχ ημων εχηλψον αλλ ουκ ησαν εχ ημων ει γαρ ησανεχ ημων μεμενηκεισαν αν μεψ ημων αλλ ινα φανερωψωσιν οτιουκ εισιν παντεv εχ ημων
2,20,και υμειv ξρισμα εξετε απο του αγιου και οιδατεπαντα
2,21,ουκ εγραθα υμιν οτι ουκ οιδατε την αληψειαν αλλοτι οιδατε αυτην και οτι παν θευδοv εκ τηv αληψειαv ουκεστιν
2,22,τιv εστιν ο θευστηv ει μη ο αρνουμενοv οτι ιησουvουκ εστιν ο ξριστοv ουτοv εστιν ο αντιξριστοv ο αρνουμενοvτον πατερα και τον υιον
2,23,παv ο αρνουμενοv τον υιον ουδε τον πατερα εξει
2,24,υμειv ουν ο ηκουσατε απ αρξηv εν υμιν μενετω εανεν υμιν μεινη ο απ αρξηv ηκουσατε και υμειv εν τω υιω καιεν τω πατρι μενειτε
2,25,και αυτη εστιν η επαγγελια ην αυτοv επηγγειλατοημιν την ζωην την αιωνιον
2,26,ταυτα εγραθα υμιν περι των πλανωντων υμαv
2,27,και υμειv το ξρισμα ο ελαβετε απ αυτου εν υμινμενει και ου ξρειαν εξετε ινα τιv διδασκη υμαv αλλ ωv τοαυτο ξρισμα διδασκει υμαv περι παντων και αληψεv εστιν καιουκ εστιν θευδοv και καψωv εδιδαχεν υμαv μενειτε εν αυτω
2,28,και νυν τεκνια μενετε εν αυτω ινα οταν φανερωψηεξωμεν παρρησιαν και μη αισξυνψωμεν απ αυτου εν τη παρουσιααυτου
2,29,εαν ειδητε οτι δικαιοv εστιν γινωσκετε οτι παv οποιων την δικαιοσυνην εχ αυτου γεγεννηται
3,1,ιδετε ποταπην αγαπην δεδωκεν ημιν ο πατηρ ινατεκνα ψεου κληψωμεν δια τουτο ο κοσμοv ου γινωσκει υμαv οτιουκ εγνω αυτον
3,2,αγαπητοι νυν τεκνα ψεου εσμεν και ουπω εφανερωψητι εσομεψα οιδαμεν δε οτι εαν φανερωψη ομοιοι αυτω εσομεψαοτι οθομεψα αυτον καψωv εστιν
3,3,και παv ο εξων την ελπιδα ταυτην επ αυτω αγνιζειεαυτον καψωv εκεινοv αγνοv εστιν
3,4,παv ο ποιων την αμαρτιαν και την ανομιαν ποιει καιη αμαρτια εστιν η ανομια
3,5,και οιδατε οτι εκεινοv εφανερωψη ινα ταv αμαρτιαvημων αρη και αμαρτια εν αυτω ουκ εστιν
3,6,παv ο εν αυτω μενων ουξ αμαρτανει παv ο αμαρτανωνουξ εωρακεν αυτον ουδε εγνωκεν αυτον
3,7,τεκνια μηδειv πλανατω υμαv ο ποιων την δικαιοσυνηνδικαιοv εστιν καψωv εκεινοv δικαιοv εστιν
3,8,ο ποιων την αμαρτιαν εκ του διαβολου εστιν οτι απαρξηv ο διαβολοv αμαρτανει ειv τουτο εφανερωψη ο υιοv τουψεου ινα λυση τα εργα του διαβολου
3,9,παv ο γεγεννημενοv εκ του ψεου αμαρτιαν ου ποιειοτι σπερμα αυτου εν αυτω μενει και ου δυναται αμαρτανεινοτι εκ του ψεου γεγεννηται
3,10,εν τουτω φανερα εστιν τα τεκνα του ψεου και τατεκνα του διαβολου παv ο μη ποιων δικαιοσυνην ουκ εστιν εκτου ψεου και ο μη αγαπων τον αδελφον αυτου
3,11,οτι αυτη εστιν η αγγελια ην ηκουσατε απ αρξηv ινααγαπωμεν αλληλουv
3,12,ου καψωv καιν εκ του πονηρου ην και εσφαχεν τοναδελφον αυτου και ξαριν τινοv εσφαχεν αυτον οτι τα εργααυτου πονηρα ην τα δε του αδελφου αυτου δικαια
3,13,μη ψαυμαζετε αδελφοι μου ει μισει υμαv ο κοσμοv
3,14,ημειv οιδαμεν οτι μεταβεβηκαμεν εκ του ψανατουειv την ζωην οτι αγαπωμεν τουv αδελφουv ο μη αγαπων τοναδελφον μενει εν τω ψανατω
3,15,παv ο μισων τον αδελφον αυτου ανψρωποκτονοv εστινκαι οιδατε οτι παv ανψρωποκτονοv ουκ εξει ζωην αιωνιον ενεαυτω μενουσαν
3,16,εν τουτω εγνωκαμεν την αγαπην οτι εκεινοv υπερημων την θυξην αυτου εψηκεν και ημειv οφειλομεν υπερ τωναδελφων ταv θυξαv τιψεναι
