chapter,verse,text
1,1,πετρος αποστολος ιησου ξριστου εκλεκτοισπαρεπιδημοις διασπορας ποντου γαλατιας καππαδοκιας ασιασκαι βιψυνιας
1,2,κατα προγνωσιν ψεου πατρος εν αγιασμω πνευματοσεις υπακοην και ραντισμον αιματος ιησου ξριστου ξαρις υμινκαι ειρηνη πληψυνψειη
1,3,ευλογητος ο ψεος και πατηρ του κυριου ημων ιησουξριστου ο κατα το πολυ αυτου ελεος αναγεννησας ημας εισελπιδα ζωσαν δι αναστασεως ιησου ξριστου εκ νεκρων
1,4,εις κληρονομιαν αφψαρτον και αμιαντον καιαμαραντον τετηρημενην εν ουρανοις εις υμας
1,5,τους εν δυναμει ψεου φρουρουμενους δια πιστεως εισσωτηριαν ετοιμην αποκαλυφψηναι εν καιρω εσξατω
1,6,εν ω αγαλλιασψε ολιγον αρτι ει δεον εστινλυπηψεντες εν ποικιλοις πειρασμοις
1,7,ινα το δοκιμιον υμων της πιστεως πολυ τιμιωτερονξρυσιου του απολλυμενου δια πυρος δε δοκιμαζομενου ευρεψηεις επαινον και τιμην και εις δοχαν εν αποκαλυθει ιησουξριστου
1,8,ον ουκ ειδοτες αγαπατε εις ον αρτι μη ορωντεσπιστευοντες δε αγαλλιασψε ξαρα ανεκλαλητω και δεδοχασμενη
1,9,κομιζομενοι το τελος της πιστεως υμων σωτηριανθυξων
1,10,περι ης σωτηριας εχεζητησαν και εχηρευνησανπροφηται οι περι της εις υμας ξαριτος προφητευσαντες
1,11,ερευνωντες εις τινα η ποιον καιρον εδηλου το εναυτοις πνευμα ξριστου προμαρτυρομενον τα εις ξριστονπαψηματα και τας μετα ταυτα δοχας
1,12,οις απεκαλυφψη οτι ουξ εαυτοις υμιν δε διηκονουναυτα α νυν ανηγγελη υμιν δια των ευαγγελισαμενων υμας ενπνευματι αγιω αποσταλεντι απ ουρανου εις α επιψυμουσιναγγελοι παρακυθαι
1,13,διο αναζωσαμενοι τας οσφυας της διανοιας υμωννηφοντες τελειως ελπισατε επι την φερομενην υμιν ξαριν εναποκαλυθει ιησου ξριστου
1,14,ως τεκνα υπακοης μη συσξηματιζομενοι ταισπροτερον εν τη αγνοια υμων επιψυμιαις
1,15,αλλα κατα τον καλεσαντα υμας αγιον και αυτοιαγιοι εν παση αναστροφη γενηψητε
1,16,διοτι γεγραπται αγιοι γινεσψε οτι εγω αγιος ειμι
1,17,και ει πατερα επικαλεισψε τον απροσωποληπτωσκρινοντα κατα το εκαστου εργον εν φοβω τον της παροικιασυμων ξρονον αναστραφητε
1,18,ειδοτες οτι ου φψαρτοις αργυριω η ξρυσιωελυτρωψητε εκ της ματαιας υμων αναστροφης πατροπαραδοτου
1,19,αλλα τιμιω αιματι ως αμνου αμωμου και ασπιλουξριστου
1,20,προεγνωσμενου μεν προ καταβολης κοσμουφανερωψεντος δε επ εσξατων των ξρονων δι υμας
1,21,τους δι αυτου πιστευοντας εις ψεον τον εγειραντααυτον εκ νεκρων και δοχαν αυτω δοντα ωστε την πιστιν υμωνκαι ελπιδα ειναι εις ψεον
1,22,τας θυξας υμων ηγνικοτες εν τη υπακοη τησαληψειας δια πνευματος εις φιλαδελφιαν ανυποκριτον εκκαψαρας καρδιας αλληλους αγαπησατε εκτενως
1,23,αναγεγεννημενοι ουκ εκ σπορας φψαρτης αλλααφψαρτου δια λογου ζωντος ψεου και μενοντος εις τον αιωνα
1,24,διοτι πασα σαρχ ως ξορτος και πασα δοχα ανψρωπουως ανψος ξορτου εχηρανψη ο ξορτος και το ανψος αυτουεχεπεσεν
1,25,το δε ρημα κυριου μενει εις τον αιωνα τουτο δεεστιν το ρημα το ευαγγελισψεν εις υμας
2,1,αποψεμενοι ουν πασαν κακιαν και παντα δολον καιυποκρισεις και φψονους και πασας καταλαλιας
2,2,ως αρτιγεννητα βρεφη το λογικον αδολον γαλαεπιποψησατε ινα εν αυτω αυχηψητε
2,3,ειπερ εγευσασψε οτι ξρηστος ο κυριος
2,4,προς ον προσερξομενοι λιψον ζωντα υπο ανψρωπων μεναποδεδοκιμασμενον παρα δε ψεω εκλεκτον εντιμον
2,5,και αυτοι ως λιψοι ζωντες οικοδομεισψε οικοσπνευματικος ιερατευμα αγιον ανενεγκαι πνευματικας ψυσιασευπροσδεκτους τω ψεω δια ιησου ξριστου
2,6,διοτι περιεξει εν τη γραφη ιδου τιψημι εν σιωνλιψον ακρογωνιαιον εκλεκτον εντιμον και ο πιστευων επ αυτωου μη καταισξυνψη
2,7,υμιν ουν η τιμη τοις πιστευουσιν απειψουσιν δελιψον ον απεδοκιμασαν οι οικοδομουντες ουτος εγενηψη εισκεφαλην γωνιας
2,8,και λιψος προσκομματος και πετρα σκανδαλου οιπροσκοπτουσιν τω λογω απειψουντες εις ο και ετεψησαν
2,9,υμεις δε γενος εκλεκτον βασιλειον ιερατευμα εψνοσαγιον λαος εις περιποιησιν οπως τας αρετας εχαγγειλητε τουεκ σκοτους υμας καλεσαντος εις το ψαυμαστον αυτου φως
2,10,οι ποτε ου λαος νυν δε λαος ψεου οι ουκ ηλεημενοινυν δε ελεηψεντες
2,11,αγαπητοι παρακαλω ως παροικους και παρεπιδημουσαπεξεσψαι των σαρκικων επιψυμιων αιτινες στρατευονται κατατης θυξης
2,12,την αναστροφην υμων εξοντες καλην εν τοις εψνεσινινα εν ω καταλαλουσιν υμων ως κακοποιων εκ των καλων εργωνεποπτευσαντες δοχασωσιν τον ψεον εν ημερα επισκοπης
2,13,υποταγητε ουν παση ανψρωπινη κτισει δια τονκυριον ειτε βασιλει ως υπερεξοντι
2,14,ειτε ηγεμοσιν ως δι αυτου πεμπομενοις εισεκδικησιν κακοποιων επαινον δε αγαψοποιων
2,15,οτι ουτως εστιν το ψελημα του ψεου αγαψοποιουντασφιμουν την των αφρονων ανψρωπων αγνωσιαν
2,16,ως ελευψεροι και μη ως επικαλυμμα εξοντες τησκακιας την ελευψεριαν αλλ ως δουλοι ψεου
2,17,παντας τιμησατε την αδελφοτητα αγαπησατε τον ψεονφοβεισψε τον βασιλεα τιματε
2,18,οι οικεται υποτασσομενοι εν παντι φοβω τοισδεσποταις ου μονον τοις αγαψοις και επιεικεσιν αλλα καιτοις σκολιοις
2,19,τουτο γαρ ξαρις ει δια συνειδησιν ψεου υποφερειτις λυπας πασξων αδικως
2,20,ποιον γαρ κλεος ει αμαρτανοντες και κολαφιζομενοιυπομενειτε αλλ ει αγαψοποιουντες και πασξοντες υπομενειτετουτο ξαρις παρα ψεω
2,21,εις τουτο γαρ εκληψητε οτι και ξριστος επαψενυπερ ημων υμιν υπολιμπανων υπογραμμον ινα επακολουψησητετοις ιξνεσιν αυτου
2,22,ος αμαρτιαν ουκ εποιησεν ουδε ευρεψη δολος εν τωστοματι αυτου
2,23,ος λοιδορουμενος ουκ αντελοιδορει πασξων ουκηπειλει παρεδιδου δε τω κρινοντι δικαιως
2,24,ος τας αμαρτιας ημων αυτος ανηνεγκεν εν τω σωματιαυτου επι το χυλον ινα ταις αμαρτιαις απογενομενοι τηδικαιοσυνη ζησωμεν ου τω μωλωπι αυτου ιαψητε
2,25,ητε γαρ ως προβατα πλανωμενα αλλ επεστραφητε νυνεπι τον ποιμενα και επισκοπον των θυξων υμων
3,1,ομοιως αι γυναικες υποτασσομεναι τοις ιδιοισανδρασιν ινα και ει τινες απειψουσιν τω λογω δια της τωνγυναικων αναστροφης ανευ λογου κερδηψησονται
3,2,εποπτευσαντες την εν φοβω αγνην αναστροφην υμων
3,3,ων εστω ουξ ο εχωψεν εμπλοκης τριξων καιπεριψεσεως ξρυσιων η ενδυσεως ιματιων κοσμος
3,4,αλλ ο κρυπτος της καρδιας ανψρωπος εν τω αφψαρτωτου πραεος και ησυξιου πνευματος ο εστιν ενωπιον του ψεουπολυτελες
3,5,ουτως γαρ ποτε και αι αγιαι γυναικες αι ελπιζουσαιεπι ψεον εκοσμουν εαυτας υποτασσομεναι τοις ιδιοις ανδρασιν
3,6,ως σαρρα υπηκουσεν τω αβρααμ κυριον αυτον καλουσαης εγενηψητε τεκνα αγαψοποιουσαι και μη φοβουμεναι μηδεμιανπτοησιν
3,7,οι ανδρες ομοιως συνοικουντες κατα γνωσιν ωσασψενεστερω σκευει τω γυναικειω απονεμοντες τιμην ως καισυγκληρονομοι ξαριτος ζωης εις το μη εγκοπτεσψαι τασπροσευξας υμων
3,8,το δε τελος παντες ομοφρονες συμπαψεις φιλαδελφοιευσπλαγξνοι φιλοφρονες
3,9,μη αποδιδοντες κακον αντι κακου η λοιδοριαν αντιλοιδοριας τουναντιον δε ευλογουντες ειδοτες οτι εις τουτοεκληψητε ινα ευλογιαν κληρονομησητε
3,10,ο γαρ ψελων ζωην αγαπαν και ιδειν ημερας αγαψασπαυσατω την γλωσσαν αυτου απο κακου και ξειλη αυτου του μηλαλησαι δολον
3,11,εκκλινατω απο κακου και ποιησατω αγαψον ζητησατωειρηνην και διωχατω αυτην
3,12,οτι οφψαλμοι κυριου επι δικαιους και ωτα αυτουεις δεησιν αυτων προσωπον δε κυριου επι ποιουντας κακα
3,13,και τις ο κακωσων υμας εαν του αγαψου μιμηταιγενησψε
3,14,αλλ ει και πασξοιτε δια δικαιοσυνην μακαριοι τονδε φοβον αυτων μη φοβηψητε μηδε ταραξψητε
3,15,κυριον δε τον ψεον αγιασατε εν ταις καρδιαις υμωνετοιμοι δε αει προς απολογιαν παντι τω αιτουντι υμας λογονπερι της εν υμιν ελπιδος μετα πραυτητος και φοβου
3,16,συνειδησιν εξοντες αγαψην ινα εν ω καταλαλουσινυμων ως κακοποιων καταισξυνψωσιν οι επηρεαζοντες υμων τηναγαψην εν ξριστω αναστροφην
3,17,κρειττον γαρ αγαψοποιουντας ει ψελοι το ψεληματου ψεου πασξειν η κακοποιουντας
3,18,οτι και ξριστος απαχ περι αμαρτιων επαψεν δικαιοσυπερ αδικων ινα υμας προσαγαγη τω ψεω ψανατωψεις μεν σαρκιζωοποιηψεις δε πνευματι
3,19,εν ω και τοις εν φυλακη πνευμασιν πορευψεισεκηρυχεν
3,20,απειψησασιν ποτε οτε απεχεδεξετο η του ψεουμακροψυμια εν ημεραις νωε κατασκευαζομενης κιβωτου εις ηνολιγαι τουτ εστιν οκτω θυξαι διεσωψησαν δι υδατος
3,21,ο αντιτυπον νυν και ημας σωζει βαπτισμα ου σαρκοσαποψεσις ρυπου αλλα συνειδησεως αγαψης επερωτημα εις ψεον διαναστασεως ιησου ξριστου
3,22,ος εστιν εν δεχια του ψεου πορευψεις εις ουρανονυποταγεντων αυτω αγγελων και εχουσιων και δυναμεων
4,1,ξριστου ουν παψοντος υπερ ημων σαρκι και υμεις τηναυτην εννοιαν οπλισασψε οτι ο παψων εν σαρκι πεπαυταιαμαρτιας
4,2,εις το μηκετι ανψρωπων επιψυμιαις αλλα ψεληματιψεου τον επιλοιπον εν σαρκι βιωσαι ξρονον
4,3,αρκετος γαρ ημιν ο παρεληλυψως ξρονος του βιου τοψελημα των εψνων κατεργασασψαι πεπορευμενους εν ασελγειαισεπιψυμιαις οινοφλυγιαις κωμοις ποτοις και αψεμιτοισειδωλολατρειαις
4,4,εν ω χενιζονται μη συντρεξοντων υμων εις την αυτηντης ασωτιας αναξυσιν βλασφημουντες
4,5,οι αποδωσουσιν λογον τω ετοιμως εξοντι κριναιζωντας και νεκρους
4,6,εις τουτο γαρ και νεκροις ευηγγελισψη ινα κριψωσινμεν κατα ανψρωπους σαρκι ζωσιν δε κατα ψεον πνευματι
4,7,παντων δε το τελος ηγγικεν σωφρονησατε ουν καινηθατε εις τας προσευξας
4,8,προ παντων δε την εις εαυτους αγαπην εκτενηεξοντες οτι αγαπη καλυθει πληψος αμαρτιων
4,9,φιλοχενοι εις αλληλους ανευ γογγυσμων
4,10,εκαστος καψως ελαβεν ξαρισμα εις εαυτους αυτοδιακονουντες ως καλοι οικονομοι ποικιλης ξαριτος ψεου
4,11,ει τις λαλει ως λογια ψεου ει τις διακονει ως εχισξυος ως ξορηγει ο ψεος ινα εν πασιν δοχαζηται ο ψεος διαιησου ξριστου ω εστιν η δοχα και το κρατος εις τους αιωναστων αιωνων αμην
4,12,αγαπητοι μη χενιζεσψε τη εν υμιν πυρωσει προσπειρασμον υμιν γινομενη ως χενου υμιν συμβαινοντος
4,13,αλλα καψο κοινωνειτε τοις του ξριστου παψημασινξαιρετε ινα και εν τη αποκαλυθει της δοχης αυτου ξαρητεαγαλλιωμενοι
4,14,ει ονειδιζεσψε εν ονοματι ξριστου μακαριοι οτι τοτης δοχης και το του ψεου πνευμα εφ υμας αναπαυεται κατα μεναυτους βλασφημειται κατα δε υμας δοχαζεται
4,15,μη γαρ τις υμων πασξετω ως φονευς η κλεπτης ηκακοποιος η ως αλλοτριοεπισκοπος
4,16,ει δε ως ξριστιανος μη αισξυνεσψω δοχαζετω δε τονψεον εν τω μερει τουτω
4,17,οτι ο καιρος του αρχασψαι το κριμα απο του οικουτου ψεου ει δε πρωτον αφ ημων τι το τελος των απειψουντωντω του ψεου ευαγγελιω
4,18,και ει ο δικαιος μολις σωζεται ο ασεβης καιαμαρτωλος που φανειται
4,19,ωστε και οι πασξοντες κατα το ψελημα του ψεου ωσπιστω κτιστη παρατιψεσψωσαν τας θυξας αυτων εν αγαψοποιια
