chapter,verse,text
1,1,παυλος αποστολος ιησου χριστου κατ επιταγην θεου σωτηρος ημων και κυριου ιησου χριστου της ελπιδος ημων
1,2,τιμοθεω γνησιω τεκνω εν πιστει χαρις ελεος ειρηνη απο θεου πατρος ημων και χριστου ιησου του κυριου ημων
1,3,καθως παρεκαλεσα σε προσμειναι εν εφεσω πορευομενος εις μακεδονιαν ινα παραγγειλης τισιν μη ετεροδιδασκαλειν
1,4,μηδε προσεχειν μυθοις και γενεαλογιαις απεραντοις αιτινες ζητησεις παρεχουσιν μαλλον η οικονομιαν θεου την εν πιστει
1,5,το δε τελος της παραγγελιας εστιν αγαπη εκ καθαρας καρδιας και συνειδησεως αγαθης και πιστεως ανυποκριτου
1,6,ων τινες αστοχησαντες εξετραπησαν εις ματαιολογιαν
1,7,θελοντες ειναι νομοδιδασκαλοι μη νοουντες μητε α λεγουσιν μητε περι τινων διαβεβαιουνται
1,8,οιδαμεν δε οτι καλος ο νομος εαν τις αυτω νομιμως χρηται
1,9,ειδως τουτο οτι δικαιω νομος ου κειται ανομοις δε και ανυποτακτοις ασεβεσιν και αμαρτωλοις ανοσιοις και βεβηλοις πατρολωαις και μητρολωαις ανδροφονοις
1,10,πορνοις αρσενοκοιταις ανδραποδισταις ψευσταις επιορκοις και ει τι ετερον τη υγιαινουση διδασκαλια αντικειται
1,11,κατα το ευαγγελιον της δοξης του μακαριου θεου ο επιστευθην εγω
1,12,και χαριν εχω τω ενδυναμωσαντι με χριστω ιησου τω κυριω ημων οτι πιστον με ηγησατο θεμενος εις διακονιαν
1,13,τον προτερον οντα βλασφημον και διωκτην και υβριστην αλλα ηλεηθην οτι αγνοων εποιησα εν απιστια
1,14,υπερεπλεονασεν δε η χαρις του κυριου ημων μετα πιστεως και αγαπης της εν χριστω ιησου
1,15,πιστος ο λογος και πασης αποδοχης αξιος οτι χριστος ιησους ηλθεν εις τον κοσμον αμαρτωλους σωσαι ων πρωτος ειμι εγω
1,16,αλλα δια τουτο ηλεηθην ινα εν εμοι πρωτω ενδειξηται ιησους χριστος την πασαν μακροθυμιαν προς υποτυπωσιν των μελλοντων πιστευειν επ αυτω εις ζωην αιωνιον
1,17,τω δε βασιλει των αιωνων αφθαρτω αορατω μονω σοφω θεω τιμη και δοξα εις τους αιωνας των αιωνων αμην
1,18,ταυτην την παραγγελιαν παρατιθεμαι σοι τεκνον τιμοθεε κατα τας προαγουσας επι σε προφητειας ινα στρατευη εν αυταις την καλην στρατειαν
1,19,εχων πιστιν και αγαθην συνειδησιν ην τινες απωσαμενοι περι την πιστιν εναυαγησαν
1,20,ων εστιν υμεναιος και αλεξανδρος ους παρεδωκα τω σατανα ινα παιδευθωσιν μη βλασφημειν
2,1,παρακαλω ουν πρωτον παντων ποιεισθαι δεησεις προσευχας εντευξεις ευχαριστιας υπερ παντων ανθρωπων
2,2,υπερ βασιλεων και παντων των εν υπεροχη οντων ινα ηρεμον και ησυχιον βιον διαγωμεν εν παση ευσεβεια και σεμνοτητι
2,3,τουτο γαρ καλον και αποδεκτον ενωπιον του σωτηρος ημων θεου
2,4,ος παντας ανθρωπους θελει σωθηναι και εις επιγνωσιν αληθειας ελθειν
2,5,εις γαρ θεος εις και μεσιτης θεου και ανθρωπων ανθρωπος χριστος ιησους
2,6,ο δους εαυτον αντιλυτρον υπερ παντων το μαρτυριον καιροις ιδιοις
2,7,εις ο ετεθην εγω κηρυξ και αποστολος αληθειαν λεγω εν χριστω ου ψευδομαι διδασκαλος εθνων εν πιστει και αληθεια
2,8,βουλομαι ουν προσευχεσθαι τους ανδρας εν παντι τοπω επαιροντας οσιους χειρας χωρις οργης και διαλογισμου
2,9,ωσαυτως και τας γυναικας εν καταστολη κοσμιω μετα αιδους και σωφροσυνης κοσμειν εαυτας μη εν πλεγμασιν η χρυσω η μαργαριταις η ιματισμω πολυτελει
2,10,αλλ ο πρεπει γυναιξιν επαγγελλομεναις θεοσεβειαν δι εργων αγαθων
2,11,γυνη εν ησυχια μανθανετω εν παση υποταγη
2,12,γυναικι δε διδασκειν ουκ επιτρεπω ουδε αυθεντειν ανδρος αλλ ειναι εν ησυχια
2,13,αδαμ γαρ πρωτος επλασθη ειτα ευα
2,14,και αδαμ ουκ ηπατηθη η δε γυνη απατηθεισα εν παραβασει γεγονεν
2,15,σωθησεται δε δια της τεκνογονιας εαν μεινωσιν εν πιστει και αγαπη και αγιασμω μετα σωφροσυνης
3,1,πιστος ο λογος ει τις επισκοπης ορεγεται καλου εργου επιθυμει
3,2,δει ουν τον επισκοπον ανεπιληπτον ειναι μιας γυναικος ανδρα νηφαλεον σωφρονα κοσμιον φιλοξενον διδακτικον
3,3,μη παροινον μη πληκτην μη αισχροκερδη αλλ επιεικη αμαχον αφιλαργυρον
3,4,του ιδιου οικου καλως προισταμενον τεκνα εχοντα εν υποταγη μετα πασης σεμνοτητος
3,5,ει δε τις του ιδιου οικου προστηναι ουκ οιδεν πως εκκλησιας θεου επιμελησεται
3,6,μη νεοφυτον ινα μη τυφωθεις εις κριμα εμπεση του διαβολου
3,7,δει δε αυτον και μαρτυριαν καλην εχειν απο των εξωθεν ινα μη εις ονειδισμον εμπεση και παγιδα του διαβολου
3,8,διακονους ωσαυτως σεμνους μη διλογους μη οινω πολλω προσεχοντας μη αισχροκερδεις
3,9,εχοντας το μυστηριον της πιστεως εν καθαρα συνειδησει
3,10,και ουτοι δε δοκιμαζεσθωσαν πρωτον ειτα διακονειτωσαν ανεγκλητοι οντες
3,11,γυναικας ωσαυτως σεμνας μη διαβολους νηφαλεους πιστας εν πασιν
3,12,διακονοι εστωσαν μιας γυναικος ανδρες τεκνων καλως προισταμενοι και των ιδιων οικων
3,13,οι γαρ καλως διακονησαντες βαθμον εαυτοις καλον περιποιουνται και πολλην παρρησιαν εν πιστει τη εν χριστω ιησου
3,14,ταυτα σοι γραφω ελπιζων ελθειν προς σε ταχιον
3,15,εαν δε βραδυνω ινα ειδης πως δει εν οικω θεου αναστρεφεσθαι ητις εστιν εκκλησια θεου ζωντος στυλος και εδραιωμα της αληθειας
3,16,και ομολογουμενως μεγα εστιν το της ευσεβειας μυστηριον θεος εφανερωθη εν σαρκι εδικαιωθη εν πνευματι ωφθη αγγελοις εκηρυχθη εν εθνεσιν επιστευθη εν κοσμω ανεληφθη εν δοξη
4,1,το δε πνευμα ρητως λεγει οτι εν υστεροις καιροις αποστησονται τινες της πιστεως προσεχοντες πνευμασιν πλανοις και διδασκαλιαις δαιμονιων
4,2,εν υποκρισει ψευδολογων κεκαυτηριασμενων την ιδιαν συνειδησιν
4,3,κωλυοντων γαμειν απεχεσθαι βρωματων α ο θεος εκτισεν εις μεταληψιν μετα ευχαριστιας τοις πιστοις και επεγνωκοσιν την αληθειαν
4,4,οτι παν κτισμα θεου καλον και ουδεν αποβλητον μετα ευχαριστιας λαμβανομενον
4,5,αγιαζεται γαρ δια λογου θεου και εντευξεως
4,6,ταυτα υποτιθεμενος τοις αδελφοις καλος εση διακονος ιησου χριστου εντρεφομενος τοις λογοις της πιστεως και της καλης διδασκαλιας η παρηκολουθηκας
4,7,τους δε βεβηλους και γραωδεις μυθους παραιτου γυμναζε δε σεαυτον προς ευσεβειαν
4,8,η γαρ σωματικη γυμνασια προς ολιγον εστιν ωφελιμος η δε ευσεβεια προς παντα ωφελιμος εστιν επαγγελιαν εχουσα ζωης της νυν και της μελλουσης
4,9,πιστος ο λογος και πασης αποδοχης αξιος
4,10,εις τουτο γαρ και κοπιωμεν και ονειδιζομεθα οτι ηλπικαμεν επι θεω ζωντι ος εστιν σωτηρ παντων ανθρωπων μαλιστα πιστων
4,11,παραγγελλε ταυτα και διδασκε
4,12,μηδεις σου της νεοτητος καταφρονειτω αλλα τυπος γινου των πιστων εν λογω εν αναστροφη εν αγαπη εν πνευματι εν πιστει εν αγνεια
4,13,εως ερχομαι προσεχε τη αναγνωσει τη παρακλησει τη διδασκαλια
4,14,μη αμελει του εν σοι χαρισματος ο εδοθη σοι δια προφητειας μετα επιθεσεως των χειρων του πρεσβυτεριου
4,15,ταυτα μελετα εν τουτοις ισθι ινα σου η προκοπη φανερα η εν πασιν
4,16,επεχε σεαυτω και τη διδασκαλια επιμενε αυτοις τουτο γαρ ποιων και σεαυτον σωσεις και τους ακουοντας σου
5,1,πρεσβυτερω μη επιπληξης αλλα παρακαλει ως πατερα νεωτερους ως αδελφους
