chapter,verse,text
1,1,παυλοv και σιλουανοv και τιμοψεοv τη εκκλησιαψεσσαλονικεων εν ψεω πατρι ημων και κυριω ιησου ξριστω
1,2,ξαριv υμιν και ειρηνη απο ψεου πατροv ημων καικυριου ιησου ξριστου
1,3,ευξαριστειν οφειλομεν τω ψεω παντοτε περι υμωναδελφοι καψωv αχιον εστιν οτι υπεραυχανει η πιστιv υμων καιπλεοναζει η αγαπη ενοv εκαστου παντων υμων ειv αλληλουv
1,4,ωστε ημαv αυτουv εν υμιν καυξασψαι εν ταιvεκκλησιαιv του ψεου υπερ τηv υπομονηv υμων και πιστεωv ενπασιν τοιv διωγμοιv υμων και ταιv ψλιθεσιν αιv ανεξεσψε
1,5,ενδειγμα τηv δικαιαv κρισεωv του ψεου ειv τοκαταχιωψηναι υμαv τηv βασιλειαv του ψεου υπερ ηv και πασξετε
1,6,ειπερ δικαιον παρα ψεω ανταποδουναι τοιv ψλιβουσινυμαv ψλιθιν
1,7,και υμιν τοιv ψλιβομενοιv ανεσιν μεψ ημων εν τηαποκαλυθει του κυριου ιησου απ ουρανου μετ αγγελων δυναμεωvαυτου
1,8,εν πυρι φλογοv διδοντοv εκδικησιν τοιv μη ειδοσινψεον και τοιv μη υπακουουσιν τω ευαγγελιω του κυριου ημωνιησου
1,9,οιτινεv δικην τισουσιν ολεψρον αιωνιον αποπροσωπου του κυριου και απο τηv δοχηv τηv ισξυοv αυτου
1,10,οταν ελψη ενδοχασψηναι εν τοιv αγιοιv αυτου καιψαυμασψηναι εν πασιν τοιv πιστευσασιν οτι επιστευψη τομαρτυριον ημων εφ υμαv εν τη ημερα εκεινη
1,11,ειv ο και προσευξομεψα παντοτε περι υμων ινα υμαvαχιωση τηv κλησεωv ο ψεοv ημων και πληρωση πασαν ευδοκιαναγαψωσυνηv και εργον πιστεωv εν δυναμει
1,12,οπωv ενδοχασψη το ονομα του κυριου ημων ιησου ενυμιν και υμειv εν αυτω κατα την ξαριν του ψεου ημων καικυριου ιησου ξριστου
2,1,ερωτωμεν δε υμαv αδελφοι υπερ τηv παρουσιαv τουκυριου ημων ιησου ξριστου και ημων επισυναγωγηv επ αυτον
2,2,ειv το μη ταξεωv σαλευψηναι υμαv απο του νοοv μητεψροεισψαι μητε δια πνευματοv μητε δια λογου μητε διεπιστοληv ωv δι ημων ωv οτι ενεστηκεν η ημερα του ξριστου
2,3,μη τιv υμαv εχαπατηση κατα μηδενα τροπον οτι εανμη ελψη η αποστασια πρωτον και αποκαλυφψη ο ανψρωποv τηvαμαρτιαv ο υιοv τηv απωλειαv
2,4,ο αντικειμενοv και υπεραιρομενοv επι πανταλεγομενον ψεον η σεβασμα ωστε αυτον ειv τον ναον του ψεουωv ψεον καψισαι αποδεικνυντα εαυτον οτι εστιν ψεοv
2,5,ου μνημονευετε οτι ετι ων προv υμαv ταυτα ελεγονυμιν
2,6,και νυν το κατεξον οιδατε ειv το αποκαλυφψηναιαυτον εν τω εαυτου καιρω
2,7,το γαρ μυστηριον ηδη ενεργειται τηv ανομιαv μονονο κατεξων αρτι εωv εκ μεσου γενηται
