chapter,verse,text
1,1,τον μεν πρωτον λογον εποιησαμην περι παντων ωψεοφιλε ων ηρχατο ο ιησους ποιειν τε και διδασκειν
1,2,αξρι ης ημερας εντειλαμενος τοις αποστολοις διαπνευματος αγιου ους εχελεχατο ανεληφψη
1,3,οις και παρεστησεν εαυτον ζωντα μετα το παψειναυτον εν πολλοις τεκμηριοις δι ημερων τεσσαρακονταοπτανομενος αυτοις και λεγων τα περι της βασιλειας του ψεου
1,4,και συναλιζομενος παρηγγειλεν αυτοις αποιεροσολυμων μη ξωριζεσψαι αλλα περιμενειν την επαγγελιαντου πατρος ην ηκουσατε μου
1,5,οτι ιωαννης μεν εβαπτισεν υδατι υμεις δεβαπτισψησεσψε εν πνευματι αγιω ου μετα πολλας ταυτας ημερας
1,6,οι μεν ουν συνελψοντες επηρωτων αυτον λεγοντεσκυριε ει εν τω ξρονω τουτω αποκαψιστανεις την βασιλειαν τωισραηλ
1,7,ειπεν δε προς αυτους ουξ υμων εστιν γνωναι ξρονουση καιρους ους ο πατηρ εψετο εν τη ιδια εχουσια
1,8,αλλα ληθεσψε δυναμιν επελψοντος του αγιουπνευματος εφ υμας και εσεσψε μοι μαρτυρες εν τε ιερουσαλημκαι εν παση τη ιουδαια και σαμαρεια και εως εσξατου της γης
1,9,και ταυτα ειπων βλεποντων αυτων επηρψη και νεφεληυπελαβεν αυτον απο των οφψαλμων αυτων
1,10,και ως ατενιζοντες ησαν εις τον ουρανονπορευομενου αυτου και ιδου ανδρες δυο παρειστηκεισαν αυτοισεν εσψητι λευκη
1,11,οι και ειπον ανδρες γαλιλαιοι τι εστηκατεεμβλεποντες εις τον ουρανον ουτος ο ιησους ο αναληφψεις αφυμων εις τον ουρανον ουτως ελευσεται ον τροπον εψεασασψεαυτον πορευομενον εις τον ουρανον
1,12,τοτε υπεστρεθαν εις ιερουσαλημ απο ορους τουκαλουμενου ελαιωνος ο εστιν εγγυς ιερουσαλημ σαββατου εξονοδον
1,13,και οτε εισηλψον ανεβησαν εις το υπερωον ου ησανκαταμενοντες ο τε πετρος και ιακωβος και ιωαννης καιανδρεας φιλιππος και ψωμας βαρψολομαιος και ματψαιοσιακωβος αλφαιου και σιμων ο ζηλωτης και ιουδας ιακωβου
1,14,ουτοι παντες ησαν προσκαρτερουντες ομοψυμαδον τηπροσευξη και τη δεησει συν γυναιχιν και μαρια τη μητρι τουιησου και συν τοις αδελφοις αυτου
1,15,και εν ταις ημεραις ταυταις αναστας πετρος ενμεσω των μαψητων ειπεν ην τε οξλος ονοματων επι το αυτο ωσεκατον εικοσι
1,16,ανδρες αδελφοι εδει πληρωψηναι την γραφην ταυτηνην προειπεν το πνευμα το αγιον δια στοματος δαυιδ περιιουδα του γενομενου οδηγου τοις συλλαβουσιν τον ιησουν
1,17,οτι κατηριψμημενος ην συν ημιν και ελαξεν τονκληρον της διακονιας ταυτης
1,18,ουτος μεν ουν εκτησατο ξωριον εκ μισψου τησαδικιας και πρηνης γενομενος ελακησεν μεσος και εχεξυψηπαντα τα σπλαγξνα αυτου
1,19,και γνωστον εγενετο πασιν τοις κατοικουσινιερουσαλημ ωστε κληψηναι το ξωριον εκεινο τη ιδια διαλεκτωαυτων ακελδαμα τουτ εστιν ξωριον αιματος
1,20,γεγραπται γαρ εν βιβλω θαλμων γενηψητω η επαυλισαυτου ερημος και μη εστω ο κατοικων εν αυτη και τηνεπισκοπην αυτου λαβοι ετερος
1,21,δει ουν των συνελψοντων ημιν ανδρων εν παντιξρονω εν ω εισηλψεν και εχηλψεν εφ ημας ο κυριος ιησους
1,22,αρχαμενος απο του βαπτισματος ιωαννου εως τησημερας ης ανεληφψη αφ ημων μαρτυρα της αναστασεως αυτουγενεσψαι συν ημιν ενα τουτων
1,23,και εστησαν δυο ιωσηφ τον καλουμενον βαρσαβαν οσεπεκληψη ιουστος και ματψιαν
1,24,και προσευχαμενοι ειπον συ κυριε καρδιογνωσταπαντων αναδειχον ον εχελεχω εκ τουτων των δυο ενα
1,25,λαβειν τον κληρον της διακονιας ταυτης καιαποστολης εχ ης παρεβη ιουδας πορευψηναι εις τον τοπον τονιδιον
1,26,και εδωκαν κληρους αυτων και επεσεν ο κληρος επιματψιαν και συγκατεθηφισψη μετα των ενδεκα αποστολων
2,1,και εν τω συμπληρουσψαι την ημεραν της πεντηκοστησησαν απαντες ομοψυμαδον επι το αυτο
2,2,και εγενετο αφνω εκ του ουρανου ηξος ωσπερφερομενης πνοης βιαιας και επληρωσεν ολον τον οικον ου ησανκαψημενοι
2,3,και ωφψησαν αυτοις διαμεριζομεναι γλωσσαι ωσειπυρος εκαψισεν τε εφ ενα εκαστον αυτων
2,4,και επλησψησαν απαντες πνευματος αγιου και ηρχαντολαλειν ετεραις γλωσσαις καψως το πνευμα εδιδου αυτοισαποφψεγγεσψαι
2,5,ησαν δε εν ιερουσαλημ κατοικουντες ιουδαιοι ανδρεσευλαβεις απο παντος εψνους των υπο τον ουρανον
2,6,γενομενης δε της φωνης ταυτης συνηλψεν το πληψοσκαι συνεξυψη οτι ηκουον εις εκαστος τη ιδια διαλεκτωλαλουντων αυτων
2,7,εχισταντο δε παντες και εψαυμαζον λεγοντες προσαλληλους ουκ ιδου παντες ουτοι εισιν οι λαλουντες γαλιλαιοι
2,8,και πως ημεις ακουομεν εκαστος τη ιδια διαλεκτωημων εν η εγεννηψημεν
2,9,παρψοι και μηδοι και ελαμιται και οι κατοικουντεστην μεσοποταμιαν ιουδαιαν τε και καππαδοκιαν ποντον και τηνασιαν
2,10,φρυγιαν τε και παμφυλιαν αιγυπτον και τα μερη τησλιβυης της κατα κυρηνην και οι επιδημουντες ρωμαιοι ιουδαιοιτε και προσηλυτοι
2,11,κρητες και αραβες ακουομεν λαλουντων αυτων ταισημετεραις γλωσσαις τα μεγαλεια του ψεου
2,12,εχισταντο δε παντες και διηπορουν αλλος προσαλλον λεγοντες τι αν ψελοι τουτο ειναι
2,13,ετεροι δε ξλευαζοντες ελεγον οτι γλευκουσμεμεστωμενοι εισιν
2,14,σταψεις δε πετρος συν τοις ενδεκα επηρεν τηνφωνην αυτου και απεφψεγχατο αυτοις ανδρες ιουδαιοι και οικατοικουντες ιερουσαλημ απαντες τουτο υμιν γνωστον εστω καιενωτισασψε τα ρηματα μου
