chapter,verse,text
1,1,παυλοv αποστολοv ιησου ξριστου δια ψεληματοv ψεουκαι τιμοψεοv ο αδελφοv
1,2,τοιv εν κολασσαιv αγιοιv και πιστοιv αδελφοιv ενξριστω ξαριv υμιν και ειρηνη απο ψεου πατροv ημων καικυριου ιησου ξριστου
1,3,ευξαριστουμεν τω ψεω και πατρι του κυριου ημωνιησου ξριστου παντοτε περι υμων προσευξομενοι
1,4,ακουσαντεv την πιστιν υμων εν ξριστω ιησου και τηναγαπην την ειv πανταv τουv αγιουv
1,5,δια την ελπιδα την αποκειμενην υμιν εν τοιvουρανοιv ην προηκουσατε εν τω λογω τηv αληψειαv τουευαγγελιου
1,6,του παροντοv ειv υμαv καψωv και εν παντι τω κοσμωκαι εστιν καρποφορουμενον και αυχανομενον καψωv και εν υμιναφ ηv ημεραv ηκουσατε και επεγνωτε την ξαριν του ψεου εναληψεια
1,7,καψωv και εμαψετε απο επαφρα του αγαπητουσυνδουλου ημων οv εστιν πιστοv υπερ υμων διακονοv τουξριστου
1,8,ο και δηλωσαv ημιν την υμων αγαπην εν πνευματι
1,9,δια τουτο και ημειv αφ ηv ημεραv ηκουσαμεν ουπαυομεψα υπερ υμων προσευξομενοι και αιτουμενοι ιναπληρωψητε την επιγνωσιν του ψεληματοv αυτου εν παση σοφιακαι συνεσει πνευματικη
1,10,περιπατησαι υμαv αχιωv του κυριου ειv πασαναρεσκειαν εν παντι εργω αγαψω καρποφορουντεv καιαυχανομενοι ειv την επιγνωσιν του ψεου
1,11,εν παση δυναμει δυναμουμενοι κατα το κρατοv τηvδοχηv αυτου ειv πασαν υπομονην και μακροψυμιαν μετα ξαραv
1,12,ευξαριστουντεv τω πατρι τω ικανωσαντι ημαv ειvτην μεριδα του κληρου των αγιων εν τω φωτι
1,13,οv ερρυσατο ημαv εκ τηv εχουσιαv του σκοτουv καιμετεστησεν ειv την βασιλειαν του υιου τηv αγαπηv αυτου
1,14,εν ω εξομεν την απολυτρωσιν την αφεσιν τωναμαρτιων
1,15,οv εστιν εικων του ψεου του αορατου πρωτοτοκοvπασηv κτισεωv
1,16,οτι εν αυτω εκτισψη τα παντα τα εν τοιv ουρανοιvκαι τα επι τηv γηv τα ορατα και τα αορατα ειτε ψρονοι ειτεκυριοτητεv ειτε αρξαι ειτε εχουσιαι τα παντα δι αυτου καιειv αυτον εκτισται
1,17,και αυτοv εστιν προ παντων και τα παντα εν αυτωσυνεστηκεν
1,18,και αυτοv εστιν η κεφαλη του σωματοv τηvεκκλησιαv οv εστιν αρξη πρωτοτοκοv εκ των νεκρων ιναγενηται εν πασιν αυτοv πρωτευων
1,19,οτι εν αυτω ευδοκησεν παν το πληρωμα κατοικησαι
1,20,και δι αυτου αποκαταλλαχαι τα παντα ειv αυτονειρηνοποιησαv δια του αιματοv του σταυρου αυτου δι αυτουειτε τα επι τηv γηv ειτε τα επι τοιv ουρανοιv
1,21,και υμαv ποτε ονταv απηλλοτριωμενουv και εξψρουvτη διανοια εν τοιv εργοιv τοιv πονηροιv νυνι δεαποκατηλλαχεν
1,22,εν τω σωματι τηv σαρκοv αυτου δια του ψανατουπαραστησαι υμαv αγιουv και αμωμουv και ανεγκλητουvκατενωπιον αυτου
1,23,ειγε επιμενετε τη πιστει τεψεμελιωμενοι καιεδραιοι και μη μετακινουμενοι απο τηv ελπιδοv τουευαγγελιου ου ηκουσατε του κηρυξψεντοv εν παση τη κτισει τηυπο τον ουρανον ου εγενομην εγω παυλοv διακονοv
1,24,νυν ξαιρω εν τοιv παψημασιν υπερ υμων καιανταναπληρω τα υστερηματα των ψλιθεων του ξριστου εν τησαρκι μου υπερ του σωματοv αυτου ο εστιν η εκκλησια
1,25,ηv εγενομην εγω διακονοv κατα την οικονομιαν τουψεου την δοψεισαν μοι ειv υμαv πληρωσαι τον λογον του ψεου
1,26,το μυστηριον το αποκεκρυμμενον απο των αιωνων καιαπο των γενεων νυνι δε εφανερωψη τοιv αγιοιv αυτου
1,27,οιv ηψελησεν ο ψεοv γνωρισαι τι το πλουτοv τηvδοχηv του μυστηριου τουτου εν τοιv εψνεσιν οv εστιν ξριστοvεν υμιν η ελπιv τηv δοχηv
1,28,ον ημειv καταγγελλομεν νουψετουντεv πανταανψρωπον και διδασκοντεv παντα ανψρωπον εν παση σοφια ιναπαραστησωμεν παντα ανψρωπον τελειον εν ξριστω ιησου
1,29,ειv ο και κοπιω αγωνιζομενοv κατα την ενεργειαναυτου την ενεργουμενην εν εμοι εν δυναμει
2,1,ψελω γαρ υμαv ειδεναι ηλικον αγωνα εξω περι υμωνκαι των εν λαοδικεια και οσοι ουξ εωρακασιν το προσωπον μουεν σαρκι
2,2,ινα παρακληψωσιν αι καρδιαι αυτων συμβιβασψεντωνεν αγαπη και ειv παντα πλουτον τηv πληροφοριαv τηv συνεσεωvειv επιγνωσιν του μυστηριου του ψεου και πατροv και τουξριστου
2,3,εν ω εισιν παντεv οι ψησαυροι τηv σοφιαv και τηvγνωσεωv αποκρυφοι
2,4,τουτο δε λεγω ινα μη τιv υμαv παραλογιζηται ενπιψανολογια
2,5,ει γαρ και τη σαρκι απειμι αλλα τω πνευματι συνυμιν ειμι ξαιρων και βλεπων υμων την ταχιν και το στερεωματηv ειv ξριστον πιστεωv υμων
2,6,ωv ουν παρελαβετε τον ξριστον ιησουν τον κυριον εναυτω περιπατειτε
2,7,ερριζωμενοι και εποικοδομουμενοι εν αυτω καιβεβαιουμενοι εν τη πιστει καψωv εδιδαξψητε περισσευοντεv εναυτη εν ευξαριστια
