chapter,verse,text
1,1,παυλοv αποστολοv ιησου ξριστου δια ψεληματοv ψεουτοιv αγιοιv τοιv ουσιν εν εφεσω και πιστοιv εν ξριστω ιησου
1,2,ξαριv υμιν και ειρηνη απο ψεου πατροv ημων καικυριου ιησου ξριστου
1,3,ευλογητοv ο ψεοv και πατηρ του κυριου ημων ιησουξριστου ο ευλογησαv ημαv εν παση ευλογια πνευματικη εν τοιvεπουρανιοιv εν ξριστω
1,4,καψωv εχελεχατο ημαv εν αυτω προ καταβοληv κοσμουειναι ημαv αγιουv και αμωμουv κατενωπιον αυτου εν αγαπη
1,5,προορισαv ημαv ειv υιοψεσιαν δια ιησου ξριστου ειvαυτον κατα την ευδοκιαν του ψεληματοv αυτου
1,6,ειv επαινον δοχηv τηv ξαριτοv αυτου εν ηεξαριτωσεν ημαv εν τω ηγαπημενω
1,7,εν ω εξομεν την απολυτρωσιν δια του αιματοv αυτουτην αφεσιν των παραπτωματων κατα τον πλουτον τηv ξαριτοvαυτου
1,8,ηv επερισσευσεν ειv ημαv εν παση σοφια και φρονησει
1,9,γνωρισαv ημιν το μυστηριον του ψεληματοv αυτουκατα την ευδοκιαν αυτου ην προεψετο εν αυτω
1,10,ειv οικονομιαν του πληρωματοv των καιρωνανακεφαλαιωσασψαι τα παντα εν τω ξριστω τα επι τοιvουρανοιv και τα επι τηv γηv
1,11,εν αυτω εν ω και εκληρωψημεν προορισψεντεv καταπροψεσιν του τα παντα ενεργουντοv κατα την βουλην τουψεληματοv αυτου
1,12,ειv το ειναι ημαv ειv επαινον δοχηv αυτου τουvπροηλπικοταv εν τω ξριστω
1,13,εν ω και υμειv ακουσαντεv τον λογον τηv αληψειαvτο ευαγγελιον τηv σωτηριαv υμων εν ω και πιστευσαντεvεσφραγισψητε τω πνευματι τηv επαγγελιαv τω αγιω
1,14,οv εστιν αρραβων τηv κληρονομιαv ημων ειvαπολυτρωσιν τηv περιποιησεωv ειv επαινον τηv δοχηv αυτου
1,15,δια τουτο καγω ακουσαv την καψ υμαv πιστιν εν τωκυριω ιησου και την αγαπην την ειv πανταv τουv αγιουv
1,16,ου παυομαι ευξαριστων υπερ υμων μνειαν υμωνποιουμενοv επι των προσευξων μου
1,17,ινα ο ψεοv του κυριου ημων ιησου ξριστου ο πατηρτηv δοχηv δωη υμιν πνευμα σοφιαv και αποκαλυθεωv ενεπιγνωσει αυτου
1,18,πεφωτισμενουv τουv οφψαλμουv τηv καρδιαv υμων ειvτο ειδεναι υμαv τιv εστιν η ελπιv τηv κλησεωv αυτου και τιvο πλουτοv τηv δοχηv τηv κληρονομιαv αυτου εν τοιv αγιοιv
1,19,και τι το υπερβαλλον μεγεψοv τηv δυναμεωv αυτουειv ημαv τουv πιστευονταv κατα την ενεργειαν του κρατουvτηv ισξυοv αυτου
1,20,ην ενηργησεν εν τω ξριστω εγειραv αυτον εκ τωννεκρων και εκαψισεν εν δεχια αυτου εν τοιv επουρανιοιv
1,21,υπερανω πασηv αρξηv και εχουσιαv και δυναμεωv καικυριοτητοv και παντοv ονοματοv ονομαζομενου ου μονον εν τωαιωνι τουτω αλλα και εν τω μελλοντι
1,22,και παντα υπεταχεν υπο τουv ποδαv αυτου και αυτονεδωκεν κεφαλην υπερ παντα τη εκκλησια
1,23,ητιv εστιν το σωμα αυτου το πληρωμα του τα πανταεν πασιν πληρουμενου
2,1,και υμαv ονταv νεκρουv τοιv παραπτωμασιν και ταιvαμαρτιαιv
2,2,εν αιv ποτε περιεπατησατε κατα τον αιωνα τουκοσμου τουτου κατα τον αρξοντα τηv εχουσιαv του αεροv τουπνευματοv του νυν ενεργουντοv εν τοιv υιοιv τηv απειψειαv
2,3,εν οιv και ημειv παντεv ανεστραφημεν ποτε εν ταιvεπιψυμιαιv τηv σαρκοv ημων ποιουντεv τα ψεληματα τηv σαρκοvκαι των διανοιων και ημεν τεκνα φυσει οργηv ωv και οι λοιποι
2,4,ο δε ψεοv πλουσιοv ων εν ελεει δια την πολληναγαπην αυτου ην ηγαπησεν ημαv
2,5,και ονταv ημαv νεκρουv τοιv παραπτωμασινσυνεζωοποιησεν τω ξριστω ξαριτι εστε σεσωσμενοι
2,6,και συνηγειρεν και συνεκαψισεν εν τοιv επουρανιοιvεν ξριστω ιησου
2,7,ινα ενδειχηται εν τοιv αιωσιν τοιv επερξομενοιvτον υπερβαλλοντα πλουτον τηv ξαριτοv αυτου εν ξρηστοτητι εφημαv εν ξριστω ιησου
2,8,τη γαρ ξαριτι εστε σεσωσμενοι δια τηv πιστεωv καιτουτο ουκ εχ υμων ψεου το δωρον
2,9,ουκ εχ εργων ινα μη τιv καυξησηται
2,10,αυτου γαρ εσμεν ποιημα κτισψεντεv εν ξριστω ιησουεπι εργοιv αγαψοιv οιv προητοιμασεν ο ψεοv ινα εν αυτοιvπεριπατησωμεν
2,11,διο μνημονευετε οτι υμειv ποτε τα εψνη εν σαρκιοι λεγομενοι ακροβυστια υπο τηv λεγομενηv περιτομηv ενσαρκι ξειροποιητου
2,12,οτι ητε εν τω καιρω εκεινω ξωριv ξριστουαπηλλοτριωμενοι τηv πολιτειαv του ισραηλ και χενοι τωνδιαψηκων τηv επαγγελιαv ελπιδα μη εξοντεv και αψεοι εν τωκοσμω
2,13,νυνι δε εν ξριστω ιησου υμειv οι ποτε οντεvμακραν εγγυv εγενηψητε εν τω αιματι του ξριστου
2,14,αυτοv γαρ εστιν η ειρηνη ημων ο ποιησαv τααμφοτερα εν και το μεσοτοιξον του φραγμου λυσαv
2,15,την εξψραν εν τη σαρκι αυτου τον νομον τωνεντολων εν δογμασιν καταργησαv ινα τουv δυο κτιση εν εαυτωειv ενα καινον ανψρωπον ποιων ειρηνην
2,16,και αποκαταλλαχη τουv αμφοτερουv εν ενι σωματι τωψεω δια του σταυρου αποκτειναv την εξψραν εν αυτω
2,17,και ελψων ευηγγελισατο ειρηνην υμιν τοιv μακρανκαι τοιv εγγυv
2,18,οτι δι αυτου εξομεν την προσαγωγην οι αμφοτεροιεν ενι πνευματι προv τον πατερα
2,19,αρα ουν ουκετι εστε χενοι και παροικοι αλλασυμπολιται των αγιων και οικειοι του ψεου
2,20,εποικοδομηψεντεv επι τω ψεμελιω των αποστολων καιπροφητων οντοv ακρογωνιαιου αυτου ιησου ξριστου
2,21,εν ω πασα οικοδομη συναρμολογουμενη αυχει ειvναον αγιον εν κυριω
2,22,εν ω και υμειv συνοικοδομεισψε ειv κατοικητηριοντου ψεου εν πνευματι
3,1,τουτου ξαριν εγω παυλοv ο δεσμιοv του ξριστουιησου υπερ υμων των εψνων
3,2,ειγε ηκουσατε την οικονομιαν τηv ξαριτοv του ψεουτηv δοψεισηv μοι ειv υμαv
3,3,οτι κατα αποκαλυθιν εγνωρισεν μοι το μυστηριονκαψωv προεγραθα εν ολιγω
3,4,προv ο δυνασψε αναγινωσκοντεv νοησαι την συνεσινμου εν τω μυστηριω του ξριστου
3,5,ο ετεραιv γενεαιv ουκ εγνωρισψη τοιv υιοιv τωνανψρωπων ωv νυν απεκαλυφψη τοιv αγιοιv αποστολοιv αυτου καιπροφηταιv εν πνευματι
