chapter,verse,text
1,1,παυλοv αποστολοv ουκ απ ανψρωπων ουδε δι ανψρωπουαλλα δια ιησου ξριστου και ψεου πατροv του εγειραντοv αυτονεκ νεκρων
1,2,και οι συν εμοι παντεv αδελφοι ταιv εκκλησιαιv τηvγαλατιαv
1,3,ξαριv υμιν και ειρηνη απο ψεου πατροv και κυριουημων ιησου ξριστου
1,4,του δοντοv εαυτον περι των αμαρτιων ημων οπωvεχεληται ημαv εκ του ενεστωτοv αιωνοv πονηρου κατα τοψελημα του ψεου και πατροv ημων
1,5,ω η δοχα ειv τουv αιωναv των αιωνων αμην
1,6,ψαυμαζω οτι ουτωv ταξεωv μετατιψεσψε απο τουκαλεσαντοv υμαv εν ξαριτι ξριστου ειv ετερον ευαγγελιον
1,7,ο ουκ εστιν αλλο ει μη τινεv εισιν οι ταρασσοντεvυμαv και ψελοντεv μεταστρεθαι το ευαγγελιον του ξριστου
1,8,αλλα και εαν ημειv η αγγελοv εχ ουρανουευαγγελιζηται υμιν παρ ο ευηγγελισαμεψα υμιν αναψεμα εστω
1,9,ωv προειρηκαμεν και αρτι παλιν λεγω ει τιv υμαvευαγγελιζεται παρ ο παρελαβετε αναψεμα εστω
1,10,αρτι γαρ ανψρωπουv πειψω η τον ψεον η ζητωανψρωποιv αρεσκειν ει γαρ ετι ανψρωποιv ηρεσκον ξριστουδουλοv ουκ αν ημην
1,11,γνωριζω δε υμιν αδελφοι το ευαγγελιον τοευαγγελισψεν υπ εμου οτι ουκ εστιν κατα ανψρωπον
1,12,ουδε γαρ εγω παρα ανψρωπου παρελαβον αυτο ουτεεδιδαξψην αλλα δι αποκαλυθεωv ιησου ξριστου
1,13,ηκουσατε γαρ την εμην αναστροφην ποτε εν τωιουδαισμω οτι καψ υπερβολην εδιωκον την εκκλησιαν του ψεουκαι επορψουν αυτην
1,14,και προεκοπτον εν τω ιουδαισμω υπερ πολλουvσυνηλικιωταv εν τω γενει μου περισσοτερωv ζηλωτηv υπαρξωντων πατρικων μου παραδοσεων
1,15,οτε δε ευδοκησεν ο ψεοv ο αφορισαv με εκ κοιλιαvμητροv μου και καλεσαv δια τηv ξαριτοv αυτου
1,16,αποκαλυθαι τον υιον αυτου εν εμοι ιναευαγγελιζωμαι αυτον εν τοιv εψνεσιν ευψεωv ου προσανεψεμηνσαρκι και αιματι
1,17,ουδε ανηλψον ειv ιεροσολυμα προv τουv προ εμουαποστολουv αλλα απηλψον ειv αραβιαν και παλιν υπεστρεθα ειvδαμασκον
1,18,επειτα μετα ετη τρια ανηλψον ειv ιεροσολυμαιστορησαι πετρον και επεμεινα προv αυτον ημεραv δεκαπεντε
1,19,ετερον δε των αποστολων ουκ ειδον ει μη ιακωβοντον αδελφον του κυριου
1,20,α δε γραφω υμιν ιδου ενωπιον του ψεου οτι ουθευδομαι
1,21,επειτα ηλψον ειv τα κλιματα τηv συριαv και τηvκιλικιαv
1,22,ημην δε αγνοουμενοv τω προσωπω ταιv εκκλησιαιvτηv ιουδαιαv ταιv εν ξριστω
1,23,μονον δε ακουοντεv ησαν οτι ο διωκων ημαv ποτενυν ευαγγελιζεται την πιστιν ην ποτε επορψει
1,24,και εδοχαζον εν εμοι τον ψεον
2,1,επειτα δια δεκατεσσαρων ετων παλιν ανεβην ειvιεροσολυμα μετα βαρναβα συμπαραλαβων και τιτον
2,2,ανεβην δε κατα αποκαλυθιν και ανεψεμην αυτοιv τοευαγγελιον ο κηρυσσω εν τοιv εψνεσιν κατ ιδιαν δε τοιvδοκουσιν μηπωv ειv κενον τρεξω η εδραμον
2,3,αλλ ουδε τιτοv ο συν εμοι ελλην ων ηναγκασψηπεριτμηψηναι
2,4,δια δε τουv παρεισακτουv θευδαδελφουv οιτινεvπαρεισηλψον κατασκοπησαι την ελευψεριαν ημων ην εξομεν ενξριστω ιησου ινα ημαv καταδουλωσωνται
2,5,οιv ουδε προv ωραν ειχαμεν τη υποταγη ινα ηαληψεια του ευαγγελιου διαμεινη προv υμαv
2,6,απο δε των δοκουντων ειναι τι οποιοι ποτε ησανουδεν μοι διαφερει προσωπον ψεοv ανψρωπου ου λαμβανει εμοιγαρ οι δοκουντεv ουδεν προσανεψεντο
2,7,αλλα τουναντιον ιδοντεv οτι πεπιστευμαι τοευαγγελιον τηv ακροβυστιαv καψωv πετροv τηv περιτομηv
2,8,ο γαρ ενεργησαv πετρω ειv αποστολην τηv περιτομηvενηργησεν και εμοι ειv τα εψνη
2,9,και γνοντεv την ξαριν την δοψεισαν μοι ιακωβοv καικηφαv και ιωαννηv οι δοκουντεv στυλοι ειναι δεχιαv εδωκανεμοι και βαρναβα κοινωνιαv ινα ημειv μεν ειv τα εψνη αυτοιδε ειv την περιτομην
2,10,μονον των πτωξων ινα μνημονευωμεν ο και εσπουδασααυτο τουτο ποιησαι
2,11,οτε δε ηλψεν πετροv ειv αντιοξειαν κατα προσωποναυτω αντεστην οτι κατεγνωσμενοv ην
