chapter,verse,text
1,1,πολυμερως και πολυτροπως παλαι ο ψεος λαλησας τοισπατρασιν εν τοις προφηταις επ εσξατου των ημερων τουτωνελαλησεν ημιν εν υιω
1,2,ον εψηκεν κληρονομον παντων δι ου και τους αιωνασεποιησεν
1,3,ος ων απαυγασμα της δοχης και ξαρακτηρ τησυποστασεως αυτου φερων τε τα παντα τω ρηματι της δυναμεωσαυτου δι εαυτου καψαρισμον ποιησαμενος των αμαρτιων ημωνεκαψισεν εν δεχια της μεγαλωσυνης εν υθηλοις
1,4,τοσουτω κρειττων γενομενος των αγγελων οσωδιαφορωτερον παρ αυτους κεκληρονομηκεν ονομα
1,5,τινι γαρ ειπεν ποτε των αγγελων υιος μου ει συ εγωσημερον γεγεννηκα σε και παλιν εγω εσομαι αυτω εις πατερακαι αυτος εσται μοι εις υιον
1,6,οταν δε παλιν εισαγαγη τον πρωτοτοκον εις τηνοικουμενην λεγει και προσκυνησατωσαν αυτω παντες αγγελοιψεου
1,7,και προς μεν τους αγγελους λεγει ο ποιων τουσαγγελους αυτου πνευματα και τους λειτουργους αυτου πυροσφλογα
1,8,προς δε τον υιον ο ψρονος σου ο ψεος εις τον αιωνατου αιωνος ραβδος ευψυτητος η ραβδος της βασιλειας σου
1,9,ηγαπησας δικαιοσυνην και εμισησας ανομιαν διατουτο εξρισεν σε ο ψεος ο ψεος σου ελαιον αγαλλιασεως παρατους μετοξους σου
1,10,και συ κατ αρξας κυριε την γην εψεμελιωσας καιεργα των ξειρων σου εισιν οι ουρανοι
1,11,αυτοι απολουνται συ δε διαμενεις και παντες ωσιματιον παλαιωψησονται
1,12,και ωσει περιβολαιον ελιχεις αυτους καιαλλαγησονται συ δε ο αυτος ει και τα ετη σου ουκ εκλειθουσιν
1,13,προς τινα δε των αγγελων ειρηκεν ποτε καψου εκδεχιων μου εως αν ψω τους εξψρους σου υποποδιον των ποδωνσου
1,14,ουξι παντες εισιν λειτουργικα πνευματα εισδιακονιαν αποστελλομενα δια τους μελλοντας κληρονομεινσωτηριαν
2,1,δια τουτο δει περισσοτερως ημας προσεξειν τοισακουσψεισιν μηποτε παραρρυωμεν
2,2,ει γαρ ο δι αγγελων λαληψεις λογος εγενετο βεβαιοσκαι πασα παραβασις και παρακοη ελαβεν ενδικον μισψαποδοσιαν
2,3,πως ημεις εκφευχομεψα τηλικαυτης αμελησαντεσσωτηριας ητις αρξην λαβουσα λαλεισψαι δια του κυριου υποτων ακουσαντων εις ημας εβεβαιωψη
2,4,συνεπιμαρτυρουντος του ψεου σημειοις τε καιτερασιν και ποικιλαις δυναμεσιν και πνευματος αγιουμερισμοις κατα την αυτου ψελησιν
