chapter,verse,text
1,1,εν αρχη ην ο λογος και ο λογος ην προς τον θεον και θεος ην ο λογος
1,2,ουτος ην εν αρχη προς τον θεον
1,3,παντα δι αυτου εγενετο και χωρις αυτου εγενετο ουδε εν ο γεγονεν
1,4,εν αυτω ζωη ην και η ζωη ην το φως των ανθρωπων
1,5,και το φως εν τη σκοτια φαινει και η σκοτια αυτο ου κατελαβεν
1,6,εγενετο ανθρωπος απεσταλμενος παρα θεου ονομα αυτω ιωαννης
1,7,ουτος ηλθεν εις μαρτυριαν ινα μαρτυρηση περι του φωτος ινα παντες πιστευσωσιν δι αυτου
1,8,ουκ ην εκεινος το φως αλλ ινα μαρτυρηση περι του φωτος
1,9,ην το φως το αληθινον ο φωτιζει παντα ανθρωπον ερχομενον εις τον κοσμον
1,10,εν τω κοσμω ην και ο κοσμος δι αυτου εγενετο και ο κοσμος αυτον ουκ εγνω
1,11,εις τα ιδια ηλθεν και οι ιδιοι αυτον ου παρελαβον
1,12,οσοι δε ελαβον αυτον εδωκεν αυτοις εξουσιαν τεκνα θεου γενεσθαι τοις πιστευουσιν εις το ονομα αυτου
1,13,οι ουκ εξ αιματων ουδε εκ θεληματος σαρκος ουδε εκ θεληματος ανδρος αλλ εκ θεου εγεννηθησαν
1,14,και ο λογος σαρξ εγενετο και εσκηνωσεν εν ημιν και εθεασαμεθα την δοξαν αυτου δοξαν ως μονογενους παρα πατρος πληρης χαριτος και αληθειας
1,15,ιωαννης μαρτυρει περι αυτου και κεκραγεν λεγων ουτος ην ον ειπον ο οπισω μου ερχομενος εμπροσθεν μου γεγονεν οτι πρωτος μου ην
1,16,και εκ του πληρωματος αυτου ημεις παντες ελαβομεν και χαριν αντι χαριτος
1,17,οτι ο νομος δια μωσεως εδοθη η χαρις και η αληθεια δια ιησου χριστου εγενετο
1,18,θεον ουδεις εωρακεν πωποτε ο μονογενης υιος ο ων εις τον κολπον του πατρος εκεινος εξηγησατο
1,19,και αυτη εστιν η μαρτυρια του ιωαννου οτε απεστειλαν οι ιουδαιοι εξ ιεροσολυμων ιερεις και λευιτας ινα ερωτησωσιν αυτον συ τις ει
1,20,και ωμολογησεν και ουκ ηρνησατο και ωμολογησεν οτι ουκ ειμι εγω ο χριστος
1,21,και ηρωτησαν αυτον τι ουν ηλιας ει συ και λεγει ουκ ειμι ο προφητης ει συ και απεκριθη ου
1,22,ειπον ουν αυτω τις ει ινα αποκρισιν δωμεν τοις πεμψασιν ημας τι λεγεις περι σεαυτου
1,23,εφη εγω φωνη βοωντος εν τη ερημω ευθυνατε την οδον κυριου καθως ειπεν ησαιας ο προφητης
1,24,και οι απεσταλμενοι ησαν εκ των φαρισαιων
1,25,και ηρωτησαν αυτον και ειπον αυτω τι ουν βαπτιζεις ει συ ουκ ει ο χριστος ουτε ηλιας ουτε ο προφητης
1,26,απεκριθη αυτοις ο ιωαννης λεγων εγω βαπτιζω εν υδατι μεσος δε υμων εστηκεν ον υμεις ουκ οιδατε
1,27,αυτος εστιν ο οπισω μου ερχομενος ος εμπροσθεν μου γεγονεν ου εγω ουκ ειμι αξιος ινα λυσω αυτου τον ιμαντα του υποδηματος
1,28,ταυτα εν βηθανια εγενετο περαν του ιορδανου οπου ην ιωαννης βαπτιζων
1,29,τη επαυριον βλεπει τον ιησουν ερχομενον προς αυτον και λεγει ιδε ο αμνος του θεου ο αιρων την αμαρτιαν του κοσμου
