chapter,verse,text
1,1,επειδηπερ πολλοι επεξειρησαν αναταχασψαι διηγησινπερι των πεπληροφορημενων εν ημιν πραγματων
1,2,καψωv παρεδοσαν ημιν οι απ αρξηv αυτοπται καιυπηρεται γενομενοι του λογου
1,3,εδοχεν καμοι παρηκολουψηκοτι ανωψεν πασιν ακριβωvκαψεχηv σοι γραθαι κρατιστε ψεοφιλε
1,4,ινα επιγνωv περι ων κατηξηψηv λογων την ασφαλειαν
1,5,εγενετο εν ταιv ημεραιv ηρωδου του βασιλεωv τηvιουδαιαv ιερευv τιv ονοματι ζαξαριαv εχ εφημεριαv αβια καιη γυνη αυτου εκ των ψυγατερων ααρων και το ονομα αυτηvελισαβετ
1,6,ησαν δε δικαιοι αμφοτεροι ενωπιον του ψεουπορευομενοι εν πασαιv ταιv εντολαιv και δικαιωμασιν τουκυριου αμεμπτοι
1,7,και ουκ ην αυτοιv τεκνον καψοτι η ελισαβετ ηνστειρα και αμφοτεροι προβεβηκοτεv εν ταιv ημεραιv αυτων ησαν
1,8,εγενετο δε εν τω ιερατευειν αυτον εν τη ταχει τηvεφημεριαv αυτου εναντι του ψεου
1,9,κατα το εψοv τηv ιερατειαv ελαξεν του ψυμιασαιεισελψων ειv τον ναον του κυριου
1,10,και παν το πληψοv ην του λαου προσευξομενον εχωτη ωρα του ψυμιαματοv
1,11,ωφψη δε αυτω αγγελοv κυριου εστωv εκ δεχιων τουψυσιαστηριου του ψυμιαματοv
1,12,και εταραξψη ζαξαριαv ιδων και φοβοv επεπεσεν επαυτον
1,13,ειπεν δε προv αυτον ο αγγελοv μη φοβου ζαξαριαδιοτι εισηκουσψη η δεησιv σου και η γυνη σου ελισαβετγεννησει υιον σοι και καλεσειv το ονομα αυτου ιωαννην
1,14,και εσται ξαρα σοι και αγαλλιασιv και πολλοι επιτη γεννησει αυτου ξαρησονται
1,15,εσται γαρ μεγαv ενωπιον του κυριου και οινον καισικερα ου μη πιη και πνευματοv αγιου πλησψησεται ετι εκκοιλιαv μητροv αυτου
1,16,και πολλουv των υιων ισραηλ επιστρεθει επι κυριοντον ψεον αυτων
1,17,και αυτοv προελευσεται ενωπιον αυτου εν πνευματικαι δυναμει ηλιου επιστρεθαι καρδιαv πατερων επι τεκνα καιαπειψειv εν φρονησει δικαιων ετοιμασαι κυριω λαονκατεσκευασμενον
1,18,και ειπεν ζαξαριαv προv τον αγγελον κατα τιγνωσομαι τουτο εγω γαρ ειμι πρεσβυτηv και η γυνη μουπροβεβηκυια εν ταιv ημεραιv αυτηv
1,19,και αποκριψειv ο αγγελοv ειπεν αυτω εγω ειμιγαβριηλ ο παρεστηκωv ενωπιον του ψεου και απεσταλην λαλησαιπροv σε και ευαγγελισασψαι σοι ταυτα
1,20,και ιδου εση σιωπων και μη δυναμενοv λαλησαι αξριηv ημεραv γενηται ταυτα ανψ ων ουκ επιστευσαv τοιv λογοιvμου οιτινεv πληρωψησονται ειv τον καιρον αυτων
1,21,και ην ο λαοv προσδοκων τον ζαξαριαν καιεψαυμαζον εν τω ξρονιζειν αυτον εν τω ναω
1,22,εχελψων δε ουκ ηδυνατο λαλησαι αυτοιv καιεπεγνωσαν οτι οπτασιαν εωρακεν εν τω ναω και αυτοv ηνδιανευων αυτοιv και διεμενεν κωφοv
1,23,και εγενετο ωv επλησψησαν αι ημεραι τηvλειτουργιαv αυτου απηλψεν ειv τον οικον αυτου
1,24,μετα δε ταυταv ταv ημεραv συνελαβεν ελισαβετ ηγυνη αυτου και περιεκρυβεν εαυτην μηναv πεντε λεγουσα
1,25,οτι ουτωv μοι πεποιηκεν ο κυριοv εν ημεραιv αιvεπειδεν αφελειν το ονειδοv μου εν ανψρωποιv
1,26,εν δε τω μηνι τω εκτω απεσταλη ο αγγελοv γαβριηλυπο του ψεου ειv πολιν τηv γαλιλαιαv η ονομα ναζαρετ
1,27,προv παρψενον μεμνηστευμενην ανδρι ω ονομα ιωσηφεχ οικου δαυιδ και το ονομα τηv παρψενου μαριαμ
1,28,και εισελψων ο αγγελοv προv αυτην ειπεν ξαιρεκεξαριτωμενη ο κυριοv μετα σου ευλογημενη συ εν γυναιχιν
1,29,η δε ιδουσα διεταραξψη επι τω λογω αυτου καιδιελογιζετο ποταποv ειη ο ασπασμοv ουτοv
1,30,και ειπεν ο αγγελοv αυτη μη φοβου μαριαμ ευρεvγαρ ξαριν παρα τω ψεω
1,31,και ιδου συλληθη εν γαστρι και τεχη υιον καικαλεσειv το ονομα αυτου ιησουν
1,32,ουτοv εσται μεγαv και υιοv υθιστου κληψησεται καιδωσει αυτω κυριοv ο ψεοv τον ψρονον δαυιδ του πατροv αυτου
1,33,και βασιλευσει επι τον οικον ιακωβ ειv τουvαιωναv και τηv βασιλειαv αυτου ουκ εσται τελοv
1,34,ειπεν δε μαριαμ προv τον αγγελον πωv εσται τουτοεπει ανδρα ου γινωσκω
1,35,και αποκριψειv ο αγγελοv ειπεν αυτη πνευμα αγιονεπελευσεται επι σε και δυναμιv υθιστου επισκιασει σοι διοκαι το γεννωμενον αγιον κληψησεται υιοv ψεου
1,36,και ιδου ελισαβετ η συγγενηv σου και αυτησυνειληφυια υιον εν γηρει αυτηv και ουτοv μην εκτοv εστιναυτη τη καλουμενη στειρα
1,37,οτι ουκ αδυνατησει παρα τω ψεω παν ρημα
1,38,ειπεν δε μαριαμ ιδου η δουλη κυριου γενοιτο μοικατα το ρημα σου και απηλψεν απ αυτηv ο αγγελοv
1,39,αναστασα δε μαριαμ εν ταιv ημεραιv ταυταιvεπορευψη ειv την ορεινην μετα σπουδηv ειv πολιν ιουδα
1,40,και εισηλψεν ειv τον οικον ζαξαριου και ησπασατοτην ελισαβετ
1,41,και εγενετο ωv ηκουσεν η ελισαβετ τον ασπασμοντηv μαριαv εσκιρτησεν το βρεφοv εν τη κοιλια αυτηv καιεπλησψη πνευματοv αγιου η ελισαβετ
1,42,και ανεφωνησεν φωνη μεγαλη και ειπεν ευλογημενησυ εν γυναιχιν και ευλογημενοv ο καρποv τηv κοιλιαv σου
1,43,και ποψεν μοι τουτο ινα ελψη η μητηρ του κυριουμου προv με
1,44,ιδου γαρ ωv εγενετο η φωνη του ασπασμου σου ειvτα ωτα μου εσκιρτησεν το βρεφοv εν αγαλλιασει εν τη κοιλιαμου
1,45,και μακαρια η πιστευσασα οτι εσται τελειωσιv τοιvλελαλημενοιv αυτη παρα κυριου
1,46,και ειπεν μαριαμ μεγαλυνει η θυξη μου τον κυριον
1,47,και ηγαλλιασεν το πνευμα μου επι τω ψεω τω σωτηριμου
1,48,οτι επεβλεθεν επι την ταπεινωσιν τηv δουληv αυτουιδου γαρ απο του νυν μακαριουσιν με πασαι αι γενεαι
1,49,οτι εποιησεν μοι μεγαλεια ο δυνατοv και αγιον τοονομα αυτου
1,50,και το ελεοv αυτου ειv γενεαv γενεων τοιvφοβουμενοιv αυτον
1,51,εποιησεν κρατοv εν βραξιονι αυτου διεσκορπισενυπερηφανουv διανοια καρδιαv αυτων
1,52,καψειλεν δυνασταv απο ψρονων και υθωσεν ταπεινουv
1,53,πεινωνταv ενεπλησεν αγαψων και πλουτουνταvεχαπεστειλεν κενουv
1,54,αντελαβετο ισραηλ παιδοv αυτου μνησψηναι ελεουv
1,55,καψωv ελαλησεν προv τουv πατεραv ημων τω αβρααμκαι τω σπερματι αυτου ειv τον αιωνα
1,56,εμεινεν δε μαριαμ συν αυτη ωσει μηναv τρειv καιυπεστρεθεν ειv τον οικον αυτηv
