chapter,verse,text
1,1,αρξη του ευαγγελιου ιησου ξριστου υιου του ψεου
1,2,ωv γεγραπται εν τοιv προφηταιv ιδου εγω αποστελλωτον αγγελον μου προ προσωπου σου οv κατασκευασει την οδονσου εμπροσψεν σου
1,3,φωνη βοωντοv εν τη ερημω ετοιμασατε την οδονκυριου ευψειαv ποιειτε ταv τριβουv αυτου
1,4,εγενετο ιωαννηv βαπτιζων εν τη ερημω και κηρυσσωνβαπτισμα μετανοιαv ειv αφεσιν αμαρτιων
1,5,και εχεπορευετο προv αυτον πασα η ιουδαια ξωρα καιοι ιεροσολυμιται και εβαπτιζοντο παντεv εν τω ιορδανη ποταμωυπ αυτου εχομολογουμενοι ταv αμαρτιαv αυτων
1,6,ην δε ο ιωαννηv ενδεδυμενοv τριξαv καμηλου καιζωνην δερματινην περι την οσφυν αυτου και εσψιων ακριδαvκαι μελι αγριον
1,7,και εκηρυσσεν λεγων ερξεται ο ισξυροτεροv μουοπισω μου ου ουκ ειμι ικανοv κυθαv λυσαι τον ιμαντα τωνυποδηματων αυτου
1,8,εγω μεν εβαπτισα υμαv εν υδατι αυτοv δε βαπτισειυμαv εν πνευματι αγιω
1,9,και εγενετο εν εκειναιv ταιv ημεραιv ηλψεν ιησουvαπο ναζαρετ τηv γαλιλαιαv και εβαπτισψη υπο ιωαννου ειv τονιορδανην
1,10,και ευψεωv αναβαινων απο του υδατοv ειδενσξιζομενουv τουv ουρανουv και το πνευμα ωσει περιστερανκαταβαινον επ αυτον
1,11,και φωνη εγενετο εκ των ουρανων συ ει ο υιοv μουο αγαπητοv εν ω ευδοκησα
1,12,και ευψυv το πνευμα αυτον εκβαλλει ειv την ερημον
1,13,και ην εκει εν τη ερημω ημεραv τεσσαρακονταπειραζομενοv υπο του σατανα και ην μετα των ψηριων και οιαγγελοι διηκονουν αυτω
1,14,μετα δε το παραδοψηναι τον ιωαννην ηλψεν ο ιησουvειv την γαλιλαιαν κηρυσσων το ευαγγελιον τηv βασιλειαv τουψεου
1,15,και λεγων οτι πεπληρωται ο καιροv και ηγγικεν ηβασιλεια του ψεου μετανοειτε και πιστευετε εν τω ευαγγελιω
1,16,περιπατων δε παρα την ψαλασσαν τηv γαλιλαιαvειδεν σιμωνα και ανδρεαν τον αδελφον αυτου του σιμωνοvβαλλονταv αμφιβληστρον εν τη ψαλασση ησαν γαρ αλιειv
1,17,και ειπεν αυτοιv ο ιησουv δευτε οπισω μου καιποιησω υμαv γενεσψαι αλιειv ανψρωπων
1,18,και ευψεωv αφεντεv τα δικτυα αυτων ηκολουψησαναυτω
1,19,και προβαv εκειψεν ολιγον ειδεν ιακωβον τον τουζεβεδαιου και ιωαννην τον αδελφον αυτου και αυτουv εν τωπλοιω καταρτιζονταv τα δικτυα
1,20,και ευψεωv εκαλεσεν αυτουv και αφεντεv τον πατερααυτων ζεβεδαιον εν τω πλοιω μετα των μισψωτων απηλψον οπισωαυτου
1,21,και εισπορευονται ειv καπερναουμ και ευψεωv τοιvσαββασιν εισελψων ειv την συναγωγην εδιδασκεν
1,22,και εχεπλησσοντο επι τη διδαξη αυτου ην γαρδιδασκων αυτουv ωv εχουσιαν εξων και ουξ ωv οι γραμματειv
1,23,και ην εν τη συναγωγη αυτων ανψρωποv εν πνευματιακαψαρτω και ανεκραχεν
1,24,λεγων εα τι ημιν και σοι ιησου ναζαρηνε ηλψεvαπολεσαι ημαv οιδα σε τιv ει ο αγιοv του ψεου
1,25,και επετιμησεν αυτω ο ιησουv λεγων φιμωψητι καιεχελψε εχ αυτου
1,26,και σπαραχαν αυτον το πνευμα το ακαψαρτον καικραχαν φωνη μεγαλη εχηλψεν εχ αυτου
1,27,και εψαμβηψησαν παντεv ωστε συζητειν προv εαυτουvλεγονταv τι εστιν τουτο τιv η διδαξη η καινη αυτη οτι κατεχουσιαν και τοιv πνευμασιν τοιv ακαψαρτοιv επιτασσει καιυπακουουσιν αυτω
1,28,εχηλψεν δε η ακοη αυτου ευψυv ειv ολην τηνπεριξωρον τηv γαλιλαιαv
1,29,και ευψεωv εκ τηv συναγωγηv εχελψοντεv ηλψον ειvτην οικιαν σιμωνοv και ανδρεου μετα ιακωβου και ιωαννου
1,30,η δε πενψερα σιμωνοv κατεκειτο πυρεσσουσα καιευψεωv λεγουσιν αυτω περι αυτηv
1,31,και προσελψων ηγειρεν αυτην κρατησαv τηv ξειροvαυτηv και αφηκεν αυτην ο πυρετοv ευψεωv και διηκονει αυτοιv
1,32,οθιαv δε γενομενηv οτε εδυ ο ηλιοv εφερον προvαυτον πανταv τουv κακωv εξονταv και τουv δαιμονιζομενουv
1,33,και η πολιv ολη επισυνηγμενη ην προv την ψυραν
1,34,και εψεραπευσεν πολλουv κακωv εξονταv ποικιλαιvνοσοιv και δαιμονια πολλα εχεβαλεν και ουκ ηφιεν λαλειν ταδαιμονια οτι ηδεισαν αυτον
1,35,και πρωι εννυξον λιαν ανασταv εχηλψεν και απηλψενειv ερημον τοπον κακει προσηυξετο
1,36,και κατεδιωχαν αυτον ο σιμων και οι μετ αυτου
1,37,και ευροντεv αυτον λεγουσιν αυτω οτι παντεv σεζητουσιν
1,38,και λεγει αυτοιv αγωμεν ειv ταv εξομεναvκωμοπολειv ινα και εκει κηρυχω ειv τουτο γαρ εχεληλυψα
1,39,και ην κηρυσσων εν ταιv συναγωγαιv αυτων ειv οληντην γαλιλαιαν και τα δαιμονια εκβαλλων
1,40,και ερξεται προv αυτον λεπροv παρακαλων αυτον καιγονυπετων αυτον και λεγων αυτω οτι εαν ψεληv δυνασαι μεκαψαρισαι
1,41,ο δε ιησουv σπλαγξνισψειv εκτειναv την ξειραηθατο αυτου και λεγει αυτω ψελω καψαρισψητι
1,42,και ειποντοv αυτου ευψεωv απηλψεν απ αυτου ηλεπρα και εκαψαρισψη
1,43,και εμβριμησαμενοv αυτω ευψεωv εχεβαλεν αυτον
1,44,και λεγει αυτω ορα μηδενι μηδεν ειπηv αλλ υπαγεσεαυτον δειχον τω ιερει και προσενεγκε περι του καψαρισμουσου α προσεταχεν μωσηv ειv μαρτυριον αυτοιv
1,45,ο δε εχελψων ηρχατο κηρυσσειν πολλα καιδιαφημιζειν τον λογον ωστε μηκετι αυτον δυνασψαι φανερωvειv πολιν εισελψειν αλλ εχω εν ερημοιv τοποιv ην καιηρξοντο προv αυτον πανταξοψεν
2,1,και εισηλψεν παλιν ειv καπερναουμ δι ημερων καιηκουσψη οτι ειv οικον εστιν
2,2,και ευψεωv συνηξψησαν πολλοι ωστε μηκετι ξωρεινμηδε τα προv την ψυραν και ελαλει αυτοιv τον λογον
2,3,και ερξονται προv αυτον παραλυτικον φεροντεvαιρομενον υπο τεσσαρων
2,4,και μη δυναμενοι προσεγγισαι αυτω δια τον οξλοναπεστεγασαν την στεγην οπου ην και εχορυχαντεv ξαλωσιν τονκραββατον εφ ω ο παραλυτικοv κατεκειτο
2,5,ιδων δε ο ιησουv την πιστιν αυτων λεγει τωπαραλυτικω τεκνον αφεωνται σοι αι αμαρτιαι σου
2,6,ησαν δε τινεv των γραμματεων εκει καψημενοι καιδιαλογιζομενοι εν ταιv καρδιαιv αυτων
2,7,τι ουτοv ουτωv λαλει βλασφημιαv τιv δυναταιαφιεναι αμαρτιαv ει μη ειv ο ψεοv
2,8,και ευψεωv επιγνουv ο ιησουv τω πνευματι αυτου οτιουτωv αυτοι διαλογιζονται εν εαυτοιv ειπεν αυτοιv τι ταυταδιαλογιζεσψε εν ταιv καρδιαιv υμων
