chapter,verse,text
1,1,βιβλοv γενεσεωv ιησου ξριστου υιου δαυιδ υιουαβρααμ
1,2,αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τονιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τουv αδελφουv αυτου
1,3,ιουδαv δε εγεννησεν τον φαρεv και τον ζαρα εκ τηvψαμαρ φαρεv δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τοναραμ
1,4,αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δεεγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων
1,5,σαλμων δε εγεννησεν τον βοοζ εκ τηv ραξαβ βοοζ δεεγεννησεν τον ωβηδ εκ τηv ρουψ ωβηδ δε εγεννησεν τον ιεσσαι
1,6,ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δεο βασιλευv εγεννησεν τον σολομωνα εκ τηv του ουριου
1,7,σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δεεγεννησεν τον αβια αβια δε εγεννησεν τον ασα
1,8,ασα δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεντον ιωραμ ιωραμ δε εγεννησεν τον οζιαν
1,9,οζιαv δε εγεννησεν τον ιωαψαμ ιωαψαμ δε εγεννησεντον αξαζ αξαζ δε εγεννησεν τον εζεκιαν
1,10,εζεκιαv δε εγεννησεν τον μανασση μανασσηv δεεγεννησεν τον αμων αμων δε εγεννησεν τον ιωσιαν
1,11,ιωσιαv δε εγεννησεν τον ιεξονιαν και τουvαδελφουv αυτου επι τηv μετοικεσιαv βαβυλωνοv
1,12,μετα δε την μετοικεσιαν βαβυλωνοv ιεξονιαvεγεννησεν τον σαλαψιηλ σαλαψιηλ δε εγεννησεν τον ζοροβαβελ
1,13,ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δεεγεννησεν τον ελιακειμ ελιακειμ δε εγεννησεν τον αζωρ
1,14,αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεντον αξειμ αξειμ δε εγεννησεν τον ελιουδ
1,15,ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δεεγεννησεν τον ματψαν ματψαν δε εγεννησεν τον ιακωβ
1,16,ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριαv εχηv εγεννηψη ιησουv ο λεγομενοv ξριστοv
1,17,πασαι ουν αι γενεαι απο αβρααμ εωv δαυιδ γενεαιδεκατεσσαρεv και απο δαυιδ εωv τηv μετοικεσιαv βαβυλωνοvγενεαι δεκατεσσαρεv και απο τηv μετοικεσιαv βαβυλωνοv εωvτου ξριστου γενεαι δεκατεσσαρεv
1,18,του δε ιησου ξριστου η γεννησιv ουτωv ηνμνηστευψεισηv γαρ τηv μητροv αυτου μαριαv τω ιωσηφ πριν ησυνελψειν αυτουv ευρεψη εν γαστρι εξουσα εκ πνευματοv αγιου
1,19,ιωσηφ δε ο ανηρ αυτηv δικαιοv ων και μη ψελωναυτην παραδειγματισαι εβουληψη λαψρα απολυσαι αυτην
1,20,ταυτα δε αυτου ενψυμηψεντοv ιδου αγγελοv κυριουκατ οναρ εφανη αυτω λεγων ιωσηφ υιοv δαυιδ μη φοβηψηvπαραλαβειν μαριαμ την γυναικα σου το γαρ εν αυτη γεννηψενεκ πνευματοv εστιν αγιου
1,21,τεχεται δε υιον και καλεσειv το ονομα αυτουιησουν αυτοv γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων
1,22,τουτο δε ολον γεγονεν ινα πληρωψη το ρηψεν υποτου κυριου δια του προφητου λεγοντοv
1,23,ιδου η παρψενοv εν γαστρι εχει και τεχεται υιονκαι καλεσουσιν το ονομα αυτου εμμανουηλ ο εστινμεψερμηνευομενον μεψ ημων ο ψεοv
1,24,διεγερψειv δε ο ιωσηφ απο του υπνου εποιησεν ωvπροσεταχεν αυτω ο αγγελοv κυριου και παρελαβεν την γυναικααυτου
1,25,και ουκ εγινωσκεν αυτην εωv ου ετεκεν τον υιοναυτηv τον πρωτοτοκον και εκαλεσεν το ονομα αυτου ιησουν
