chapter,verse,text
1,1,παυλοv δεσμιοv ξριστου ιησου και τιμοψεοv οαδελφοv φιλημονι τω αγαπητω και συνεργω ημων
1,2,και απφια τη αγαπητη και αρξιππω τω συστρατιωτηημων και τη κατ οικον σου εκκλησια
1,3,ξαριv υμιν και ειρηνη απο ψεου πατροv ημων καικυριου ιησου ξριστου
1,4,ευξαριστω τω ψεω μου παντοτε μνειαν σου ποιουμενοvεπι των προσευξων μου
1,5,ακουων σου την αγαπην και την πιστιν ην εξειv προvτον κυριον ιησουν και ειv πανταv τουv αγιουv
1,6,οπωv η κοινωνια τηv πιστεωv σου ενεργηv γενηται ενεπιγνωσει παντοv αγαψου του εν ημιν ειv ξριστον ιησουν
1,7,ξαριν γαρ εξομεν πολλην και παρακλησιν επι τηαγαπη σου οτι τα σπλαγξνα των αγιων αναπεπαυται δια σουαδελφε
1,8,διο πολλην εν ξριστω παρρησιαν εξων επιτασσειν σοιτο ανηκον
1,9,δια την αγαπην μαλλον παρακαλω τοιουτοv ων ωvπαυλοv πρεσβυτηv νυνι δε και δεσμιοv ιησου ξριστου
1,10,παρακαλω σε περι του εμου τεκνου ον εγεννησα εντοιv δεσμοιv μου ονησιμον
1,11,τον ποτε σοι αξρηστον νυνι δε σοι και εμοιευξρηστον ον ανεπεμθα
1,12,συ δε αυτον τουτ εστιν τα εμα σπλαγξνα προσλαβου
1,13,ον εγω εβουλομην προv εμαυτον κατεξειν ινα υπερσου διακονη μοι εν τοιv δεσμοιv του ευαγγελιου
1,14,ξωριv δε τηv σηv γνωμηv ουδεν ηψελησα ποιησαι ιναμη ωv κατα αναγκην το αγαψον σου η αλλα κατα εκουσιον
1,15,ταξα γαρ δια τουτο εξωρισψη προv ωραν ινα αιωνιοναυτον απεξηv
1,16,ουκετι ωv δουλον αλλ υπερ δουλον αδελφον αγαπητονμαλιστα εμοι ποσω δε μαλλον σοι και εν σαρκι και εν κυριω
1,17,ει ουν με εξειv κοινωνον προσλαβου αυτον ωv εμε
1,18,ει δε τι ηδικησεν σε η οφειλει τουτο εμοι ελλογει
1,19,εγω παυλοv εγραθα τη εμη ξειρι εγω αποτισω ινα μηλεγω σοι οτι και σεαυτον μοι προσοφειλειv
1,20,ναι αδελφε εγω σου οναιμην εν κυριω αναπαυσον μουτα σπλαγξνα εν κυριω
1,21,πεποιψωv τη υπακοη σου εγραθα σοι ειδωv οτι καιυπερ ο λεγω ποιησειv
1,22,αμα δε και ετοιμαζε μοι χενιαν ελπιζω γαρ οτι διατων προσευξων υμων ξαρισψησομαι υμιν
1,23,ασπαζονται σε επαφραv ο συναιξμαλωτοv μου ενξριστω ιησου
1,24,μαρκοv αρισταρξοv δημαv λουκαv οι συνεργοι μου
1,25,η ξαριv του κυριου ημων ιησου ξριστου μετα τουπνευματοv υμων αμην
