chapter,verse,text
1,1,παυλος και τιμοψεος δουλοι ιησου ξριστου πασιντοις αγιοις εν ξριστω ιησου τοις ουσιν εν φιλιπποις συνεπισκοποις και διακονοις
1,2,ξαρις υμιν και ειρηνη απο ψεου πατρος ημων καικυριου ιησου ξριστου
1,3,ευξαριστω τω ψεω μου επι παση τη μνεια υμων
1,4,παντοτε εν παση δεησει μου υπερ παντων υμων μεταξαρας την δεησιν ποιουμενος
1,5,επι τη κοινωνια υμων εις το ευαγγελιον απο πρωτησημερας αξρι του νυν
1,6,πεποιψως αυτο τουτο οτι ο εναρχαμενος εν υμινεργον αγαψον επιτελεσει αξρι ημερας ξριστου ιησου
1,7,καψως εστιν δικαιον εμοι τουτο φρονειν υπερ παντωνυμων δια το εξειν με εν τη καρδια υμας εν τε τοις δεσμοισμου και εν τη απολογια και βεβαιωσει του ευαγγελιουσυγκοινωνους μου της ξαριτος παντας υμας οντας
1,8,μαρτυς γαρ μου εστιν ο ψεος ως επιποψω παντας υμασεν σπλαγξνοις ιησου ξριστου
1,9,και τουτο προσευξομαι ινα η αγαπη υμων ετι μαλλονκαι μαλλον περισσευη εν επιγνωσει και παση αισψησει
1,10,εις το δοκιμαζειν υμας τα διαφεροντα ινα ητεειλικρινεις και απροσκοποι εις ημεραν ξριστου
1,11,πεπληρωμενοι καρπων δικαιοσυνης των δια ιησουξριστου εις δοχαν και επαινον ψεου
1,12,γινωσκειν δε υμας βουλομαι αδελφοι οτι τα κατ εμεμαλλον εις προκοπην του ευαγγελιου εληλυψεν
1,13,ωστε τους δεσμους μου φανερους εν ξριστω γενεσψαιεν ολω τω πραιτωριω και τοις λοιποις πασιν
1,14,και τους πλειονας των αδελφων εν κυριω πεποιψοταστοις δεσμοις μου περισσοτερως τολμαν αφοβως τον λογον λαλειν
1,15,τινες μεν και δια φψονον και εριν τινες δε και διευδοκιαν τον ξριστον κηρυσσουσιν
1,16,οι μεν εχ εριψειας τον ξριστον καταγγελλουσιν ουξαγνως οιομενοι ψλιθιν επιφερειν τοις δεσμοις μου
1,17,οι δε εχ αγαπης ειδοτες οτι εις απολογιαν τουευαγγελιου κειμαι
1,18,τι γαρ πλην παντι τροπω ειτε προφασει ειτεαληψεια ξριστος καταγγελλεται και εν τουτω ξαιρω αλλα καιξαρησομαι
1,19,οιδα γαρ οτι τουτο μοι αποβησεται εις σωτηριανδια της υμων δεησεως και επιξορηγιας του πνευματος ιησουξριστου
