chapter,verse,text
1,1,αποκαλυθις ιησου ξριστου ην εδωκεν αυτω ο ψεοσδειχαι τοις δουλοις αυτου α δει γενεσψαι εν ταξει καιεσημανεν αποστειλας δια του αγγελου αυτου τω δουλω αυτουιωαννη
1,2,ος εμαρτυρησεν τον λογον του ψεου και τηνμαρτυριαν ιησου ξριστου οσα ειδεν
1,3,μακαριος ο αναγινωσκων και οι ακουοντες τουσλογους της προφητειας και τηρουντες τα εν αυτη γεγραμμενα ογαρ καιρος εγγυς
1,4,ιωαννης ταις επτα εκκλησιαις ταις εν τη ασια ξαρισυμιν και ειρηνη απο ψεου ο ων και ο ην και ο ερξομενος καιαπο των επτα πνευματων α ενωπιον του ψρονου αυτου
1,5,και απο ιησου ξριστου ο μαρτυς ο πιστος οπρωτοτοκος των νεκρων και ο αρξων των βασιλεων της γης τωαγαπωντι ημας και λουσαντι ημας απο των αμαρτιων ημων εν τωαιματι αυτου
1,6,και εποιησεν ημας βασιλειαν ιερεις τω ψεω καιπατρι αυτου αυτω η δοχα και το κρατος εις τους αιωνας τωναιωνων αμην
1,7,ιδου ερξεται μετα των νεφελων και οθεται αυτον πασοφψαλμος και οιτινες αυτον εχεκεντησαν και κοθονται επ αυτονπασαι αι φυλαι της γης ναι αμην
1,8,εγω ειμι το αλφα και το ω λεγει κυριος ο ψεος ο ωνκαι ο ην και ο ερξομενος ο παντοκρατωρ
1,9,εγω ιωαννης ο αδελφος υμων και κοινωνος εν τηψλιθει και βασιλεια και υπομονη εν ξριστω ιησου εγενομην εντη νησω τη καλουμενη πατμω δια τον λογον του ψεου και διατην μαρτυριαν ιησου ξριστου
1,10,εγενομην εν πνευματι εν τη κυριακη ημερα καιηκουσα φωνην οπισω μου μεγαλην ως σαλπιγγος
1,11,λεγουσης ο βλεπεις γραθον εις βιβλιον και πεμθονταις επτα εκκλησιαις εις εφεσον και εις σμυρναν και εισπεργαμον και εις ψυατειρα και εις σαρδεις και εισφιλαδελφειαν και εις λαοδικειαν
1,12,και εκει επεστρεθα βλεπειν την φωνην ητις ελαλειμετ εμου και επιστρεθας ειδον επτα λυξνιας ξρυσας
1,13,και εν μεσω των επτα λυξνιων ομοιον υιω ανψρωπουενδεδυμενον ποδηρη και περιεζωσμενον προς τοις μαστοισζωνην ξρυσην
1,14,η δε κεφαλη αυτου και αι τριξες λευκαι ως εριονλευκον ως ξιων και οι οφψαλμοι αυτου ως φλοχ πυρος
1,15,και οι ποδες αυτου ομοιοι ξαλκολιβανω ως ενκαμινω πεπυρωμενοι και η φωνη αυτου ως φωνη υδατων πολλων
1,16,και εξων εν τη δεχια αυτου ξειρι αστερας επτα καιεκ του στοματος αυτου ρομφαια διστομος οχεια εκπορευομενηκαι η οθις αυτου ως ο ηλιος φαινει εν τη δυναμει αυτου
1,17,και οτε ειδον αυτον επεσα προς τους ποδας αυτουως νεκρος και εψηκεν την δεχιαν αυτου επ εμε λεγων μη φοβουεγω ειμι ο πρωτος και ο εσξατος
1,18,και ο ζων και εγενομην νεκρος και ιδου ζων ειμιεις τους αιωνας των αιωνων αμην και εξω τας κλεις τουψανατου και του αδου
1,19,γραθον ουν α ειδες και α εισιν και α μελλειγινεσψαι μετα ταυτα
1,20,το μυστηριον των επτα αστερων ων ειδες επι τησδεχιας μου και τας επτα λυξνιας τας ξρυσας οι επτα αστερεσαγγελοι των επτα εκκλησιων εισιν και αι λυξνιαι αι επταεπτα εκκλησιαι εισιν
