chapter,verse,text
1,1,παυλοv δουλοv ιησου ξριστου κλητοv αποστολοvαφωρισμενοv ειv ευαγγελιον ψεου
1,2,ο προεπηγγειλατο δια των προφητων αυτου εν γραφαιvαγιαιv
1,3,περι του υιου αυτου του γενομενου εκ σπερματοvδαυιδ κατα σαρκα
1,4,του ορισψεντοv υιου ψεου εν δυναμει κατα πνευμααγιωσυνηv εχ αναστασεωv νεκρων ιησου ξριστου του κυριου ημων
1,5,δι ου ελαβομεν ξαριν και αποστολην ειv υπακοηνπιστεωv εν πασιν τοιv εψνεσιν υπερ του ονοματοv αυτου
1,6,εν οιv εστε και υμειv κλητοι ιησου ξριστου
1,7,πασιν τοιv ουσιν εν ρωμη αγαπητοιv ψεου κλητοιvαγιοιv ξαριv υμιν και ειρηνη απο ψεου πατροv ημων καικυριου ιησου ξριστου
1,8,πρωτον μεν ευξαριστω τω ψεω μου δια ιησου ξριστουυπερ παντων υμων οτι η πιστιv υμων καταγγελλεται εν ολω τωκοσμω
1,9,μαρτυv γαρ μου εστιν ο ψεοv ω λατρευω εν τωπνευματι μου εν τω ευαγγελιω του υιου αυτου ωv αδιαλειπτωvμνειαν υμων ποιουμαι
1,10,παντοτε επι των προσευξων μου δεομενοv ει πωv ηδηποτε ευοδωψησομαι εν τω ψεληματι του ψεου ελψειν προv υμαv
1,11,επιποψω γαρ ιδειν υμαv ινα τι μεταδω ξαρισμα υμινπνευματικον ειv το στηριξψηναι υμαv
1,12,τουτο δε εστιν συμπαρακληψηναι εν υμιν δια τηv εναλληλοιv πιστεωv υμων τε και εμου
1,13,ου ψελω δε υμαv αγνοειν αδελφοι οτι πολλακιvπροεψεμην ελψειν προv υμαv και εκωλυψην αξρι του δευρο ινατινα καρπον σξω και εν υμιν καψωv και εν τοιv λοιποιvεψνεσιν
1,14,ελλησιν τε και βαρβαροιv σοφοιv τε και ανοητοιvοφειλετηv ειμι
1,15,ουτωv το κατ εμε προψυμον και υμιν τοιv εν ρωμηευαγγελισασψαι
1,16,ου γαρ επαισξυνομαι το ευαγγελιον του ξριστουδυναμιv γαρ ψεου εστιν ειv σωτηριαν παντι τω πιστευοντιιουδαιω τε πρωτον και ελληνι
1,17,δικαιοσυνη γαρ ψεου εν αυτω αποκαλυπτεται εκπιστεωv ειv πιστιν καψωv γεγραπται ο δε δικαιοv εκ πιστεωvζησεται
1,18,αποκαλυπτεται γαρ οργη ψεου απ ουρανου επι πασανασεβειαν και αδικιαν ανψρωπων των την αληψειαν εν αδικιακατεξοντων
1,19,διοτι το γνωστον του ψεου φανερον εστιν εν αυτοιvο γαρ ψεοv αυτοιv εφανερωσεν
1,20,τα γαρ αορατα αυτου απο κτισεωv κοσμου τοιvποιημασιν νοουμενα καψοραται η τε αιδιοv αυτου δυναμιv καιψειοτηv ειv το ειναι αυτουv αναπολογητουv
1,21,διοτι γνοντεv τον ψεον ουξ ωv ψεον εδοχασαν ηευξαριστησαν αλλ εματαιωψησαν εν τοιv διαλογισμοιv αυτωνκαι εσκοτισψη η ασυνετοv αυτων καρδια
1,22,φασκοντεv ειναι σοφοι εμωρανψησαν
1,23,και ηλλαχαν την δοχαν του αφψαρτου ψεου ενομοιωματι εικονοv φψαρτου ανψρωπου και πετεινων καιτετραποδων και ερπετων
1,24,διο και παρεδωκεν αυτουv ο ψεοv εν ταιvεπιψυμιαιv των καρδιων αυτων ειv ακαψαρσιαν του ατιμαζεσψαιτα σωματα αυτων εν εαυτοιv
1,25,οιτινεv μετηλλαχαν την αληψειαν του ψεου εν τωθευδει και εσεβασψησαν και ελατρευσαν τη κτισει παρα τονκτισαντα οv εστιν ευλογητοv ειv τουv αιωναv αμην
1,26,δια τουτο παρεδωκεν αυτουv ο ψεοv ειv παψηατιμιαv αι τε γαρ ψηλειαι αυτων μετηλλαχαν την φυσικηνξρησιν ειv την παρα φυσιν
1,27,ομοιωv τε και οι αρρενεv αφεντεv την φυσικηνξρησιν τηv ψηλειαv εχεκαυψησαν εν τη ορεχει αυτων ειvαλληλουv αρσενεv εν αρσεσιν την ασξημοσυνην κατεργαζομενοικαι την αντιμισψιαν ην εδει τηv πλανηv αυτων εν εαυτοιvαπολαμβανοντεv
1,28,και καψωv ουκ εδοκιμασαν τον ψεον εξειν ενεπιγνωσει παρεδωκεν αυτουv ο ψεοv ειv αδοκιμον νουν ποιειντα μη καψηκοντα
1,29,πεπληρωμενουv παση αδικια πορνεια πονηριαπλεονεχια κακια μεστουv φψονου φονου εριδοv δολουκακοηψειαv θιψυρισταv
1,30,καταλαλουv ψεοστυγειv υβρισταv υπερηφανουvαλαζοναv εφευρεταv κακων γονευσιν απειψειv
1,31,ασυνετουv ασυνψετουv αστοργουv ασπονδουvανελεημοναv
1,32,οιτινεv το δικαιωμα του ψεου επιγνοντεv οτι οι τατοιαυτα πρασσοντεv αχιοι ψανατου εισιν ου μονον αυταποιουσιν αλλα και συνευδοκουσιν τοιv πρασσουσιν
2,1,διο αναπολογητοv ει ω ανψρωπε παv ο κρινων εν ωγαρ κρινειv τον ετερον σεαυτον κατακρινειv τα γαρ αυταπρασσειv ο κρινων
2,2,οιδαμεν δε οτι το κριμα του ψεου εστιν κατααληψειαν επι τουv τα τοιαυτα πρασσονταv
