chapter,verse,text
1,1,παυλοv δουλοv ψεου αποστολοv δε ιησου ξριστου καταπιστιν εκλεκτων ψεου και επιγνωσιν αληψειαv τηv κατ ευσεβειαν
1,2,επ ελπιδι ζωηv αιωνιου ην επηγγειλατο ο αθευδηvψεοv προ ξρονων αιωνιων
1,3,εφανερωσεν δε καιροιv ιδιοιv τον λογον αυτου ενκηρυγματι ο επιστευψην εγω κατ επιταγην του σωτηροv ημωνψεου
1,4,τιτω γνησιω τεκνω κατα κοινην πιστιν ξαριv ελεοvειρηνη απο ψεου πατροv και κυριου ιησου ξριστου του σωτηροvημων
1,5,τουτου ξαριν κατελιπον σε εν κρητη ινα τα λειπονταεπιδιορψωση και καταστησηv κατα πολιν πρεσβυτερουv ωv εγωσοι διεταχαμην
1,6,ει τιv εστιν ανεγκλητοv μιαv γυναικοv ανηρ τεκναεξων πιστα μη εν κατηγορια ασωτιαv η ανυποτακτα
1,7,δει γαρ τον επισκοπον ανεγκλητον ειναι ωv ψεουοικονομον μη αυψαδη μη οργιλον μη παροινον μη πληκτην μηαισξροκερδη
1,8,αλλα φιλοχενον φιλαγαψον σωφρονα δικαιον οσιονεγκρατη
1,9,αντεξομενον του κατα την διδαξην πιστου λογου ιναδυνατοv η και παρακαλειν εν τη διδασκαλια τη υγιαινουση καιτουv αντιλεγονταv ελεγξειν
1,10,εισιν γαρ πολλοι και ανυποτακτοι ματαιολογοι καιφρεναπαται μαλιστα οι εκ περιτομηv
1,11,ουv δει επιστομιζειν οιτινεv ολουv οικουvανατρεπουσιν διδασκοντεv α μη δει αισξρου κερδουv ξαριν
1,12,ειπεν τιv εχ αυτων ιδιοv αυτων προφητηv κρητεvαει θευσται κακα ψηρια γαστερεv αργαι
1,13,η μαρτυρια αυτη εστιν αληψηv δι ην αιτιαν ελεγξεαυτουv αποτομωv ινα υγιαινωσιν εν τη πιστει
1,14,μη προσεξοντεv ιουδαικοιv μυψοιv και εντολαιvανψρωπων αποστρεφομενων την αληψειαν
1,15,παντα μεν καψαρα τοιv καψαροιv τοιv δεμεμιασμενοιv και απιστοιv ουδεν καψαρον αλλα μεμιανταιαυτων και ο νουv και η συνειδησιv
1,16,ψεον ομολογουσιν ειδεναι τοιv δε εργοιv αρνουνταιβδελυκτοι οντεv και απειψειv και προv παν εργον αγαψοναδοκιμοι
2,1,συ δε λαλει α πρεπει τη υγιαινουση διδασκαλια
2,2,πρεσβυταv νηφαλεουv ειναι σεμνουv σωφροναvυγιαινονταv τη πιστει τη αγαπη τη υπομονη
2,3,πρεσβυτιδαv ωσαυτωv εν καταστηματι ιεροπρεπειv μηδιαβολουv μη οινω πολλω δεδουλωμεναv καλοδιδασκαλουv
2,4,ινα σωφρονιζωσιν ταv νεαv φιλανδρουv ειναιφιλοτεκνουv
2,5,σωφροναv αγναv οικουρουv αγαψαv υποτασσομεναv τοιvιδιοιv ανδρασιν ινα μη ο λογοv του ψεου βλασφημηται
2,6,τουv νεωτερουv ωσαυτωv παρακαλει σωφρονειν
2,7,περι παντα σεαυτον παρεξομενοv τυπον καλων εργωνεν τη διδασκαλια αδιαφψοριαν σεμνοτητα αφψαρσιαν
2,8,λογον υγιη ακαταγνωστον ινα ο εχ εναντιαv εντραπημηδεν εξων περι ημων λεγειν φαυλον
2,9,δουλουv ιδιοιv δεσποταιv υποτασσεσψαι εν πασινευαρεστουv ειναι μη αντιλεγονταv
2,10,μη νοσφιζομενουv αλλα πιστιν πασαν ενδεικνυμενουvαγαψην ινα την διδασκαλιαν του σωτηροv ημων ψεου κοσμωσιν ενπασιν
2,11,επεφανη γαρ η ξαριv του ψεου η σωτηριοv πασινανψρωποιv
2,12,παιδευουσα ημαv ινα αρνησαμενοι την ασεβειαν καιταv κοσμικαv επιψυμιαv σωφρονωv και δικαιωv και ευσεβωvζησωμεν εν τω νυν αιωνι
2,13,προσδεξομενοι την μακαριαν ελπιδα και επιφανειαντηv δοχηv του μεγαλου ψεου και σωτηροv ημων ιησου ξριστου
2,14,οv εδωκεν εαυτον υπερ ημων ινα λυτρωσηται ημαvαπο πασηv ανομιαv και καψαριση εαυτω λαον περιουσιονζηλωτην καλων εργων
2,15,ταυτα λαλει και παρακαλει και ελεγξε μετα πασηvεπιταγηv μηδειv σου περιφρονειτω
3,1,υπομιμνησκε αυτουv αρξαιv και εχουσιαιvυποτασσεσψαι πειψαρξειν προv παν εργον αγαψον ετοιμουv ειναι
3,2,μηδενα βλασφημειν αμαξουv ειναι επιεικειv πασανενδεικνυμενουv πραοτητα προv πανταv ανψρωπουv
3,3,ημεν γαρ ποτε και ημειv ανοητοι απειψειvπλανωμενοι δουλευοντεv επιψυμιαιv και ηδοναιv ποικιλαιv ενκακια και φψονω διαγοντεv στυγητοι μισουντεv αλληλουv
3,4,οτε δε η ξρηστοτηv και η φιλανψρωπια επεφανη τουσωτηροv ημων ψεου
3,5,ουκ εχ εργων των εν δικαιοσυνη ων εποιησαμεν ημειvαλλα κατα τον αυτου ελεον εσωσεν ημαv δια λουτρουπαλιγγενεσιαv και ανακαινωσεωv πνευματοv αγιου
3,6,ου εχεξεεν εφ ημαv πλουσιωv δια ιησου ξριστου τουσωτηροv ημων
3,7,ινα δικαιωψεντεv τη εκεινου ξαριτι κληρονομοιγενωμεψα κατ ελπιδα ζωηv αιωνιου
