chapter,verse,text
1,1,"Παῦλος ἀπόστολος οὐκ ἀπ' ἀνθρώπων, οὐδὲ δι' ἀνθρώπου, ἀλλὰ διὰ ʼΙησοῦ χριστοῦ, καὶ θεοῦ πατρὸς τοῦ ἐγείραντος αὐτὸν ἐκ νεκρῶν,"
1,2,"καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί, ταῖς ἐκκλησίαις τῆς Γαλατίας·"
1,3,"χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρός, καὶ κυρίου ἡμῶν ʼΙησοῦ χριστοῦ,"
1,4,"τοῦ δόντος ἑαυτὸν περὶ τῶν ἁμαρτιῶν ἡμῶν, ὅπως ἐξέληται ἡμᾶς ἐκ τοῦ ἐνεστῶτος αἰῶνος πονηροῦ, κατὰ τὸ θέλημα τοῦ θεοῦ καὶ πατρὸς ἡμῶν·"
1,5,ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων. ʼΑμήν.
1,6,Θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι χριστοῦ εἰς ἕτερον εὐαγγέλιον·
1,7,"ὃ οὐκ ἔστιν ἄλλο, εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ χριστοῦ."
1,8,"ʼΑλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ εὐαγγελίζηται ὑμῖν παρ' ὃ εὐηγγελισάμεθα ὑμῖν, ἀνάθεμα ἔστω."
1,9,"ʽΩς προειρήκαμεν, καὶ ἄρτι πάλιν λέγω, εἴ τις ὑμᾶς εὐαγγελίζεται παρ' ὃ παρελάβετε, ἀνάθεμα ἔστω."
1,10,"ʼΆρτι γὰρ ἀνθρώπους πείθω ἢ τὸν θεόν; ʼῊ ζητῶ ἀνθρώποις ἀρέσκειν; Εἰ γὰρ ἔτι ἀνθρώποις ἤρεσκον, χριστοῦ δοῦλος οὐκ ἂν ἤμην."
1,11,"Γνωρίζω δὲ ὑμῖν, ἀδελφοί, τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ' ἐμοῦ, ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον."
