chapter,verse,text
1,1,"ʼΕν ἀρχῇ ἦν ὁ λόγος, καὶ ὁ λόγος ἦν πρὸς τὸν θεόν, καὶ θεὸς ἦν ὁ λόγος."
1,2,Οὗτος ἦν ἐν ἀρχῇ πρὸς τὸν θεόν.
1,3,"Πάντα δι' αὐτοῦ ἐγένετο, καὶ χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἓν ὃ γέγονεν."
1,4,"ʼΕν αὐτῷ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων,"
1,5,"καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν."
1,6,"ʼΕγένετο ἄνθρωπος ἀπεσταλμένος παρὰ θεοῦ, ὄνομα αὐτῷ ʼΙωάννης."
1,7,"Οὗτος ἦλθεν εἰς μαρτυρίαν, ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσιν δι' αὐτοῦ."
1,8,"Οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλ' ἵνα μαρτυρήσῃ περὶ τοῦ φωτός."
1,9,"ʼ ͂Ην τὸ φῶς τὸ ἀληθινόν, ὃ φωτίζει πάντα ἄνθρωπον ἐρχόμενον εἰς τὸν κόσμον."
1,10,"ʼΕν τῷ κόσμῳ ἦν, καὶ ὁ κόσμος δι' αὐτοῦ ἐγένετο, καὶ ὁ κόσμος αὐτὸν οὐκ ἔγνω."
1,11,"Εἰς τὰ ἴδια ἦλθεν, καὶ οἱ ἴδιοι αὐτὸν οὐ παρέλαβον."
1,12,"ʽΌσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ·"
1,13,"οἳ οὐκ ἐξ αἱμάτων, οὐδὲ ἐκ θελήματος σαρκός, οὐδὲ ἐκ θελήματος ἀνδρός, ἀλλ' ἐκ θεοῦ ἐγεννήθησαν."
1,14,"Καὶ ὁ λόγος σὰρξ ἐγένετο, καὶ ἐσκήνωσεν ἐν ἡμῖν - καὶ ἐθεασάμεθα τὴν δόξαν αὐτοῦ, δόξαν ὡς μονογενοῦς παρὰ πατρός - πλήρης χάριτος καὶ ἀληθείας."
1,15,"ʼΙωάννης μαρτυρεῖ περὶ αὐτοῦ, καὶ κέκραγεν λέγων, Οὗτος ἦν ὃν εἶπον, ʽΟ ὀπίσω μου ἐρχόμενος ἔμπροσθέν μου γέγονεν· ὅτι πρῶτός μου ἦν."
1,16,"Καὶ ἐκ τοῦ πληρώματος αὐτοῦ ἡμεῖς πάντες ἐλάβομεν, καὶ χάριν ἀντὶ χάριτος."
1,17,"ʽΌτι ὁ νόμος διὰ Μωσέως ἐδόθη, ἡ χάρις καὶ ἡ ἀλήθεια διὰ ʼΙησοῦ χριστοῦ ἐγένετο."
1,18,"Θεὸν οὐδεὶς ἑώρακεν πώποτε· ὁ μονογενὴς υἱός, ὁ ὢν εἰς τὸν κόλπον τοῦ πατρός, ἐκεῖνος ἐξηγήσατο."
1,19,"Καὶ αὕτη ἐστὶν ἡ μαρτυρία τοῦ ʼΙωάννου, ὅτε ἀπέστειλαν οἱ ʼΙουδαῖοι ἐξ ʽΙεροσολύμων ἱερεῖς καὶ Λευϊ ́τας ἵνα ἐρωτήσωσιν αὐτόν, Σὺ τίς εἶ;"
1,20,"Καὶ ὡμολόγησεν, καὶ οὐκ ἠρνήσατο· καὶ ὡμολόγησεν ὅτι Οὐκ εἰμὶ ἐγὼ ὁ χριστός."
1,21,"Καὶ ἠρώτησαν αὐτόν, Τί οὖν; ʼΗλίας εἶ σύ; Καὶ λέγει, Οὐκ εἰμί. ʽΟ προφήτης εἶ σύ; Καὶ ἀπεκρίθη, Οὔ."
1,22,"Εἶπον οὖν αὐτῷ, Τίς εἶ; ʽΊνα ἀπόκρισιν δῶμεν τοῖς πέμψασιν ἡμᾶς. Τί λέγεις περὶ σεαυτοῦ;"
1,23,"ʼΈφη, ʼΕγὼ φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, Εὐθύνατε τὴν ὁδὸν κυρίου, καθὼς εἶπεν ʼΗσαϊ ́ας ὁ προφήτης."
1,24,Καὶ οἱ ἀπεσταλμένοι ἦσαν ἐκ τῶν Φαρισαίων.
1,25,"Καὶ ἠρώτησαν αὐτόν, καὶ εἶπον αὐτῷ, Τί οὖν βαπτίζεις, εἰ σὺ οὐκ εἶ ὁ χριστός, οὔτε ʼΗλίας, οὔτε ὁ προφήτης;"
1,26,"ʼΑπεκρίθη αὐτοῖς ὁ ʼΙωάννης λέγων, ʼΕγὼ βαπτίζω ἐν ὕδατι· μέσος δὲ ὑμῶν ἕστηκεν ὃν ὑμεῖς οὐκ οἴδατε."
1,27,"Αὐτός ἐστιν ὁ ὀπίσω μου ἐρχόμενος, ὃς ἔμπροσθέν μου γέγονεν· οὗ ἐγὼ οὐκ εἰμὶ ἄξιος ἵνα λύσω αὐτοῦ τὸν ἱμάντα τοῦ ὑποδήματος."
1,28,"Ταῦτα ἐν Βηθανίᾳ ἐγένετο πέραν τοῦ ʼΙορδάνου, ὅπου ἦν ʼΙωάννης βαπτίζων."
1,29,"Τῇ ἐπαύριον βλέπει τὸν ʼΙησοῦν ἐρχόμενον πρὸς αὐτόν, καὶ λέγει, ʼΊδε ὁ ἀμνὸς τοῦ θεοῦ, ὁ αἴρων τὴν ἁμαρτίαν τοῦ κόσμου."
1,30,"Οὗτός ἐστιν περὶ οὗ ἐγὼ εἶπον, ʼΟπίσω μου ἔρχεται ἀνὴρ ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν."
1,31,"Κἀγὼ οὐκ ᾔδειν αὐτόν· ἀλλ' ἵνα φανερωθῇ τῷ ʼΙσραήλ, διὰ τοῦτο ἦλθον ἐγὼ ἐν τῷ ὕδατι βαπτίζων."
1,32,"Καὶ ἐμαρτύρησεν ʼΙωάννης λέγων ὅτι Τεθέαμαι τὸ πνεῦμα καταβαῖνον ὡσεὶ περιστερὰν ἐξ οὐρανοῦ, καὶ ἔμεινεν ἐπ' αὐτόν."
1,33,"Κἀγὼ οὐκ ᾔδειν αὐτόν· ἀλλ' ὁ πέμψας με βαπτίζειν ἐν ὕδατι, ἐκεῖνός μοι εἶπεν, ʼΕφ' ὃν ἂν ἴδῃς τὸ πνεῦμα καταβαῖνον καὶ μένον ἐπ' αὐτόν, οὗτός ἐστιν ὁ βαπτίζων ἐν πνεύματι ἁγίῳ."
