chapter,verse,text
1,1,"Παῦλος δέσμιος χριστοῦ ʼΙησοῦ, καὶ Τιμόθεος ὁ ἀδελφός, Φιλήμονι τῷ ἀγαπητῷ καὶ συνεργῷ ἡμῶν,"
1,2,"καὶ ʼΑπφίᾳ τῇ ἀγαπητῇ, καὶ ʼΑρχίππῳ τῷ συστρατιώτῃ ἡμῶν, καὶ τῇ κατ' οἶκόν σου ἐκκλησίᾳ·"
1,3,χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου ʼΙησοῦ χριστοῦ.
1,4,"Εὐχαριστῶ τῷ θεῷ μου, πάντοτε μνείαν σου ποιούμενος ἐπὶ τῶν προσευχῶν μου,"
1,5,"ἀκούων σου τὴν ἀγάπην, καὶ τὴν πίστιν ἣν ἔχεις πρὸς τὸν κύριον ʼΙησοῦν καὶ εἰς πάντας τοὺς ἁγίους,"
1,6,ὅπως ἡ κοινωνία τῆς πίστεώς σου ἐνεργὴς γένηται ἐν ἐπιγνώσει παντὸς ἀγαθοῦ τοῦ ἐν ἡμῖν εἰς χριστὸν ʼΙησοῦν.
1,7,"Χάριν γὰρ ἔχομεν πολλὴν καὶ παράκλησιν ἐπὶ τῇ ἀγάπῃ σου, ὅτι τὰ σπλάγχνα τῶν ἁγίων ἀναπέπαυται διὰ σοῦ, ἀδελφέ."
1,8,"Διὸ πολλὴν ἐν χριστῷ παρρησίαν ἔχων ἐπιτάσσειν σοι τὸ ἀνῆκον,"
1,9,"διὰ τὴν ἀγάπην μᾶλλον παρακαλῶ, τοιοῦτος ὢν ὡς Παῦλος πρεσβύτης, νυνὶ δὲ καὶ δέσμιος ʼΙησοῦ χριστοῦ."
1,10,"Παρακαλῶ σε περὶ τοῦ ἐμοῦ τέκνου, ὃν ἐγέννησα ἐν τοῖς δεσμοῖς μου, ʼΟνήσιμον,"
1,11,"τόν ποτέ σοι ἄχρηστον, νυνὶ δὲ σοὶ καὶ ἐμοὶ εὔχρηστον, ὃν ἀνέπεμψα·"
1,12,"σὺ δὲ αὐτόν, τοῦτ' ἔστιν τὰ ἐμὰ σπλάγχνα, προσλαβοῦ·"
1,13,"ὃν ἐγὼ ἐβουλόμην πρὸς ἐμαυτὸν κατέχειν, ἵνα ὑπὲρ σοῦ διακονῇ μοι ἐν τοῖς δεσμοῖς τοῦ εὐαγγελίου·"
1,14,"χωρὶς δὲ τῆς σῆς γνώμης οὐδὲν ἠθέλησα ποιῆσαι, ἵνα μὴ ὡς κατὰ ἀνάγκην τὸ ἀγαθόν σου ᾖ, ἀλλὰ κατὰ ἑκούσιον."
1,15,"Τάχα γὰρ διὰ τοῦτο ἐχωρίσθη πρὸς ὥραν, ἵνα αἰώνιον αὐτὸν ἀπέχῃς·"
1,16,"οὐκέτι ὡς δοῦλον, ἀλλ' ὑπὲρ δοῦλον, ἀδελφὸν ἀγαπητόν, μάλιστα ἐμοί, πόσῳ δὲ μᾶλλον σοὶ καὶ ἐν σαρκὶ καὶ ἐν κυρίῳ."
1,17,"Εἰ οὖν με ἔχεις κοινωνόν, προσλαβοῦ αὐτὸν ὡς ἐμέ."
1,18,"Εἰ δέ τι ἠδίκησέν σε ἢ ὀφείλει, τοῦτο ἐμοὶ ἐλλόγει·"
1,19,"ἐγὼ Παῦλος ἔγραψα τῇ ἐμῇ χειρί, ἐγὼ ἀποτίσω· ἵνα μὴ λέγω σοι ὅτι καὶ σεαυτόν μοι προσοφείλεις."
1,20,"Ναί, ἀδελφέ, ἐγώ σου ὀναίμην ἐν κυρίῳ· ἀνάπαυσόν μου τὰ σπλάγχνα ἐν κυρίῳ."
1,21,"Πεποιθὼς τῇ ὑπακοῇ σου ἔγραψά σοι, εἰδὼς ὅτι καὶ ὑπὲρ ὃ λέγω ποιήσεις."
1,22,ʽΆμα δὲ καὶ ἑτοίμαζέ μοι ξενίαν· ἐλπίζω γὰρ ὅτι διὰ τῶν προσευχῶν ὑμῶν χαρισθήσομαι ὑμῖν.
1,23,"ʼΑσπάζονταί σε ʼΕπαφρᾶς ὁ συναιχμάλωτός μου ἐν χριστῷ ʼΙησοῦ,"
1,24,"Μάρκος, ʼΑρίσταρχος, Δημᾶς, Λουκᾶς, οἱ συνεργοί μου."
1,25,ʽΗ χάρις τοῦ κυρίου ἡμῶν ʼΙησοῦ χριστοῦ μετὰ τοῦ πνεύματος ὑμῶν. ʼΑμήν.
