chapter,verse,text
1,1,παυλος αποστολος ιησου χριστου δια θεληματος θεου κατ επαγγελιαν ζωης της εν χριστω ιησου
1,2,τιμοθεω αγαπητω τεκνω χαρις ελεος ειρηνη απο θεου πατρος και χριστου ιησου του κυριου ημων
1,3,χαριν εχω τω θεω ω λατρευω απο προγονων εν καθαρα συνειδησει ως αδιαλειπτον εχω την περι σου μνειαν εν ταις δεησεσιν μου νυκτος και ημερας
1,4,επιποθων σε ιδειν μεμνημενος σου των δακρυων ινα χαρας πληρωθω
1,5,υπομνησιν λαμβανων της εν σοι ανυποκριτου πιστεως ητις ενωκησεν πρωτον εν τη μαμμη σου λωιδι και τη μητρι σου ευνικη πεπεισμαι δε οτι και εν σοι
1,6,δι ην αιτιαν αναμιμνησκω σε αναζωπυρειν το χαρισμα του θεου ο εστιν εν σοι δια της επιθεσεως των χειρων μου
1,7,ου γαρ εδωκεν ημιν ο θεος πνευμα δειλιας αλλα δυναμεως και αγαπης και σωφρονισμου
1,8,μη ουν επαισχυνθης το μαρτυριον του κυριου ημων μηδε εμε τον δεσμιον αυτου αλλα συγκακοπαθησον τω ευαγγελιω κατα δυναμιν θεου
1,9,του σωσαντος ημας και καλεσαντος κλησει αγια ου κατα τα εργα ημων αλλα κατ ιδιαν προθεσιν και χαριν την δοθεισαν ημιν εν χριστω ιησου προ χρονων αιωνιων
1,10,φανερωθεισαν δε νυν δια της επιφανειας του σωτηρος ημων ιησου χριστου καταργησαντος μεν τον θανατον φωτισαντος δε ζωην και αφθαρσιαν δια του ευαγγελιου
1,11,εις ο ετεθην εγω κηρυξ και αποστολος και διδασκαλος εθνων
1,12,δι ην αιτιαν και ταυτα πασχω αλλ ουκ επαισχυνομαι οιδα γαρ ω πεπιστευκα και πεπεισμαι οτι δυνατος εστιν την παραθηκην μου φυλαξαι εις εκεινην την ημεραν
1,13,υποτυπωσιν εχε υγιαινοντων λογων ων παρ εμου ηκουσας εν πιστει και αγαπη τη εν χριστω ιησου
1,14,την καλην παραθηκην φυλαξον δια πνευματος αγιου του ενοικουντος εν ημιν
1,15,οιδας τουτο οτι απεστραφησαν με παντες οι εν τη ασια ων εστιν φυγελος και ερμογενης
1,16,δωη ελεος ο κυριος τω ονησιφορου οικω οτι πολλακις με ανεψυξεν και την αλυσιν μου ουκ επαισχυνθη
1,17,αλλα γενομενος εν ρωμη σπουδαιοτερον εζητησεν με και ευρεν
1,18,δωη αυτω ο κυριος ευρειν ελεος παρα κυριου εν εκεινη τη ημερα και οσα εν εφεσω διηκονησεν βελτιον συ γινωσκεις
2,1,συ ουν τεκνον μου ενδυναμου εν τη χαριτι τη εν χριστω ιησου
2,2,και α ηκουσας παρ εμου δια πολλων μαρτυρων ταυτα παραθου πιστοις ανθρωποις οιτινες ικανοι εσονται και ετερους διδαξαι
2,3,συ ουν κακοπαθησον ως καλος στρατιωτης ιησου χριστου
2,4,ουδεις στρατευομενος εμπλεκεται ταις του βιου πραγματειαις ινα τω στρατολογησαντι αρεση
2,5,εαν δε και αθλη τις ου στεφανουται εαν μη νομιμως αθληση
2,6,τον κοπιωντα γεωργον δει πρωτον των καρπων μεταλαμβανειν
2,7,νοει α λεγω δωη γαρ σοι ο κυριος συνεσιν εν πασιν
2,8,μνημονευε ιησουν χριστον εγηγερμενον εκ νεκρων εκ σπερματος δαυιδ κατα το ευαγγελιον μου
2,9,εν ω κακοπαθω μεχρι δεσμων ως κακουργος αλλ ο λογος του θεου ου δεδεται
2,10,δια τουτο παντα υπομενω δια τους εκλεκτους ινα και αυτοι σωτηριας τυχωσιν της εν χριστω ιησου μετα δοξης αιωνιου
2,11,πιστος ο λογος ει γαρ συναπεθανομεν και συζησομεν
2,12,ει υπομενομεν και συμβασιλευσομεν ει αρνουμεθα κακεινος αρνησεται ημας
2,13,ει απιστουμεν εκεινος πιστος μενει αρνησασθαι εαυτον ου δυναται
2,14,ταυτα υπομιμνησκε διαμαρτυρομενος ενωπιον του κυριου μη λογομαχειν εις ουδεν χρησιμον επι καταστροφη των ακουοντων
2,15,σπουδασον σεαυτον δοκιμον παραστησαι τω θεω εργατην ανεπαισχυντον ορθοτομουντα τον λογον της αληθειας
2,16,τας δε βεβηλους κενοφωνιας περιιστασο επι πλειον γαρ προκοψουσιν ασεβειας
2,17,και ο λογος αυτων ως γαγγραινα νομην εξει ων εστιν υμεναιος και φιλητος
2,18,οιτινες περι την αληθειαν ηστοχησαν λεγοντες την αναστασιν ηδη γεγονεναι και ανατρεπουσιν την τινων πιστιν
2,19,ο μεντοι στερεος θεμελιος του θεου εστηκεν εχων την σφραγιδα ταυτην εγνω κυριος τους οντας αυτου και αποστητω απο αδικιας πας ο ονομαζων το ονομα κυριου
2,20,εν μεγαλη δε οικια ουκ εστιν μονον σκευη χρυσα και αργυρα αλλα και ξυλινα και οστρακινα και α μεν εις τιμην α δε εις ατιμιαν
