chapter,verse,text
1,1,τον μεν πρωτον λογον εποιησαμην περι παντων ω θεοφιλε ων ηρξατο ο ιησους ποιειν τε και διδασκειν
1,2,αχρι ης ημερας εντειλαμενος τοις αποστολοις δια πνευματος αγιου ους εξελεξατο ανεληφθη
1,3,οις και παρεστησεν εαυτον ζωντα μετα το παθειν αυτον εν πολλοις τεκμηριοις δι ημερων τεσσαρακοντα οπτανομενος αυτοις και λεγων τα περι της βασιλειας του θεου
1,4,και συναλιζομενος παρηγγειλεν αυτοις απο ιεροσολυμων μη χωριζεσθαι αλλα περιμενειν την επαγγελιαν του πατρος ην ηκουσατε μου
1,5,οτι ιωαννης μεν εβαπτισεν υδατι υμεις δε βαπτισθησεσθε εν πνευματι αγιω ου μετα πολλας ταυτας ημερας
1,6,οι μεν ουν συνελθοντες επηρωτων αυτον λεγοντες κυριε ει εν τω χρονω τουτω αποκαθιστανεις την βασιλειαν τω ισραηλ
1,7,ειπεν δε προς αυτους ουχ υμων εστιν γνωναι χρονους η καιρους ους ο πατηρ εθετο εν τη ιδια εξουσια
1,8,αλλα ληψεσθε δυναμιν επελθοντος του αγιου πνευματος εφ υμας και εσεσθε μοι μαρτυρες εν τε ιερουσαλημ και εν παση τη ιουδαια και σαμαρεια και εως εσχατου της γης
1,9,και ταυτα ειπων βλεποντων αυτων επηρθη και νεφελη υπελαβεν αυτον απο των οφθαλμων αυτων
1,10,και ως ατενιζοντες ησαν εις τον ουρανον πορευομενου αυτου και ιδου ανδρες δυο παρειστηκεισαν αυτοις εν εσθητι λευκη
1,11,οι και ειπον ανδρες γαλιλαιοι τι εστηκατε εμβλεποντες εις τον ουρανον ουτος ο ιησους ο αναληφθεις αφ υμων εις τον ουρανον ουτως ελευσεται ον τροπον εθεασασθε αυτον πορευομενον εις τον ουρανον
1,12,τοτε υπεστρεψαν εις ιερουσαλημ απο ορους του καλουμενου ελαιωνος ο εστιν εγγυς ιερουσαλημ σαββατου εχον οδον
1,13,και οτε εισηλθον ανεβησαν εις το υπερωον ου ησαν καταμενοντες ο τε πετρος και ιακωβος και ιωαννης και ανδρεας φιλιππος και θωμας βαρθολομαιος και ματθαιος ιακωβος αλφαιου και σιμων ο ζηλωτης και ιουδας ιακωβου
1,14,ουτοι παντες ησαν προσκαρτερουντες ομοθυμαδον τη προσευχη και τη δεησει συν γυναιξιν και μαρια τη μητρι του ιησου και συν τοις αδελφοις αυτου
1,15,και εν ταις ημεραις ταυταις αναστας πετρος εν μεσω των μαθητων ειπεν ην τε οχλος ονοματων επι το αυτο ως εκατον εικοσι
1,16,ανδρες αδελφοι εδει πληρωθηναι την γραφην ταυτην ην προειπεν το πνευμα το αγιον δια στοματος δαυιδ περι ιουδα του γενομενου οδηγου τοις συλλαβουσιν τον ιησουν
1,17,οτι κατηριθμημενος ην συν ημιν και ελαχεν τον κληρον της διακονιας ταυτης
1,18,ουτος μεν ουν εκτησατο χωριον εκ μισθου της αδικιας και πρηνης γενομενος ελακησεν μεσος και εξεχυθη παντα τα σπλαγχνα αυτου
1,19,και γνωστον εγενετο πασιν τοις κατοικουσιν ιερουσαλημ ωστε κληθηναι το χωριον εκεινο τη ιδια διαλεκτω αυτων ακελδαμα τουτ εστιν χωριον αιματος
1,20,γεγραπται γαρ εν βιβλω ψαλμων γενηθητω η επαυλις αυτου ερημος και μη εστω ο κατοικων εν αυτη και την επισκοπην αυτου λαβοι ετερος
1,21,δει ουν των συνελθοντων ημιν ανδρων εν παντι χρονω εν ω εισηλθεν και εξηλθεν εφ ημας ο κυριος ιησους
1,22,αρξαμενος απο του βαπτισματος ιωαννου εως της ημερας ης ανεληφθη αφ ημων μαρτυρα της αναστασεως αυτου γενεσθαι συν ημιν ενα τουτων
