chapter,verse,text
1,1,παυλος αποστολος ιησου χριστου δια θεληματος θεου και τιμοθεος ο αδελφος
1,2,τοις εν κολασσαις αγιοις και πιστοις αδελφοις εν χριστω χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
1,3,ευχαριστουμεν τω θεω και πατρι του κυριου ημων ιησου χριστου παντοτε περι υμων προσευχομενοι
1,4,ακουσαντες την πιστιν υμων εν χριστω ιησου και την αγαπην την εις παντας τους αγιους
1,5,δια την ελπιδα την αποκειμενην υμιν εν τοις ουρανοις ην προηκουσατε εν τω λογω της αληθειας του ευαγγελιου
1,6,του παροντος εις υμας καθως και εν παντι τω κοσμω και εστιν καρποφορουμενον και αυξανομενον καθως και εν υμιν αφ ης ημερας ηκουσατε και επεγνωτε την χαριν του θεου εν αληθεια
1,7,καθως και εμαθετε απο επαφρα του αγαπητου συνδουλου ημων ος εστιν πιστος υπερ υμων διακονος του χριστου
1,8,ο και δηλωσας ημιν την υμων αγαπην εν πνευματι
1,9,δια τουτο και ημεις αφ ης ημερας ηκουσαμεν ου παυομεθα υπερ υμων προσευχομενοι και αιτουμενοι ινα πληρωθητε την επιγνωσιν του θεληματος αυτου εν παση σοφια και συνεσει πνευματικη
1,10,περιπατησαι υμας αξιως του κυριου εις πασαν αρεσκειαν εν παντι εργω αγαθω καρποφορουντες και αυξανομενοι εις την επιγνωσιν του θεου
1,11,εν παση δυναμει δυναμουμενοι κατα το κρατος της δοξης αυτου εις πασαν υπομονην και μακροθυμιαν μετα χαρας
1,12,ευχαριστουντες τω πατρι τω ικανωσαντι ημας εις την μεριδα του κληρου των αγιων εν τω φωτι
1,13,ος ερρυσατο ημας εκ της εξουσιας του σκοτους και μετεστησεν εις την βασιλειαν του υιου της αγαπης αυτου
1,14,εν ω εχομεν την απολυτρωσιν την αφεσιν των αμαρτιων
1,15,ος εστιν εικων του θεου του αορατου πρωτοτοκος πασης κτισεως
