chapter,verse,text
1,1,πολυμερως και πολυτροπως παλαι ο θεος λαλησας τοις πατρασιν εν τοις προφηταις επ εσχατου των ημερων τουτων ελαλησεν ημιν εν υιω
1,2,ον εθηκεν κληρονομον παντων δι ου και τους αιωνας εποιησεν
1,3,ος ων απαυγασμα της δοξης και χαρακτηρ της υποστασεως αυτου φερων τε τα παντα τω ρηματι της δυναμεως αυτου δι εαυτου καθαρισμον ποιησαμενος των αμαρτιων ημων εκαθισεν εν δεξια της μεγαλωσυνης εν υψηλοις
1,4,τοσουτω κρειττων γενομενος των αγγελων οσω διαφορωτερον παρ αυτους κεκληρονομηκεν ονομα
1,5,τινι γαρ ειπεν ποτε των αγγελων υιος μου ει συ εγω σημερον γεγεννηκα σε και παλιν εγω εσομαι αυτω εις πατερα και αυτος εσται μοι εις υιον
1,6,οταν δε παλιν εισαγαγη τον πρωτοτοκον εις την οικουμενην λεγει και προσκυνησατωσαν αυτω παντες αγγελοι θεου
1,7,και προς μεν τους αγγελους λεγει ο ποιων τους αγγελους αυτου πνευματα και τους λειτουργους αυτου πυρος φλογα
1,8,προς δε τον υιον ο θρονος σου ο θεος εις τον αιωνα του αιωνος ραβδος ευθυτητος η ραβδος της βασιλειας σου
1,9,ηγαπησας δικαιοσυνην και εμισησας ανομιαν δια τουτο εχρισεν σε ο θεος ο θεος σου ελαιον αγαλλιασεως παρα τους μετοχους σου
1,10,και συ κατ αρχας κυριε την γην εθεμελιωσας και εργα των χειρων σου εισιν οι ουρανοι
1,11,αυτοι απολουνται συ δε διαμενεις και παντες ως ιματιον παλαιωθησονται
1,12,και ωσει περιβολαιον ελιξεις αυτους και αλλαγησονται συ δε ο αυτος ει και τα ετη σου ουκ εκλειψουσιν
1,13,προς τινα δε των αγγελων ειρηκεν ποτε καθου εκ δεξιων μου εως αν θω τους εχθρους σου υποποδιον των ποδων σου
1,14,ουχι παντες εισιν λειτουργικα πνευματα εις διακονιαν αποστελλομενα δια τους μελλοντας κληρονομειν σωτηριαν
2,1,δια τουτο δει περισσοτερως ημας προσεχειν τοις ακουσθεισιν μηποτε παραρρυωμεν
2,2,ει γαρ ο δι αγγελων λαληθεις λογος εγενετο βεβαιος και πασα παραβασις και παρακοη ελαβεν ενδικον μισθαποδοσιαν
2,3,πως ημεις εκφευξομεθα τηλικαυτης αμελησαντες σωτηριας ητις αρχην λαβουσα λαλεισθαι δια του κυριου υπο των ακουσαντων εις ημας εβεβαιωθη
2,4,συνεπιμαρτυρουντος του θεου σημειοις τε και τερασιν και ποικιλαις δυναμεσιν και πνευματος αγιου μερισμοις κατα την αυτου θελησιν
2,5,ου γαρ αγγελοις υπεταξεν την οικουμενην την μελλουσαν περι ης λαλουμεν
2,6,διεμαρτυρατο δε που τις λεγων τι εστιν ανθρωπος οτι μιμνησκη αυτου η υιος ανθρωπου οτι επισκεπτη αυτον
2,7,ηλαττωσας αυτον βραχυ τι παρ αγγελους δοξη και τιμη εστεφανωσας αυτον
2,8,παντα υπεταξας υποκατω των ποδων αυτου εν γαρ τω υποταξαι αυτω τα παντα ουδεν αφηκεν αυτω ανυποτακτον νυν δε ουπω ορωμεν αυτω τα παντα υποτεταγμενα
2,9,τον δε βραχυ τι παρ αγγελους ηλαττωμενον βλεπομεν ιησουν δια το παθημα του θανατου δοξη και τιμη εστεφανωμενον οπως χαριτι θεου υπερ παντος γευσηται θανατου
2,10,επρεπεν γαρ αυτω δι ον τα παντα και δι ου τα παντα πολλους υιους εις δοξαν αγαγοντα τον αρχηγον της σωτηριας αυτων δια παθηματων τελειωσαι
2,11,ο τε γαρ αγιαζων και οι αγιαζομενοι εξ ενος παντες δι ην αιτιαν ουκ επαισχυνεται αδελφους αυτους καλειν
2,12,λεγων απαγγελω το ονομα σου τοις αδελφοις μου εν μεσω εκκλησιας υμνησω σε
2,13,και παλιν εγω εσομαι πεποιθως επ αυτω και παλιν ιδου εγω και τα παιδια α μοι εδωκεν ο θεος
2,14,επει ουν τα παιδια κεκοινωνηκεν σαρκος και αιματος και αυτος παραπλησιως μετεσχεν των αυτων ινα δια του θανατου καταργηση τον το κρατος εχοντα του θανατου τουτ εστιν τον διαβολον
2,15,και απαλλαξη τουτους οσοι φοβω θανατου δια παντος του ζην ενοχοι ησαν δουλειας
2,16,ου γαρ δηπου αγγελων επιλαμβανεται αλλα σπερματος αβρααμ επιλαμβανεται
2,17,οθεν ωφειλεν κατα παντα τοις αδελφοις ομοιωθηναι ινα ελεημων γενηται και πιστος αρχιερευς τα προς τον θεον εις το ιλασκεσθαι τας αμαρτιας του λαου
2,18,εν ω γαρ πεπονθεν αυτος πειρασθεις δυναται τοις πειραζομενοις βοηθησαι
3,1,οθεν αδελφοι αγιοι κλησεως επουρανιου μετοχοι κατανοησατε τον αποστολον και αρχιερεα της ομολογιας ημων ιησουν χριστον
3,2,πιστον οντα τω ποιησαντι αυτον ως και μωυσης εν ολω τω οικω αυτου
3,3,πλειονος γαρ δοξης ουτος παρα μωυσην ηξιωται καθ οσον πλειονα τιμην εχει του οικου ο κατασκευασας αυτον
3,4,πας γαρ οικος κατασκευαζεται υπο τινος ο δε τα παντα κατασκευασας θεος
3,5,και μωυσης μεν πιστος εν ολω τω οικω αυτου ως θεραπων εις μαρτυριον των λαληθησομενων
3,6,χριστος δε ως υιος επι τον οικον αυτου ου οικος εσμεν ημεις εανπερ την παρρησιαν και το καυχημα της ελπιδος μεχρι τελους βεβαιαν κατασχωμεν
3,7,διο καθως λεγει το πνευμα το αγιον σημερον εαν της φωνης αυτου ακουσητε
3,8,μη σκληρυνητε τας καρδιας υμων ως εν τω παραπικρασμω κατα την ημεραν του πειρασμου εν τη ερημω
3,9,ου επειρασαν με οι πατερες υμων εδοκιμασαν με και ειδον τα εργα μου τεσσαρακοντα ετη
3,10,διο προσωχθισα τη γενεα εκεινη και ειπον αει πλανωνται τη καρδια αυτοι δε ουκ εγνωσαν τας οδους μου
3,11,ως ωμοσα εν τη οργη μου ει εισελευσονται εις την καταπαυσιν μου
3,12,βλεπετε αδελφοι μηποτε εσται εν τινι υμων καρδια πονηρα απιστιας εν τω αποστηναι απο θεου ζωντος
3,13,αλλα παρακαλειτε εαυτους καθ εκαστην ημεραν αχρι ου το σημερον καλειται ινα μη σκληρυνθη εξ υμων τις απατη της αμαρτιας
