chapter,verse,text
1,1,βιβλος γενεσεως ιησου χριστου υιου δαυιδ υιου αβρααμ
1,2,αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τους αδελφους αυτου
1,3,ιουδας δε εγεννησεν τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ
1,4,αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων
1,5,σαλμων δε εγεννησεν τον βοοζ εκ της ραχαβ βοοζ δε εγεννησεν τον ωβηδ εκ της ρουθ ωβηδ δε εγεννησεν τον ιεσσαι
1,6,ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δε ο βασιλευς εγεννησεν τον σολομωνα εκ της του ουριου
1,7,σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασα
1,8,ασα δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν
1,9,οζιας δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχαζ αχαζ δε εγεννησεν τον εζεκιαν
1,10,εζεκιας δε εγεννησεν τον μανασση μανασσης δε εγεννησεν τον αμων αμων δε εγεννησεν τον ιωσιαν
1,11,ιωσιας δε εγεννησεν τον ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας βαβυλωνος
1,12,μετα δε την μετοικεσιαν βαβυλωνος ιεχονιας εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ
1,13,ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακειμ ελιακειμ δε εγεννησεν τον αζωρ
1,14,αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχειμ αχειμ δε εγεννησεν τον ελιουδ
1,15,ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ
1,16,ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριας εξ ης εγεννηθη ιησους ο λεγομενος χριστος
1,17,πασαι ουν αι γενεαι απο αβρααμ εως δαυιδ γενεαι δεκατεσσαρες και απο δαυιδ εως της μετοικεσιας βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες
1,18,του δε ιησου χριστου η γεννησις ουτως ην μνηστευθεισης γαρ της μητρος αυτου μαριας τω ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου
1,19,ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην παραδειγματισαι εβουληθη λαθρα απολυσαι αυτην
1,20,ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιος δαυιδ μη φοβηθης παραλαβειν μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου
1,21,τεξεται δε υιον και καλεσεις το ονομα αυτου ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων
1,22,τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντος
1,23,ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μεθ ημων ο θεος
1,24,διεγερθεις δε ο ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβεν την γυναικα αυτου
1,25,και ουκ εγινωσκεν αυτην εως ου ετεκεν τον υιον αυτης τον πρωτοτοκον και εκαλεσεν το ονομα αυτου ιησουν
