chapter,verse,text
1,1,παυλος δεσμιος χριστου ιησου και τιμοθεος ο αδελφος φιλημονι τω αγαπητω και συνεργω ημων
1,2,και απφια τη αγαπητη και αρχιππω τω συστρατιωτη ημων και τη κατ οικον σου εκκλησια
1,3,χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
1,4,ευχαριστω τω θεω μου παντοτε μνειαν σου ποιουμενος επι των προσευχων μου
1,5,ακουων σου την αγαπην και την πιστιν ην εχεις προς τον κυριον ιησουν και εις παντας τους αγιους
1,6,οπως η κοινωνια της πιστεως σου ενεργης γενηται εν επιγνωσει παντος αγαθου του εν ημιν εις χριστον ιησουν
1,7,χαριν γαρ εχομεν πολλην και παρακλησιν επι τη αγαπη σου οτι τα σπλαγχνα των αγιων αναπεπαυται δια σου αδελφε
1,8,διο πολλην εν χριστω παρρησιαν εχων επιτασσειν σοι το ανηκον
1,9,δια την αγαπην μαλλον παρακαλω τοιουτος ων ως παυλος πρεσβυτης νυνι δε και δεσμιος ιησου χριστου
1,10,παρακαλω σε περι του εμου τεκνου ον εγεννησα εν τοις δεσμοις μου ονησιμον
1,11,τον ποτε σοι αχρηστον νυνι δε σοι και εμοι ευχρηστον ον ανεπεμψα
1,12,συ δε αυτον τουτ εστιν τα εμα σπλαγχνα προσλαβου
1,13,ον εγω εβουλομην προς εμαυτον κατεχειν ινα υπερ σου διακονη μοι εν τοις δεσμοις του ευαγγελιου
1,14,χωρις δε της σης γνωμης ουδεν ηθελησα ποιησαι ινα μη ως κατα αναγκην το αγαθον σου η αλλα κατα εκουσιον
1,15,ταχα γαρ δια τουτο εχωρισθη προς ωραν ινα αιωνιον αυτον απεχης
1,16,ουκετι ως δουλον αλλ υπερ δουλον αδελφον αγαπητον μαλιστα εμοι ποσω δε μαλλον σοι και εν σαρκι και εν κυριω
1,17,ει ουν με εχεις κοινωνον προσλαβου αυτον ως εμε
1,18,ει δε τι ηδικησεν σε η οφειλει τουτο εμοι ελλογει
1,19,εγω παυλος εγραψα τη εμη χειρι εγω αποτισω ινα μη λεγω σοι οτι και σεαυτον μοι προσοφειλεις
1,20,ναι αδελφε εγω σου οναιμην εν κυριω αναπαυσον μου τα σπλαγχνα εν κυριω
1,21,πεποιθως τη υπακοη σου εγραψα σοι ειδως οτι και υπερ ο λεγω ποιησεις
1,22,αμα δε και ετοιμαζε μοι ξενιαν ελπιζω γαρ οτι δια των προσευχων υμων χαρισθησομαι υμιν
1,23,ασπαζονται σε επαφρας ο συναιχμαλωτος μου εν χριστω ιησου
1,24,μαρκος αρισταρχος δημας λουκας οι συνεργοι μου
1,25,η χαρις του κυριου ημων ιησου χριστου μετα του πνευματος υμων αμην
