chapter,verse,text
1,1,ο 3739 {R-NSN} ην 1510 {V-IAI-3S} απ 575 {PREP} αρχης 746 {N-GSF} ο 3739 {R-ASN} ακηκοαμεν 191 {V-2RAI-1P-ATT} ο 3739 {R-ASN} εωρακαμεν 3708 {V-RAI-1P-ATT} τοις 3588 {T-DPM} οφθαλμοις 3788 {N-DPM} ημων 1473 {P-1GP} ο 3739 {R-ASN} εθεασαμεθα 2300 {V-ADI-1P} και 2532 {CONJ} αι 3588 {T-NPF} χειρες 5495 {N-NPF} ημων 1473 {P-1GP} εψηλαφησαν 5584 {V-AAI-3P} περι 4012 {PREP} του 3588 {T-GSM} λογου 3056 {N-GSM} της 3588 {T-GSF} ζωης 2222 {N-GSF}
1,2,και 2532 {CONJ} η 3588 {T-NSF} ζωη 2222 {N-NSF} εφανερωθη 5319 {V-API-3S} και 2532 {CONJ} εωρακαμεν 3708 {V-RAI-1P-ATT} και 2532 {CONJ} μαρτυρουμεν 3140 {V-PAI-1P} και 2532 {CONJ} απαγγελλομεν 518 {V-PAI-1P} υμιν 4771 {P-2DP} την 3588 {T-ASF} ζωην 2222 {N-ASF} την 3588 {T-ASF} αιωνιον 166 {A-ASF} ητις 3748 {R-NSF} ην 1510 {V-IAI-3S} προς 4314 {PREP} τον 3588 {T-ASM} πατερα 3962 {N-ASM} και 2532 {CONJ} εφανερωθη 5319 {V-API-3S} ημιν 1473 {P-1DP}
1,3,ο 3739 {R-ASN} εωρακαμεν 3708 {V-RAI-1P-ATT} και 2532 {CONJ} ακηκοαμεν 191 {V-2RAI-1P-ATT} απαγγελλομεν 518 {V-PAI-1P} υμιν 4771 {P-2DP} ινα 2443 {CONJ} και 2532 {CONJ} υμεις 4771 {P-2NP} κοινωνιαν 2842 {N-ASF} εχητε 2192 {V-PAS-2P} μεθ 3326 {PREP} ημων 1473 {P-1GP} και 2532 {CONJ} η 3588 {T-NSF} κοινωνια 2842 {N-NSF} δε 1161 {CONJ} η 3588 {T-NSF} ημετερα 2251 {S-1PNSF} μετα 3326 {PREP} του 3588 {T-GSM} πατρος 3962 {N-GSM} και 2532 {CONJ} μετα 3326 {PREP} του 3588 {T-GSM} υιου 5207 {N-GSM} αυτου 846 {P-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,4,και 2532 {CONJ} ταυτα 3778 {D-APN} γραφομεν 1125 {V-PAI-1P} υμιν 4771 {P-2DP} ινα 2443 {CONJ} η 3588 {T-NSF} χαρα 5479 {N-NSF} ημων 1473 {P-1GP} η 1510 {V-PAS-3S} πεπληρωμενη 4137 {V-RPP-NSF}
1,5,και 2532 {CONJ} εστιν 1510 {V-PAI-3S} αυτη 3778 {D-NSF} η 3588 {T-NSF} αγγελια 31 {N-NSF} ην 3739 {R-ASF} ακηκοαμεν 191 {V-2RAI-1P-ATT} απ 575 {PREP} αυτου 846 {P-GSM} και 2532 {CONJ} αναγγελλομεν 312 {V-PAI-1P} υμιν 4771 {P-2DP} οτι 3754 {CONJ} ο 3588 {T-NSM} θεος 2316 {N-NSM} φως 5457 {N-NSN} εστιν 1510 {V-PAI-3S} και 2532 {CONJ} σκοτια 4653 {N-NSF} εν 1722 {PREP} αυτω 846 {P-DSM} ουκ 3756 {PRT-N} εστιν 1510 {V-PAI-3S} ουδεμια 3762 {A-NSF-N}
1,6,εαν 1437 {COND} ειπωμεν 3004 {V-2AAS-1P} οτι 3754 {CONJ} κοινωνιαν 2842 {N-ASF} εχομεν 2192 {V-PAI-1P} μετ 3326 {PREP} αυτου 846 {P-GSM} και 2532 {CONJ} εν 1722 {PREP} τω 3588 {T-DSN} σκοτει 4655 {N-DSN} περιπατωμεν 4043 {V-PAS-1P} ψευδομεθα 5574 {V-PNI-1P} και 2532 {CONJ} ου 3756 {PRT-N} ποιουμεν 4160 {V-PAI-1P} την 3588 {T-ASF} αληθειαν 225 {N-ASF}
1,7,εαν 1437 {COND} δε 1161 {CONJ} εν 1722 {PREP} τω 3588 {T-DSN} φωτι 5457 {N-DSN} περιπατωμεν 4043 {V-PAS-1P} ως 5613 {ADV} αυτος 846 {P-NSM} εστιν 1510 {V-PAI-3S} εν 1722 {PREP} τω 3588 {T-DSN} φωτι 5457 {N-DSN} κοινωνιαν 2842 {N-ASF} εχομεν 2192 {V-PAI-1P} μετ 3326 {PREP} αλληλων 240 {C-GPM} και 2532 {CONJ} το 3588 {T-NSN} αιμα 129 {N-NSN} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} του 3588 {T-GSM} υιου 5207 {N-GSM} αυτου 846 {P-GSM} καθαριζει 2511 {V-PAI-3S} ημας 1473 {P-1AP} απο 575 {PREP} πασης 3956 {A-GSF} αμαρτιας 266 {N-GSF}
1,8,εαν 1437 {COND} ειπωμεν 3004 {V-2AAS-1P} οτι 3754 {CONJ} αμαρτιαν 266 {N-ASF} ουκ 3756 {PRT-N} εχομεν 2192 {V-PAI-1P} εαυτους 1438 {F-1APM} πλανωμεν 4105 {V-PAI-1P} και 2532 {CONJ} η 3588 {T-NSF} αληθεια 225 {N-NSF} ουκ 3756 {PRT-N} εστιν 1510 {V-PAI-3S} εν 1722 {PREP} ημιν 1473 {P-1DP}
1,9,εαν 1437 {COND} ομολογωμεν 3670 {V-PAS-1P} τας 3588 {T-APF} αμαρτιας 266 {N-APF} ημων 1473 {P-1GP} πιστος 4103 {A-NSM} εστιν 1510 {V-PAI-3S} και 2532 {CONJ} δικαιος 1342 {A-NSM} ινα 2443 {CONJ} αφη 863 {V-2AAS-3S} ημιν 1473 {P-1DP} τας 3588 {T-APF} αμαρτιας 266 {N-APF} και 2532 {CONJ} καθαριση 2511 {V-AAS-3S} ημας 1473 {P-1AP} απο 575 {PREP} πασης 3956 {A-GSF} αδικιας 93 {N-GSF}
1,10,εαν 1437 {COND} ειπωμεν 3004 {V-2AAS-1P} οτι 3754 {CONJ} ουχ 3756 {PRT-N} ημαρτηκαμεν 264 {V-RAI-1P} ψευστην 5583 {N-ASM} ποιουμεν 4160 {V-PAI-1P} αυτον 846 {P-ASM} και 2532 {CONJ} ο 3588 {T-NSM} λογος 3056 {N-NSM} αυτου 846 {P-GSM} ουκ 3756 {PRT-N} εστιν 1510 {V-PAI-3S} εν 1722 {PREP} ημιν 1473 {P-1DP}
