chapter,verse,text
1,1,παυλος 3972 {N-NSM} αποστολος 652 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δια 1223 {PREP} θεληματος 2307 {N-GSN} θεου 2316 {N-GSM} και 2532 {CONJ} τιμοθεος 5095 {N-NSM} ο 3588 {T-NSM} αδελφος 80 {N-NSM} τη 3588 {T-DSF} εκκλησια 1577 {N-DSF} του 3588 {T-GSM} θεου 2316 {N-GSM} τη 3588 {T-DSF} ουση 1510 {V-PAP-DSF} εν 1722 {PREP} κορινθω 2882 {N-DSF} συν 4862 {PREP} τοις 3588 {T-DPM} αγιοις 40 {A-DPM} πασιν 3956 {A-DPM} τοις 3588 {T-DPM} ουσιν 1510 {V-PAP-DPM} εν 1722 {PREP} ολη 3650 {A-DSF} τη 3588 {T-DSF} αχαια 882 {N-DSF}
1,2,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,3,ευλογητος 2128 {A-NSM} ο 3588 {T-NSM} θεος 2316 {N-NSM} και 2532 {CONJ} πατηρ 3962 {N-NSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} ο 3588 {T-NSM} πατηρ 3962 {N-NSM} των 3588 {T-GPM} οικτιρμων 3628 {N-GPM} και 2532 {CONJ} θεος 2316 {N-NSM} πασης 3956 {A-GSF} παρακλησεως 3874 {N-GSF}
1,4,ο 3588 {T-NSM} παρακαλων 3870 {V-PAP-NSM} ημας 1473 {P-1AP} επι 1909 {PREP} παση 3956 {A-DSF} τη 3588 {T-DSF} θλιψει 2347 {N-DSF} ημων 1473 {P-1GP} εις 1519 {PREP} το 3588 {T-ASN} δυνασθαι 1410 {V-PNN} ημας 1473 {P-1AP} παρακαλειν 3870 {V-PAN} τους 3588 {T-APM} εν 1722 {PREP} παση 3956 {A-DSF} θλιψει 2347 {N-DSF} δια 1223 {PREP} της 3588 {T-GSF} παρακλησεως 3874 {N-GSF} ης 3739 {R-GSF} παρακαλουμεθα 3870 {V-PPI-1P} αυτοι 846 {P-NPM} υπο 5259 {PREP} του 3588 {T-GSM} θεου 2316 {N-GSM}
1,5,οτι 3754 {CONJ} καθως 2531 {ADV} περισσευει 4052 {V-PAI-3S} τα 3588 {T-NPN} παθηματα 3804 {N-NPN} του 3588 {T-GSM} χριστου 5547 {N-GSM} εις 1519 {PREP} ημας 1473 {P-1AP} ουτως 3779 {ADV} δια 1223 {PREP} του 3588 {T-GSM} χριστου 5547 {N-GSM} περισσευει 4052 {V-PAI-3S} και 2532 {CONJ} η 3588 {T-NSF} παρακλησις 3874 {N-NSF} ημων 1473 {P-1GP}
1,6,ειτε 1535 {CONJ} δε 1161 {CONJ} θλιβομεθα 2346 {V-PPI-1P} υπερ 5228 {PREP} της 3588 {T-GSF} υμων 4771 {P-2GP} παρακλησεως 3874 {N-GSF} και 2532 {CONJ} σωτηριας 4991 {N-GSF} της 3588 {T-GSF} ενεργουμενης 1754 {V-PMP-GSF} εν 1722 {PREP} υπομονη 5281 {N-DSF} των 3588 {T-GPN} αυτων 846 {P-GPN} παθηματων 3804 {N-GPN} ων 3739 {R-GPN} και 2532 {CONJ} ημεις 1473 {P-1NP} πασχομεν 3958 {V-PAI-1P} και 2532 {CONJ} η 3588 {T-NSF} ελπις 1680 {N-NSF} ημων 1473 {P-1GP} βεβαια 949 {A-NSF} υπερ 5228 {PREP} υμων 4771 {P-2GP} ειτε 1535 {CONJ} παρακαλουμεθα 3870 {V-PPI-1P} υπερ 5228 {PREP} της 3588 {T-GSF} υμων 4771 {P-2GP} παρακλησεως 3874 {N-GSF} και 2532 {CONJ} σωτηριας 4991 {N-GSF}
1,7,ειδοτες 1492 {V-RAP-NPM} οτι 3754 {CONJ} ωσπερ 5618 {ADV} κοινωνοι 2844 {N-NPM} εστε 1510 {V-PAI-2P} των 3588 {T-GPN} παθηματων 3804 {N-GPN} ουτως 3779 {ADV} και 2532 {CONJ} της 3588 {T-GSF} παρακλησεως 3874 {N-GSF}
1,8,ου 3756 {PRT-N} γαρ 1063 {CONJ} θελομεν 2309 {V-PAI-1P} υμας 4771 {P-2AP} αγνοειν 50 {V-PAN} αδελφοι 80 {N-VPM} υπερ 5228 {PREP} της 3588 {T-GSF} θλιψεως 2347 {N-GSF} ημων 1473 {P-1GP} της 3588 {T-GSF} γενομενης 1096 {V-2ADP-GSF} ημιν 1473 {P-1DP} εν 1722 {PREP} τη 3588 {T-DSF} ασια 773 {N-DSF} οτι 3754 {CONJ} καθ 2596 {PREP} υπερβολην 5236 {N-ASF} εβαρηθημεν 916 {V-API-1P} υπερ 5228 {PREP} δυναμιν 1411 {N-ASF} ωστε 5620 {CONJ} εξαπορηθηναι 1820 {V-APN} ημας 1473 {P-1AP} και 2532 {CONJ} του 3588 {T-GSN} ζην 2198 {V-PAN}
1,9,αλλα 235 {CONJ} αυτοι 846 {P-NPM} εν 1722 {PREP} εαυτοις 1438 {F-1DPM} το 3588 {T-ASN} αποκριμα 610 {N-ASN} του 3588 {T-GSM} θανατου 2288 {N-GSM} εσχηκαμεν 2192 {V-RAI-1P} ινα 2443 {CONJ} μη 3361 {PRT-N} πεποιθοτες 3982 {V-2RAP-NPM} ωμεν 1510 {V-PAS-1P} εφ 1909 {PREP} εαυτοις 1438 {F-1DPM} αλλ 235 {CONJ} επι 1909 {PREP} τω 3588 {T-DSM} θεω 2316 {N-DSM} τω 3588 {T-DSM} εγειροντι 1453 {V-PAP-DSM} τους 3588 {T-APM} νεκρους 3498 {A-APM}
1,10,ος 3739 {R-NSM} εκ 1537 {PREP} τηλικουτου 5082 {D-GSM} θανατου 2288 {N-GSM} ερρυσατο 4506 {V-ANI-3S} ημας 1473 {P-1AP} και 2532 {CONJ} ρυεται 4506 {V-PNI-3S} εις 1519 {PREP} ον 3739 {R-ASM} ηλπικαμεν 1679 {V-RAI-1P} οτι 3754 {CONJ} και 2532 {CONJ} ετι 2089 {ADV} ρυσεται 4506 {V-FDI-3S}
1,11,συνυπουργουντων 4943 {V-PAP-GPM} και 2532 {CONJ} υμων 4771 {P-2GP} υπερ 5228 {PREP} ημων 1473 {P-1GP} τη 3588 {T-DSF} δεησει 1162 {N-DSF} ινα 2443 {CONJ} εκ 1537 {PREP} πολλων 4183 {A-GPN} προσωπων 4383 {N-GPN} το 3588 {T-NSN} εις 1519 {PREP} ημας 1473 {P-1AP} χαρισμα 5486 {N-NSN} δια 1223 {PREP} πολλων 4183 {A-GPM} ευχαριστηθη 2168 {V-APS-3S} υπερ 5228 {PREP} υμων 4771 {P-2GP}
