chapter,verse,text
1,1,συμεων 4826 {N-PRI} πετρος 4074 {N-NSM} δουλος 1401 {N-NSM} και 2532 {CONJ} αποστολος 652 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} τοις 3588 {T-DPM} ισοτιμον 2472 {A-ASF} ημιν 1473 {P-1DP} λαχουσιν 2975 {V-2AAP-DPM} πιστιν 4102 {N-ASF} εν 1722 {PREP} δικαιοσυνη 1343 {N-DSF} του 3588 {T-GSM} θεου 2316 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} σωτηρος 4990 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,2,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} πληθυνθειη 4129 {V-APO-3S} εν 1722 {PREP} επιγνωσει 1922 {N-DSF} του 3588 {T-GSM} θεου 2316 {N-GSM} και 2532 {CONJ} ιησου 2424 {N-GSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP}
1,3,ως 5613 {ADV} παντα 3956 {A-APN} ημιν 1473 {P-1DP} της 3588 {T-GSF} θειας 2304 {A-GSF} δυναμεως 1411 {N-GSF} αυτου 846 {P-GSM} τα 3588 {T-APN} προς 4314 {PREP} ζωην 2222 {N-ASF} και 2532 {CONJ} ευσεβειαν 2150 {N-ASF} δεδωρημενης 1433 {V-RPP-GSF} δια 1223 {PREP} της 3588 {T-GSF} επιγνωσεως 1922 {N-GSF} του 3588 {T-GSM} καλεσαντος 2564 {V-AAP-GSM} ημας 1473 {P-1AP} δια 1223 {PREP} δοξης 1391 {N-GSF} και 2532 {CONJ} αρετης 703 {N-GSF}
1,4,δι 1223 {PREP} ων 3739 {R-GPN} τα 3588 {T-APN} τιμια 5093 {A-APN} ημιν 1473 {P-1DP} και 2532 {CONJ} μεγιστα 3173 {A-APN-S} επαγγελματα 1862 {N-APN} δεδωρηται 1433 {V-RNI-3S} ινα 2443 {CONJ} δια 1223 {PREP} τουτων 3778 {D-GPN} γενησθε 1096 {V-2ADS-2P} θειας 2304 {A-GSF} κοινωνοι 2844 {N-NPM} φυσεως 5449 {N-GSF} αποφυγοντες 668 {V-2AAP-NPM} της 3588 {T-GSF} εν 1722 {PREP} κοσμω 2889 {N-DSM} εν 1722 {PREP} επιθυμια 1939 {N-DSF} φθορας 5356 {N-GSF}
1,5,και 2532 {CONJ} αυτο 846 {P-ASN} τουτο 3778 {D-ASN} δε 1161 {CONJ} σπουδην 4710 {N-ASF} πασαν 3956 {A-ASF} παρεισενεγκαντες 3923 {V-AAP-NPM} επιχορηγησατε 2023 {V-AAM-2P} εν 1722 {PREP} τη 3588 {T-DSF} πιστει 4102 {N-DSF} υμων 4771 {P-2GP} την 3588 {T-ASF} αρετην 703 {N-ASF} εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} αρετη 703 {N-DSF} την 3588 {T-ASF} γνωσιν 1108 {N-ASF}
1,6,εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} γνωσει 1108 {N-DSF} την 3588 {T-ASF} εγκρατειαν 1466 {N-ASF} εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} εγκρατεια 1466 {N-DSF} την 3588 {T-ASF} υπομονην 5281 {N-ASF} εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} υπομονη 5281 {N-DSF} την 3588 {T-ASF} ευσεβειαν 2150 {N-ASF}
1,7,εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} ευσεβεια 2150 {N-DSF} την 3588 {T-ASF} φιλαδελφιαν 5360 {N-ASF} εν 1722 {PREP} δε 1161 {CONJ} τη 3588 {T-DSF} φιλαδελφια 5360 {N-DSF} την 3588 {T-ASF} αγαπην 26 {N-ASF}
1,8,ταυτα 3778 {D-NPN} γαρ 1063 {CONJ} υμιν 4771 {P-2DP} υπαρχοντα 5225 {V-PAP-NPN} και 2532 {CONJ} πλεοναζοντα 4121 {V-PAP-NPN} ουκ 3756 {PRT-N} αργους 692 {A-APM} ουδε 3761 {CONJ-N} ακαρπους 175 {A-APM} καθιστησιν 2525 {V-PAI-3S} εις 1519 {PREP} την 3588 {T-ASF} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} επιγνωσιν 1922 {N-ASF}
1,9,ω 3739 {R-DSM} γαρ 1063 {CONJ} μη 3361 {PRT-N} παρεστιν 3918 {V-PAI-3S} ταυτα 3778 {D-NPN} τυφλος 5185 {A-NSM} εστιν 1510 {V-PAI-3S} μυωπαζων 3467 {V-PAP-NSM} ληθην 3024 {N-ASF} λαβων 2983 {V-2AAP-NSM} του 3588 {T-GSM} καθαρισμου 2512 {N-GSM} των 3588 {T-GPF} παλαι 3819 {ADV} αυτου 846 {P-GSM} αμαρτιων 266 {N-GPF}
1,10,διο 1352 {CONJ} μαλλον 3123 {ADV} αδελφοι 80 {N-VPM} σπουδασατε 4704 {V-AAM-2P} βεβαιαν 949 {A-ASF} υμων 4771 {P-2GP} την 3588 {T-ASF} κλησιν 2821 {N-ASF} και 2532 {CONJ} εκλογην 1589 {N-ASF} ποιεισθαι 4160 {V-PMN} ταυτα 3778 {D-APN} γαρ 1063 {CONJ} ποιουντες 4160 {V-PAP-NPM} ου 3756 {PRT-N} μη 3361 {PRT-N} πταισητε 4417 {V-AAS-2P} ποτε 4218 {PRT}
1,11,ουτως 3779 {ADV} γαρ 1063 {CONJ} πλουσιως 4146 {ADV} επιχορηγηθησεται 2023 {V-FPI-3S} υμιν 4771 {P-2DP} η 3588 {T-NSF} εισοδος 1529 {N-NSF} εις 1519 {PREP} την 3588 {T-ASF} αιωνιον 166 {A-ASF} βασιλειαν 932 {N-ASF} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} σωτηρος 4990 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,12,διο 1352 {CONJ} ουκ 3756 {PRT-N} αμελησω 272 {V-FAI-1S} αει 104 {ADV} υμας 4771 {P-2AP} υπομιμνησκειν 5279 {V-PAN} περι 4012 {PREP} τουτων 3778 {D-GPN} καιπερ 2539 {CONJ} ειδοτας 1492 {V-RAP-APM} και 2532 {CONJ} εστηριγμενους 4741 {V-RPP-APM} εν 1722 {PREP} τη 3588 {T-DSF} παρουση 3918 {V-PAP-DSF} αληθεια 225 {N-DSF}
1,13,δικαιον 1342 {A-ASN} δε 1161 {CONJ} ηγουμαι 2233 {V-PNI-1S} εφ 1909 {PREP} οσον 3745 {K-ASM} ειμι 1510 {V-PAI-1S} εν 1722 {PREP} τουτω 3778 {D-DSN} τω 3588 {T-DSN} σκηνωματι 4638 {N-DSN} διεγειρειν 1326 {V-PAN} υμας 4771 {P-2AP} εν 1722 {PREP} υπομνησει 5280 {N-DSF}
1,14,ειδως 1492 {V-RAP-NSM} οτι 3754 {CONJ} ταχινη 5031 {A-NSF} εστιν 1510 {V-PAI-3S} η 3588 {T-NSF} αποθεσις 595 {N-NSF} του 3588 {T-GSN} σκηνωματος 4638 {N-GSN} μου 1473 {P-1GS} καθως 2531 {ADV} και 2532 {CONJ} ο 3588 {T-NSM} κυριος 2962 {N-NSM} ημων 1473 {P-1GP} ιησους 2424 {N-NSM} χριστος 5547 {N-NSM} εδηλωσεν 1213 {V-AAI-3S} μοι 1473 {P-1DS}
1,15,σπουδασω 4704 {V-FAI-1S} δε 1161 {CONJ} και 2532 {CONJ} εκαστοτε 1539 {ADV} εχειν 2192 {V-PAN} υμας 4771 {P-2AP} μετα 3326 {PREP} την 3588 {T-ASF} εμην 1699 {S-1SASF} εξοδον 1841 {N-ASF} την 3588 {T-ASF} τουτων 3778 {D-GPN} μνημην 3420 {N-ASF} ποιεισθαι 4160 {V-PMN}
1,16,ου 3756 {PRT-N} γαρ 1063 {CONJ} σεσοφισμενοις 4679 {V-RPP-DPM} μυθοις 3454 {N-DPM} εξακολουθησαντες 1811 {V-AAP-NPM} εγνωρισαμεν 1107 {V-AAI-1P} υμιν 4771 {P-2DP} την 3588 {T-ASF} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δυναμιν 1411 {N-ASF} και 2532 {CONJ} παρουσιαν 3952 {N-ASF} αλλ 235 {CONJ} εποπται 2030 {N-NPM} γενηθεντες 1096 {V-AOP-NPM} της 3588 {T-GSF} εκεινου 1565 {D-GSM} μεγαλειοτητος 3168 {N-GSF}
1,17,λαβων 2983 {V-2AAP-NSM} γαρ 1063 {CONJ} παρα 3844 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} τιμην 5092 {N-ASF} και 2532 {CONJ} δοξαν 1391 {N-ASF} φωνης 5456 {N-GSF} ενεχθεισης 5342 {V-APP-GSF} αυτω 846 {P-DSM} τοιασδε 5107 {D-GSF} υπο 5259 {PREP} της 3588 {T-GSF} μεγαλοπρεπους 3169 {A-GSF} δοξης 1391 {N-GSF} ουτος 3778 {D-NSM} εστιν 1510 {V-PAI-3S} ο 3588 {T-NSM} υιος 5207 {N-NSM} μου 1473 {P-1GS} ο 3588 {T-NSM} αγαπητος 27 {A-NSM} εις 1519 {PREP} ον 3739 {R-ASM} εγω 1473 {P-1NS} ευδοκησα 2106 {V-AAI-1S}
1,18,και 2532 {CONJ} ταυτην 3778 {D-ASF} την 3588 {T-ASF} φωνην 5456 {N-ASF} ημεις 1473 {P-1NP} ηκουσαμεν 191 {V-AAI-1P} εξ 1537 {PREP} ουρανου 3772 {N-GSM} ενεχθεισαν 5342 {V-APP-ASF} συν 4862 {PREP} αυτω 846 {P-DSM} οντες 1510 {V-PAP-NPM} εν 1722 {PREP} τω 3588 {T-DSN} ορει 3735 {N-DSN} τω 3588 {T-DSN} αγιω 40 {A-DSN}
1,19,και 2532 {CONJ} εχομεν 2192 {V-PAI-1P} βεβαιοτερον 949 {A-ASM-C} τον 3588 {T-ASM} προφητικον 4397 {A-ASM} λογον 3056 {N-ASM} ω 3739 {R-DSM} καλως 2573 {ADV} ποιειτε 4160 {V-PAI-2P} προσεχοντες 4337 {V-PAP-NPM} ως 5613 {ADV} λυχνω 3088 {N-DSM} φαινοντι 5316 {V-PAP-DSM} εν 1722 {PREP} αυχμηρω 850 {A-DSM} τοπω 5117 {N-DSM} εως 2193 {ADV} ου 3739 {R-GSM} ημερα 2250 {N-NSF} διαυγαση 1306 {V-AAS-3S} και 2532 {CONJ} φωσφορος 5459 {A-NSM} ανατειλη 393 {V-AAS-3S} εν 1722 {PREP} ταις 3588 {T-DPF} καρδιαις 2588 {N-DPF} υμων 4771 {P-2GP}
1,20,τουτο 3778 {D-ASN} πρωτον 4412 {ADV-S} γινωσκοντες 1097 {V-PAP-NPM} οτι 3754 {CONJ} πασα 3956 {A-NSF} προφητεια 4394 {N-NSF} γραφης 1124 {N-GSF} ιδιας 2398 {A-GSF} επιλυσεως 1955 {N-GSF} ου 3756 {PRT-N} γινεται 1096 {V-PNI-3S}
1,21,ου 3756 {PRT-N} γαρ 1063 {CONJ} θεληματι 2307 {N-DSN} ανθρωπου 444 {N-GSM} ηνεχθη 5342 {V-API-3S} ποτε 4218 {PRT} προφητεια 4394 {N-NSF} αλλ 235 {CONJ} υπο 5259 {PREP} πνευματος 4151 {N-GSN} αγιου 40 {A-GSN} φερομενοι 5342 {V-PPP-NPM} ελαλησαν 2980 {V-AAI-3P} αγιοι 40 {A-NPM} θεου 2316 {N-GSM} ανθρωποι 444 {N-NPM}
2,1,εγενοντο 1096 {V-2ADI-3P} δε 1161 {CONJ} και 2532 {CONJ} ψευδοπροφηται 5578 {N-NPM} εν 1722 {PREP} τω 3588 {T-DSM} λαω 2992 {N-DSM} ως 5613 {ADV} και 2532 {CONJ} εν 1722 {PREP} υμιν 4771 {P-2DP} εσονται 1510 {V-FDI-3P} ψευδοδιδασκαλοι 5572 {N-NPM} οιτινες 3748 {R-NPM} παρεισαξουσιν 3919 {V-FAI-3P} αιρεσεις 139 {N-APF} απωλειας 684 {N-GSF} και 2532 {CONJ} τον 3588 {T-ASM} αγορασαντα 59 {V-AAP-ASM} αυτους 846 {P-APM} δεσποτην 1203 {N-ASM} αρνουμενοι 720 {V-PNP-NPM} επαγοντες 1863 {V-PAP-NPM} εαυτοις 1438 {F-3DPM} ταχινην 5031 {A-ASF} απωλειαν 684 {N-ASF}
