chapter,verse,text
1,1,παυλος 3972 {N-NSM} και 2532 {CONJ} σιλουανος 4610 {N-NSM} και 2532 {CONJ} τιμοθεος 5095 {N-NSM} τη 3588 {T-DSF} εκκλησια 1577 {N-DSF} θεσσαλονικεων 2331 {N-GPM} εν 1722 {PREP} θεω 2316 {N-DSM} πατρι 3962 {N-DSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριω 2962 {N-DSM} ιησου 2424 {N-DSM} χριστω 5547 {N-DSM}
1,2,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,3,ευχαριστειν 2168 {V-PAN} οφειλομεν 3784 {V-PAI-1P} τω 3588 {T-DSM} θεω 2316 {N-DSM} παντοτε 3842 {ADV} περι 4012 {PREP} υμων 4771 {P-2GP} αδελφοι 80 {N-VPM} καθως 2531 {ADV} αξιον 514 {A-NSN} εστιν 1510 {V-PAI-3S} οτι 3754 {CONJ} υπεραυξανει 5232 {V-PAI-3S} η 3588 {T-NSF} πιστις 4102 {N-NSF} υμων 4771 {P-2GP} και 2532 {CONJ} πλεοναζει 4121 {V-PAI-3S} η 3588 {T-NSF} αγαπη 26 {N-NSF} ενος 1520 {A-GSM} εκαστου 1538 {A-GSM} παντων 3956 {A-GPM} υμων 4771 {P-2GP} εις 1519 {PREP} αλληλους 240 {C-APM}
1,4,ωστε 5620 {CONJ} ημας 1473 {P-1AP} αυτους 846 {P-APM} εν 1722 {PREP} υμιν 4771 {P-2DP} καυχασθαι 2744 {V-PNN} εν 1722 {PREP} ταις 3588 {T-DPF} εκκλησιαις 1577 {N-DPF} του 3588 {T-GSM} θεου 2316 {N-GSM} υπερ 5228 {PREP} της 3588 {T-GSF} υπομονης 5281 {N-GSF} υμων 4771 {P-2GP} και 2532 {CONJ} πιστεως 4102 {N-GSF} εν 1722 {PREP} πασιν 3956 {A-DPM} τοις 3588 {T-DPM} διωγμοις 1375 {N-DPM} υμων 4771 {P-2GP} και 2532 {CONJ} ταις 3588 {T-DPF} θλιψεσιν 2347 {N-DPF} αις 3739 {R-DPF} ανεχεσθε 430 {V-PNI-2P}
1,5,ενδειγμα 1730 {N-NSN} της 3588 {T-GSF} δικαιας 1342 {A-GSF} κρισεως 2920 {N-GSF} του 3588 {T-GSM} θεου 2316 {N-GSM} εις 1519 {PREP} το 3588 {T-ASN} καταξιωθηναι 2661 {V-APN} υμας 4771 {P-2AP} της 3588 {T-GSF} βασιλειας 932 {N-GSF} του 3588 {T-GSM} θεου 2316 {N-GSM} υπερ 5228 {PREP} ης 3739 {R-GSF} και 2532 {CONJ} πασχετε 3958 {V-PAI-2P}
1,6,ειπερ 1512 {COND} δικαιον 1342 {A-NSN} παρα 3844 {PREP} θεω 2316 {N-DSM} ανταποδουναι 467 {V-2AAN} τοις 3588 {T-DPM} θλιβουσιν 2346 {V-PAP-DPM} υμας 4771 {P-2AP} θλιψιν 2347 {N-ASF}
1,7,και 2532 {CONJ} υμιν 4771 {P-2DP} τοις 3588 {T-DPM} θλιβομενοις 2346 {V-PPP-DPM} ανεσιν 425 {N-ASF} μεθ 3326 {PREP} ημων 1473 {P-1GP} εν 1722 {PREP} τη 3588 {T-DSF} αποκαλυψει 602 {N-DSF} του 3588 {T-GSM} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} απ 575 {PREP} ουρανου 3772 {N-GSM} μετ 3326 {PREP} αγγελων 32 {N-GPM} δυναμεως 1411 {N-GSF} αυτου 846 {P-GSM}
1,8,εν 1722 {PREP} πυρι 4442 {N-DSN} φλογος 5395 {N-GSF} διδοντος 1325 {V-PAP-GSM} εκδικησιν 1557 {N-ASF} τοις 3588 {T-DPM} μη 3361 {PRT-N} ειδοσιν 1492 {V-RAP-DPM} θεον 2316 {N-ASM} και 2532 {CONJ} τοις 3588 {T-DPM} μη 3361 {PRT-N} υπακουουσιν 5219 {V-PAP-DPM} τω 3588 {T-DSN} ευαγγελιω 2098 {N-DSN} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM}
1,9,οιτινες 3748 {R-NPM} δικην 1349 {N-ASF} τισουσιν 5099 {V-FAI-3P} ολεθρον 3639 {N-ASM} αιωνιον 166 {A-ASM} απο 575 {PREP} προσωπου 4383 {N-GSN} του 3588 {T-GSM} κυριου 2962 {N-GSM} και 2532 {CONJ} απο 575 {PREP} της 3588 {T-GSF} δοξης 1391 {N-GSF} της 3588 {T-GSF} ισχυος 2479 {N-GSF} αυτου 846 {P-GSM}
1,10,οταν 3752 {CONJ} ελθη 2064 {V-2AAS-3S} ενδοξασθηναι 1740 {V-APN} εν 1722 {PREP} τοις 3588 {T-DPM} αγιοις 40 {A-DPM} αυτου 846 {P-GSM} και 2532 {CONJ} θαυμασθηναι 2296 {V-APN} εν 1722 {PREP} πασιν 3956 {A-DPM} τοις 3588 {T-DPM} πιστευσασιν 4100 {V-AAP-DPM} οτι 3754 {CONJ} επιστευθη 4100 {V-API-3S} το 3588 {T-NSN} μαρτυριον 3142 {N-NSN} ημων 1473 {P-1GP} εφ 1909 {PREP} υμας 4771 {P-2AP} εν 1722 {PREP} τη 3588 {T-DSF} ημερα 2250 {N-DSF} εκεινη 1565 {D-DSF}
