chapter,verse,text
1,1,παυλος 3972 {N-NSM} αποστολος 652 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δια 1223 {PREP} θεληματος 2307 {N-GSN} θεου 2316 {N-GSM} κατ 2596 {PREP} επαγγελιαν 1860 {N-ASF} ζωης 2222 {N-GSF} της 3588 {T-GSF} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM}
1,2,τιμοθεω 5095 {N-DSM} αγαπητω 27 {A-DSN} τεκνω 5043 {N-DSN} χαρις 5485 {N-NSF} ελεος 1656 {N-NSN} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} και 2532 {CONJ} χριστου 5547 {N-GSM} ιησου 2424 {N-GSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP}
1,3,χαριν 5485 {N-ASF} εχω 2192 {V-PAI-1S} τω 3588 {T-DSM} θεω 2316 {N-DSM} ω 3739 {R-DSM} λατρευω 3000 {V-PAI-1S} απο 575 {PREP} προγονων 4269 {N-GPM} εν 1722 {PREP} καθαρα 2513 {A-DSF} συνειδησει 4893 {N-DSF} ως 5613 {ADV} αδιαλειπτον 88 {A-ASF} εχω 2192 {V-PAI-1S} την 3588 {T-ASF} περι 4012 {PREP} σου 4771 {P-2GS} μνειαν 3417 {N-ASF} εν 1722 {PREP} ταις 3588 {T-DPF} δεησεσιν 1162 {N-DPF} μου 1473 {P-1GS} νυκτος 3571 {N-GSF} και 2532 {CONJ} ημερας 2250 {N-GSF}
1,4,επιποθων 1971 {V-PAP-NSM} σε 4771 {P-2AS} ιδειν 3708 {V-2AAN} μεμνημενος 3403 {V-RPP-NSM} σου 4771 {P-2GS} των 3588 {T-GPN} δακρυων 1144 {N-GPN} ινα 2443 {CONJ} χαρας 5479 {N-GSF} πληρωθω 4137 {V-APS-1S}
1,5,υπομνησιν 5280 {N-ASF} λαμβανων 2983 {V-PAP-NSM} της 3588 {T-GSF} εν 1722 {PREP} σοι 4771 {P-2DS} ανυποκριτου 505 {A-GSF} πιστεως 4102 {N-GSF} ητις 3748 {R-NSF} ενωκησεν 1774 {V-AAI-3S} πρωτον 4412 {ADV-S} εν 1722 {PREP} τη 3588 {T-DSF} μαμμη 3125 {N-DSF} σου 4771 {P-2GS} λωιδι 3090 {N-DSF} και 2532 {CONJ} τη 3588 {T-DSF} μητρι 3384 {N-DSF} σου 4771 {P-2GS} ευνικη 2131 {N-DSF} πεπεισμαι 3982 {V-RPI-1S} δε 1161 {CONJ} οτι 3754 {CONJ} και 2532 {CONJ} εν 1722 {PREP} σοι 4771 {P-2DS}
1,6,δι 1223 {PREP} ην 3739 {R-ASF} αιτιαν 156 {N-ASF} αναμιμνησκω 363 {V-PAI-1S} σε 4771 {P-2AS} αναζωπυρειν 329 {V-PAN} το 3588 {T-ASN} χαρισμα 5486 {N-ASN} του 3588 {T-GSM} θεου 2316 {N-GSM} ο 3739 {R-NSN} εστιν 1510 {V-PAI-3S} εν 1722 {PREP} σοι 4771 {P-2DS} δια 1223 {PREP} της 3588 {T-GSF} επιθεσεως 1936 {N-GSF} των 3588 {T-GPF} χειρων 5495 {N-GPF} μου 1473 {P-1GS}
1,7,ου 3756 {PRT-N} γαρ 1063 {CONJ} εδωκεν 1325 {V-AAI-3S} ημιν 1473 {P-1DP} ο 3588 {T-NSM} θεος 2316 {N-NSM} πνευμα 4151 {N-ASN} δειλιας 1167 {N-GSF} αλλα 235 {CONJ} δυναμεως 1411 {N-GSF} και 2532 {CONJ} αγαπης 26 {N-GSF} και 2532 {CONJ} σωφρονισμου 4995 {N-GSM}
1,8,μη 3361 {PRT-N} ουν 3767 {CONJ} επαισχυνθης 1870 {V-AOS-2S} το 3588 {T-ASN} μαρτυριον 3142 {N-ASN} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} μηδε 3366 {CONJ-N} εμε 1473 {P-1AS} τον 3588 {T-ASM} δεσμιον 1198 {N-ASM} αυτου 846 {P-GSM} αλλα 235 {CONJ} συγκακοπαθησον 4777 {V-AAM-2S} τω 3588 {T-DSN} ευαγγελιω 2098 {N-DSN} κατα 2596 {PREP} δυναμιν 1411 {N-ASF} θεου 2316 {N-GSM}
1,9,του 3588 {T-GSM} σωσαντος 4982 {V-AAP-GSM} ημας 1473 {P-1AP} και 2532 {CONJ} καλεσαντος 2564 {V-AAP-GSM} κλησει 2821 {N-DSF} αγια 40 {A-DSF} ου 3756 {PRT-N} κατα 2596 {PREP} τα 3588 {T-APN} εργα 2041 {N-APN} ημων 1473 {P-1GP} αλλα 235 {CONJ} κατ 2596 {PREP} ιδιαν 2398 {A-ASF} προθεσιν 4286 {N-ASF} και 2532 {CONJ} χαριν 5485 {N-ASF} την 3588 {T-ASF} δοθεισαν 1325 {V-APP-ASF} ημιν 1473 {P-1DP} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM} προ 4253 {PREP} χρονων 5550 {N-GPM} αιωνιων 166 {A-GPM}
1,10,φανερωθεισαν 5319 {V-APP-ASF} δε 1161 {CONJ} νυν 3568 {ADV} δια 1223 {PREP} της 3588 {T-GSF} επιφανειας 2015 {N-GSF} του 3588 {T-GSM} σωτηρος 4990 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} καταργησαντος 2673 {V-AAP-GSM} μεν 3303 {PRT} τον 3588 {T-ASM} θανατον 2288 {N-ASM} φωτισαντος 5461 {V-AAP-GSM} δε 1161 {CONJ} ζωην 2222 {N-ASF} και 2532 {CONJ} αφθαρσιαν 861 {N-ASF} δια 1223 {PREP} του 3588 {T-GSN} ευαγγελιου 2098 {N-GSN}
