chapter,verse,text
1,1,ο 3588 {T-NSM} πρεσβυτερος 4245 {A-NSM-C} γαιω 1050 {N-DSM} τω 3588 {T-DSM} αγαπητω 27 {A-DSM} ον 3739 {R-ASM} εγω 1473 {P-1NS} αγαπω 25 {V-PAI-1S} εν 1722 {PREP} αληθεια 225 {N-DSF}
1,2,αγαπητε 27 {A-VSM} περι 4012 {PREP} παντων 3956 {A-GPN} ευχομαι 2172 {V-PNI-1S} σε 4771 {P-2AS} ευοδουσθαι 2137 {V-PPN} και 2532 {CONJ} υγιαινειν 5198 {V-PAN} καθως 2531 {ADV} ευοδουται 2137 {V-PPI-3S} σου 4771 {P-2GS} η 3588 {T-NSF} ψυχη 5590 {N-NSF}
1,3,εχαρην 5463 {V-2AOI-1S} γαρ 1063 {CONJ} λιαν 3029 {ADV} ερχομενων 2064 {V-PNP-GPM} αδελφων 80 {N-GPM} και 2532 {CONJ} μαρτυρουντων 3140 {V-PAP-GPM} σου 4771 {P-2GS} τη 3588 {T-DSF} αληθεια 225 {N-DSF} καθως 2531 {ADV} συ 4771 {P-2NS} εν 1722 {PREP} αληθεια 225 {N-DSF} περιπατεις 4043 {V-PAI-2S}
1,4,μειζοτεραν 3173 {A-ASF-C} τουτων 3778 {D-GPN} ουκ 3756 {PRT-N} εχω 2192 {V-PAI-1S} χαραν 5479 {N-ASF} ινα 2443 {CONJ} ακουω 191 {V-PAS-1S} τα 3588 {T-APN} εμα 1699 {S-1SAPN} τεκνα 5043 {N-APN} εν 1722 {PREP} αληθεια 225 {N-DSF} περιπατουντα 4043 {V-PAP-APN}
1,5,αγαπητε 27 {A-VSM} πιστον 4103 {A-ASN} ποιεις 4160 {V-PAI-2S} ο 3739 {R-ASN} εαν 1437 {COND} εργαση 2038 {V-ADS-2S} εις 1519 {PREP} τους 3588 {T-APM} αδελφους 80 {N-APM} και 2532 {CONJ} εις 1519 {PREP} τους 3588 {T-APM} ξενους 3581 {A-APM}
1,6,οι 3739 {R-NPM} εμαρτυρησαν 3140 {V-AAI-3P} σου 4771 {P-2GS} τη 3588 {T-DSF} αγαπη 26 {N-DSF} ενωπιον 1799 {PREP} εκκλησιας 1577 {N-GSF} ους 3739 {R-APM} καλως 2573 {ADV} ποιησεις 4160 {V-FAI-2S} προπεμψας 4311 {V-AAP-NSM} αξιως 516 {ADV} του 3588 {T-GSM} θεου 2316 {N-GSM}
1,7,υπερ 5228 {PREP} γαρ 1063 {CONJ} του 3588 {T-GSN} ονοματος 3686 {N-GSN} εξηλθον 1831 {V-2AAI-3P} μηδεν 3367 {A-ASN-N} λαμβανοντες 2983 {V-PAP-NPM} απο 575 {PREP} των 3588 {T-GPN} εθνων 1484 {N-GPN}
1,8,ημεις 1473 {P-1NP} ουν 3767 {CONJ} οφειλομεν 3784 {V-PAI-1P} απολαμβανειν 618 {V-PAN} τους 3588 {T-APM} τοιουτους 5108 {D-APM} ινα 2443 {CONJ} συνεργοι 4904 {A-NPM} γινωμεθα 1096 {V-PNS-1P} τη 3588 {T-DSF} αληθεια 225 {N-DSF}
1,9,εγραψα 1125 {V-AAI-1S} τη 3588 {T-DSF} εκκλησια 1577 {N-DSF} αλλ 235 {CONJ} ο 3588 {T-NSM} φιλοπρωτευων 5383 {V-PAP-NSM} αυτων 846 {P-GPF} διοτρεφης 1361 {N-NSM} ουκ 3756 {PRT-N} επιδεχεται 1926 {V-PNI-3S} ημας 1473 {P-1AP}
1,10,δια 1223 {PREP} τουτο 3778 {D-ASN} εαν 1437 {COND} ελθω 2064 {V-2AAS-1S} υπομνησω 5279 {V-FAI-1S} αυτου 846 {P-GSM} τα 3588 {T-APN} εργα 2041 {N-APN} α 3739 {R-APN} ποιει 4160 {V-PAI-3S} λογοις 3056 {N-DPM} πονηροις 4190 {A-DPM} φλυαρων 5396 {V-PAP-NSM} ημας 1473 {P-1AP} και 2532 {CONJ} μη 3361 {PRT-N} αρκουμενος 714 {V-PPP-NSM} επι 1909 {PREP} τουτοις 3778 {D-DPN} ουτε 3777 {CONJ-N} αυτος 846 {P-NSM} επιδεχεται 1926 {V-PNI-3S} τους 3588 {T-APM} αδελφους 80 {N-APM} και 2532 {CONJ} τους 3588 {T-APM} βουλομενους 1014 {V-PNP-APM} κωλυει 2967 {V-PAI-3S} και 2532 {CONJ} εκ 1537 {PREP} της 3588 {T-GSF} εκκλησιας 1577 {N-GSF} εκβαλλει 1544 {V-PAI-3S}
1,11,αγαπητε 27 {A-VSM} μη 3361 {PRT-N} μιμου 3401 {V-PNM-2S} το 3588 {T-ASN} κακον 2556 {A-ASN} αλλα 235 {CONJ} το 3588 {T-ASN} αγαθον 18 {A-ASN} ο 3588 {T-NSM} αγαθοποιων 15 {V-PAP-NSM} εκ 1537 {PREP} του 3588 {T-GSM} θεου 2316 {N-GSM} εστιν 1510 {V-PAI-3S} ο 3588 {T-NSM} κακοποιων 2554 {V-PAP-NSM} ουχ 3756 {PRT-N} εωρακεν 3708 {V-RAI-3S-ATT} τον 3588 {T-ASM} θεον 2316 {N-ASM}
1,12,δημητριω 1216 {N-DSM} μεμαρτυρηται 3140 {V-RPI-3S} υπο 5259 {PREP} παντων 3956 {A-GPM} και 2532 {CONJ} υπ 5259 {PREP} αυτης 846 {P-GSF} της 3588 {T-GSF} αληθειας 225 {N-GSF} και 2532 {CONJ} ημεις 1473 {P-1NP} δε 1161 {CONJ} μαρτυρουμεν 3140 {V-PAI-1P} και 2532 {CONJ} οιδατε 1492 {V-RAI-2P} οτι 3754 {CONJ} η 3588 {T-NSF} μαρτυρια 3141 {N-NSF} ημων 1473 {P-1GP} αληθης 227 {A-NSF} εστιν 1510 {V-PAI-3S}
1,13,πολλα 4183 {A-APN} ειχον 2192 {V-IAI-1S} γραφειν 1125 {V-PAN} αλλ 235 {CONJ} ου 3756 {PRT-N} θελω 2309 {V-PAI-1S} δια 1223 {PREP} μελανος 3188 {A-GSN} και 2532 {CONJ} καλαμου 2563 {N-GSM} σοι 4771 {P-2DS} γραψαι 1125 {V-AAN}
1,14,ελπιζω 1679 {V-PAI-1S} δε 1161 {CONJ} ευθεως 2112 {ADV} ιδειν 3708 {V-2AAN} σε 4771 {P-2AS} και 2532 {CONJ} στομα 4750 {N-ASN} προς 4314 {PREP} στομα 4750 {N-ASN} λαλησομεν 2980 {V-FAI-1P} ειρηνη 1515 {N-NSF} σοι 4771 {P-2DS} ασπαζονται 782 {V-PNI-3P} σε 4771 {P-2AS} οι 3588 {T-NPM} φιλοι 5384 {A-NPM} ασπαζου 782 {V-PNM-2S} τους 3588 {T-APM} φιλους 5384 {A-APM} κατ 2596 {PREP} ονομα 3686 {N-ASN}
