chapter,verse,text
1,1,τον 3588 {T-ASM} μεν 3303 {PRT} πρωτον 4413 {A-ASM-S} λογον 3056 {N-ASM} εποιησαμην 4160 {V-AMI-1S} περι 4012 {PREP} παντων 3956 {A-GPN} ω 5599 {INJ} θεοφιλε 2321 {N-VSM} ων 3739 {R-GPN} ηρξατο 756 {V-AMI-3S} ο 3588 {T-NSM} ιησους 2424 {N-NSM} ποιειν 4160 {V-PAN} τε 5037 {PRT} και 2532 {CONJ} διδασκειν 1321 {V-PAN}
1,2,αχρι 891 {ADV} ης 3739 {R-GSF} ημερας 2250 {N-GSF} εντειλαμενος 1781 {V-ANP-NSM} τοις 3588 {T-DPM} αποστολοις 652 {N-DPM} δια 1223 {PREP} πνευματος 4151 {N-GSN} αγιου 40 {A-GSN} ους 3739 {R-APM} εξελεξατο 1586 {V-AMI-3S} ανεληφθη 353 {V-API-3S}
1,3,οις 3739 {R-DPM} και 2532 {CONJ} παρεστησεν 3936 {V-AAI-3S} εαυτον 1438 {F-3ASM} ζωντα 2198 {V-PAP-ASM} μετα 3326 {PREP} το 3588 {T-ASN} παθειν 3958 {V-2AAN} αυτον 846 {P-ASM} εν 1722 {PREP} πολλοις 4183 {A-DPN} τεκμηριοις 5039 {N-DPN} δι 1223 {PREP} ημερων 2250 {N-GPF} τεσσαρακοντα 5062 {A-NUI} οπτανομενος 3700 {V-PNP-NSM} αυτοις 846 {P-DPM} και 2532 {CONJ} λεγων 3004 {V-PAP-NSM} τα 3588 {T-APN} περι 4012 {PREP} της 3588 {T-GSF} βασιλειας 932 {N-GSF} του 3588 {T-GSM} θεου 2316 {N-GSM}
1,4,και 2532 {CONJ} συναλιζομενος 4871 {V-PNP-NSM} παρηγγειλεν 3853 {V-AAI-3S} αυτοις 846 {P-DPM} απο 575 {PREP} ιεροσολυμων 2414 {N-GPN} μη 3361 {PRT-N} χωριζεσθαι 5563 {V-PPN} αλλα 235 {CONJ} περιμενειν 4037 {V-PAN} την 3588 {T-ASF} επαγγελιαν 1860 {N-ASF} του 3588 {T-GSM} πατρος 3962 {N-GSM} ην 3739 {R-ASF} ηκουσατε 191 {V-AAI-2P} μου 1473 {P-1GS}
1,5,οτι 3754 {CONJ} ιωαννης 2491 {N-NSM} μεν 3303 {PRT} εβαπτισεν 907 {V-AAI-3S} υδατι 5204 {N-DSN} υμεις 4771 {P-2NP} δε 1161 {CONJ} βαπτισθησεσθε 907 {V-FPI-2P} εν 1722 {PREP} πνευματι 4151 {N-DSN} αγιω 40 {A-DSN} ου 3756 {PRT-N} μετα 3326 {PREP} πολλας 4183 {A-APF} ταυτας 3778 {D-APF} ημερας 2250 {N-APF}
1,6,οι 3588 {T-NPM} μεν 3303 {PRT} ουν 3767 {CONJ} συνελθοντες 4905 {V-2AAP-NPM} επηρωτων 1905 {V-IAI-3P} αυτον 846 {P-ASM} λεγοντες 3004 {V-PAP-NPM} κυριε 2962 {N-VSM} ει 1487 {COND} εν 1722 {PREP} τω 3588 {T-DSM} χρονω 5550 {N-DSM} τουτω 3778 {D-DSM} αποκαθιστανεις 600 {V-PAI-2S} την 3588 {T-ASF} βασιλειαν 932 {N-ASF} τω 3588 {T-DSM} ισραηλ 2474 {N-PRI}
1,7,ειπεν 3004 {V-2AAI-3S} δε 1161 {CONJ} προς 4314 {PREP} αυτους 846 {P-APM} ουχ 3756 {PRT-N} υμων 4771 {P-2GP} εστιν 1510 {V-PAI-3S} γνωναι 1097 {V-2AAN} χρονους 5550 {N-APM} η 2228 {PRT} καιρους 2540 {N-APM} ους 3739 {R-APM} ο 3588 {T-NSM} πατηρ 3962 {N-NSM} εθετο 5087 {V-2AMI-3S} εν 1722 {PREP} τη 3588 {T-DSF} ιδια 2398 {A-DSF} εξουσια 1849 {N-DSF}
1,8,αλλα 235 {CONJ} ληψεσθε 2983 {V-FDI-2P} δυναμιν 1411 {N-ASF} επελθοντος 1904 {V-2AAP-GSN} του 3588 {T-GSN} αγιου 40 {A-GSN} πνευματος 4151 {N-GSN} εφ 1909 {PREP} υμας 4771 {P-2AP} και 2532 {CONJ} εσεσθε 1510 {V-FDI-2P} μοι 1473 {P-1DS} μαρτυρες 3144 {N-NPM} εν 1722 {PREP} τε 5037 {PRT} ιερουσαλημ 2419 {N-PRI} και 2532 {CONJ} εν 1722 {PREP} παση 3956 {A-DSF} τη 3588 {T-DSF} ιουδαια 2449 {N-DSF} και 2532 {CONJ} σαμαρεια 4540 {N-DSF} και 2532 {CONJ} εως 2193 {ADV} εσχατου 2078 {A-GSM-S} της 3588 {T-GSF} γης 1093 {N-GSF}
1,9,και 2532 {CONJ} ταυτα 3778 {D-APN} ειπων 3004 {V-2AAP-NSM} βλεποντων 991 {V-PAP-GPM} αυτων 846 {P-GPM} επηρθη 1869 {V-API-3S} και 2532 {CONJ} νεφελη 3507 {N-NSF} υπελαβεν 5274 {V-2AAI-3S} αυτον 846 {P-ASM} απο 575 {PREP} των 3588 {T-GPM} οφθαλμων 3788 {N-GPM} αυτων 846 {P-GPM}
1,10,και 2532 {CONJ} ως 5613 {ADV} ατενιζοντες 816 {V-PAP-NPM} ησαν 1510 {V-IAI-3P} εις 1519 {PREP} τον 3588 {T-ASM} ουρανον 3772 {N-ASM} πορευομενου 4198 {V-PNP-GSM} αυτου 846 {P-GSM} και 2532 {CONJ} ιδου 3708 {V-2AMM-2S} ανδρες 435 {N-NPM} δυο 1417 {A-NUI} παρειστηκεισαν 3936 {V-LAI-3P} αυτοις 846 {P-DPM} εν 1722 {PREP} εσθητι 2066 {N-DSF} λευκη 3022 {A-DSF}
1,11,οι 3739 {R-NPM} και 2532 {CONJ} ειπον 3004 {V-2AAI-3P} ανδρες 435 {N-VPM} γαλιλαιοι 1057 {N-VPM} τι 5101 {I-ASN} εστηκατε 2476 {V-RAI-2P} εμβλεποντες 1689 {V-PAP-NPM} εις 1519 {PREP} τον 3588 {T-ASM} ουρανον 3772 {N-ASM} ουτος 3778 {D-NSM} ο 3588 {T-NSM} ιησους 2424 {N-NSM} ο 3588 {T-NSM} αναληφθεις 353 {V-APP-NSM} αφ 575 {PREP} υμων 4771 {P-2GP} εις 1519 {PREP} τον 3588 {T-ASM} ουρανον 3772 {N-ASM} ουτως 3779 {ADV} ελευσεται 2064 {V-FDI-3S} ον 3739 {R-ASM} τροπον 5158 {N-ASM} εθεασασθε 2300 {V-ADI-2P} αυτον 846 {P-ASM} πορευομενον 4198 {V-PNP-ASM} εις 1519 {PREP} τον 3588 {T-ASM} ουρανον 3772 {N-ASM}
