chapter,verse,text
1,1,παυλος 3972 {N-NSM} αποστολος 652 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δια 1223 {PREP} θεληματος 2307 {N-GSN} θεου 2316 {N-GSM} και 2532 {CONJ} τιμοθεος 5095 {N-NSM} ο 3588 {T-NSM} αδελφος 80 {N-NSM}
1,2,τοις 3588 {T-DPM} εν 1722 {PREP} κολασσαις 2857 {N-DPF} αγιοις 40 {A-DPM} και 2532 {CONJ} πιστοις 4103 {A-DPM} αδελφοις 80 {N-DPM} εν 1722 {PREP} χριστω 5547 {N-DSM} χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,3,ευχαριστουμεν 2168 {V-PAI-1P} τω 3588 {T-DSM} θεω 2316 {N-DSM} και 2532 {CONJ} πατρι 3962 {N-DSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} παντοτε 3842 {ADV} περι 4012 {PREP} υμων 4771 {P-2GP} προσευχομενοι 4336 {V-PNP-NPM}
1,4,ακουσαντες 191 {V-AAP-NPM} την 3588 {T-ASF} πιστιν 4102 {N-ASF} υμων 4771 {P-2GP} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM} και 2532 {CONJ} την 3588 {T-ASF} αγαπην 26 {N-ASF} την 3588 {T-ASF} εις 1519 {PREP} παντας 3956 {A-APM} τους 3588 {T-APM} αγιους 40 {A-APM}
1,5,δια 1223 {PREP} την 3588 {T-ASF} ελπιδα 1680 {N-ASF} την 3588 {T-ASF} αποκειμενην 606 {V-PNP-ASF} υμιν 4771 {P-2DP} εν 1722 {PREP} τοις 3588 {T-DPM} ουρανοις 3772 {N-DPM} ην 3739 {R-ASF} προηκουσατε 4257 {V-AAI-2P} εν 1722 {PREP} τω 3588 {T-DSM} λογω 3056 {N-DSM} της 3588 {T-GSF} αληθειας 225 {N-GSF} του 3588 {T-GSN} ευαγγελιου 2098 {N-GSN}
1,6,του 3588 {T-GSN} παροντος 3918 {V-PAP-GSN} εις 1519 {PREP} υμας 4771 {P-2AP} καθως 2531 {ADV} και 2532 {CONJ} εν 1722 {PREP} παντι 3956 {A-DSM} τω 3588 {T-DSM} κοσμω 2889 {N-DSM} και 2532 {CONJ} εστιν 1510 {V-PAI-3S} καρποφορουμενον 2592 {V-PMP-NSN} και 2532 {CONJ} αυξανομενον 837 {V-PPP-NSN} καθως 2531 {ADV} και 2532 {CONJ} εν 1722 {PREP} υμιν 4771 {P-2DP} αφ 575 {PREP} ης 3739 {R-GSF} ημερας 2250 {N-GSF} ηκουσατε 191 {V-AAI-2P} και 2532 {CONJ} επεγνωτε 1921 {V-2AAI-2P} την 3588 {T-ASF} χαριν 5485 {N-ASF} του 3588 {T-GSM} θεου 2316 {N-GSM} εν 1722 {PREP} αληθεια 225 {N-DSF}
1,7,καθως 2531 {ADV} και 2532 {CONJ} εμαθετε 3129 {V-2AAI-2P} απο 575 {PREP} επαφρα 1889 {N-GSM} του 3588 {T-GSM} αγαπητου 27 {A-GSM} συνδουλου 4889 {N-GSM} ημων 1473 {P-1GP} ος 3739 {R-NSM} εστιν 1510 {V-PAI-3S} πιστος 4103 {A-NSM} υπερ 5228 {PREP} υμων 4771 {P-2GP} διακονος 1249 {N-NSM} του 3588 {T-GSM} χριστου 5547 {N-GSM}
1,8,ο 3588 {T-NSM} και 2532 {CONJ} δηλωσας 1213 {V-AAP-NSM} ημιν 1473 {P-1DP} την 3588 {T-ASF} υμων 4771 {P-2GP} αγαπην 26 {N-ASF} εν 1722 {PREP} πνευματι 4151 {N-DSN}
1,9,δια 1223 {PREP} τουτο 3778 {D-ASN} και 2532 {CONJ} ημεις 1473 {P-1NP} αφ 575 {PREP} ης 3739 {R-GSF} ημερας 2250 {N-GSF} ηκουσαμεν 191 {V-AAI-1P} ου 3756 {PRT-N} παυομεθα 3973 {V-PMI-1P} υπερ 5228 {PREP} υμων 4771 {P-2GP} προσευχομενοι 4336 {V-PNP-NPM} και 2532 {CONJ} αιτουμενοι 154 {V-PMP-NPM} ινα 2443 {CONJ} πληρωθητε 4137 {V-APS-2P} την 3588 {T-ASF} επιγνωσιν 1922 {N-ASF} του 3588 {T-GSN} θεληματος 2307 {N-GSN} αυτου 846 {P-GSM} εν 1722 {PREP} παση 3956 {A-DSF} σοφια 4678 {N-DSF} και 2532 {CONJ} συνεσει 4907 {N-DSF} πνευματικη 4152 {A-DSF}
1,10,περιπατησαι 4043 {V-AAN} υμας 4771 {P-2AP} αξιως 516 {ADV} του 3588 {T-GSM} κυριου 2962 {N-GSM} εις 1519 {PREP} πασαν 3956 {A-ASF} αρεσκειαν 699 {N-ASF} εν 1722 {PREP} παντι 3956 {A-DSN} εργω 2041 {N-DSN} αγαθω 18 {A-DSN} καρποφορουντες 2592 {V-PAP-NPM} και 2532 {CONJ} αυξανομενοι 837 {V-PPP-NPM} εις 1519 {PREP} την 3588 {T-ASF} επιγνωσιν 1922 {N-ASF} του 3588 {T-GSM} θεου 2316 {N-GSM}
