chapter,verse,text
1,1,παυλος 3972 {N-NSM} αποστολος 652 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δια 1223 {PREP} θεληματος 2307 {N-GSN} θεου 2316 {N-GSM} τοις 3588 {T-DPM} αγιοις 40 {A-DPM} τοις 3588 {T-DPM} ουσιν 1510 {V-PAP-DPM} εν 1722 {PREP} εφεσω 2181 {N-DSF} και 2532 {CONJ} πιστοις 4103 {A-DPM} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM}
1,2,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,3,ευλογητος 2128 {A-NSM} ο 3588 {T-NSM} θεος 2316 {N-NSM} και 2532 {CONJ} πατηρ 3962 {N-NSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} ο 3588 {T-NSM} ευλογησας 2127 {V-AAP-NSM} ημας 1473 {P-1AP} εν 1722 {PREP} παση 3956 {A-DSF} ευλογια 2129 {N-DSF} πνευματικη 4152 {A-DSF} εν 1722 {PREP} τοις 3588 {T-DPN} επουρανιοις 2032 {A-DPN} εν 1722 {PREP} χριστω 5547 {N-DSM}
1,4,καθως 2531 {ADV} εξελεξατο 1586 {V-AMI-3S} ημας 1473 {P-1AP} εν 1722 {PREP} αυτω 846 {P-DSM} προ 4253 {PREP} καταβολης 2602 {N-GSF} κοσμου 2889 {N-GSM} ειναι 1510 {V-PAN} ημας 1473 {P-1AP} αγιους 40 {A-APM} και 2532 {CONJ} αμωμους 299 {A-APM} κατενωπιον 2714 {PREP} αυτου 846 {P-GSM} εν 1722 {PREP} αγαπη 26 {N-DSF}
1,5,προορισας 4309 {V-AAP-NSM} ημας 1473 {P-1AP} εις 1519 {PREP} υιοθεσιαν 5206 {N-ASF} δια 1223 {PREP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} εις 1519 {PREP} αυτον 846 {P-ASM} κατα 2596 {PREP} την 3588 {T-ASF} ευδοκιαν 2107 {N-ASF} του 3588 {T-GSN} θεληματος 2307 {N-GSN} αυτου 846 {P-GSM}
1,6,εις 1519 {PREP} επαινον 1868 {N-ASM} δοξης 1391 {N-GSF} της 3588 {T-GSF} χαριτος 5485 {N-GSF} αυτου 846 {P-GSM} εν 1722 {PREP} η 3739 {R-DSF} εχαριτωσεν 5487 {V-AAI-3S} ημας 1473 {P-1AP} εν 1722 {PREP} τω 3588 {T-DSM} ηγαπημενω 25 {V-RPP-DSM}
1,7,εν 1722 {PREP} ω 3739 {R-DSM} εχομεν 2192 {V-PAI-1P} την 3588 {T-ASF} απολυτρωσιν 629 {N-ASF} δια 1223 {PREP} του 3588 {T-GSN} αιματος 129 {N-GSN} αυτου 846 {P-GSM} την 3588 {T-ASF} αφεσιν 859 {N-ASF} των 3588 {T-GPN} παραπτωματων 3900 {N-GPN} κατα 2596 {PREP} τον 3588 {T-ASM} πλουτον 4149 {N-ASM} της 3588 {T-GSF} χαριτος 5485 {N-GSF} αυτου 846 {P-GSM}
1,8,ης 3739 {R-GSF} επερισσευσεν 4052 {V-AAI-3S} εις 1519 {PREP} ημας 1473 {P-1AP} εν 1722 {PREP} παση 3956 {A-DSF} σοφια 4678 {N-DSF} και 2532 {CONJ} φρονησει 5428 {N-DSF}
1,9,γνωρισας 1107 {V-AAP-NSM} ημιν 1473 {P-1DP} το 3588 {T-ASN} μυστηριον 3466 {N-ASN} του 3588 {T-GSN} θεληματος 2307 {N-GSN} αυτου 846 {P-GSM} κατα 2596 {PREP} την 3588 {T-ASF} ευδοκιαν 2107 {N-ASF} αυτου 846 {P-GSM} ην 3739 {R-ASF} προεθετο 4388 {V-2AMI-3S} εν 1722 {PREP} αυτω 846 {P-DSM}
1,10,εις 1519 {PREP} οικονομιαν 3622 {N-ASF} του 3588 {T-GSN} πληρωματος 4138 {N-GSN} των 3588 {T-GPM} καιρων 2540 {N-GPM} ανακεφαλαιωσασθαι 346 {V-ADN} τα 3588 {T-APN} παντα 3956 {A-APN} εν 1722 {PREP} τω 3588 {T-DSM} χριστω 5547 {N-DSM} τα 3588 {T-APN} επι 1909 {PREP} τοις 3588 {T-DPM} ουρανοις 3772 {N-DPM} και 2532 {CONJ} τα 3588 {T-APN} επι 1909 {PREP} της 3588 {T-GSF} γης 1093 {N-GSF}
