chapter,verse,text
1,1,παυλος 3972 {N-NSM} αποστολος 652 {N-NSM} ουκ 3756 {PRT-N} απ 575 {PREP} ανθρωπων 444 {N-GPM} ουδε 3761 {CONJ-N} δι 1223 {PREP} ανθρωπου 444 {N-GSM} αλλα 235 {CONJ} δια 1223 {PREP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} και 2532 {CONJ} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} του 3588 {T-GSM} εγειραντος 1453 {V-AAP-GSM} αυτον 846 {P-ASM} εκ 1537 {PREP} νεκρων 3498 {A-GPM}
1,2,και 2532 {CONJ} οι 3588 {T-NPM} συν 4862 {PREP} εμοι 1473 {P-1DS} παντες 3956 {A-NPM} αδελφοι 80 {N-NPM} ταις 3588 {T-DPF} εκκλησιαις 1577 {N-DPF} της 3588 {T-GSF} γαλατιας 1053 {N-GSF}
1,3,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} και 2532 {CONJ} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,4,του 3588 {T-GSM} δοντος 1325 {V-2AAP-GSM} εαυτον 1438 {F-3ASM} περι 4012 {PREP} των 3588 {T-GPF} αμαρτιων 266 {N-GPF} ημων 1473 {P-1GP} οπως 3704 {ADV} εξεληται 1807 {V-2AMS-3S} ημας 1473 {P-1AP} εκ 1537 {PREP} του 3588 {T-GSM} ενεστωτος 1764 {V-RAP-GSM} αιωνος 165 {N-GSM} πονηρου 4190 {A-GSM} κατα 2596 {PREP} το 3588 {T-ASN} θελημα 2307 {N-ASN} του 3588 {T-GSM} θεου 2316 {N-GSM} και 2532 {CONJ} πατρος 3962 {N-GSM} ημων 1473 {P-1GP}
1,5,ω 3739 {R-DSM} η 3588 {T-NSF} δοξα 1391 {N-NSF} εις 1519 {PREP} τους 3588 {T-APM} αιωνας 165 {N-APM} των 3588 {T-GPM} αιωνων 165 {N-GPM} αμην 281 {HEB}
1,6,θαυμαζω 2296 {V-PAI-1S} οτι 3754 {CONJ} ουτως 3779 {ADV} ταχεως 5030 {ADV} μετατιθεσθε 3346 {V-PEI-2P} απο 575 {PREP} του 3588 {T-GSM} καλεσαντος 2564 {V-AAP-GSM} υμας 4771 {P-2AP} εν 1722 {PREP} χαριτι 5485 {N-DSF} χριστου 5547 {N-GSM} εις 1519 {PREP} ετερον 2087 {A-ASN} ευαγγελιον 2098 {N-ASN}
1,7,ο 3739 {R-NSN} ουκ 3756 {PRT-N} εστιν 1510 {V-PAI-3S} αλλο 243 {A-NSN} ει 1487 {COND} μη 3361 {PRT-N} τινες 5100 {X-NPM} εισιν 1510 {V-PAI-3P} οι 3588 {T-NPM} ταρασσοντες 5015 {V-PAP-NPM} υμας 4771 {P-2AP} και 2532 {CONJ} θελοντες 2309 {V-PAP-NPM} μεταστρεψαι 3344 {V-AAN} το 3588 {T-ASN} ευαγγελιον 2098 {N-ASN} του 3588 {T-GSM} χριστου 5547 {N-GSM}
1,8,αλλα 235 {CONJ} και 2532 {CONJ} εαν 1437 {COND} ημεις 1473 {P-1NP} η 2228 {PRT} αγγελος 32 {N-NSM} εξ 1537 {PREP} ουρανου 3772 {N-GSM} ευαγγελιζηται 2097 {V-PMS-3S} υμιν 4771 {P-2DP} παρ 3844 {PREP} ο 3739 {R-ASN} ευηγγελισαμεθα 2097 {V-AMI-1P} υμιν 4771 {P-2DP} αναθεμα 331 {N-NSN} εστω 1510 {V-PAM-3S}
1,9,ως 5613 {ADV} προειρηκαμεν 4302 {V-RAI-1P} και 2532 {CONJ} αρτι 737 {ADV} παλιν 3825 {ADV} λεγω 3004 {V-PAI-1S} ει 1487 {COND} τις 5100 {X-NSM} υμας 4771 {P-2AP} ευαγγελιζεται 2097 {V-PMI-3S} παρ 3844 {PREP} ο 3739 {R-ASN} παρελαβετε 3880 {V-2AAI-2P} αναθεμα 331 {N-NSN} εστω 1510 {V-PAM-3S}
1,10,αρτι 737 {ADV} γαρ 1063 {CONJ} ανθρωπους 444 {N-APM} πειθω 3982 {V-PAI-1S} η 2228 {PRT} τον 3588 {T-ASM} θεον 2316 {N-ASM} η 2228 {PRT} ζητω 2212 {V-PAI-1S} ανθρωποις 444 {N-DPM} αρεσκειν 700 {V-PAN} ει 1487 {COND} γαρ 1063 {CONJ} ετι 2089 {ADV} ανθρωποις 444 {N-DPM} ηρεσκον 700 {V-IAI-1S} χριστου 5547 {N-GSM} δουλος 1401 {N-NSM} ουκ 3756 {PRT-N} αν 302 {PRT} ημην 1510 {V-IMI-1S}
