chapter,verse,text
1,1,πολυμερως 4181 {ADV} και 2532 {CONJ} πολυτροπως 4187 {ADV} παλαι 3819 {ADV} ο 3588 {T-NSM} θεος 2316 {N-NSM} λαλησας 2980 {V-AAP-NSM} τοις 3588 {T-DPM} πατρασιν 3962 {N-DPM} εν 1722 {PREP} τοις 3588 {T-DPM} προφηταις 4396 {N-DPM} επ 1909 {PREP} εσχατου 2078 {A-GSM-S} των 3588 {T-GPF} ημερων 2250 {N-GPF} τουτων 3778 {D-GPF} ελαλησεν 2980 {V-AAI-3S} ημιν 1473 {P-1DP} εν 1722 {PREP} υιω 5207 {N-DSM}
1,2,ον 3739 {R-ASM} εθηκεν 5087 {V-AAI-3S} κληρονομον 2818 {N-ASM} παντων 3956 {A-GPN} δι 1223 {PREP} ου 3739 {R-GSM} και 2532 {CONJ} τους 3588 {T-APM} αιωνας 165 {N-APM} εποιησεν 4160 {V-AAI-3S}
1,3,ος 3739 {R-NSM} ων 1510 {V-PAP-NSM} απαυγασμα 541 {N-NSN} της 3588 {T-GSF} δοξης 1391 {N-GSF} και 2532 {CONJ} χαρακτηρ 5481 {N-NSM} της 3588 {T-GSF} υποστασεως 5287 {N-GSF} αυτου 846 {P-GSM} φερων 5342 {V-PAP-NSM} τε 5037 {PRT} τα 3588 {T-APN} παντα 3956 {A-APN} τω 3588 {T-DSN} ρηματι 4487 {N-DSN} της 3588 {T-GSF} δυναμεως 1411 {N-GSF} αυτου 846 {P-GSM} δι 1223 {PREP} εαυτου 1438 {F-3GSM} καθαρισμον 2512 {N-ASM} ποιησαμενος 4160 {V-AMP-NSM} των 3588 {T-GPF} αμαρτιων 266 {N-GPF} ημων 1473 {P-1GP} εκαθισεν 2523 {V-AAI-3S} εν 1722 {PREP} δεξια 1188 {A-DSF} της 3588 {T-GSF} μεγαλωσυνης 3172 {N-GSF} εν 1722 {PREP} υψηλοις 5308 {A-DPN}
1,4,τοσουτω 5118 {D-DSN} κρειττων 2909 {A-NSM-C} γενομενος 1096 {V-2ADP-NSM} των 3588 {T-GPM} αγγελων 32 {N-GPM} οσω 3745 {K-DSN} διαφορωτερον 1313 {A-ASN-C} παρ 3844 {PREP} αυτους 846 {P-APM} κεκληρονομηκεν 2816 {V-RAI-3S} ονομα 3686 {N-ASN}
1,5,τινι 5101 {I-DSM} γαρ 1063 {CONJ} ειπεν 3004 {V-2AAI-3S} ποτε 4218 {PRT} των 3588 {T-GPM} αγγελων 32 {N-GPM} υιος 5207 {N-NSM} μου 1473 {P-1GS} ει 1510 {V-PAI-2S} συ 4771 {P-2NS} εγω 1473 {P-1NS} σημερον 4594 {ADV} γεγεννηκα 1080 {V-RAI-1S} σε 4771 {P-2AS} και 2532 {CONJ} παλιν 3825 {ADV} εγω 1473 {P-1NS} εσομαι 1510 {V-FDI-1S} αυτω 846 {P-DSM} εις 1519 {PREP} πατερα 3962 {N-ASM} και 2532 {CONJ} αυτος 846 {P-NSM} εσται 1510 {V-FDI-3S} μοι 1473 {P-1DS} εις 1519 {PREP} υιον 5207 {N-ASM}
1,6,οταν 3752 {CONJ} δε 1161 {CONJ} παλιν 3825 {ADV} εισαγαγη 1521 {V-2AAS-3S} τον 3588 {T-ASM} πρωτοτοκον 4416 {A-ASM-S} εις 1519 {PREP} την 3588 {T-ASF} οικουμενην 3625 {N-ASF} λεγει 3004 {V-PAI-3S} και 2532 {CONJ} προσκυνησατωσαν 4352 {V-AAM-3P} αυτω 846 {P-DSM} παντες 3956 {A-NPM} αγγελοι 32 {N-NPM} θεου 2316 {N-GSM}
1,7,και 2532 {CONJ} προς 4314 {PREP} μεν 3303 {PRT} τους 3588 {T-APM} αγγελους 32 {N-APM} λεγει 3004 {V-PAI-3S} ο 3588 {T-NSM} ποιων 4160 {V-PAP-NSM} τους 3588 {T-APM} αγγελους 32 {N-APM} αυτου 846 {P-GSM} πνευματα 4151 {N-APN} και 2532 {CONJ} τους 3588 {T-APM} λειτουργους 3011 {N-APM} αυτου 846 {P-GSM} πυρος 4442 {N-GSN} φλογα 5395 {N-ASF}
1,8,προς 4314 {PREP} δε 1161 {CONJ} τον 3588 {T-ASM} υιον 5207 {N-ASM} ο 3588 {T-NSM} θρονος 2362 {N-NSM} σου 4771 {P-2GS} ο 3588 {T-NSM} θεος 2316 {N-NSM} εις 1519 {PREP} τον 3588 {T-ASM} αιωνα 165 {N-ASM} του 3588 {T-GSM} αιωνος 165 {N-GSM} ραβδος 4464 {N-NSF} ευθυτητος 2118 {N-GSF} η 3588 {T-NSF} ραβδος 4464 {N-NSF} της 3588 {T-GSF} βασιλειας 932 {N-GSF} σου 4771 {P-2GS}
1,9,ηγαπησας 25 {V-AAI-2S} δικαιοσυνην 1343 {N-ASF} και 2532 {CONJ} εμισησας 3404 {V-AAI-2S} ανομιαν 458 {N-ASF} δια 1223 {PREP} τουτο 3778 {D-ASN} εχρισεν 5548 {V-AAI-3S} σε 4771 {P-2AS} ο 3588 {T-NSM} θεος 2316 {N-NSM} ο 3588 {T-NSM} θεος 2316 {N-NSM} σου 4771 {P-2GS} ελαιον 1637 {N-ASN} αγαλλιασεως 20 {N-GSF} παρα 3844 {PREP} τους 3588 {T-APM} μετοχους 3353 {A-APM} σου 4771 {P-2GS}
1,10,και 2532 {CONJ} συ 4771 {P-2NS} κατ 2596 {PREP} αρχας 746 {N-APF} κυριε 2962 {N-VSM} την 3588 {T-ASF} γην 1093 {N-ASF} εθεμελιωσας 2311 {V-AAI-2S} και 2532 {CONJ} εργα 2041 {N-NPN} των 3588 {T-GPF} χειρων 5495 {N-GPF} σου 4771 {P-2GS} εισιν 1510 {V-PAI-3P} οι 3588 {T-NPM} ουρανοι 3772 {N-NPM}
1,11,αυτοι 846 {P-NPM} απολουνται 622 {V-FMI-3P} συ 4771 {P-2NS} δε 1161 {CONJ} διαμενεις 1265 {V-PAI-2S} και 2532 {CONJ} παντες 3956 {A-NPM} ως 5613 {ADV} ιματιον 2440 {N-NSN} παλαιωθησονται 3822 {V-FPI-3P}
