chapter,verse,text
1,1,ιακωβος 2385 {N-NSM} θεου 2316 {N-GSM} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δουλος 1401 {N-NSM} ταις 3588 {T-DPF} δωδεκα 1427 {A-NUI} φυλαις 5443 {N-DPF} ταις 3588 {T-DPF} εν 1722 {PREP} τη 3588 {T-DSF} διασπορα 1290 {N-DSF} χαιρειν 5463 {V-PAN}
1,2,πασαν 3956 {A-ASF} χαραν 5479 {N-ASF} ηγησασθε 2233 {V-ADM-2P} αδελφοι 80 {N-VPM} μου 1473 {P-1GS} οταν 3752 {CONJ} πειρασμοις 3986 {N-DPM} περιπεσητε 4045 {V-2AAS-2P} ποικιλοις 4164 {A-DPM}
1,3,γινωσκοντες 1097 {V-PAP-NPM} οτι 3754 {CONJ} το 3588 {T-NSN} δοκιμιον 1383 {N-NSN} υμων 4771 {P-2GP} της 3588 {T-GSF} πιστεως 4102 {N-GSF} κατεργαζεται 2716 {V-PNI-3S} υπομονην 5281 {N-ASF}
1,4,η 3588 {T-NSF} δε 1161 {CONJ} υπομονη 5281 {N-NSF} εργον 2041 {N-ASN} τελειον 5046 {A-ASN} εχετω 2192 {V-PAM-3S} ινα 2443 {CONJ} ητε 1510 {V-PAS-2P} τελειοι 5046 {A-NPM} και 2532 {CONJ} ολοκληροι 3648 {A-NPM} εν 1722 {PREP} μηδενι 3367 {A-DSN-N} λειπομενοι 3007 {V-PPP-NPM}
1,5,ει 1487 {COND} δε 1161 {CONJ} τις 5100 {X-NSM} υμων 4771 {P-2GP} λειπεται 3007 {V-PPI-3S} σοφιας 4678 {N-GSF} αιτειτω 154 {V-PAM-3S} παρα 3844 {PREP} του 3588 {T-GSM} διδοντος 1325 {V-PAP-GSM} θεου 2316 {N-GSM} πασιν 3956 {A-DPM} απλως 574 {ADV} και 2532 {CONJ} ουκ 3756 {PRT-N} ονειδιζοντος 3679 {V-PAP-GSM} και 2532 {CONJ} δοθησεται 1325 {V-FPI-3S} αυτω 846 {P-DSM}
1,6,αιτειτω 154 {V-PAM-3S} δε 1161 {CONJ} εν 1722 {PREP} πιστει 4102 {N-DSF} μηδεν 3367 {A-ASN-N} διακρινομενος 1252 {V-PMP-NSM} ο 3588 {T-NSM} γαρ 1063 {CONJ} διακρινομενος 1252 {V-PMP-NSM} εοικεν 1503 {V-RAI-3S} κλυδωνι 2830 {N-DSM} θαλασσης 2281 {N-GSF} ανεμιζομενω 416 {V-PPP-DSM} και 2532 {CONJ} ριπιζομενω 4494 {V-PPP-DSM}
1,7,μη 3361 {PRT-N} γαρ 1063 {CONJ} οιεσθω 3633 {V-PNM-3S} ο 3588 {T-NSM} ανθρωπος 444 {N-NSM} εκεινος 1565 {D-NSM} οτι 3754 {CONJ} ληψεται 2983 {V-FDI-3S} τι 5100 {X-ASN} παρα 3844 {PREP} του 3588 {T-GSM} κυριου 2962 {N-GSM}
1,8,ανηρ 435 {N-NSM} διψυχος 1374 {A-NSM} ακαταστατος 182 {A-NSM} εν 1722 {PREP} πασαις 3956 {A-DPF} ταις 3588 {T-DPF} οδοις 3598 {N-DPF} αυτου 846 {P-GSM}
1,9,καυχασθω 2744 {V-PNM-3S} δε 1161 {CONJ} ο 3588 {T-NSM} αδελφος 80 {N-NSM} ο 3588 {T-NSM} ταπεινος 5011 {A-NSM} εν 1722 {PREP} τω 3588 {T-DSN} υψει 5311 {N-DSN} αυτου 846 {P-GSM}
1,10,ο 3588 {T-NSM} δε 1161 {CONJ} πλουσιος 4145 {A-NSM} εν 1722 {PREP} τη 3588 {T-DSF} ταπεινωσει 5014 {N-DSF} αυτου 846 {P-GSM} οτι 3754 {CONJ} ως 5613 {ADV} ανθος 438 {N-NSN} χορτου 5528 {N-GSM} παρελευσεται 3928 {V-FDI-3S}
1,11,ανετειλεν 393 {V-AAI-3S} γαρ 1063 {CONJ} ο 3588 {T-NSM} ηλιος 2246 {N-NSM} συν 4862 {PREP} τω 3588 {T-DSM} καυσωνι 2742 {N-DSM} και 2532 {CONJ} εξηρανεν 3583 {V-AAI-3S} τον 3588 {T-ASM} χορτον 5528 {N-ASM} και 2532 {CONJ} το 3588 {T-NSN} ανθος 438 {N-NSN} αυτου 846 {P-GSM} εξεπεσεν 1601 {V-2AAI-3S} και 2532 {CONJ} η 3588 {T-NSF} ευπρεπεια 2143 {N-NSF} του 3588 {T-GSN} προσωπου 4383 {N-GSN} αυτου 846 {P-GSM} απωλετο 622 {V-2AMI-3S} ουτως 3779 {ADV} και 2532 {CONJ} ο 3588 {T-NSM} πλουσιος 4145 {A-NSM} εν 1722 {PREP} ταις 3588 {T-DPF} πορειαις 4197 {N-DPF} αυτου 846 {P-GSM} μαρανθησεται 3133 {V-FPI-3S}
1,12,μακαριος 3107 {A-NSM} ανηρ 435 {N-NSM} ος 3739 {R-NSM} υπομενει 5278 {V-PAI-3S} πειρασμον 3986 {N-ASM} οτι 3754 {CONJ} δοκιμος 1384 {A-NSM} γενομενος 1096 {V-2ADP-NSM} ληψεται 2983 {V-FDI-3S} τον 3588 {T-ASM} στεφανον 4735 {N-ASM} της 3588 {T-GSF} ζωης 2222 {N-GSF} ον 3739 {R-ASM} επηγγειλατο 1861 {V-ADI-3S} ο 3588 {T-NSM} κυριος 2962 {N-NSM} τοις 3588 {T-DPM} αγαπωσιν 25 {V-PAP-DPM} αυτον 846 {P-ASM}
1,13,μηδεις 3367 {A-NSM-N} πειραζομενος 3985 {V-PPP-NSM} λεγετω 3004 {V-PAM-3S} οτι 3754 {CONJ} απο 575 {PREP} θεου 2316 {N-GSM} πειραζομαι 3985 {V-PPI-1S} ο 3588 {T-NSM} γαρ 1063 {CONJ} θεος 2316 {N-NSM} απειραστος 551 {A-NSM} εστιν 1510 {V-PAI-3S} κακων 2556 {A-GPN} πειραζει 3985 {V-PAI-3S} δε 1161 {CONJ} αυτος 846 {P-NSM} ουδενα 3762 {A-ASM-N}
1,14,εκαστος 1538 {A-NSM} δε 1161 {CONJ} πειραζεται 3985 {V-PPI-3S} υπο 5259 {PREP} της 3588 {T-GSF} ιδιας 2398 {A-GSF} επιθυμιας 1939 {N-GSF} εξελκομενος 1828 {V-PPP-NSM} και 2532 {CONJ} δελεαζομενος 1185 {V-PPP-NSM}
1,15,ειτα 1534 {ADV} η 3588 {T-NSF} επιθυμια 1939 {N-NSF} συλλαβουσα 4815 {V-2AAP-NSF} τικτει 5088 {V-PAI-3S} αμαρτιαν 266 {N-ASF} η 3588 {T-NSF} δε 1161 {CONJ} αμαρτια 266 {N-NSF} αποτελεσθεισα 658 {V-APP-NSF} αποκυει 616 {V-PAI-3S} θανατον 2288 {N-ASM}
1,16,μη 3361 {PRT-N} πλανασθε 4105 {V-PPM-2P} αδελφοι 80 {N-VPM} μου 1473 {P-1GS} αγαπητοι 27 {A-VPM}
1,17,πασα 3956 {A-NSF} δοσις 1394 {N-NSF} αγαθη 18 {A-NSF} και 2532 {CONJ} παν 3956 {A-NSN} δωρημα 1434 {N-NSN} τελειον 5046 {A-NSN} ανωθεν 509 {ADV} εστιν 1510 {V-PAI-3S} καταβαινον 2597 {V-PAP-NSN} απο 575 {PREP} του 3588 {T-GSM} πατρος 3962 {N-GSM} των 3588 {T-GPN} φωτων 5457 {N-GPN} παρ 3844 {PREP} ω 3739 {R-DSM} ουκ 3756 {PRT-N} ενι 1762 {V-PAI-3S} παραλλαγη 3883 {N-NSF} η 2228 {PRT} τροπης 5157 {N-GSF} αποσκιασμα 644 {N-NSN}
1,18,βουληθεις 1014 {V-AOP-NSM} απεκυησεν 616 {V-AAI-3S} ημας 1473 {P-1AP} λογω 3056 {N-DSM} αληθειας 225 {N-GSF} εις 1519 {PREP} το 3588 {T-ASN} ειναι 1510 {V-PAN} ημας 1473 {P-1AP} απαρχην 536 {N-ASF} τινα 5100 {X-ASF} των 3588 {T-GPN} αυτου 846 {P-GSM} κτισματων 2938 {N-GPN}
1,19,ωστε 5620 {CONJ} αδελφοι 80 {N-VPM} μου 1473 {P-1GS} αγαπητοι 27 {A-VPM} εστω 1510 {V-PAM-3S} πας 3956 {A-NSM} ανθρωπος 444 {N-NSM} ταχυς 5036 {A-NSM} εις 1519 {PREP} το 3588 {T-ASN} ακουσαι 191 {V-AAN} βραδυς 1021 {A-NSM} εις 1519 {PREP} το 3588 {T-ASN} λαλησαι 2980 {V-AAN} βραδυς 1021 {A-NSM} εις 1519 {PREP} οργην 3709 {N-ASF}
1,20,οργη 3709 {N-NSF} γαρ 1063 {CONJ} ανδρος 435 {N-GSM} δικαιοσυνην 1343 {N-ASF} θεου 2316 {N-GSM} ου 3756 {PRT-N} κατεργαζεται 2716 {V-PNI-3S}
1,21,διο 1352 {CONJ} αποθεμενοι 659 {V-2AMP-NPM} πασαν 3956 {A-ASF} ρυπαριαν 4507 {N-ASF} και 2532 {CONJ} περισσειαν 4050 {N-ASF} κακιας 2549 {N-GSF} εν 1722 {PREP} πραυτητι 4240 {N-DSF} δεξασθε 1209 {V-ADM-2P} τον 3588 {T-ASM} εμφυτον 1721 {A-ASM} λογον 3056 {N-ASM} τον 3588 {T-ASM} δυναμενον 1410 {V-PNP-ASM} σωσαι 4982 {V-AAN} τας 3588 {T-APF} ψυχας 5590 {N-APF} υμων 4771 {P-2GP}
1,22,γινεσθε 1096 {V-PNM-2P} δε 1161 {CONJ} ποιηται 4163 {N-NPM} λογου 3056 {N-GSM} και 2532 {CONJ} μη 3361 {PRT-N} μονον 3440 {ADV} ακροαται 202 {N-NPM} παραλογιζομενοι 3884 {V-PNP-NPM} εαυτους 1438 {F-2APM}
1,23,οτι 3754 {CONJ} ει 1487 {COND} τις 5100 {X-NSM} ακροατης 202 {N-NSM} λογου 3056 {N-GSM} εστιν 1510 {V-PAI-3S} και 2532 {CONJ} ου 3756 {PRT-N} ποιητης 4163 {N-NSM} ουτος 3778 {D-NSM} εοικεν 1503 {V-RAI-3S} ανδρι 435 {N-DSM} κατανοουντι 2657 {V-PAP-DSM} το 3588 {T-ASN} προσωπον 4383 {N-ASN} της 3588 {T-GSF} γενεσεως 1078 {N-GSF} αυτου 846 {P-GSM} εν 1722 {PREP} εσοπτρω 2072 {N-DSN}
1,24,κατενοησεν 2657 {V-AAI-3S} γαρ 1063 {CONJ} εαυτον 1438 {F-3ASM} και 2532 {CONJ} απεληλυθεν 565 {V-2RAI-3S} και 2532 {CONJ} ευθεως 2112 {ADV} επελαθετο 1950 {V-2ADI-3S} οποιος 3697 {A-NSM} ην 1510 {V-IAI-3S}
1,25,ο 3588 {T-NSM} δε 1161 {CONJ} παρακυψας 3879 {V-AAP-NSM} εις 1519 {PREP} νομον 3551 {N-ASM} τελειον 5046 {A-ASM} τον 3588 {T-ASM} της 3588 {T-GSF} ελευθεριας 1657 {N-GSF} και 2532 {CONJ} παραμεινας 3887 {V-AAP-NSM} ουτος 3778 {D-NSM} ουκ 3756 {PRT-N} ακροατης 202 {N-NSM} επιλησμονης 1953 {N-GSF} γενομενος 1096 {V-2ADP-NSM} αλλα 235 {CONJ} ποιητης 4163 {N-NSM} εργου 2041 {N-GSN} ουτος 3778 {D-NSM} μακαριος 3107 {A-NSM} εν 1722 {PREP} τη 3588 {T-DSF} ποιησει 4162 {N-DSF} αυτου 846 {P-GSM} εσται 1510 {V-FDI-3S}
1,26,ει 1487 {COND} τις 5100 {X-NSM} δοκει 1380 {V-PAI-3S} θρησκος 2357 {A-NSM} ειναι 1510 {V-PAN} εν 1722 {PREP} υμιν 4771 {P-2DP} μη 3361 {PRT-N} χαλιναγωγων 5468 {V-PAP-NSM} γλωσσαν 1100 {N-ASF} αυτου 846 {P-GSM} αλλα 235 {CONJ} απατων 538 {V-PAP-NSM} καρδιαν 2588 {N-ASF} αυτου 846 {P-GSM} τουτου 3778 {D-GSM} ματαιος 3152 {A-NSF} η 3588 {T-NSF} θρησκεια 2356 {N-NSF}
1,27,θρησκεια 2356 {N-NSF} καθαρα 2513 {A-NSF} και 2532 {CONJ} αμιαντος 283 {A-NSF} παρα 3844 {PREP} θεω 2316 {N-DSM} και 2532 {CONJ} πατρι 3962 {N-DSM} αυτη 3778 {D-NSF} εστιν 1510 {V-PAI-3S} επισκεπτεσθαι 1980 {V-PNN} ορφανους 3737 {A-APM} και 2532 {CONJ} χηρας 5503 {N-APF} εν 1722 {PREP} τη 3588 {T-DSF} θλιψει 2347 {N-DSF} αυτων 846 {P-GPM} ασπιλον 784 {A-ASM} εαυτον 1438 {F-3ASM} τηρειν 5083 {V-PAN} απο 575 {PREP} του 3588 {T-GSM} κοσμου 2889 {N-GSM}
2,1,αδελφοι 80 {N-VPM} μου 1473 {P-1GS} μη 3361 {PRT-N} εν 1722 {PREP} προσωποληψιαις 4382 {N-DPF} εχετε 2192 {V-PAM-2P} την 3588 {T-ASF} πιστιν 4102 {N-ASF} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} της 3588 {T-GSF} δοξης 1391 {N-GSF}
2,2,εαν 1437 {COND} γαρ 1063 {CONJ} εισελθη 1525 {V-2AAS-3S} εις 1519 {PREP} την 3588 {T-ASF} συναγωγην 4864 {N-ASF} υμων 4771 {P-2GP} ανηρ 435 {N-NSM} χρυσοδακτυλιος 5554 {A-NSM} εν 1722 {PREP} εσθητι 2066 {N-DSF} λαμπρα 2986 {A-DSF} εισελθη 1525 {V-2AAS-3S} δε 1161 {CONJ} και 2532 {CONJ} πτωχος 4434 {A-NSM} εν 1722 {PREP} ρυπαρα 4508 {A-DSF} εσθητι 2066 {N-DSF}
2,3,και 2532 {CONJ} επιβλεψητε 1914 {V-AAS-2P} επι 1909 {PREP} τον 3588 {T-ASM} φορουντα 5409 {V-PAP-ASM} την 3588 {T-ASF} εσθητα 2066 {N-ASF} την 3588 {T-ASF} λαμπραν 2986 {A-ASF} και 2532 {CONJ} ειπητε 3004 {V-2AAS-2P} αυτω 846 {P-DSM} συ 4771 {P-2NS} καθου 2521 {V-PNM-2S} ωδε 5602 {ADV} καλως 2573 {ADV} και 2532 {CONJ} τω 3588 {T-DSM} πτωχω 4434 {A-DSM} ειπητε 3004 {V-2AAS-2P} συ 4771 {P-2NS} στηθι 2476 {V-2AAM-2S} εκει 1563 {ADV} η 2228 {PRT} καθου 2521 {V-PNM-2S} ωδε 5602 {ADV} υπο 5259 {PREP} το 3588 {T-ASN} υποποδιον 5286 {N-ASN} μου 1473 {P-1GS}
2,4,και 2532 {CONJ} ου 3756 {PRT-N} διεκριθητε 1252 {V-API-2P} εν 1722 {PREP} εαυτοις 1438 {F-2DPM} και 2532 {CONJ} εγενεσθε 1096 {V-2ADI-2P} κριται 2923 {N-NPM} διαλογισμων 1261 {N-GPM} πονηρων 4190 {A-GPM}
2,5,ακουσατε 191 {V-AAM-2P} αδελφοι 80 {N-VPM} μου 1473 {P-1GS} αγαπητοι 27 {A-VPM} ουχ 3756 {PRT-N} ο 3588 {T-NSM} θεος 2316 {N-NSM} εξελεξατο 1586 {V-AMI-3S} τους 3588 {T-APM} πτωχους 4434 {A-APM} του 3588 {T-GSM} κοσμου 2889 {N-GSM} πλουσιους 4145 {A-APM} εν 1722 {PREP} πιστει 4102 {N-DSF} και 2532 {CONJ} κληρονομους 2818 {N-APM} της 3588 {T-GSF} βασιλειας 932 {N-GSF} ης 3739 {R-GSF} επηγγειλατο 1861 {V-ADI-3S} τοις 3588 {T-DPM} αγαπωσιν 25 {V-PAP-DPM} αυτον 846 {P-ASM}
2,6,υμεις 4771 {P-2NP} δε 1161 {CONJ} ητιμασατε 818 {V-AAI-2P} τον 3588 {T-ASM} πτωχον 4434 {A-ASM} ουχ 3756 {PRT-N} οι 3588 {T-NPM} πλουσιοι 4145 {A-NPM} καταδυναστευουσιν 2616 {V-PAI-3P} υμων 4771 {P-2GP} και 2532 {CONJ} αυτοι 846 {P-NPM} ελκουσιν 1670 {V-PAI-3P} υμας 4771 {P-2AP} εις 1519 {PREP} κριτηρια 2922 {N-APN}
2,7,ουκ 3756 {PRT-N} αυτοι 846 {P-NPM} βλασφημουσιν 987 {V-PAI-3P} το 3588 {T-ASN} καλον 2570 {A-ASN} ονομα 3686 {N-ASN} το 3588 {T-ASN} επικληθεν 1941 {V-APP-ASN} εφ 1909 {PREP} υμας 4771 {P-2AP}
2,8,ει 1487 {COND} μεντοι 3305 {CONJ} νομον 3551 {N-ASM} τελειτε 5055 {V-PAI-2P} βασιλικον 937 {A-ASM} κατα 2596 {PREP} την 3588 {T-ASF} γραφην 1124 {N-ASF} αγαπησεις 25 {V-FAI-2S} τον 3588 {T-ASM} πλησιον 4139 {ADV} σου 4771 {P-2GS} ως 5613 {ADV} σεαυτον 4572 {F-2ASM} καλως 2573 {ADV} ποιειτε 4160 {V-PAI-2P}
2,9,ει 1487 {COND} δε 1161 {CONJ} προσωποληπτειτε 4380 {V-PAI-2P} αμαρτιαν 266 {N-ASF} εργαζεσθε 2038 {V-PNI-2P} ελεγχομενοι 1651 {V-PPP-NPM} υπο 5259 {PREP} του 3588 {T-GSM} νομου 3551 {N-GSM} ως 5613 {ADV} παραβαται 3848 {N-NPM}
2,10,οστις 3748 {R-NSM} γαρ 1063 {CONJ} ολον 3650 {A-ASM} τον 3588 {T-ASM} νομον 3551 {N-ASM} τηρησει 5083 {V-FAI-3S} πταισει 4417 {V-FAI-3S} δε 1161 {CONJ} εν 1722 {PREP} ενι 1520 {A-DSN} γεγονεν 1096 {V-2RAI-3S} παντων 3956 {A-GPN} ενοχος 1777 {A-NSM}
2,11,ο 3588 {T-NSM} γαρ 1063 {CONJ} ειπων 3004 {V-2AAP-NSM} μη 3361 {PRT-N} μοιχευσεις 3431 {V-FAI-2S} ειπεν 3004 {V-2AAI-3S} και 2532 {CONJ} μη 3361 {PRT-N} φονευσεις 5407 {V-FAI-2S} ει 1487 {COND} δε 1161 {CONJ} ου 3756 {PRT-N} μοιχευσεις 3431 {V-FAI-2S} φονευσεις 5407 {V-FAI-2S} δε 1161 {CONJ} γεγονας 1096 {V-2RAI-2S} παραβατης 3848 {N-NSM} νομου 3551 {N-GSM}
2,12,ουτως 3779 {ADV} λαλειτε 2980 {V-PAM-2P} και 2532 {CONJ} ουτως 3779 {ADV} ποιειτε 4160 {V-PAM-2P} ως 5613 {ADV} δια 1223 {PREP} νομου 3551 {N-GSM} ελευθεριας 1657 {N-GSF} μελλοντες 3195 {V-PAP-NPM} κρινεσθαι 2919 {V-PPN}
2,13,η 3588 {T-NSF} γαρ 1063 {CONJ} κρισις 2920 {N-NSF} ανελεος 448 {A-NSF} τω 3588 {T-DSM} μη 3361 {PRT-N} ποιησαντι 4160 {V-AAP-DSM} ελεος 1656 {N-ASN} κατακαυχαται 2620 {V-PNI-3S} ελεον 1656 {N-ASM} κρισεως 2920 {N-GSF}
2,14,τι 5101 {I-NSN} το 3588 {T-NSN} οφελος 3786 {N-NSN} αδελφοι 80 {N-VPM} μου 1473 {P-1GS} εαν 1437 {COND} πιστιν 4102 {N-ASF} λεγη 3004 {V-PAS-3S} τις 5100 {X-NSM} εχειν 2192 {V-PAN} εργα 2041 {N-APN} δε 1161 {CONJ} μη 3361 {PRT-N} εχη 2192 {V-PAS-3S} μη 3361 {PRT-N} δυναται 1410 {V-PNI-3S} η 3588 {T-NSF} πιστις 4102 {N-NSF} σωσαι 4982 {V-AAN} αυτον 846 {P-ASM}
2,15,εαν 1437 {COND} δε 1161 {CONJ} αδελφος 80 {N-NSM} η 2228 {PRT} αδελφη 79 {N-NSF} γυμνοι 1131 {A-NPM} υπαρχωσιν 5225 {V-PAS-3P} και 2532 {CONJ} λειπομενοι 3007 {V-PPP-NPM} ωσιν 1510 {V-PAS-3P} της 3588 {T-GSF} εφημερου 2184 {A-GSF} τροφης 5160 {N-GSF}
