chapter,verse,text
1,1,εν 1722 {PREP} αρχη 746 {N-DSF} ην 1510 {V-IAI-3S} ο 3588 {T-NSM} λογος 3056 {N-NSM} και 2532 {CONJ} ο 3588 {T-NSM} λογος 3056 {N-NSM} ην 1510 {V-IAI-3S} προς 4314 {PREP} τον 3588 {T-ASM} θεον 2316 {N-ASM} και 2532 {CONJ} θεος 2316 {N-NSM} ην 1510 {V-IAI-3S} ο 3588 {T-NSM} λογος 3056 {N-NSM}
1,2,ουτος 3778 {D-NSM} ην 1510 {V-IAI-3S} εν 1722 {PREP} αρχη 746 {N-DSF} προς 4314 {PREP} τον 3588 {T-ASM} θεον 2316 {N-ASM}
1,3,παντα 3956 {A-NPN} δι 1223 {PREP} αυτου 846 {P-GSM} εγενετο 1096 {V-2ADI-3S} και 2532 {CONJ} χωρις 5565 {ADV} αυτου 846 {P-GSM} εγενετο 1096 {V-2ADI-3S} ουδε 3761 {CONJ-N} εν 1520 {A-NSN} ο 3739 {R-NSN} γεγονεν 1096 {V-2RAI-3S}
1,4,εν 1722 {PREP} αυτω 846 {P-DSM} ζωη 2222 {N-NSF} ην 1510 {V-IAI-3S} και 2532 {CONJ} η 3588 {T-NSF} ζωη 2222 {N-NSF} ην 1510 {V-IAI-3S} το 3588 {T-NSN} φως 5457 {N-NSN} των 3588 {T-GPM} ανθρωπων 444 {N-GPM}
1,5,και 2532 {CONJ} το 3588 {T-NSN} φως 5457 {N-NSN} εν 1722 {PREP} τη 3588 {T-DSF} σκοτια 4653 {N-DSF} φαινει 5316 {V-PAI-3S} και 2532 {CONJ} η 3588 {T-NSF} σκοτια 4653 {N-NSF} αυτο 846 {P-ASN} ου 3756 {PRT-N} κατελαβεν 2638 {V-2AAI-3S}
1,6,εγενετο 1096 {V-2ADI-3S} ανθρωπος 444 {N-NSM} απεσταλμενος 649 {V-RPP-NSM} παρα 3844 {PREP} θεου 2316 {N-GSM} ονομα 3686 {N-NSN} αυτω 846 {P-DSM} ιωαννης 2491 {N-NSM}
1,7,ουτος 3778 {D-NSM} ηλθεν 2064 {V-2AAI-3S} εις 1519 {PREP} μαρτυριαν 3141 {N-ASF} ινα 2443 {CONJ} μαρτυρηση 3140 {V-AAS-3S} περι 4012 {PREP} του 3588 {T-GSN} φωτος 5457 {N-GSN} ινα 2443 {CONJ} παντες 3956 {A-NPM} πιστευσωσιν 4100 {V-AAS-3P} δι 1223 {PREP} αυτου 846 {P-GSM}
1,8,ουκ 3756 {PRT-N} ην 1510 {V-IAI-3S} εκεινος 1565 {D-NSM} το 3588 {T-NSN} φως 5457 {N-NSN} αλλ 235 {CONJ} ινα 2443 {CONJ} μαρτυρηση 3140 {V-AAS-3S} περι 4012 {PREP} του 3588 {T-GSN} φωτος 5457 {N-GSN}
1,9,ην 1510 {V-IAI-3S} το 3588 {T-NSN} φως 5457 {N-NSN} το 3588 {T-NSN} αληθινον 228 {A-NSN} ο 3739 {R-NSN} φωτιζει 5461 {V-PAI-3S} παντα 3956 {A-ASM} ανθρωπον 444 {N-ASM} ερχομενον 2064 {V-PNP-ASM} 2064 {V-PNP-NSN} εις 1519 {PREP} τον 3588 {T-ASM} κοσμον 2889 {N-ASM}
1,10,εν 1722 {PREP} τω 3588 {T-DSM} κοσμω 2889 {N-DSM} ην 1510 {V-IAI-3S} και 2532 {CONJ} ο 3588 {T-NSM} κοσμος 2889 {N-NSM} δι 1223 {PREP} αυτου 846 {P-GSM} εγενετο 1096 {V-2ADI-3S} και 2532 {CONJ} ο 3588 {T-NSM} κοσμος 2889 {N-NSM} αυτον 846 {P-ASM} ουκ 3756 {PRT-N} εγνω 1097 {V-2AAI-3S}
1,11,εις 1519 {PREP} τα 3588 {T-APN} ιδια 2398 {A-APN} ηλθεν 2064 {V-2AAI-3S} και 2532 {CONJ} οι 3588 {T-NPM} ιδιοι 2398 {A-NPM} αυτον 846 {P-ASM} ου 3756 {PRT-N} παρελαβον 3880 {V-2AAI-3P}
1,12,οσοι 3745 {K-NPM} δε 1161 {CONJ} ελαβον 2983 {V-2AAI-3P} αυτον 846 {P-ASM} εδωκεν 1325 {V-AAI-3S} αυτοις 846 {P-DPM} εξουσιαν 1849 {N-ASF} τεκνα 5043 {N-NPN} θεου 2316 {N-GSM} γενεσθαι 1096 {V-2ADN} τοις 3588 {T-DPM} πιστευουσιν 4100 {V-PAP-DPM} εις 1519 {PREP} το 3588 {T-ASN} ονομα 3686 {N-ASN} αυτου 846 {P-GSM}
1,13,οι 3739 {R-NPM} ουκ 3756 {PRT-N} εξ 1537 {PREP} αιματων 129 {N-GPN} ουδε 3761 {CONJ-N} εκ 1537 {PREP} θεληματος 2307 {N-GSN} σαρκος 4561 {N-GSF} ουδε 3761 {CONJ-N} εκ 1537 {PREP} θεληματος 2307 {N-GSN} ανδρος 435 {N-GSM} αλλ 235 {CONJ} εκ 1537 {PREP} θεου 2316 {N-GSM} εγεννηθησαν 1080 {V-API-3P}
1,14,και 2532 {CONJ} ο 3588 {T-NSM} λογος 3056 {N-NSM} σαρξ 4561 {N-NSF} εγενετο 1096 {V-2ADI-3S} και 2532 {CONJ} εσκηνωσεν 4637 {V-AAI-3S} εν 1722 {PREP} ημιν 1473 {P-1DP} και 2532 {CONJ} εθεασαμεθα 2300 {V-ADI-1P} την 3588 {T-ASF} δοξαν 1391 {N-ASF} αυτου 846 {P-GSM} δοξαν 1391 {N-ASF} ως 5613 {ADV} μονογενους 3439 {A-GSM} παρα 3844 {PREP} πατρος 3962 {N-GSM} πληρης 4134 {A-NSM} χαριτος 5485 {N-GSF} και 2532 {CONJ} αληθειας 225 {N-GSF}
1,15,ιωαννης 2491 {N-NSM} μαρτυρει 3140 {V-PAI-3S} περι 4012 {PREP} αυτου 846 {P-GSM} και 2532 {CONJ} κεκραγεν 2896 {V-2RAI-3S} λεγων 3004 {V-PAP-NSM} ουτος 3778 {D-NSM} ην 1510 {V-IAI-3S} ον 3739 {R-ASM} ειπον 3004 {V-2AAI-1S} ο 3588 {T-NSM} οπισω 3694 {ADV} μου 1473 {P-1GS} ερχομενος 2064 {V-PNP-NSM} εμπροσθεν 1715 {PREP} μου 1473 {P-1GS} γεγονεν 1096 {V-2RAI-3S} οτι 3754 {CONJ} πρωτος 4413 {A-NSM-S} μου 1473 {P-1GS} ην 1510 {V-IAI-3S}
1,16,και 2532 {CONJ} εκ 1537 {PREP} του 3588 {T-GSN} πληρωματος 4138 {N-GSN} αυτου 846 {P-GSM} ημεις 1473 {P-1NP} παντες 3956 {A-NPM} ελαβομεν 2983 {V-2AAI-1P} και 2532 {CONJ} χαριν 5485 {N-ASF} αντι 473 {PREP} χαριτος 5485 {N-GSF}
1,17,οτι 3754 {CONJ} ο 3588 {T-NSM} νομος 3551 {N-NSM} δια 1223 {PREP} μωσεως 3475 {N-GSM} εδοθη 1325 {V-API-3S} η 3588 {T-NSF} χαρις 5485 {N-NSF} και 2532 {CONJ} η 3588 {T-NSF} αληθεια 225 {N-NSF} δια 1223 {PREP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} εγενετο 1096 {V-2ADI-3S}
