chapter,verse,text
1,1,ιουδας 2455 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} δουλος 1401 {N-NSM} αδελφος 80 {N-NSM} δε 1161 {CONJ} ιακωβου 2385 {N-GSM} τοις 3588 {T-DPM} εν 1722 {PREP} θεω 2316 {N-DSM} πατρι 3962 {N-DSM} ηγιασμενοις 37 {V-RPP-DPM} και 2532 {CONJ} ιησου 2424 {N-DSM} χριστω 5547 {N-DSM} τετηρημενοις 5083 {V-RPP-DPM} κλητοις 2822 {A-DPM}
1,2,ελεος 1656 {N-NSN} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} και 2532 {CONJ} αγαπη 26 {N-NSF} πληθυνθειη 4129 {V-APO-3S}
1,3,αγαπητοι 27 {A-VPM} πασαν 3956 {A-ASF} σπουδην 4710 {N-ASF} ποιουμενος 4160 {V-PMP-NSM} γραφειν 1125 {V-PAN} υμιν 4771 {P-2DP} περι 4012 {PREP} της 3588 {T-GSF} κοινης 2839 {A-GSF} σωτηριας 4991 {N-GSF} αναγκην 318 {N-ASF} εσχον 2192 {V-2AAI-1S} γραψαι 1125 {V-AAN} υμιν 4771 {P-2DP} παρακαλων 3870 {V-PAP-NSM} επαγωνιζεσθαι 1864 {V-PNN} τη 3588 {T-DSF} απαξ 530 {ADV} παραδοθειση 3860 {V-APP-DSF} τοις 3588 {T-DPM} αγιοις 40 {A-DPM} πιστει 4102 {N-DSF}
1,4,παρεισεδυσαν 3921 {V-AAI-3P} γαρ 1063 {CONJ} τινες 5100 {X-NPM} ανθρωποι 444 {N-NPM} οι 3588 {T-NPM} παλαι 3819 {ADV} προγεγραμμενοι 4270 {V-RPP-NPM} εις 1519 {PREP} τουτο 3778 {D-ASN} το 3588 {T-ASN} κριμα 2917 {N-ASN} ασεβεις 765 {A-NPM} την 3588 {T-ASF} του 3588 {T-GSM} θεου 2316 {N-GSM} ημων 1473 {P-1GP} χαριν 5485 {N-ASF} μετατιθεντες 3346 {V-PAP-NPM} εις 1519 {PREP} ασελγειαν 766 {N-ASF} και 2532 {CONJ} τον 3588 {T-ASM} μονον 3441 {A-ASM} δεσποτην 1203 {N-ASM} θεον 2316 {N-ASM} και 2532 {CONJ} κυριον 2962 {N-ASM} ημων 1473 {P-1GP} ιησουν 2424 {N-ASM} χριστον 5547 {N-ASM} αρνουμενοι 720 {V-PNP-NPM}
1,5,υπομνησαι 5279 {V-AAN} δε 1161 {CONJ} υμας 4771 {P-2AP} βουλομαι 1014 {V-PNI-1S} ειδοτας 1492 {V-RAP-APM} υμας 4771 {P-2AP} απαξ 530 {ADV} τουτο 3778 {D-ASN} οτι 3754 {CONJ} ο 3588 {T-NSM} κυριος 2962 {N-NSM} λαον 2992 {N-ASM} εκ 1537 {PREP} γης 1093 {N-GSF} αιγυπτου 125 {N-GSF} σωσας 4982 {V-AAP-NSM} το 3588 {T-ASN} δευτερον 1208 {A-ASN} τους 3588 {T-APM} μη 3361 {PRT-N} πιστευσαντας 4100 {V-AAP-APM} απωλεσεν 622 {V-AAI-3S}
1,6,αγγελους 32 {N-APM} τε 5037 {PRT} τους 3588 {T-APM} μη 3361 {PRT-N} τηρησαντας 5083 {V-AAP-APM} την 3588 {T-ASF} εαυτων 1438 {F-3GPM} αρχην 746 {N-ASF} αλλα 235 {CONJ} απολιποντας 620 {V-2AAP-APM} το 3588 {T-ASN} ιδιον 2398 {A-ASN} οικητηριον 3613 {N-ASN} εις 1519 {PREP} κρισιν 2920 {N-ASF} μεγαλης 3173 {A-GSF} ημερας 2250 {N-GSF} δεσμοις 1199 {N-DPM} αιδιοις 126 {A-DPM} υπο 5259 {PREP} ζοφον 2217 {N-ASM} τετηρηκεν 5083 {V-RAI-3S}
1,7,ως 5613 {ADV} σοδομα 4670 {N-NSF} και 2532 {CONJ} γομορρα 1116 {N-NSF} και 2532 {CONJ} αι 3588 {T-NPF} περι 4012 {PREP} αυτας 846 {P-APF} πολεις 4172 {N-NPF} τον 3588 {T-ASM} ομοιον 3664 {A-ASM} τουτοις 3778 {D-DPM} τροπον 5158 {N-ASM} εκπορνευσασαι 1608 {V-AAP-NPF} και 2532 {CONJ} απελθουσαι 565 {V-2AAP-NPF} οπισω 3694 {ADV} σαρκος 4561 {N-GSF} ετερας 2087 {A-GSF} προκεινται 4295 {V-PNI-3P} δειγμα 1164 {N-ASN} πυρος 4442 {N-GSN} αιωνιου 166 {A-GSN} δικην 1349 {N-ASF} υπεχουσαι 5254 {V-PAP-NPF}
1,8,ομοιως 3668 {ADV} μεντοι 3305 {CONJ} και 2532 {CONJ} ουτοι 3778 {D-NPM} ενυπνιαζομενοι 1797 {V-PNP-NPM} σαρκα 4561 {N-ASF} μεν 3303 {PRT} μιαινουσιν 3392 {V-PAI-3P} κυριοτητα 2963 {N-ASF} δε 1161 {CONJ} αθετουσιν 114 {V-PAI-3P} δοξας 1391 {N-APF} δε 1161 {CONJ} βλασφημουσιν 987 {V-PAI-3P}
1,9,ο 3588 {T-NSM} δε 1161 {CONJ} μιχαηλ 3413 {N-PRI} ο 3588 {T-NSM} αρχαγγελος 743 {N-NSM} οτε 3753 {ADV} τω 3588 {T-DSM} διαβολω 1228 {A-DSM} διακρινομενος 1252 {V-PMP-NSM} διελεγετο 1256 {V-INI-3S} περι 4012 {PREP} του 3588 {T-GSN} μωυσεως 3475 {N-GSM} σωματος 4983 {N-GSN} ουκ 3756 {PRT-N} ετολμησεν 5111 {V-AAI-3S} κρισιν 2920 {N-ASF} επενεγκειν 2018 {V-2AAN} βλασφημιας 988 {N-GSF} αλλ 235 {CONJ} ειπεν 3004 {V-2AAI-3S} επιτιμησαι 2008 {V-AAO-3S} σοι 4771 {P-2DS} κυριος 2962 {N-NSM}
1,10,ουτοι 3778 {D-NPM} δε 1161 {CONJ} οσα 3745 {K-APN} μεν 3303 {PRT} ουκ 3756 {PRT-N} οιδασιν 1492 {V-RAI-3P} βλασφημουσιν 987 {V-PAI-3P} οσα 3745 {K-APN} δε 1161 {CONJ} φυσικως 5447 {ADV} ως 5613 {ADV} τα 3588 {T-NPN} αλογα 249 {A-NPN} ζωα 2226 {N-NPN} επιστανται 1987 {V-PNI-3P} εν 1722 {PREP} τουτοις 3778 {D-DPN} φθειρονται 5351 {V-PPI-3P}
