chapter,verse,text
1,1,επειδηπερ 1895 {CONJ} πολλοι 4183 {A-NPM} επεχειρησαν 2021 {V-AAI-3P} αναταξασθαι 392 {V-ADN} διηγησιν 1335 {N-ASF} περι 4012 {PREP} των 3588 {T-GPN} πεπληροφορημενων 4135 {V-RPP-GPN} εν 1722 {PREP} ημιν 1473 {P-1DP} πραγματων 4229 {N-GPN}
1,2,καθως 2531 {ADV} παρεδοσαν 3860 {V-2AAI-3P} ημιν 1473 {P-1DP} οι 3588 {T-NPM} απ 575 {PREP} αρχης 746 {N-GSF} αυτοπται 845 {N-NPM} και 2532 {CONJ} υπηρεται 5257 {N-NPM} γενομενοι 1096 {V-2ADP-NPM} του 3588 {T-GSM} λογου 3056 {N-GSM}
1,3,εδοξεν 1380 {V-AAI-3S} καμοι 2504 {P-1DS-K} παρηκολουθηκοτι 3877 {V-RAP-DSM} ανωθεν 509 {ADV} πασιν 3956 {A-DPN} ακριβως 199 {ADV} καθεξης 2517 {ADV} σοι 4771 {P-2DS} γραψαι 1125 {V-AAN} κρατιστε 2903 {A-VSM-S} θεοφιλε 2321 {N-VSM}
1,4,ινα 2443 {CONJ} επιγνως 1921 {V-2AAS-2S} περι 4012 {PREP} ων 3739 {R-GPM} κατηχηθης 2727 {V-API-2S} λογων 3056 {N-GPM} την 3588 {T-ASF} ασφαλειαν 803 {N-ASF}
1,5,εγενετο 1096 {V-2ADI-3S} εν 1722 {PREP} ταις 3588 {T-DPF} ημεραις 2250 {N-DPF} ηρωδου 2264 {N-GSM} του 3588 {T-GSM} βασιλεως 935 {N-GSM} της 3588 {T-GSF} ιουδαιας 2449 {N-GSF} ιερευς 2409 {N-NSM} τις 5100 {X-NSM} ονοματι 3686 {N-DSN} ζαχαριας 2197 {N-NSM} εξ 1537 {PREP} εφημεριας 2183 {N-GSF} αβια 7 {N-PRI} και 2532 {CONJ} η 3588 {T-NSF} γυνη 1135 {N-NSF} αυτου 846 {P-GSM} εκ 1537 {PREP} των 3588 {T-GPF} θυγατερων 2364 {N-GPF} ααρων 2 {N-PRI} και 2532 {CONJ} το 3588 {T-NSN} ονομα 3686 {N-NSN} αυτης 846 {P-GSF} ελισαβετ 1665 {N-PRI}
1,6,ησαν 1510 {V-IAI-3P} δε 1161 {CONJ} δικαιοι 1342 {A-NPM} αμφοτεροι 297 {A-NPM} ενωπιον 1799 {PREP} του 3588 {T-GSM} θεου 2316 {N-GSM} πορευομενοι 4198 {V-PNP-NPM} εν 1722 {PREP} πασαις 3956 {A-DPF} ταις 3588 {T-DPF} εντολαις 1785 {N-DPF} και 2532 {CONJ} δικαιωμασιν 1345 {N-DPN} του 3588 {T-GSM} κυριου 2962 {N-GSM} αμεμπτοι 273 {A-NPM}
1,7,και 2532 {CONJ} ουκ 3756 {PRT-N} ην 1510 {V-IAI-3S} αυτοις 846 {P-DPM} τεκνον 5043 {N-NSN} καθοτι 2530 {CONJ} η 3588 {T-NSF} ελισαβετ 1665 {N-PRI} ην 1510 {V-IAI-3S} στειρα 4723 {N-NSF} και 2532 {CONJ} αμφοτεροι 297 {A-NPM} προβεβηκοτες 4260 {V-RAP-NPM} εν 1722 {PREP} ταις 3588 {T-DPF} ημεραις 2250 {N-DPF} αυτων 846 {P-GPM} ησαν 1510 {V-IAI-3P}
1,8,εγενετο 1096 {V-2ADI-3S} δε 1161 {CONJ} εν 1722 {PREP} τω 3588 {T-DSN} ιερατευειν 2407 {V-PAN} αυτον 846 {P-ASM} εν 1722 {PREP} τη 3588 {T-DSF} ταξει 5010 {N-DSF} της 3588 {T-GSF} εφημεριας 2183 {N-GSF} αυτου 846 {P-GSM} εναντι 1725 {PREP} του 3588 {T-GSM} θεου 2316 {N-GSM}
1,9,κατα 2596 {PREP} το 3588 {T-ASN} εθος 1485 {N-ASN} της 3588 {T-GSF} ιερατειας 2405 {N-GSF} ελαχεν 2975 {V-2AAI-3S} του 3588 {T-GSN} θυμιασαι 2370 {V-AAN} εισελθων 1525 {V-2AAP-NSM} εις 1519 {PREP} τον 3588 {T-ASM} ναον 3485 {N-ASM} του 3588 {T-GSM} κυριου 2962 {N-GSM}
1,10,και 2532 {CONJ} παν 3956 {A-NSN} το 3588 {T-NSN} πληθος 4128 {N-NSN} ην 1510 {V-IAI-3S} του 3588 {T-GSM} λαου 2992 {N-GSM} προσευχομενον 4336 {V-PNP-NSN} εξω 1854 {ADV} τη 3588 {T-DSF} ωρα 5610 {N-DSF} του 3588 {T-GSN} θυμιαματος 2368 {N-GSN}
1,11,ωφθη 3708 {V-API-3S} δε 1161 {CONJ} αυτω 846 {P-DSM} αγγελος 32 {N-NSM} κυριου 2962 {N-GSM} εστως 2476 {V-RAP-NSM} εκ 1537 {PREP} δεξιων 1188 {A-GPN} του 3588 {T-GSN} θυσιαστηριου 2379 {N-GSN} του 3588 {T-GSN} θυμιαματος 2368 {N-GSN}
1,12,και 2532 {CONJ} εταραχθη 5015 {V-API-3S} ζαχαριας 2197 {N-NSM} ιδων 3708 {V-2AAP-NSM} και 2532 {CONJ} φοβος 5401 {N-NSM} επεπεσεν 1968 {V-2AAI-3S} επ 1909 {PREP} αυτον 846 {P-ASM}
