chapter,verse,text
1,1,αρχη 746 {N-NSF} του 3588 {T-GSN} ευαγγελιου 2098 {N-GSN} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} υιου 5207 {N-GSM} του 3588 {T-GSM} θεου 2316 {N-GSM}
1,2,ως 5613 {ADV} γεγραπται 1125 {V-RPI-3S} εν 1722 {PREP} τοις 3588 {T-DPM} προφηταις 4396 {N-DPM} ιδου 3708 {V-2AMM-2S} εγω 1473 {P-1NS} αποστελλω 649 {V-PAI-1S} τον 3588 {T-ASM} αγγελον 32 {N-ASM} μου 1473 {P-1GS} προ 4253 {PREP} προσωπου 4383 {N-GSN} σου 4771 {P-2GS} ος 3739 {R-NSM} κατασκευασει 2680 {V-FAI-3S} την 3588 {T-ASF} οδον 3598 {N-ASF} σου 4771 {P-2GS} εμπροσθεν 1715 {PREP} σου 4771 {P-2GS}
1,3,φωνη 5456 {N-NSF} βοωντος 994 {V-PAP-GSM} εν 1722 {PREP} τη 3588 {T-DSF} ερημω 2048 {A-DSF} ετοιμασατε 2090 {V-AAM-2P} την 3588 {T-ASF} οδον 3598 {N-ASF} κυριου 2962 {N-GSM} ευθειας 2117 {A-APF} ποιειτε 4160 {V-PAM-2P} τας 3588 {T-APF} τριβους 5147 {N-APF} αυτου 846 {P-GSM}
1,4,εγενετο 1096 {V-2ADI-3S} ιωαννης 2491 {N-NSM} βαπτιζων 907 {V-PAP-NSM} εν 1722 {PREP} τη 3588 {T-DSF} ερημω 2048 {A-DSF} και 2532 {CONJ} κηρυσσων 2784 {V-PAP-NSM} βαπτισμα 908 {N-ASN} μετανοιας 3341 {N-GSF} εις 1519 {PREP} αφεσιν 859 {N-ASF} αμαρτιων 266 {N-GPF}
1,5,και 2532 {CONJ} εξεπορευετο 1607 {V-INI-3S} προς 4314 {PREP} αυτον 846 {P-ASM} πασα 3956 {A-NSF} η 3588 {T-NSF} ιουδαια 2449 {N-NSF} χωρα 5561 {N-NSF} και 2532 {CONJ} οι 3588 {T-NPM} ιεροσολυμιται 2415 {N-NPM} και 2532 {CONJ} εβαπτιζοντο 907 {V-IPI-3P} παντες 3956 {A-NPM} εν 1722 {PREP} τω 3588 {T-DSM} ιορδανη 2446 {N-DSM} ποταμω 4215 {N-DSM} υπ 5259 {PREP} αυτου 846 {P-GSM} εξομολογουμενοι 1843 {V-PMP-NPM} τας 3588 {T-APF} αμαρτιας 266 {N-APF} αυτων 846 {P-GPM}
1,6,ην 1510 {V-IAI-3S} δε 1161 {CONJ} ο 3588 {T-NSM} ιωαννης 2491 {N-NSM} ενδεδυμενος 1746 {V-RMP-NSM} τριχας 2359 {N-APF} καμηλου 2574 {N-GSF} και 2532 {CONJ} ζωνην 2223 {N-ASF} δερματινην 1193 {A-ASF} περι 4012 {PREP} την 3588 {T-ASF} οσφυν 3751 {N-ASF} αυτου 846 {P-GSM} και 2532 {CONJ} εσθιων 2068 {V-PAP-NSM} ακριδας 200 {N-APF} και 2532 {CONJ} μελι 3192 {N-ASN} αγριον 66 {A-ASN}
1,7,και 2532 {CONJ} εκηρυσσεν 2784 {V-IAI-3S} λεγων 3004 {V-PAP-NSM} ερχεται 2064 {V-PNI-3S} ο 3588 {T-NSM} ισχυροτερος 2478 {A-NSM-C} μου 1473 {P-1GS} οπισω 3694 {ADV} μου 1473 {P-1GS} ου 3739 {R-GSM} ουκ 3756 {PRT-N} ειμι 1510 {V-PAI-1S} ικανος 2425 {A-NSM} κυψας 2955 {V-AAP-NSM} λυσαι 3089 {V-AAN} τον 3588 {T-ASM} ιμαντα 2438 {N-ASM} των 3588 {T-GPN} υποδηματων 5266 {N-GPN} αυτου 846 {P-GSM}
1,8,εγω 1473 {P-1NS} μεν 3303 {PRT} εβαπτισα 907 {V-AAI-1S} υμας 4771 {P-2AP} εν 1722 {PREP} υδατι 5204 {N-DSN} αυτος 846 {P-NSM} δε 1161 {CONJ} βαπτισει 907 {V-FAI-3S} υμας 4771 {P-2AP} εν 1722 {PREP} πνευματι 4151 {N-DSN} αγιω 40 {A-DSN}
1,9,και 2532 {CONJ} εγενετο 1096 {V-2ADI-3S} εν 1722 {PREP} εκειναις 1565 {D-DPF} ταις 3588 {T-DPF} ημεραις 2250 {N-DPF} ηλθεν 2064 {V-2AAI-3S} ιησους 2424 {N-NSM} απο 575 {PREP} ναζαρετ 3478 {N-PRI} της 3588 {T-GSF} γαλιλαιας 1056 {N-GSF} και 2532 {CONJ} εβαπτισθη 907 {V-API-3S} υπο 5259 {PREP} ιωαννου 2491 {N-GSM} εις 1519 {PREP} τον 3588 {T-ASM} ιορδανην 2446 {N-ASM}
1,10,και 2532 {CONJ} ευθεως 2112 {ADV} αναβαινων 305 {V-PAP-NSM} απο 575 {PREP} του 3588 {T-GSN} υδατος 5204 {N-GSN} ειδεν 3708 {V-2AAI-3S} σχιζομενους 4977 {V-PPP-APM} τους 3588 {T-APM} ουρανους 3772 {N-APM} και 2532 {CONJ} το 3588 {T-ASN} πνευμα 4151 {N-ASN} ωσει 5616 {ADV} περιστεραν 4058 {N-ASF} καταβαινον 2597 {V-PAP-ASN} επ 1909 {PREP} αυτον 846 {P-ASM}
