chapter,verse,text
1,1,βιβλος 976 {N-NSF} γενεσεως 1078 {N-GSF} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} υιου 5207 {N-GSM} δαυιδ 1138 {N-PRI} υιου 5207 {N-GSM} αβρααμ 11 {N-PRI}
1,2,αβρααμ 11 {N-PRI} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ισαακ 2464 {N-PRI} ισαακ 2464 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιακωβ 2384 {N-PRI} ιακωβ 2384 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιουδαν 2455 {N-ASM} και 2532 {CONJ} τους 3588 {T-APM} αδελφους 80 {N-APM} αυτου 846 {P-GSM}
1,3,ιουδας 2455 {N-NSM} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} φαρες 5329 {N-PRI} και 2532 {CONJ} τον 3588 {T-ASM} ζαρα 2196 {N-PRI} εκ 1537 {PREP} της 3588 {T-GSF} θαμαρ 2283 {N-PRI} φαρες 5329 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} εσρωμ 2074 {N-PRI} εσρωμ 2074 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} αραμ 689 {N-PRI}
1,4,αραμ 689 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} αμιναδαβ 284 {N-PRI} αμιναδαβ 284 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ναασσων 3476 {N-PRI} ναασσων 3476 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} σαλμων 4533 {N-PRI}
1,5,σαλμων 4533 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} βοοζ 1003 {N-PRI} εκ 1537 {PREP} της 3588 {T-GSF} ραχαβ 4477 {N-PRI} βοοζ 1003 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ωβηδ 5601 {N-PRI} εκ 1537 {PREP} της 3588 {T-GSF} ρουθ 4503 {N-PRI} ωβηδ 5601 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιεσσαι 2421 {N-PRI}
1,6,ιεσσαι 2421 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} δαυιδ 1138 {N-PRI} τον 3588 {T-ASM} βασιλεα 935 {N-ASM} δαυιδ 1138 {N-PRI} δε 1161 {CONJ} ο 3588 {T-NSM} βασιλευς 935 {N-NSM} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} σολομωνα 4672 {N-ASM} εκ 1537 {PREP} της 3588 {T-GSF} του 3588 {T-GSM} ουριου 3774 {N-GSM}
1,7,σολομων 4672 {N-NSM} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ροβοαμ 4497 {N-PRI} ροβοαμ 4497 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} αβια 7 {N-PRI} αβια 7 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ασα 760 {N-PRI}
1,8,ασα 760 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιωσαφατ 2498 {N-PRI} ιωσαφατ 2498 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιωραμ 2496 {N-PRI} ιωραμ 2496 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} οζιαν 3604 {N-ASM}
1,9,οζιας 3604 {N-NSM} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιωαθαμ 2488 {N-PRI} ιωαθαμ 2488 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} αχαζ 881 {N-PRI} αχαζ 881 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} εζεκιαν 1478 {N-ASM}
1,10,εζεκιας 1478 {N-NSM} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} μανασση 3128 {N-ASM} μανασσης 3128 {N-NSM} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} αμων 300 {N-PRI} αμων 300 {N-PRI} δε 1161 {CONJ} εγεννησεν 1080 {V-AAI-3S} τον 3588 {T-ASM} ιωσιαν 2502 {N-ASM}
