chapter,verse,text
1,1,παυλος 3972 {N-NSM} δεσμιος 1198 {N-NSM} χριστου 5547 {N-GSM} ιησου 2424 {N-GSM} και 2532 {CONJ} τιμοθεος 5095 {N-NSM} ο 3588 {T-NSM} αδελφος 80 {N-NSM} φιλημονι 5371 {N-DSM} τω 3588 {T-DSM} αγαπητω 27 {A-DSM} και 2532 {CONJ} συνεργω 4904 {A-DSM} ημων 1473 {P-1GP}
1,2,και 2532 {CONJ} απφια 682 {N-DSF} τη 3588 {T-DSF} αγαπητη 27 {A-DSF} και 2532 {CONJ} αρχιππω 751 {N-DSM} τω 3588 {T-DSM} συστρατιωτη 4961 {N-DSM} ημων 1473 {P-1GP} και 2532 {CONJ} τη 3588 {T-DSF} κατ 2596 {PREP} οικον 3624 {N-ASM} σου 4771 {P-2GS} εκκλησια 1577 {N-DSF}
1,3,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,4,ευχαριστω 2168 {V-PAI-1S} τω 3588 {T-DSM} θεω 2316 {N-DSM} μου 1473 {P-1GS} παντοτε 3842 {ADV} μνειαν 3417 {N-ASF} σου 4771 {P-2GS} ποιουμενος 4160 {V-PMP-NSM} επι 1909 {PREP} των 3588 {T-GPF} προσευχων 4335 {N-GPF} μου 1473 {P-1GS}
1,5,ακουων 191 {V-PAP-NSM} σου 4771 {P-2GS} την 3588 {T-ASF} αγαπην 26 {N-ASF} και 2532 {CONJ} την 3588 {T-ASF} πιστιν 4102 {N-ASF} ην 3739 {R-ASF} εχεις 2192 {V-PAI-2S} προς 4314 {PREP} τον 3588 {T-ASM} κυριον 2962 {N-ASM} ιησουν 2424 {N-ASM} και 2532 {CONJ} εις 1519 {PREP} παντας 3956 {A-APM} τους 3588 {T-APM} αγιους 40 {A-APM}
1,6,οπως 3704 {ADV} η 3588 {T-NSF} κοινωνια 2842 {N-NSF} της 3588 {T-GSF} πιστεως 4102 {N-GSF} σου 4771 {P-2GS} ενεργης 1756 {A-NSF} γενηται 1096 {V-2ADS-3S} εν 1722 {PREP} επιγνωσει 1922 {N-DSF} παντος 3956 {A-GSN} αγαθου 18 {A-GSN} του 3588 {T-GSN} εν 1722 {PREP} ημιν 1473 {P-1DP} εις 1519 {PREP} χριστον 5547 {N-ASM} ιησουν 2424 {N-ASM}
1,7,χαριν 5485 {N-ASF} γαρ 1063 {CONJ} εχομεν 2192 {V-PAI-1P} πολλην 4183 {A-ASF} και 2532 {CONJ} παρακλησιν 3874 {N-ASF} επι 1909 {PREP} τη 3588 {T-DSF} αγαπη 26 {N-DSF} σου 4771 {P-2GS} οτι 3754 {CONJ} τα 3588 {T-NPN} σπλαγχνα 4698 {N-NPN} των 3588 {T-GPM} αγιων 40 {A-GPM} αναπεπαυται 373 {V-RPI-3S} δια 1223 {PREP} σου 4771 {P-2GS} αδελφε 80 {N-VSM}
1,8,διο 1352 {CONJ} πολλην 4183 {A-ASF} εν 1722 {PREP} χριστω 5547 {N-DSM} παρρησιαν 3954 {N-ASF} εχων 2192 {V-PAP-NSM} επιτασσειν 2004 {V-PAN} σοι 4771 {P-2DS} το 3588 {T-ASN} ανηκον 433 {V-PAP-ASN}
1,9,δια 1223 {PREP} την 3588 {T-ASF} αγαπην 26 {N-ASF} μαλλον 3123 {ADV} παρακαλω 3870 {V-PAI-1S} τοιουτος 5108 {D-NSM} ων 1510 {V-PAP-NSM} ως 5613 {ADV} παυλος 3972 {N-NSM} πρεσβυτης 4246 {N-NSM} νυνι 3570 {ADV} δε 1161 {CONJ} και 2532 {CONJ} δεσμιος 1198 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,10,παρακαλω 3870 {V-PAI-1S} σε 4771 {P-2AS} περι 4012 {PREP} του 3588 {T-GSN} εμου 1699 {S-1SGSN} τεκνου 5043 {N-GSN} ον 3739 {R-ASM} εγεννησα 1080 {V-AAI-1S} εν 1722 {PREP} τοις 3588 {T-DPM} δεσμοις 1199 {N-DPM} μου 1473 {P-1GS} ονησιμον 3682 {N-ASM}
