chapter,verse,text
1,1,παυλος 3972 {N-NSM} και 2532 {CONJ} τιμοθεος 5095 {N-NSM} δουλοι 1401 {N-NPM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} πασιν 3956 {A-DPM} τοις 3588 {T-DPM} αγιοις 40 {A-DPM} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM} τοις 3588 {T-DPM} ουσιν 1510 {V-PAP-DPM} εν 1722 {PREP} φιλιπποις 5375 {N-DPM} συν 4862 {PREP} επισκοποις 1985 {N-DPM} και 2532 {CONJ} διακονοις 1249 {N-DPM}
1,2,χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,3,ευχαριστω 2168 {V-PAI-1S} τω 3588 {T-DSM} θεω 2316 {N-DSM} μου 1473 {P-1GS} επι 1909 {PREP} παση 3956 {A-DSF} τη 3588 {T-DSF} μνεια 3417 {N-DSF} υμων 4771 {P-2GP}
1,4,παντοτε 3842 {ADV} εν 1722 {PREP} παση 3956 {A-DSF} δεησει 1162 {N-DSF} μου 1473 {P-1GS} υπερ 5228 {PREP} παντων 3956 {A-GPM} υμων 4771 {P-2GP} μετα 3326 {PREP} χαρας 5479 {N-GSF} την 3588 {T-ASF} δεησιν 1162 {N-ASF} ποιουμενος 4160 {V-PMP-NSM}
1,5,επι 1909 {PREP} τη 3588 {T-DSF} κοινωνια 2842 {N-DSF} υμων 4771 {P-2GP} εις 1519 {PREP} το 3588 {T-ASN} ευαγγελιον 2098 {N-ASN} απο 575 {PREP} πρωτης 4413 {A-GSF-S} ημερας 2250 {N-GSF} αχρι 891 {ADV} του 3588 {T-GSM} νυν 3568 {ADV}
1,6,πεποιθως 3982 {V-2RAP-NSM} αυτο 846 {P-ASN} τουτο 3778 {D-ASN} οτι 3754 {CONJ} ο 3588 {T-NSM} εναρξαμενος 1728 {V-ADP-NSM} εν 1722 {PREP} υμιν 4771 {P-2DP} εργον 2041 {N-ASN} αγαθον 18 {A-ASN} επιτελεσει 2005 {V-FAI-3S} αχρι 891 {ADV} ημερας 2250 {N-GSF} χριστου 5547 {N-GSM} ιησου 2424 {N-GSM}
1,7,καθως 2531 {ADV} εστιν 1510 {V-PAI-3S} δικαιον 1342 {A-NSN} εμοι 1473 {P-1DS} τουτο 3778 {D-ASN} φρονειν 5426 {V-PAN} υπερ 5228 {PREP} παντων 3956 {A-GPM} υμων 4771 {P-2GP} δια 1223 {PREP} το 3588 {T-ASN} εχειν 2192 {V-PAN} με 1473 {P-1AS} εν 1722 {PREP} τη 3588 {T-DSF} καρδια 2588 {N-DSF} υμας 4771 {P-2AP} εν 1722 {PREP} τε 5037 {PRT} τοις 3588 {T-DPM} δεσμοις 1199 {N-DPM} μου 1473 {P-1GS} και 2532 {CONJ} εν 1722 {PREP} τη 3588 {T-DSF} απολογια 627 {N-DSF} και 2532 {CONJ} βεβαιωσει 951 {N-DSF} του 3588 {T-GSN} ευαγγελιου 2098 {N-GSN} συγκοινωνους 4791 {N-APM} μου 1473 {P-1GS} της 3588 {T-GSF} χαριτος 5485 {N-GSF} παντας 3956 {A-APM} υμας 4771 {P-2AP} οντας 1510 {V-PAP-APM}
1,8,μαρτυς 3144 {N-NSM} γαρ 1063 {CONJ} μου 1473 {P-1GS} εστιν 1510 {V-PAI-3S} ο 3588 {T-NSM} θεος 2316 {N-NSM} ως 5613 {ADV} επιποθω 1971 {V-PAI-1S} παντας 3956 {A-APM} υμας 4771 {P-2AP} εν 1722 {PREP} σπλαγχνοις 4698 {N-DPN} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,9,και 2532 {CONJ} τουτο 3778 {D-ASN} προσευχομαι 4336 {V-PNI-1S} ινα 2443 {CONJ} η 3588 {T-NSF} αγαπη 26 {N-NSF} υμων 4771 {P-2GP} ετι 2089 {ADV} μαλλον 3123 {ADV} και 2532 {CONJ} μαλλον 3123 {ADV} περισσευη 4052 {V-PAS-3S} εν 1722 {PREP} επιγνωσει 1922 {N-DSF} και 2532 {CONJ} παση 3956 {A-DSF} αισθησει 144 {N-DSF}
1,10,εις 1519 {PREP} το 3588 {T-ASN} δοκιμαζειν 1381 {V-PAN} υμας 4771 {P-2AP} τα 3588 {T-APN} διαφεροντα 1308 {V-PAP-APN} ινα 2443 {CONJ} ητε 1510 {V-PAS-2P} ειλικρινεις 1506 {A-NPM} και 2532 {CONJ} απροσκοποι 677 {A-NPM} εις 1519 {PREP} ημεραν 2250 {N-ASF} χριστου 5547 {N-GSM}
