chapter,verse,text
1,1,αποκαλυψις 602 {N-NSF} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} ην 3739 {R-ASF} εδωκεν 1325 {V-AAI-3S} αυτω 846 {P-DSM} ο 3588 {T-NSM} θεος 2316 {N-NSM} δειξαι 1166 {V-AAN} τοις 3588 {T-DPM} δουλοις 1401 {N-DPM} αυτου 846 {P-GSM} α 3739 {R-APN} δει 1163 {V-PAI-3S} γενεσθαι 1096 {V-2ADN} εν 1722 {PREP} ταχει 5034 {N-DSN} και 2532 {CONJ} εσημανεν 4591 {V-AAI-3S} αποστειλας 649 {V-AAP-NSM} δια 1223 {PREP} του 3588 {T-GSM} αγγελου 32 {N-GSM} αυτου 846 {P-GSM} τω 3588 {T-DSM} δουλω 1401 {N-DSM} αυτου 846 {P-GSM} ιωαννη 2491 {N-DSM}
1,2,ος 3739 {R-NSM} εμαρτυρησεν 3140 {V-AAI-3S} τον 3588 {T-ASM} λογον 3056 {N-ASM} του 3588 {T-GSM} θεου 2316 {N-GSM} και 2532 {CONJ} την 3588 {T-ASF} μαρτυριαν 3141 {N-ASF} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} οσα 3745 {K-APN} ειδεν 3708 {V-2AAI-3S}
1,3,μακαριος 3107 {A-NSM} ο 3588 {T-NSM} αναγινωσκων 314 {V-PAP-NSM} και 2532 {CONJ} οι 3588 {T-NPM} ακουοντες 191 {V-PAP-NPM} τους 3588 {T-APM} λογους 3056 {N-APM} της 3588 {T-GSF} προφητειας 4394 {N-GSF} και 2532 {CONJ} τηρουντες 5083 {V-PAP-NPM} τα 3588 {T-APN} εν 1722 {PREP} αυτη 846 {P-DSF} γεγραμμενα 1125 {V-RPP-APN} ο 3588 {T-NSM} γαρ 1063 {CONJ} καιρος 2540 {N-NSM} εγγυς 1451 {ADV}
1,4,ιωαννης 2491 {N-NSM} ταις 3588 {T-DPF} επτα 2033 {A-NUI} εκκλησιαις 1577 {N-DPF} ταις 3588 {T-DPF} εν 1722 {PREP} τη 3588 {T-DSF} ασια 773 {N-DSF} χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} ο 3588 {T-NSM} ων 1510 {V-PAP-NSM} και 2532 {CONJ} ο 3588 {T-NSM} ην 1510 {V-IAI-3S} και 2532 {CONJ} ο 3588 {T-NSM} ερχομενος 2064 {V-PNP-NSM} και 2532 {CONJ} απο 575 {PREP} των 3588 {T-GPN} επτα 2033 {A-NUI} πνευματων 4151 {N-GPN} α 3739 {R-NPN} ενωπιον 1799 {PREP} του 3588 {T-GSM} θρονου 2362 {N-GSM} αυτου 846 {P-GSM}
1,5,και 2532 {CONJ} απο 575 {PREP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} ο 3588 {T-NSM} μαρτυς 3144 {N-NSM} ο 3588 {T-NSM} πιστος 4103 {A-NSM} ο 3588 {T-NSM} πρωτοτοκος 4416 {A-NSM-S} των 3588 {T-GPM} νεκρων 3498 {A-GPM} και 2532 {CONJ} ο 3588 {T-NSM} αρχων 758 {N-NSM} των 3588 {T-GPM} βασιλεων 935 {N-GPM} της 3588 {T-GSF} γης 1093 {N-GSF} τω 3588 {T-DSM} αγαπωντι 25 {V-PAP-DSM} ημας 1473 {P-1AP} και 2532 {CONJ} λουσαντι 3068 {V-AAP-DSM} ημας 1473 {P-1AP} απο 575 {PREP} των 3588 {T-GPF} αμαρτιων 266 {N-GPF} ημων 1473 {P-1GP} εν 1722 {PREP} τω 3588 {T-DSN} αιματι 129 {N-DSN} αυτου 846 {P-GSM}
1,6,και 2532 {CONJ} εποιησεν 4160 {V-AAI-3S} ημας 1473 {P-1AP} βασιλειαν 932 {N-ASF} ιερεις 2409 {N-APM} τω 3588 {T-DSM} θεω 2316 {N-DSM} και 2532 {CONJ} πατρι 3962 {N-DSM} αυτου 846 {P-GSM} αυτω 846 {P-DSM} η 3588 {T-NSF} δοξα 1391 {N-NSF} και 2532 {CONJ} το 3588 {T-NSN} κρατος 2904 {N-NSN} εις 1519 {PREP} τους 3588 {T-APM} αιωνας 165 {N-APM} των 3588 {T-GPM} αιωνων 165 {N-GPM} αμην 281 {HEB}
1,7,ιδου 3708 {V-2AMM-2S} ερχεται 2064 {V-PNI-3S} μετα 3326 {PREP} των 3588 {T-GPF} νεφελων 3507 {N-GPF} και 2532 {CONJ} οψεται 3708 {V-FDI-3S} αυτον 846 {P-ASM} πας 3956 {A-NSM} οφθαλμος 3788 {N-NSM} και 2532 {CONJ} οιτινες 3748 {R-NPM} αυτον 846 {P-ASM} εξεκεντησαν 1574 {V-AAI-3P} και 2532 {CONJ} κοψονται 2875 {V-FDI-3P} επ 1909 {PREP} αυτον 846 {P-ASM} πασαι 3956 {A-NPF} αι 3588 {T-NPF} φυλαι 5443 {N-NPF} της 3588 {T-GSF} γης 1093 {N-GSF} ναι 3483 {PRT} αμην 281 {HEB}
1,8,εγω 1473 {P-1NS} ειμι 1510 {V-PAI-1S} το 3588 {T-NSN} αλφα 1 {N-LI} και 2532 {CONJ} το 3588 {T-NSN} ω 5598 {N-LI} λεγει 3004 {V-PAI-3S} κυριος 2962 {N-NSM} ο 3588 {T-NSM} θεος 2316 {N-NSM} ο 3588 {T-NSM} ων 1510 {V-PAP-NSM} και 2532 {CONJ} ο 3588 {T-NSM} ην 1510 {V-IAI-3S} και 2532 {CONJ} ο 3588 {T-NSM} ερχομενος 2064 {V-PNP-NSM} ο 3588 {T-NSM} παντοκρατωρ 3841 {N-NSM}
1,9,εγω 1473 {P-1NS} ιωαννης 2491 {N-NSM} ο 3588 {T-NSM} αδελφος 80 {N-NSM} υμων 4771 {P-2GP} και 2532 {CONJ} κοινωνος 2844 {N-NSM} εν 1722 {PREP} τη 3588 {T-DSF} θλιψει 2347 {N-DSF} και 2532 {CONJ} βασιλεια 932 {N-DSF} και 2532 {CONJ} υπομονη 5281 {N-DSF} εν 1722 {PREP} χριστω 5547 {N-DSM} ιησου 2424 {N-DSM} εγενομην 1096 {V-2ADI-1S} εν 1722 {PREP} τη 3588 {T-DSF} νησω 3520 {N-DSF} τη 3588 {T-DSF} καλουμενη 2564 {V-PPP-DSF} πατμω 3963 {N-DSF} δια 1223 {PREP} τον 3588 {T-ASM} λογον 3056 {N-ASM} του 3588 {T-GSM} θεου 2316 {N-GSM} και 2532 {CONJ} δια 1223 {PREP} την 3588 {T-ASF} μαρτυριαν 3141 {N-ASF} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,10,εγενομην 1096 {V-2ADI-1S} εν 1722 {PREP} πνευματι 4151 {N-DSN} εν 1722 {PREP} τη 3588 {T-DSF} κυριακη 2960 {A-DSF} ημερα 2250 {N-DSF} και 2532 {CONJ} ηκουσα 191 {V-AAI-1S} φωνην 5456 {N-ASF} οπισω 3694 {ADV} μου 1473 {P-1GS} μεγαλην 3173 {A-ASF} ως 5613 {ADV} σαλπιγγος 4536 {N-GSF}
