chapter,verse,text
1,1,παυλος 3972 {N-NSM} δουλος 1401 {N-NSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} κλητος 2822 {A-NSM} αποστολος 652 {N-NSM} αφωρισμενος 873 {V-RPP-NSM} εις 1519 {PREP} ευαγγελιον 2098 {N-ASN} θεου 2316 {N-GSM}
1,2,ο 3739 {R-ASN} προεπηγγειλατο 4279 {V-ADI-3S} δια 1223 {PREP} των 3588 {T-GPM} προφητων 4396 {N-GPM} αυτου 846 {P-GSM} εν 1722 {PREP} γραφαις 1124 {N-DPF} αγιαις 40 {A-DPF}
1,3,περι 4012 {PREP} του 3588 {T-GSM} υιου 5207 {N-GSM} αυτου 846 {P-GSM} του 3588 {T-GSM} γενομενου 1096 {V-2ADP-GSM} εκ 1537 {PREP} σπερματος 4690 {N-GSN} δαυιδ 1138 {N-PRI} κατα 2596 {PREP} σαρκα 4561 {N-ASF}
1,4,του 3588 {T-GSM} ορισθεντος 3724 {V-APP-GSM} υιου 5207 {N-GSM} θεου 2316 {N-GSM} εν 1722 {PREP} δυναμει 1411 {N-DSF} κατα 2596 {PREP} πνευμα 4151 {N-ASN} αγιωσυνης 42 {N-GSF} εξ 1537 {PREP} αναστασεως 386 {N-GSF} νεκρων 3498 {A-GPM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} του 3588 {T-GSM} κυριου 2962 {N-GSM} ημων 1473 {P-1GP}
1,5,δι 1223 {PREP} ου 3739 {R-GSM} ελαβομεν 2983 {V-2AAI-1P} χαριν 5485 {N-ASF} και 2532 {CONJ} αποστολην 651 {N-ASF} εις 1519 {PREP} υπακοην 5218 {N-ASF} πιστεως 4102 {N-GSF} εν 1722 {PREP} πασιν 3956 {A-DPN} τοις 3588 {T-DPN} εθνεσιν 1484 {N-DPN} υπερ 5228 {PREP} του 3588 {T-GSN} ονοματος 3686 {N-GSN} αυτου 846 {P-GSM}
1,6,εν 1722 {PREP} οις 3739 {R-DPN} εστε 1510 {V-PAI-2P} και 2532 {CONJ} υμεις 4771 {P-2NP} κλητοι 2822 {A-NPM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,7,πασιν 3956 {A-DPM} τοις 3588 {T-DPM} ουσιν 1510 {V-PAP-DPM} εν 1722 {PREP} ρωμη 4516 {N-DSF} αγαπητοις 27 {A-DPM} θεου 2316 {N-GSM} κλητοις 2822 {A-DPM} αγιοις 40 {A-DPM} χαρις 5485 {N-NSF} υμιν 4771 {P-2DP} και 2532 {CONJ} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} ημων 1473 {P-1GP} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM}
1,8,πρωτον 4412 {ADV-S} μεν 3303 {PRT} ευχαριστω 2168 {V-PAI-1S} τω 3588 {T-DSM} θεω 2316 {N-DSM} μου 1473 {P-1GS} δια 1223 {PREP} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} υπερ 5228 {PREP} παντων 3956 {A-GPM} υμων 4771 {P-2GP} οτι 3754 {CONJ} η 3588 {T-NSF} πιστις 4102 {N-NSF} υμων 4771 {P-2GP} καταγγελλεται 2605 {V-PPI-3S} εν 1722 {PREP} ολω 3650 {A-DSM} τω 3588 {T-DSM} κοσμω 2889 {N-DSM}
1,9,μαρτυς 3144 {N-NSM} γαρ 1063 {CONJ} μου 1473 {P-1GS} εστιν 1510 {V-PAI-3S} ο 3588 {T-NSM} θεος 2316 {N-NSM} ω 3739 {R-DSM} λατρευω 3000 {V-PAI-1S} εν 1722 {PREP} τω 3588 {T-DSN} πνευματι 4151 {N-DSN} μου 1473 {P-1GS} εν 1722 {PREP} τω 3588 {T-DSN} ευαγγελιω 2098 {N-DSN} του 3588 {T-GSM} υιου 5207 {N-GSM} αυτου 846 {P-GSM} ως 5613 {ADV} αδιαλειπτως 89 {ADV} μνειαν 3417 {N-ASF} υμων 4771 {P-2GP} ποιουμαι 4160 {V-PMI-1S}
1,10,παντοτε 3842 {ADV} επι 1909 {PREP} των 3588 {T-GPF} προσευχων 4335 {N-GPF} μου 1473 {P-1GS} δεομενος 1189 {V-PNP-NSM} ει 1487 {COND} πως 4459 {ADV-I} ηδη 2235 {ADV} ποτε 4218 {PRT} ευοδωθησομαι 2137 {V-FPI-1S} εν 1722 {PREP} τω 3588 {T-DSN} θεληματι 2307 {N-DSN} του 3588 {T-GSM} θεου 2316 {N-GSM} ελθειν 2064 {V-2AAN} προς 4314 {PREP} υμας 4771 {P-2AP}
