chapter,verse,text
1,1,παυλος 3972 {N-NSM} δουλος 1401 {N-NSM} θεου 2316 {N-GSM} αποστολος 652 {N-NSM} δε 1161 {CONJ} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} κατα 2596 {PREP} πιστιν 4102 {N-ASF} εκλεκτων 1588 {A-GPM} θεου 2316 {N-GSM} και 2532 {CONJ} επιγνωσιν 1922 {N-ASF} αληθειας 225 {N-GSF} της 3588 {T-GSF} κατ 2596 {PREP} ευσεβειαν 2150 {N-ASF}
1,2,επ 1909 {PREP} ελπιδι 1680 {N-DSF} ζωης 2222 {N-GSF} αιωνιου 166 {A-GSF} ην 3739 {R-ASF} επηγγειλατο 1861 {V-ADI-3S} ο 3588 {T-NSM} αψευδης 893 {A-NSM} θεος 2316 {N-NSM} προ 4253 {PREP} χρονων 5550 {N-GPM} αιωνιων 166 {A-GPM}
1,3,εφανερωσεν 5319 {V-AAI-3S} δε 1161 {CONJ} καιροις 2540 {N-DPM} ιδιοις 2398 {A-DPM} τον 3588 {T-ASM} λογον 3056 {N-ASM} αυτου 846 {P-GSM} εν 1722 {PREP} κηρυγματι 2782 {N-DSN} ο 3739 {R-ASN} επιστευθην 4100 {V-API-1S} εγω 1473 {P-1NS} κατ 2596 {PREP} επιταγην 2003 {N-ASF} του 3588 {T-GSM} σωτηρος 4990 {N-GSM} ημων 1473 {P-1GP} θεου 2316 {N-GSM}
1,4,τιτω 5103 {N-DSM} γνησιω 1103 {A-DSN} τεκνω 5043 {N-DSN} κατα 2596 {PREP} κοινην 2839 {A-ASF} πιστιν 4102 {N-ASF} χαρις 5485 {N-NSF} ελεος 1656 {N-NSN} ειρηνη 1515 {N-NSF} απο 575 {PREP} θεου 2316 {N-GSM} πατρος 3962 {N-GSM} και 2532 {CONJ} κυριου 2962 {N-GSM} ιησου 2424 {N-GSM} χριστου 5547 {N-GSM} του 3588 {T-GSM} σωτηρος 4990 {N-GSM} ημων 1473 {P-1GP}
1,5,τουτου 3778 {D-GSN} χαριν 5484 {PREP} κατελιπον 2641 {V-2AAI-1S} σε 4771 {P-2AS} εν 1722 {PREP} κρητη 2914 {N-DSF} ινα 2443 {CONJ} τα 3588 {T-APN} λειποντα 3007 {V-PAP-APN} επιδιορθωση 1930 {V-AMS-2S} και 2532 {CONJ} καταστησης 2525 {V-AAS-2S} κατα 2596 {PREP} πολιν 4172 {N-ASF} πρεσβυτερους 4245 {A-APM-C} ως 5613 {ADV} εγω 1473 {P-1NS} σοι 4771 {P-2DS} διεταξαμην 1299 {V-AMI-1S}
1,6,ει 1487 {COND} τις 5100 {X-NSM} εστιν 1510 {V-PAI-3S} ανεγκλητος 410 {A-NSM} μιας 1520 {A-GSF} γυναικος 1135 {N-GSF} ανηρ 435 {N-NSM} τεκνα 5043 {N-APN} εχων 2192 {V-PAP-NSM} πιστα 4103 {A-APN} μη 3361 {PRT-N} εν 1722 {PREP} κατηγορια 2724 {N-DSF} ασωτιας 810 {N-GSF} η 2228 {PRT} ανυποτακτα 506 {A-APN}
1,7,δει 1163 {V-PAI-3S} γαρ 1063 {CONJ} τον 3588 {T-ASM} επισκοπον 1985 {N-ASM} ανεγκλητον 410 {A-ASM} ειναι 1510 {V-PAN} ως 5613 {ADV} θεου 2316 {N-GSM} οικονομον 3623 {N-ASM} μη 3361 {PRT-N} αυθαδη 829 {A-ASM} μη 3361 {PRT-N} οργιλον 3711 {A-ASM} μη 3361 {PRT-N} παροινον 3943 {A-ASM} μη 3361 {PRT-N} πληκτην 4131 {N-ASM} μη 3361 {PRT-N} αισχροκερδη 146 {A-ASM}
1,8,αλλα 235 {CONJ} φιλοξενον 5382 {A-ASM} φιλαγαθον 5358 {A-ASM} σωφρονα 4998 {A-ASM} δικαιον 1342 {A-ASM} οσιον 3741 {A-ASM} εγκρατη 1468 {A-ASM}
1,9,αντεχομενον 472 {V-PNP-ASM} του 3588 {T-GSM} κατα 2596 {PREP} την 3588 {T-ASF} διδαχην 1322 {N-ASF} πιστου 4103 {A-GSM} λογου 3056 {N-GSM} ινα 2443 {CONJ} δυνατος 1415 {A-NSM} η 1510 {V-PAS-3S} και 2532 {CONJ} παρακαλειν 3870 {V-PAN} εν 1722 {PREP} τη 3588 {T-DSF} διδασκαλια 1319 {N-DSF} τη 3588 {T-DSF} υγιαινουση 5198 {V-PAP-DSF} και 2532 {CONJ} τους 3588 {T-APM} αντιλεγοντας 483 {V-PAP-APM} ελεγχειν 1651 {V-PAN}
1,10,εισιν 1510 {V-PAI-3P} γαρ 1063 {CONJ} πολλοι 4183 {A-NPM} και 2532 {CONJ} ανυποτακτοι 506 {A-NPM} ματαιολογοι 3151 {A-NPM} και 2532 {CONJ} φρεναπαται 5423 {N-NPM} μαλιστα 3122 {ADV-S} οι 3588 {T-NPM} εκ 1537 {PREP} περιτομης 4061 {N-GSF}
1,11,ους 3739 {R-APM} δει 1163 {V-PAI-3S} επιστομιζειν 1993 {V-PAN} οιτινες 3748 {R-NPM} ολους 3650 {A-APM} οικους 3624 {N-APM} ανατρεπουσιν 396 {V-PAI-3P} διδασκοντες 1321 {V-PAP-NPM} α 3739 {R-APN} μη 3361 {PRT-N} δει 1163 {V-PAI-3S} αισχρου 150 {A-GSN} κερδους 2771 {N-GSN} χαριν 5484 {PREP}
