chapter,verse,text
1,1,"Τὸν μὲν πρῶτον λόγον ἐποιησάμην περὶ πάντων, ὦ Θεόφιλε, ὧν ἤρξατο ὁ ʼΙησοῦς ποιεῖν τε καὶ διδάσκειν,"
1,2,"ἄχρι ἧς ἡμέρας, ἐντειλάμενος τοῖς ἀποστόλοις διὰ πνεύματος ἁγίου οὓς ἐξελέξατο, ἀνελήφθη· {Ν ἀνελήφθη > ἀνελήμφθη }"
1,3,"οἷς καὶ παρέστησεν ἑαυτὸν ζῶντα μετὰ τὸ παθεῖν αὐτὸν ἐν πολλοῖς τεκμηρίοις, δι' ἡμερῶν τεσσαράκοντα {Ν τεσσαράκοντα > τεσσεράκοντα } ὀπτανόμενος αὐτοῖς, καὶ λέγων τὰ περὶ τῆς βασιλείας τοῦ θεοῦ."
1,4,"Καὶ συναλιζόμενος παρήγγειλεν αὐτοῖς ἀπὸ ʽΙεροσολύμων μὴ χωρίζεσθαι, ἀλλὰ περιμένειν τὴν ἐπαγγελίαν τοῦ πατρός, ʽῊν ἠκούσατέ μου·"
1,5,"ὅτι ʼΙωάννης μὲν ἐβάπτισεν ὕδατι, ὑμεῖς δὲ βαπτισθήσεσθε {Ν βαπτισθήσεσθε ἐν πνεύματι > ἐν πνεύματι βαπτισθήσεσθε } ἐν πνεύματι ἁγίῳ οὐ μετὰ πολλὰς ταύτας ἡμέρας."
1,6,"Οἱ μὲν οὖν συνελθόντες ἐπηρώτων {Ν ἐπηρώτων > ἠρώτων } αὐτὸν λέγοντες, Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ ʼΙσραήλ;"
1,7,"Εἶπεν δὲ πρὸς αὐτούς, Οὐχ ὑμῶν ἐστιν γνῶναι χρόνους ἢ καιροὺς οὓς ὁ πατὴρ ἔθετο ἐν τῇ ἰδίᾳ ἐξουσίᾳ."
1,8,"ʼΑλλὰ λήψεσθε {Ν λήψεσθε > λήμψεσθε } δύναμιν, ἐπελθόντος τοῦ ἁγίου πνεύματος ἐφ' ὑμᾶς· καὶ ἔσεσθέ μοι {Ν μοι > μου } μάρτυρες ἔν τε ʽΙερουσαλήμ, καὶ ἐν {Ν ἐν πάσῃ > [ἐν] πάσῃ } πάσῃ τῇ ʼΙουδαίᾳ καὶ Σαμαρείᾳ, καὶ ἕως ἐσχάτου τῆς γῆς."
1,9,"Καὶ ταῦτα εἰπών, βλεπόντων αὐτῶν ἐπήρθη, καὶ νεφέλη ὑπέλαβεν αὐτὸν ἀπὸ τῶν ὀφθαλμῶν αὐτῶν."
1,10,"Καὶ ὡς ἀτενίζοντες ἦσαν εἰς τὸν οὐρανόν, πορευομένου αὐτοῦ, καὶ ἰδοὺ ἄνδρες δύο παρειστήκεισαν αὐτοῖς ἐν ἐσθῆτι {Ν ἐσθῆτι λευκῇ > ἐσθήσεσιν λευκαῖς } λευκῇ,"
